"EC"	"SMC_Fib"	"Macr"	"T_NK"	"Neut"	"B"
"EC_1"	0.551553945201599	0.00648575223675714	0.364926801415956	0.000980513819394578	0.00109887148837196	0.0749541158379222
"SMC_Fib_2"	0.215810006801804	0.164515905004914	0.598787942282162	8.74827939692641e-05	0.000357007971190848	0.0204416551459607
"EC_3"	0.968088573109499	6.3530273853924e-06	0.0114069368541671	0.00295834628602708	0.00273292454071517	0.014806866182207
"SMC_Fib_4"	0.124923840537991	0.868742370669507	0.00613984009529823	0.000187296900507024	6.65179669782939e-06	0
"EC_5"	0.976081196054297	0.0140516145330353	0.00387395962875583	0.000209812037243388	0.000463127521656556	0.00532029022501233
"EC_6"	0.910307784237719	0.000100693034374534	0.0741887934507471	0.00270305470025404	0.00139660399305902	0.0113030705838469
"EC_7"	0.833165173602709	0.166243547201329	0.000591279195963019	0	0	0
"EC_8"	0.785692529584204	0.207642153562048	0.00666531685374772	0	0	0
"EC_9"	0.74490867053335	0.0313619603813587	0.222290595952087	0.000427951217012156	3.12056067173344e-05	0.000979616309475823
"Macr_10"	0.00156616468734439	0.00084469732845714	0.982570885431499	0.000956636065388255	0.000152539979275701	0.0139090765080353
"Macr_11"	0.0266110734122509	0.0034755134253312	0.967004044340205	1.30838512619608e-05	0.00183323010827989	0.0010630548626708
"SMC_Fib_12"	0.0706120369154523	0.897841779886902	0.0314246470669224	3.07384819915922e-05	5.52660400069137e-05	3.55316087249657e-05
"EC_13"	0.930163778058409	0.0250575100047482	0.0306183579273257	0.00512253960649273	0.000710319198395024	0.00832749520462944
"SMC_Fib_14"	0.0232213592652226	0.934620119340327	0.0420748088600342	1.22819428255064e-05	7.1430591590974e-05	0
"SMC_Fib_15"	0.188452396916094	0.564673957168436	0.246228635523684	0.000180578494994165	1.46912773582034e-05	0.000449740619434232
"T_NK_16"	0	9.40037580222555e-07	0.0202725467782734	0.978552097037322	0.000625981755435083	0.000548434391389268
"SMC_Fib_17"	0.227134530189019	0.575963776422084	0.195886060423646	0.000185388623525138	0.000282466671591769	0.000547777670134825
"T_NK_18"	0	0	0.00549465185077485	0.991445457326757	0.00258386466089115	0.000476026161576979
"T_NK_19"	0.00337572156828205	0.00276130059903094	0.026474529031472	0.788842152571332	8.16728979370416e-05	0.178464623331946
"T_NK_20"	0.00111761174049622	0.00107746768838049	0.0286244816340611	0.96916168866305	1.87502740121137e-05	0
"SMC_Fib_21"	0.208475782178167	0.519445199026492	0.0141021172463701	0.000542404634686811	0.0104161178831385	0.247018379031145
"T_NK_22"	0.0116413814544901	0.00768841475769285	0.0045859787655791	0.879142748994112	0.0226809168658188	0.074260559162307
"T_NK_23"	0.0014387172495909	0.000150793057725864	0.00232767838069316	0.996039145207999	3.71972996882948e-05	6.46880430298892e-06
"SMC_Fib_24"	0.0196164789574275	0.943768059017181	0.000301126067735494	0.010073113108994	0.0064185384189177	0.0198226844297447
"T_NK_25"	0.00176010407782455	0.00438488840674039	0.157680807371062	0.263466876191881	0.00727728777579082	0.565430036176702
"EC_26"	0.0694071717412192	0.887627703640722	0.00313484689100439	0.000239289511026054	0.0239281314139878	0.0156628568020411
"T_NK_27"	0	0.00131032898805988	0.0168812071943348	0.636616110287251	0.0220395031257826	0.323152850404572
"Macr_28"	0.000736482332452344	0.00980754669759689	0.782061142822223	0.0219411360052692	0.137114624559671	0.0483390675827884
"Neut_29"	9.44365357657765e-05	0.00185834509231896	6.19888600692223e-05	0.000150784530709999	0.996305349674714	0.00152909530642218
"SMC_Fib_30"	0.000915683470572298	0.983667786805542	4.31138671638756e-06	3.15197197032946e-05	0.00157699294084047	0.0138037056766256
"SMC_Fib_31"	0.00141047966460121	0.938793817892036	0.0011665035768972	0.00200715170715271	0.00336550078252002	0.0532565463767932
"SMC_Fib_32"	0.000256037544349806	0.982065786227474	0.000511448886809736	0.000193299441479481	0.000697593699318291	0.0162758342005694
"Neut_33"	0.000102869192782543	0.000255876742042851	4.51863520469111e-05	0.00917813454456477	0.984968399442408	0.00544953372615475
"T_NK_34"	0.000344923599246017	0.0079258369950949	0.10155715352431	0.428036211429282	0.00223475920894428	0.459901115243123
"SMC_Fib_35"	0.000167533777053968	0.960997557052926	2.77932586447493e-05	0.00674702869877314	0.0196081162440034	0.0124519709685987
"Neut_36"	0.000325010147219528	0.000124366388169844	0.00183009933027726	0.00416708963770746	0.932758409783988	0.0607950247126381
"B_37"	1.30254205722991e-05	0.00023674994500572	0.000215514021165563	0.0527420425083137	0.0241135343634528	0.92267913374149
"B_38"	3.0429097431407e-06	0.000225158179073176	0.000506095463828939	0.0483273059140263	0.0195840069826896	0.931354390550639
"B_39"	4.84136691963399e-07	9.58483702308e-08	0	3.45111826554437e-05	2.51918899595852e-05	0.999939716942323
"B_40"	0.00518296011443006	0.00898345947326118	0.205160583851446	0.000157248782108682	0.0118713907335777	0.768644357045177
