"EC"	"SMC_Fib"	"Macr"	"T_NK"	"Neut"	"B"
"EC_1"	0.849914790222458	0.0925522475347035	0.017446211203538	0.000212269646397664	0.00112187681729417	0.0387526045756096
"SMC_Fib_2"	0.0708243932601934	0.907983815593333	0.00329151732117562	0	0.000933767075796076	0.0169665067495018
"EC_3"	0.999208005193714	0.000767476497827325	0	0	0	2.45183084595473e-05
"SMC_Fib_4"	0.0502110310726769	0.949788968927323	0	0	0	0
"EC_5"	0.961296762047378	0.0386786755752778	1.61875978365034e-08	0	2.45461897467651e-05	0
"EC_6"	0.925922570772189	0	0.0696492527554369	0.00415176073956676	0.000258423360906406	1.79923719014334e-05
"EC_7"	0.923738301444444	0.0762616985555566	0	0	0	0
"EC_8"	0.962321284383817	0.0222215289886642	0.00574190498801653	0.0060781582336593	0.00133179472752635	0.00230532867831689
"EC_9"	0.956578483377293	0.0303800817171644	0.000198672798564384	0	0.00318134093930035	0.00966142116767819
"Macr_10"	1.91621261047782e-05	0	0.951711427290309	0.0110238461505408	1.67700642433482e-05	0.0372287943688023
"Macr_11"	0.0212969591122404	0	0.97870304088776	0	0	0
"SMC_Fib_12"	0.0147532087716765	0.985246791228324	0	0	0	0
"EC_13"	0.989286109142315	0	0.0100544746224795	0.000274891714490365	4.36262807019059e-05	0.000340898240014051
"SMC_Fib_14"	0.00738175211738656	0.959404253449797	0.0102424432746319	1.17857763688449e-05	0.0229569662644375	2.79911737850316e-06
"SMC_Fib_15"	0.16556508069946	0.81067453457014	0.000702344780811709	0.0230580399495883	0	0
"T_NK_16"	0.0381012564781256	0.0180884474436562	0	0.882456699949787	0	0.0613535961284315
"SMC_Fib_17"	0.129600933185656	0.774637056337364	0.00176679252082951	0.00144134012477358	0.0170985393349322	0.075455338496444
"T_NK_18"	0.00504302181056085	0.0172940764990387	0	0.905630324666235	0	0.0720325770241657
"T_NK_19"	0	0	0.051343285888659	0.902591845916599	0.0460511274212696	1.37407734727698e-05
"T_NK_20"	0.0171107787539952	0.0118006764442114	4.33966902202536e-05	0.959735451201096	0.0108347943292357	0.000474902581241298
"SMC_Fib_21"	0.00242207853623146	0.773352231367254	7.86915556002466e-06	0.030890320078731	0.0233967785961156	0.169930722266108
"T_NK_22"	0.00482294818923466	0.0410384620634261	0.0164181259045956	0.883672026687191	0	0.0540484371555532
"T_NK_23"	0.000778890622381853	0.000222595001122177	0	0.998998514376496	0	0
"SMC_Fib_24"	0	0.99159810425187	0.00205320899371641	0	0.00634868675441329	0
"T_NK_25"	0	5.49830930701346e-06	0.0495763924594516	0.795743793323194	0.0899928678076284	0.0646814481004188
"EC_26"	0.776761119430066	0.00417753291149585	0.188920196988802	0.0300275153319182	0.000113635337718274	0
"T_NK_27"	0	0.0213345239900727	1.13488731993527e-06	0.944279145955622	0.0264688995587127	0.00791629560827253
"Macr_28"	0	0.00252826411252009	0.944707855405536	0	0.0526216138217208	0.000142266660222876
"Neut_29"	0.0055706282457246	0	0.0190066815705529	1.31730078855123e-06	0.975419258213385	2.11466954942482e-06
"SMC_Fib_30"	0	0.965892616776873	0.000967676944489941	0.000141468532381842	0.0310959756946799	0.00190226205157518
"SMC_Fib_31"	0	0.942086823412574	0.01378063078646	0.00320388001763147	0.0409286657833347	0
"SMC_Fib_32"	0	0.98477630885981	0	6.45179570932383e-06	0.0152069110329328	1.03283115476302e-05
"Neut_33"	0	0	0.0149022434058704	0.0595337875842757	0.925560880435469	3.08857438527657e-06
"T_NK_34"	0	0.000115274436043881	0.0339069751729	0.88672875840317	0.069169241665866	0.0100797503220203
"SMC_Fib_35"	0	0.91156945569255	0.0176246150821109	5.47319640614056e-05	0.0705281185538171	0.000223078707461078
"Neut_36"	0	0.0400463590760806	0	0	0.95995364092392	0
"B_37"	0	0	0	0.0090313955049697	0	0.99096860449503
"B_38"	0	0.00343351443463053	2.50869823872001e-06	0.00349575592087486	0.0273937633856142	0.965674457560642
"B_39"	0.00829602584546087	0.00508838076819928	0	0	0	0.98661559338634
"B_40"	0	0.0339458076430704	0.234827904074789	0.00188915433231283	0	0.729337133949828
