"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	6.20605528516931	3.858745800336	23.053775730309	1.5753283525083e-06	4.05628025066146e-06
"hsa-let-7a-3p"	1.10581925399357	6.23658418759212	3.06420752245246	0.0800341782584085	0.108269586324192
"hsa-let-7a-5p"	-0.326719443513168	15.7753334177508	0.545249010188428	0.460265470420019	0.51538129355855
"hsa-let-7b-3p"	2.57569637611287	6.89325865840227	32.786699689148	1.02846128326633e-08	3.2629158570295e-08
"hsa-let-7b-5p"	1.49213073557477	12.3545606612619	8.87933138454656	0.00288417151423394	0.00505678755620621
"hsa-let-7c-5p"	6.26530890315487	9.18292287563665	40.4084974526585	2.0604302236322e-10	8.31976749390883e-10
"hsa-let-7d-3p"	-0.777759452255284	7.27112496336968	4.5209549071135	0.0334821387906496	0.0494348475773303
"hsa-let-7d-5p"	-1.03327308192981	10.1891232200337	8.06531568739931	0.00451206132845125	0.00768347823662785
"hsa-let-7e-3p"	6.86755508628127	3.6055245164028	30.9721601555868	2.61756255247988e-08	8.01816574983778e-08
"hsa-let-7e-5p"	4.51601948047767	11.1004868978562	20.2780818288231	6.69633243375778e-06	1.63722256293252e-05
"hsa-let-7f-1-3p"	0.977861500878824	4.23288932086977	3.66731324399923	0.0554895653759012	0.0778314166983036
"hsa-let-7f-2-3p"	0.545208708421696	4.30025047489661	0.331915260583322	0.564533483698592	0.620404838786288
"hsa-let-7f-5p"	-1.02556354118436	14.973295490856	8.26560932291486	0.00404030986835028	0.00699183493451525
"hsa-let-7g-3p"	-2.70304012750595	3.95311166567468	21.0680350694662	4.43261029762483e-06	1.10400994795983e-05
"hsa-let-7g-5p"	-3.08405907932439	13.4365142298018	74.1065838777628	7.40110744452808e-18	8.21831305819472e-17
"hsa-let-7i-3p"	-2.85578751329272	7.14180457342939	68.8804864850379	1.04614835087536e-16	9.7824047546766e-16
"hsa-let-7i-5p"	0.345004389182692	14.0963017900452	0.890871512199567	0.345241245624444	0.406211002026112
"hsa-miR-100-3p"	10.4971713867721	7.95929387198231	72.9194962600195	1.35047510463653e-17	1.46898618524749e-16
"hsa-miR-100-5p"	12.0302604731376	17.4690567549542	95.7956277078531	1.27376716469713e-22	3.23294237515987e-21
"hsa-miR-101-3p"	-4.07299826238642	12.3964627637646	69.1413450294351	9.16536953503766e-17	8.72346778959834e-16
"hsa-miR-101-5p"	-4.12664451041035	3.42026034415444	34.0484908656415	5.37555843188274e-09	1.77961033800838e-08
"hsa-miR-103a-3p"	-0.824609023793635	11.7989241603414	6.1639381021034	0.0130380616902167	0.0208062481463638
"hsa-miR-106a-5p"	-7.0764987441273	3.26567822393399	115.983303192515	4.79315041272018e-27	1.96519166921527e-25
"hsa-miR-106b-3p"	-2.65769063206472	8.48377752673885	33.099911801304	8.75426924894561e-09	2.81085874077591e-08
"hsa-miR-106b-5p"	-1.75319928263701	7.74264656184767	9.72343337495622	0.00181933331035666	0.00333231840006907
"hsa-miR-107"	3.54503563100132	6.48232883537351	15.8835021370129	6.73633772114039e-05	0.000147150328088845
"hsa-miR-10a-3p"	4.70094955232289	3.60927831800595	10.140622772776	0.0014503715461133	0.00268419456277219
"hsa-miR-10a-5p"	2.61614292227347	14.1573349918105	5.82678226549433	0.0157839682626041	0.0246711292784985
"hsa-miR-10b-5p"	4.08975246839804	11.2774876873025	4.99488383904802	0.0254223598898896	0.0382771689867547
"hsa-miR-1180-3p"	4.17038015170626	4.35771550266146	34.7101843683619	3.82624652050372e-09	1.29897413721559e-08
"hsa-miR-1185-1-3p"	7.63546338663037	5.14351421151597	45.2184044200037	1.76241034620264e-11	8.77910948155147e-11
"hsa-miR-1185-2-3p"	5.70069550375599	2.6860778232672	20.0334928238633	7.60975756281703e-06	1.8520551511331e-05
"hsa-miR-1185-5p"	7.3229958872918	4.67046733573824	51.8959122380855	5.85221244759601e-13	3.50475194895357e-12
"hsa-miR-1197"	7.12806733863389	3.82970374661342	27.5374334596831	1.54083237976691e-07	4.48426247434618e-07
"hsa-miR-122-5p"	-4.21753708418857	4.08230566382933	18.5126607741342	1.68779403411321e-05	3.98050539903691e-05
"hsa-miR-1226-3p"	1.7862298230175	2.95817769091554	5.12257763942202	0.0236165116612529	0.035862110300421
"hsa-miR-1233-3p"	2.23694533922065	1.84043479123372	2.97409191001979	0.0846075964515386	0.11330615303686
"hsa-miR-1247-5p"	2.74370910977555	1.50891802726561	1.26281543889855	0.26111883848711	0.317754202999155
"hsa-miR-1248"	-5.42843084484238	2.92439469317035	27.7453925299743	1.38377375356909e-07	4.05248027830947e-07
"hsa-miR-1249-3p"	2.48224182378198	4.22957576839487	6.67844687331578	0.00975856167618549	0.0159549489981806
"hsa-miR-1257"	4.71969248844809	2.02713945410763	4.77575384696957	0.0288632069394844	0.0430926871113311
"hsa-miR-125a-3p"	4.57978988496079	4.39950282856105	34.1362787705074	5.13842883796447e-09	1.71173910664691e-08
"hsa-miR-125a-5p"	4.61719806337955	12.4922975633255	50.441325740099	1.22781300020511e-12	7.11330792510132e-12
"hsa-miR-125b-1-3p"	13.2450267959688	10.4827626272725	154.773015816174	1.56962900216122e-35	1.19516036878848e-33
"hsa-miR-125b-2-3p"	5.57132513853715	6.34965210983284	44.2799219173125	2.84620503103288e-11	1.34250201906241e-10
"hsa-miR-125b-5p"	10.6638261978452	14.2762878424172	107.048681766111	4.34367351053792e-25	1.36186940065689e-23
"hsa-miR-126-3p"	1.5533312747843	5.69608759786709	2.38370223584924	0.12260667313852	0.158614943647649
"hsa-miR-126-5p"	-0.783434257728259	7.82528708219003	0.749679706950833	0.386577656390732	0.445023522367732
"hsa-miR-1260a"	0.612407248806981	4.07033304032248	1.23105142691428	0.267202657989402	0.324416894552053
"hsa-miR-1260b"	0.30996143039742	3.31043478696291	0.234120156134534	0.628485481753448	0.680859271899569
"hsa-miR-1262"	5.18813381075168	2.3420417567016	13.7070309931379	0.000213653121314531	0.000437988898694788
"hsa-miR-1269b"	3.48391364967762	1.4964487032034	3.01902072109474	0.0822931448060428	0.110484247308868
"hsa-miR-127-3p"	9.27357542370094	13.974170003507	114.0874945169	1.24683710436521e-26	4.74688697590471e-25
"hsa-miR-127-5p"	8.27470334892528	6.17556949455618	82.3500298495006	1.13999751928985e-19	1.51904669445372e-18
"hsa-miR-1271-5p"	0.256067092969717	7.39061644483442	0.0945428730800408	0.758479377115096	0.795806118114855
"hsa-miR-1273h-3p"	-9.47112113748132	4.48432397721523	164.720605802263	1.05279383320045e-37	1.14964686908187e-35
"hsa-miR-1277-5p"	-0.221356161572787	2.17494952183189	0.0193206956902685	0.889451014050454	0.911687289401715
"hsa-miR-128-1-5p"	-1.79782741812112	4.54560196190007	9.34478877173663	0.00223620425778044	0.00399965392415092
"hsa-miR-128-3p"	0.369258728159852	9.23325400421956	0.724087887827444	0.394806272713561	0.453516688267949
"hsa-miR-1285-3p"	3.56387380588991	3.865526059983	7.84621084819891	0.00509273362487051	0.00858995893055691
"hsa-miR-1293-3p"	5.95725707612266	2.87848171688847	13.560830422986	0.00023095489355901	0.000471643518264186
"hsa-miR-1296-5p"	5.12465010829579	5.13367481507916	43.5679002679599	4.09501260746791e-11	1.84969637269525e-10
"hsa-miR-1299"	-4.52119728777654	2.07637177172296	8.97154826054085	0.00274216130540714	0.00487190658594001
"hsa-miR-1301-3p"	1.1393252569952	5.12406802840587	3.65424358719861	0.055926544775352	0.0782384471529202
"hsa-miR-1304-3p"	1.17568632705463	6.03082150639365	3.02620080850037	0.0819296505432001	0.110273999342237
"hsa-miR-1306-3p"	1.73559992177358	1.83206530144308	1.91574126438826	0.166326901902266	0.211076758842637
"hsa-miR-1306-5p"	2.8774843380662	2.79837547598897	6.67003367748656	0.00980473357353664	0.0159814158859175
"hsa-miR-1307-3p"	0.29307717619181	7.30703651501919	0.563111242705347	0.453009384798024	0.509396628897356
"hsa-miR-1307-5p"	1.5792554584726	9.02392971604331	10.5630098758087	0.00115373180226677	0.00221999657259274
"hsa-miR-130a-3p"	5.48307461319095	10.1352239095926	62.8035607657043	2.28385569876619e-15	1.68530332296989e-14
"hsa-miR-130b-3p"	2.08574650942708	8.733437326755	15.79473769601	7.05985907145676e-05	0.000153587954493324
"hsa-miR-130b-5p"	3.95643382567377	7.3611212942841	36.5482530431686	1.48933383507856e-09	5.36361441957345e-09
"hsa-miR-132-3p"	0.971580934469641	6.41048346792817	3.43985602256206	0.0636412384429831	0.0876505945480878
"hsa-miR-132-5p"	2.24614398427099	3.97454808878385	14.6825924693769	0.00012721579955235	0.000265905965338833
"hsa-miR-134-3p"	4.73345470494653	2.06943960627352	7.71759094551312	0.00546853196975915	0.00919472410057296
"hsa-miR-134-5p"	10.3344374116176	6.85527303537726	123.4859809792	1.09154771358124e-28	5.81794931338802e-27
"hsa-miR-1343-3p"	3.81265594633597	3.28231142659605	10.3364961758486	0.00130425359162951	0.00247390449942537
"hsa-miR-135b-5p"	4.97609928756658	2.21622894463935	6.38846290096521	0.0114864450706695	0.0185523491595965
"hsa-miR-136-3p"	8.89338222595913	9.22658115678956	86.4046968462523	1.46636243003579e-20	2.23306050059737e-19
"hsa-miR-136-5p"	9.75415763588889	7.49468645965295	59.8245074743131	1.03703934070552e-14	7.27292063942158e-14
"hsa-miR-137"	8.5952490959225	5.17064900384598	44.7743708982543	2.21097814484094e-11	1.07131941018202e-10
"hsa-miR-138-1-3p"	2.36949810728744	2.8894502669528	3.58175509229705	0.0584174011822148	0.0810845698701055
"hsa-miR-138-5p"	3.61932950917864	9.02539504988925	8.80077400642457	0.00301102776516881	0.00526189442240976
