"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-3p"	0.0242708912193656	5.03028689149365	0.00176104682576295	0.966526736245599	0.980216916645678
"hsa-let-7a-5p"	-1.59766405896284	15.1809629756756	21.0878391695971	4.38703419428404e-06	2.90844118806238e-05
"hsa-let-7b-3p"	0.439234983651086	4.72989403522302	1.04042171891215	0.30772341153646	0.406512846236356
"hsa-let-7b-5p"	-0.0985441275338602	10.8897199156983	0.0685245365026077	0.79349729130706	0.860824334205841
"hsa-let-7c-5p"	1.19086455134587	4.07052452712723	3.93944004656657	0.0471664749756832	0.0861510104147683
"hsa-let-7d-3p"	-0.849100385941561	7.16220514667963	8.06621633997358	0.00450981906974135	0.0116715361117617
"hsa-let-7d-5p"	-0.988855435555928	10.3455013437382	6.42342875780216	0.0112624508518363	0.02601262841908
"hsa-let-7e-5p"	-0.64926172592778	7.1223037247987	0.401984868763456	0.526065964316076	0.642770017833294
"hsa-let-7f-1-3p"	-0.0641099487390162	3.3163255157834	0.0247145727177744	0.875080378564174	0.918706086586435
"hsa-let-7f-2-3p"	0.181694459707331	3.73350092454444	0.0821149968257515	0.774451432810213	0.857350576975342
"hsa-let-7f-5p"	-0.655325219484296	15.209837771167	3.68517970562789	0.0548980553945614	0.0972945734220444
"hsa-let-7g-3p"	0.50864837528691	5.34200191781462	1.46356202051348	0.226364215364007	0.31904877598549
"hsa-let-7g-5p"	0.378887733146992	15.0216942914522	1.4141722728906	0.234365005175645	0.327744811925317
"hsa-let-7i-3p"	-1.01248546381477	7.84562588195551	10.5880565171325	0.00113820564354414	0.0035432836555548
"hsa-let-7i-5p"	-0.811682753013844	13.305807372253	5.84637851950018	0.0156091410446162	0.0349254530873288
"hsa-miR-100-5p"	1.87673580409928	6.78821471408166	4.03812289732354	0.0444832740778308	0.0825130161650955
"hsa-miR-101-3p"	0.34863805756628	13.9798290261194	0.309399644980147	0.57804882099297	0.681638401336269
"hsa-miR-101-5p"	1.15830016386018	5.48168396924969	4.46373806141399	0.0346216544982048	0.0664208405093684
"hsa-miR-103a-3p"	-0.268474792780052	12.1342677333076	0.574868085673884	0.448330927424446	0.55924206278032
"hsa-miR-106a-5p"	-0.926942149497906	4.3756417620851	3.24869037198536	0.0714805495343781	0.121857317777654
"hsa-miR-106b-3p"	-1.18066989618446	9.27169128695152	9.71521870851403	0.00182748330771042	0.0051514883792152
"hsa-miR-106b-5p"	0.0467172567729571	8.44340177196991	0.00880504722869091	0.925240059025255	0.954399268613555
"hsa-miR-107"	0.544358103624443	3.68422188984619	1.34636662560124	0.245914313934642	0.341229939490704
"hsa-miR-10a-5p"	-0.337671051516635	11.4889247614767	0.32837050880363	0.566620170521151	0.673920335702897
"hsa-miR-10b-5p"	-2.5134223662851	6.16840366665854	9.02891180164603	0.00265742630415657	0.0072622795182294
"hsa-miR-122-5p"	-7.36154993582123	4.1272428404333	37.3635268411069	9.80385343237302e-10	1.25349268885341e-08
"hsa-miR-1248"	-0.767478508445121	3.87041392917269	1.14138823673041	0.285359177139398	0.381188751551883
