"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-3p"	-0.00816260985907514	4.99772320408208	0.00022007705029381	0.988163821385488	0.990764252494397
"hsa-let-7a-5p"	-1.27197438502314	15.1595242943712	16.2280067491001	5.61577325223205e-05	0.000274308924243643
"hsa-let-7b-3p"	0.469292117005993	4.78033081322285	1.3899121875813	0.23841992960077	0.332739901750525
"hsa-let-7b-5p"	0.0542957779820679	10.9757272274137	0.0228406113246216	0.879872294950756	0.914031107498067
"hsa-let-7c-5p"	1.26471683845814	4.19832834294195	6.30179330595883	0.0120615893427686	0.028543264221086
"hsa-let-7d-3p"	-0.836719451214554	7.07845459190448	8.04277924989125	0.00456853903163987	0.011840907286087
"hsa-let-7d-5p"	-0.863492206646635	10.3050431947422	6.49379701229604	0.0108251521410768	0.0259395155078633
"hsa-let-7e-5p"	-0.76216318611252	6.98388817360885	0.747444570976061	0.387286502706674	0.496822079229774
"hsa-let-7f-1-3p"	-0.00698251898979273	3.33665742933852	0.000343967557462577	0.98520299208604	0.990401952466441
"hsa-let-7f-2-3p"	0.310858333173822	3.81861682125759	0.281607284380028	0.595649675694366	0.689794913190132
"hsa-let-7f-5p"	-0.327270908000895	15.3367444940895	1.13478559798023	0.286756859400297	0.390194155112547
"hsa-let-7g-3p"	0.483129364314699	5.35165833820732	1.45632607056431	0.227515587162626	0.322243266576061
"hsa-let-7g-5p"	0.521475332864009	15.1521270156593	3.29039525890317	0.0696862448641016	0.122918793024179
"hsa-let-7i-3p"	-1.12712794743315	7.67902289958779	9.20985986036369	0.0024071511923847	0.00700095117785169
"hsa-let-7i-5p"	-0.723608520941632	13.2662011801214	6.23233187548412	0.0125438445016316	0.029501263920504
"hsa-miR-1-3p"	2.72042830268868	1.73404885747211	2.46681486958041	0.116273332513891	0.187712456304205
"hsa-miR-100-5p"	1.80426581101268	6.85569887443406	3.61062620854727	0.057411498068444	0.107224415510182
"hsa-miR-101-3p"	0.590217557201342	14.1810559256318	1.18277273839396	0.276792243209476	0.379344764974137
"hsa-miR-101-5p"	1.17579023959884	5.57194959630081	6.5454341091269	0.0105153667222985	0.0253566754506058
"hsa-miR-103a-3p"	0.0597097409207465	12.3201729065367	0.0321605129455804	0.857675824918312	0.902439095158299
"hsa-miR-106a-5p"	-0.150838739161266	4.72054743747952	0.0792468431713633	0.778320671598234	0.842443681474225
"hsa-miR-106b-3p"	-1.04599443115864	9.21405612295994	9.97214902041373	0.00158925887890065	0.00508829943580797
"hsa-miR-106b-5p"	0.142292988177082	8.50402625702449	0.107828654458793	0.742629853832906	0.817751370839125
"hsa-miR-107"	0.90572991653274	3.96147626124329	4.36079299862049	0.0367751826030331	0.0718530490859263
"hsa-miR-10a-5p"	0.386061531609691	11.9436501108939	0.395270930752645	0.529541707467651	0.632462039326568
"hsa-miR-10b-5p"	-1.89025117682191	6.13662012522304	5.89238304438107	0.0152065090332906	0.0349016863956852
"hsa-miR-122-5p"	-7.59888267924197	3.79294636171066	51.3592293799844	7.6919526629482e-13	1.62812998032404e-11
"hsa-miR-1248"	-0.626308132038132	3.87155064984761	1.0296867991895	0.310232240879262	0.413281411800695
"hsa-miR-1249-3p"	1.39114730384746	3.15157389638026	5.67008123625471	0.0172566569241153	0.03890406087626
"hsa-miR-1255a"	-0.884251819497732	2.36095753205336	0.64106605063462	0.423325028264543	0.530548801871022
"hsa-miR-125a-3p"	1.95733229876865	2.30036746458753	4.65690168889894	0.0309289542957276	0.0633544708960873
"hsa-miR-125a-5p"	4.29497033378068	12.1894294656049	39.5927892686629	3.12836258394175e-10	4.96627560200752e-09
"hsa-miR-125b-2-3p"	1.35458496214617	2.48399055550218	2.66613567923352	0.102504635159112	0.17054264626909
"hsa-miR-125b-5p"	3.54485311744994	6.82916505196282	25.0664776602655	5.5387415436293e-07	4.90758262354131e-06
"hsa-miR-126-3p"	-0.424888901929834	3.84880314498077	0.524723571560358	0.468833666574797	0.576211699887089
"hsa-miR-126-5p"	-2.55838108838515	6.65072703696155	10.3302287447379	0.00130868986062877	0.00422551556694543
"hsa-miR-1260a"	1.84001556993275	4.81146289176992	28.6391677911058	8.72004149646883e-08	8.97928597339088e-07
"hsa-miR-1260b"	0.901855172132498	3.41735294305738	3.25456645091552	0.0712247702368558	0.124479988349734
"hsa-miR-127-3p"	-1.90558583913398	3.88448578727191	18.2455709402602	1.94176932407021e-05	0.000104199170770528
"hsa-miR-1271-5p"	0.279283115253726	6.98017566328455	0.309083199551536	0.578243316313558	0.67579970403517
"hsa-miR-1273h-3p"	-1.83054653804515	5.18975995733763	24.1031363046177	9.13114578215759e-07	7.24784696458759e-06
"hsa-miR-128-1-5p"	-3.03630960083178	4.55947959520716	20.5484662970257	5.81403546097008e-06	3.63138936168787e-05
"hsa-miR-128-3p"	0.799955801819436	9.27136008003271	8.80962294377534	0.00299645951116901	0.00821331707737693
"hsa-miR-1285-3p"	3.2505199292678	3.34549803885475	7.92521004577366	0.00487506851447792	0.0124657792215845
"hsa-miR-1287-5p"	1.67895645881267	2.65646333562496	6.30724245123076	0.0120245721026676	0.028543264221086
"hsa-miR-1291"	1.28884840545451	2.59676854070384	4.57879457252904	0.0323699785852412	0.06560086085626
"hsa-miR-1294"	-0.602619249039128	2.42308823378247	0.740214027731161	0.389592326031028	0.49810294032826
"hsa-miR-1299"	-5.97715661259847	2.34178680995706	14.8015724364961	0.000119435871634212	0.000511292888681289
"hsa-miR-1301-3p"	0.70135010919281	4.66887513208326	3.52377269195851	0.0604945977287127	0.111345129152848
"hsa-miR-1304-3p"	-1.69833532872579	4.27175243863345	12.9642711536651	0.000317492034905788	0.00126004651353235
"hsa-miR-1306-5p"	2.82812533874243	2.55847841511823	13.6556804279329	0.000219576042390163	0.000919323869787384
"hsa-miR-1307-3p"	0.0395958597544304	7.08531103101518	0.0105764097414411	0.918088630182747	0.93777953914109
"hsa-miR-1307-5p"	1.15592787505596	8.28511165557013	3.43474859198616	0.0638383005751343	0.115957073449905
"hsa-miR-130a-3p"	-0.255180596005586	4.64286824187678	0.335234839257058	0.562592762977348	0.665260781977506
"hsa-miR-130b-3p"	0.303137269327538	6.9862288514149	0.747946760247592	0.387127078221127	0.496822079229774
"hsa-miR-130b-5p"	1.43536804843021	4.80531891535462	9.76866283513352	0.00177511509763507	0.00545418429192711
"hsa-miR-132-3p"	-0.144476135080843	5.76385306209021	0.0619108273902444	0.803500898080303	0.864784864883039
"hsa-miR-132-5p"	1.7021212889046	3.36695480320393	9.66378906045176	0.00187935598107248	0.00559402053741105
"hsa-miR-133a-3p"	0.849096962595994	2.49450178476681	0.629035160389849	0.427709444373407	0.532358746643436
"hsa-miR-138-5p"	-5.58312821592657	3.98269331064676	112.921199320191	2.24523132653985e-26	1.0692914192646e-24
"hsa-miR-140-3p"	0.180774614188691	12.6414748053335	0.456428439695706	0.499297894155005	0.603912691025578
"hsa-miR-140-5p"	0.605792382313903	6.68068058714059	1.99608803841382	0.157705774462837	0.238436111390242
"hsa-miR-141-3p"	-1.64798378215038	9.44437385507124	15.2964085308829	9.18910529735644e-05	0.000419901429949645
