"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	-6.92101361274862	3.6505632444569	32.6807935902796	1.08605092687342e-08	3.69548872432766e-08
"hsa-let-7a-3p"	-2.10562842491083	6.8121190257841	11.9372545976441	0.0005502250098358	0.00101441483631546
"hsa-let-7a-5p"	0.0320258190064743	15.3999944600832	0.0116483052945568	0.914053349542988	0.92685009643659
"hsa-let-7b-3p"	-2.15050413306133	6.8599694434778	28.5391252343278	9.18241035605498e-08	2.85612395737416e-07
"hsa-let-7b-5p"	-0.947247803374726	12.1851200942938	5.75338767115124	0.0164568917130981	0.0238389831386879
"hsa-let-7c-3p"	-6.3508295982584	3.18028493276589	25.1632716871742	5.26758921731136e-07	1.45144985498742e-06
"hsa-let-7c-5p"	-6.03333953988	10.4143047440324	93.9069853786472	3.30704954965004e-22	3.72594249260572e-21
"hsa-let-7d-3p"	-0.763065161626682	7.53237573006431	5.11876133600827	0.0236685053269005	0.0336132554642536
"hsa-let-7d-5p"	-0.0262859026438472	10.4121287914744	0.00853966900792535	0.926372032751641	0.933738808360004
"hsa-let-7e-3p"	-4.71953748114365	4.63259416322309	44.8006307703486	2.18152407679046e-11	1.03367542703997e-10
"hsa-let-7e-5p"	-5.60886253885716	11.5216032763854	154.524140006087	1.77903619988339e-35	3.92161457974295e-34
"hsa-let-7f-1-3p"	-1.86711938353464	5.03777764965845	20.6304564701677	5.57028905286125e-06	1.29547548155993e-05
"hsa-let-7f-2-3p"	-1.05502375622428	5.10911540110536	3.10260659881985	0.0781670455854227	0.0994851821785328
"hsa-let-7f-5p"	1.32109431580286	15.177978439114	25.8632038828281	3.6648912268996e-07	1.06177134402177e-06
"hsa-let-7g-3p"	2.15113657735845	4.35110481913295	24.2929250795585	8.27424169534615e-07	2.16239203069098e-06
"hsa-let-7g-5p"	3.45405136556603	14.144692509335	146.471166595361	1.02409021596577e-33	2.16339058122769e-32
"hsa-let-7i-3p"	1.11217107660355	6.1567479797083	8.75859263564749	0.00308146746807799	0.00503969034295335
"hsa-let-7i-5p"	-0.670964348702233	13.8942357853824	4.6903728001401	0.0303320658158286	0.0417890145886552
"hsa-miR-1-3p"	6.12349745899133	1.8930370838858	35.0126425750761	3.27571559612786e-09	1.17786369307576e-08
"hsa-miR-100-3p"	-11.0504156520092	7.55716916997155	160.052989533948	1.1017188329082e-36	2.53896112856571e-35
"hsa-miR-100-5p"	-10.2811439191802	16.6738238842881	66.5832900372528	3.35417417768478e-16	2.39516381420589e-15
"hsa-miR-101-3p"	4.10202278665873	13.3146573047974	181.569541401219	2.20157653980281e-41	6.20110725377791e-40
"hsa-miR-101-5p"	2.9074061650876	4.62569245742343	56.1627721488654	6.6712819182229e-14	3.97922345004589e-13
"hsa-miR-103a-3p"	0.803223119498252	12.5819543594825	9.22202651282997	0.00239120725877963	0.00404114026733758
"hsa-miR-106a-5p"	8.07827997022607	4.02374496738991	143.673887051909	4.18688533821039e-33	8.16442640951026e-32
