"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	0.907424033907672	4.25982017714406	3.78307789712647	0.0517733417123212	0.0991868230699206
"hsa-let-7a-3p"	-0.0679500253028863	6.81727040316561	0.0348173234048552	0.851978966034631	0.904110996128551
"hsa-let-7a-5p"	0.886310262219108	15.7179968605305	9.23693864145321	0.0023718115519055	0.00696241455559358
"hsa-let-7b-3p"	0.683206603931166	7.32939021443369	8.62739970551126	0.00331143921518806	0.0091391773316311
"hsa-let-7b-5p"	0.841922417901218	12.6554679764331	7.16723772260966	0.0074247013822531	0.0186815067037336
"hsa-let-7c-3p"	-1.85236605049967	2.70041670045465	14.846869528168	0.000116601437169391	0.000475107348466326
"hsa-let-7c-5p"	-0.544110950593676	10.2822095726595	1.3622144036909	0.243154074522642	0.364381338903476
"hsa-let-7d-3p"	-0.0133742871724779	7.41916148711706	0.0027347195891938	0.958293998669643	0.970848382361984
"hsa-let-7d-5p"	0.0490471467516375	10.2006580664153	0.0394709510444073	0.842518565319547	0.896715666012618
"hsa-let-7e-3p"	-0.524465499293163	4.4897254702936	2.65461559191831	0.103249714347397	0.180687000107945
"hsa-let-7e-5p"	0.158880669032415	11.7753855922286	0.345204730837938	0.556840249040634	0.675632835502636
"hsa-let-7f-1-3p"	-0.342267180309727	4.8929204561537	1.41645990043584	0.233986966031857	0.354880231814983
"hsa-let-7f-2-3p"	-0.262036886812993	4.90779103368555	0.187838557100687	0.664721689039265	0.77220860045838
"hsa-let-7f-5p"	0.554140538532733	14.8105497275471	4.95538597640714	0.0260095181322192	0.0548308760625162
"hsa-let-7g-3p"	-0.137113134460627	3.28417102197663	0.090423246549669	0.763639773324502	0.842317810576117
"hsa-let-7g-5p"	0.177021355580789	12.2019154951927	0.494530356095311	0.481913346294065	0.602115988733546
"hsa-let-7i-3p"	0.654038930389151	5.93275120051507	6.72548244306375	0.00950450188471146	0.0230642579068998
"hsa-let-7i-5p"	0.752149295918363	14.2664724532233	10.0094255064578	0.00155741096282762	0.00477722688597685
"hsa-miR-100-3p"	0.995854262165342	8.36389548783253	7.43943186927155	0.0063810030563416	0.0165902762623081
"hsa-miR-100-5p"	1.35375784089771	17.7979714014347	9.0011813308929	0.00269805147598831	0.00767258388484174
"hsa-miR-101-3p"	-0.283903156873754	10.5826509897035	1.06246521722114	0.302653598807482	0.426999651030711
"hsa-miR-101-5p"	-1.70364940335559	2.66871029680979	12.2171713447963	0.000473516686519578	0.00163632981544107
"hsa-miR-103a-3p"	-0.184081506634395	11.9878483225801	0.765613856127359	0.381577370580143	0.510640304746956
"hsa-miR-106b-3p"	0.0761662425837257	7.63546689696411	0.048567584817313	0.825574795451317	0.892601660032513
"hsa-miR-106b-5p"	-0.607507202809002	7.75140070564807	3.02509020280162	0.0819857618494723	0.148718358703694
"hsa-miR-107"	1.973749030911	6.63058802904186	14.9944747321314	0.000107826422459944	0.0004426558395724
