"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-3p"	0.0118517580329143	5.3720444611337	0.00047382784248029	0.982633349908887	0.985096090134223
"hsa-let-7a-5p"	0.239439432728726	14.602017787705	0.450160036710031	0.502258965281216	0.56433591604631
"hsa-let-7b-3p"	0.639710630919954	5.03521374418991	1.67366955959816	0.195767747267638	0.24394734862011
"hsa-let-7b-5p"	0.444692087353084	11.0746629676662	1.15904391144942	0.281663913049088	0.337322051555794
"hsa-let-7c-5p"	-0.715087520859368	4.9895982533976	1.08242573230223	0.298155536274093	0.353893811601298
"hsa-let-7d-3p"	-1.31270871933639	7.6897605450885	15.9885450727068	6.37269060605496e-05	0.000155431478196462
"hsa-let-7d-5p"	-0.837501003711533	10.5549171599945	5.95248575533996	0.0146965480307441	0.0232356490604649
"hsa-let-7e-3p"	-3.96186371562194	2.83742784055268	24.0237841216753	9.51530115658988e-07	3.62487663108186e-06
"hsa-let-7e-5p"	-4.08645047805347	9.84406043111601	77.8912973611896	1.08869989962854e-18	2.29199978869166e-17
"hsa-let-7f-1-3p"	-1.09496001026498	4.00996013287296	5.34185675330429	0.0208192866105893	0.0317851703978463
"hsa-let-7f-2-3p"	-0.0791195033125296	4.136912273279	0.0112518259637113	0.915523144249276	0.938998096665924
"hsa-let-7f-5p"	0.386927268585215	15.1456495553647	1.38167753788076	0.239815608199784	0.292049900663542
"hsa-let-7g-3p"	2.36737732889329	5.4039660088313	18.4589567014021	1.73602992120586e-05	5.03197078610395e-05
"hsa-let-7g-5p"	2.55893311293938	15.0432861527074	39.3197263381635	3.59788070010843e-10	2.71538166045919e-09
"hsa-let-7i-3p"	1.9786318891919	7.29569025050616	16.193873664154	5.7178734415532e-05	0.000141182060285264
"hsa-let-7i-5p"	-0.274742562819091	13.3750085642235	0.908331285787526	0.340557565702148	0.391445477818561
"hsa-miR-100-5p"	0.892935412297212	7.42294205158384	1.01287448755873	0.314215184269445	0.368580861313132
"hsa-miR-101-3p"	3.40083564765006	13.937141042849	25.5644601920912	4.27847606894983e-07	1.80146360797888e-06
"hsa-miR-101-5p"	2.83868684934577	5.68226480080655	18.2732957290557	1.91371156484306e-05	5.42442217158981e-05
"hsa-miR-103a-3p"	-0.427232781112818	12.5289292614451	2.03279447241176	0.153937337541584	0.199748036057401
"hsa-miR-106a-5p"	2.92937475516146	3.80508468495576	12.3657381341209	0.000437284649376956	0.000894976307626337
"hsa-miR-106b-3p"	2.60092436958843	8.56544357393834	45.7993341659543	1.31008063206176e-11	1.16451611738823e-10
"hsa-miR-106b-5p"	1.70114295511566	8.43449011662124	15.2948667912036	9.19660824330435e-05	0.000216390782195396
"hsa-miR-107"	-1.05632604040413	4.56116565508301	5.00110641095957	0.0253311206852786	0.0378076428138486
"hsa-miR-10a-5p"	1.94058638833244	11.280690806788	6.34976796566556	0.0117396651779973	0.0189349438354795
"hsa-miR-10b-5p"	1.04007286071051	4.77249010215399	1.41294043389343	0.234568877190901	0.286934406349726
"hsa-miR-1226-3p"	-2.71606795554518	3.63070808358914	14.2012084609686	0.000164264985084542	0.000365033300187871
"hsa-miR-1228-3p"	-7.48620806243612	3.25253072051165	70.7020819876751	4.15453797979187e-17	6.92422996631979e-16
"hsa-miR-1228-5p"	-5.25516835058848	1.8480239637604	15.693939402045	7.44623825381115e-05	0.000179596087959921
"hsa-miR-1237-3p"	-1.71224095383876	2.05218659591214	3.3003338373489	0.0692658047694996	0.0953182055368458
"hsa-miR-1248"	1.38779241483422	3.5321404538108	3.78184986388559	0.0518113502542684	0.0735717089288188
"hsa-miR-1249-3p"	-4.27701795980629	6.10934087842603	67.6079185249948	1.99464863475347e-16	3.06869020731304e-15
"hsa-miR-125a-3p"	-0.988365205911731	3.0838781705493	2.40074366239159	0.121277585330187	0.160632563351241
"hsa-miR-125a-5p"	0.0187587858826409	13.1352883562131	0.00178138341152589	0.966334130326361	0.975001085794619
"hsa-miR-125b-2-3p"	0.254611892724864	2.93107747967989	0.100776553470871	0.750899722236053	0.796710580621807
"hsa-miR-125b-5p"	2.7634965005602	7.21625822867794	11.3366922485158	0.000759905554170708	0.00151224985904618
"hsa-miR-126-3p"	-0.200093432074136	3.97217448092452	0.101903527608886	0.749557175026468	0.796710580621807
"hsa-miR-126-5p"	0.874316644938362	5.6221982491216	1.13909600977653	0.285843426247662	0.341305583579297
"hsa-miR-1260a"	0.579542721784229	5.13887741772427	1.37935500905623	0.240211043295764	0.292049900663542
"hsa-miR-1260b"	-0.58884754176548	3.7374525123393	1.04885635476467	0.30577062570145	0.359730147884059
"hsa-miR-127-3p"	-0.131774647354064	3.55934874809949	0.0593748656474098	0.807486732685088	0.836773816253977
"hsa-miR-1271-5p"	1.21295187242916	6.9272216659359	9.3235326922345	0.00226229406660792	0.00414227111894695
"hsa-miR-1273h-3p"	1.62806143080573	4.22622066160817	5.41760705331273	0.0199346631230146	0.0305512078513634
"hsa-miR-128-1-5p"	-0.628870905605161	3.70073329874719	1.93932139781936	0.16374223460953	0.20992594180709
"hsa-miR-128-3p"	0.487856083205703	9.45364901793852	2.23988496406141	0.134490985391473	0.176961822883517
"hsa-miR-1285-3p"	-1.36378241470093	3.98523160017666	5.59237644246297	0.0180388069877239	0.0278591613710021
"hsa-miR-1287-5p"	5.83358635178603	2.58244549376332	23.0377318397283	1.58852925795768e-06	5.72442975840606e-06
"hsa-miR-1296-5p"	-3.07546890907691	3.47499400994404	32.4869455221278	1.19995879792257e-08	6.95628288650764e-08
"hsa-miR-1301-3p"	-3.17304661151339	6.84467696251298	74.8065933949237	5.1916034647081e-18	9.439279026742e-17
"hsa-miR-1303"	-5.85685836986273	3.14980580071781	19.3761103736318	1.07341479661596e-05	3.25277211095744e-05
"hsa-miR-1304-3p"	-1.53345195768483	4.28177122734408	13.425509857625	0.000248225543574553	0.00053381837327861
"hsa-miR-1306-5p"	-0.211363948530176	3.21444233837488	0.185384998383651	0.66678572580562	0.726741935482965
"hsa-miR-1307-3p"	-1.33606584999413	7.87423661702416	16.2344017072165	5.59684931958978e-05	0.000139052157008442
"hsa-miR-1307-5p"	-0.181025264228618	8.76835575801742	0.0613121784908373	0.804433881488323	0.83577546128657
"hsa-miR-130a-3p"	-1.51245126384019	4.85209059704278	15.6393681648732	7.6642251838421e-05	0.00018248155199624
"hsa-miR-130b-3p"	-1.02296483654309	7.38909234710155	7.96569998880998	0.00476720517903208	0.00836351785795102
"hsa-miR-130b-5p"	-1.40040359778808	5.40024184878038	16.4657649647115	4.95365314725646e-05	0.000125408940436873
"hsa-miR-132-3p"	-1.63391204055074	6.77012537059065	21.1774254207161	4.18666921276871e-06	1.39555640425624e-05
"hsa-miR-132-5p"	-1.25960727313726	4.32075088884698	5.67594258996979	0.017199096698379	0.0267690220986443
"hsa-miR-133a-3p"	-4.9889202554361	3.77880883165553	19.1992741329116	1.17758159466335e-05	3.5415987809424e-05
"hsa-miR-1343-3p"	-3.36227643689208	2.37805687578257	18.9196904962574	1.36338165258611e-05	4.06979597786898e-05
"hsa-miR-139-5p"	-4.01056472275562	3.18221934495228	38.0220023569204	6.99513210513127e-10	4.82422903802157e-09
"hsa-miR-140-3p"	1.46456263182262	12.5325754864202	17.5689489493614	2.770758675167e-05	7.53947938820952e-05
"hsa-miR-140-5p"	1.19610008565603	6.87425879564497	6.84724423216242	0.00887781059056546	0.01485826040262
"hsa-miR-141-3p"	4.06569858941931	8.42395242630787	47.0621705034026	6.87702959826473e-12	6.54955199834736e-11
"hsa-miR-142-3p"	3.53209697768418	12.5988082759187	28.6506878943266	8.66831939450325e-08	4.33415969725163e-07
"hsa-miR-142-5p"	3.18756465384639	15.8709463055044	27.7950391286568	1.34871502296858e-07	6.13052283167535e-07
"hsa-miR-143-3p"	-2.06715814032805	5.60164713914101	16.7563696361868	4.24993528599666e-05	0.000111629828755468
