"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-3p"	0	4.83510165288339	0	1	1
"hsa-let-7a-5p"	0	15.2103174094597	0	1	1
"hsa-let-7b-3p"	0	4.87607234294753	0	1	1
"hsa-let-7b-5p"	0	11.2203824234651	0	1	1
"hsa-let-7c-5p"	0	4.65865057645865	0	1	1
"hsa-let-7d-3p"	0	6.69851122404437	0	1	1
"hsa-let-7d-5p"	0	10.1743837126207	0	1	1
"hsa-let-7e-5p"	0	6.13375236176741	0	1	1
"hsa-let-7f-1-3p"	0	3.42119214954309	0	1	1
"hsa-let-7f-2-3p"	0	4.08023561497837	0	1	1
"hsa-let-7f-5p"	0	15.8198784464473	0	1	1
"hsa-let-7g-3p"	0	5.34537722884669	0	1	1
"hsa-let-7g-5p"	0	15.5729231969279	0	1	1
"hsa-let-7i-3p"	0	6.67701596515691	0	1	1
"hsa-let-7i-5p"	0	13.1402191489359	0	1	1
"hsa-miR-1-3p"	0	3.12343786363243	0	1	1
"hsa-miR-100-5p"	0	6.73348217369644	0	1	1
"hsa-miR-101-3p"	0	14.8650035675918	0	1	1
"hsa-miR-101-5p"	0	5.87697596461671	0	1	1
"hsa-miR-103a-3p"	0	12.9130967927826	0	1	1
"hsa-miR-106a-5p"	0	5.68591008453458	0	1	1
"hsa-miR-106b-3p"	0	9.01780845179651	0	1	1
"hsa-miR-106b-5p"	0	8.69984159380997	0	1	1
"hsa-miR-107"	0	4.72612038783602	0	1	1
"hsa-miR-10a-5p"	0	13.1280776021973	0	1	1
"hsa-miR-10b-5p"	0	6.2131056713323	0	1	1
"hsa-miR-1248"	0	3.8504962099644	0	1	1
"hsa-miR-1249-3p"	0	3.73395091798641	0	1	1
"hsa-miR-1255a"	0	2.63527959228523	0	1	1
"hsa-miR-125a-5p"	0	12.2626842262401	0	1	1
"hsa-miR-125b-5p"	0	7.22246146595143	0	1	1
"hsa-miR-126-3p"	0	3.91027376459122	0	1	1
"hsa-miR-126-5p"	0	4.75377542965608	0	1	1
"hsa-miR-1260a"	0	5.46356535562571	0	1	1
"hsa-miR-1260b"	0	4.2289744417988	0	1	1
"hsa-miR-1271-5p"	0	7.36267975340358	0	1	1
"hsa-miR-1273h-3p"	0	4.65290711612097	0	1	1
"hsa-miR-128-3p"	0	9.89533175289512	0	1	1
"hsa-miR-1285-3p"	0	4.48790574690599	0	1	1
"hsa-miR-1291"	0	3.26236569897022	0	1	1
"hsa-miR-1294"	0	3.16906958695035	0	1	1
"hsa-miR-1301-3p"	0	5.06418547348304	0	1	1
"hsa-miR-1304-3p"	0	4.15776589540553	0	1	1
"hsa-miR-1307-3p"	0	7.35644664489476	0	1	1
"hsa-miR-1307-5p"	0	8.95628538385699	0	1	1
"hsa-miR-130a-3p"	0	5.54744447223658	0	1	1
"hsa-miR-130b-3p"	0	7.80656138178345	0	1	1
"hsa-miR-130b-5p"	0	6.00080124281865	0	1	1
"hsa-miR-132-3p"	0	5.69850742544285	0	1	1
"hsa-miR-132-5p"	0	3.86000277821477	0	1	1
"hsa-miR-133a-3p"	0	3.9307088034173	0	1	1
"hsa-miR-140-3p"	0	13.0307596991919	0	1	1
"hsa-miR-140-5p"	0	6.77520349429575	0	1	1
"hsa-miR-141-3p"	0	8.98637088604497	0	1	1
"hsa-miR-142-3p"	0	13.1337996485145	0	1	1
"hsa-miR-142-5p"	0	16.2934242042841	0	1	1
"hsa-miR-143-3p"	0	5.34147887867778	0	1	1
"hsa-miR-1468-5p"	0	5.48474885229576	0	1	1
"hsa-miR-146a-3p"	0	3.42828824287438	0	1	1
"hsa-miR-146a-5p"	0	13.4987673280744	0	1	1
"hsa-miR-146b-3p"	0	9.64758230176712	0	1	1
"hsa-miR-146b-5p"	0	15.4162567774723	0	1	1
"hsa-miR-148a-3p"	0	12.3764218194883	0	1	1
"hsa-miR-148a-5p"	0	5.04249674490029	0	1	1
"hsa-miR-148b-3p"	0	10.5187315436871	0	1	1
"hsa-miR-148b-5p"	0	6.34656116483258	0	1	1
"hsa-miR-150-3p"	0	7.83826805539512	0	1	1
"hsa-miR-150-5p"	0	16.8137036772655	0	1	1
"hsa-miR-151a-3p"	0	9.28051745294465	0	1	1
"hsa-miR-151a-5p"	0	9.53602201093837	0	1	1
"hsa-miR-151b"	0	3.5004638579297	0	1	1
"hsa-miR-152-3p"	0	8.05039987644913	0	1	1
"hsa-miR-152-5p"	0	3.14206092875277	0	1	1
"hsa-miR-153-3p"	0	3.52924022255956	0	1	1
"hsa-miR-155-5p"	0	10.0109238372322	0	1	1
"hsa-miR-15a-5p"	0	11.4390253001017	0	1	1
"hsa-miR-15b-3p"	0	6.0618996292179	0	1	1
"hsa-miR-15b-5p"	0	9.09668690947653	0	1	1
"hsa-miR-16-2-3p"	0	7.84483383173683	0	1	1
"hsa-miR-16-5p"	0	13.3231837919245	0	1	1
"hsa-miR-17-3p"	0	8.16777778409365	0	1	1
"hsa-miR-17-5p"	0	7.92807655831984	0	1	1
"hsa-miR-181a-2-3p"	0	11.1498555625002	0	1	1
"hsa-miR-181a-3p"	0	9.23908583977033	0	1	1
"hsa-miR-181a-5p"	0	16.1569041283157	0	1	1
"hsa-miR-181b-2-3p"	0	3.87025035649588	0	1	1
"hsa-miR-181b-5p"	0	11.7881875725852	0	1	1
"hsa-miR-181c-3p"	0	6.92624162394749	0	1	1
"hsa-miR-181c-5p"	0	11.0489900787802	0	1	1
"hsa-miR-181d-5p"	0	6.28845442165601	0	1	1
"hsa-miR-182-5p"	0	4.46049113155629	0	1	1
"hsa-miR-185-3p"	0	3.8021036978267	0	1	1
"hsa-miR-185-5p"	0	7.75766394146591	0	1	1
"hsa-miR-186-5p"	0	14.3209618477163	0	1	1
"hsa-miR-18a-3p"	0	3.33344826949821	0	1	1
"hsa-miR-18a-5p"	0	4.71912310924071	0	1	1
"hsa-miR-190b"	0	3.6176321581492	0	1	1
"hsa-miR-191-3p"	0	3.56091976400578	0	1	1
"hsa-miR-191-5p"	0	14.2757386484515	0	1	1
"hsa-miR-192-5p"	0	13.1383142762794	0	1	1
"hsa-miR-193a-3p"	0	3.09636352760333	0	1	1
"hsa-miR-193a-5p"	0	3.33632609457001	0	1	1
"hsa-miR-193b-3p"	0	3.91168921581526	0	1	1
"hsa-miR-194-5p"	0	6.88914054685141	0	1	1
"hsa-miR-195-5p"	0	4.17199593931573	0	1	1
"hsa-miR-196a-5p"	0	4.29937445068256	0	1	1
"hsa-miR-196b-5p"	0	5.45688442192629	0	1	1
"hsa-miR-197-3p"	0	10.500759812372	0	1	1
"hsa-miR-1976"	0	4.06723728759533	0	1	1
"hsa-miR-199a-3p"	0	6.01959817703759	0	1	1
"hsa-miR-199b-3p"	0	4.8961354299055	0	1	1
"hsa-miR-199b-5p"	0	6.00761439093483	0	1	1
"hsa-miR-19a-3p"	0	8.37977946327274	0	1	1
"hsa-miR-19b-3p"	0	10.6074915131598	0	1	1
"hsa-miR-200a-3p"	0	3.80274296011064	0	1	1
"hsa-miR-200b-3p"	0	5.46232321650152	0	1	1
"hsa-miR-200c-3p"	0	4.81839110214837	0	1	1
"hsa-miR-203a-3p"	0	3.19865039812813	0	1	1
"hsa-miR-20a-5p"	0	8.89453605583295	0	1	1
