"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-3p"	1.29305490271732	5.07442181673579	5.58715440289243	0.0180926651428706	0.02703735352811
"hsa-let-7a-5p"	0.641283132656435	14.514921471081	4.83104684029536	0.0279516537161035	0.0404083689591496
"hsa-let-7b-3p"	-0.103183172645816	5.2685838911445	0.0568246498466412	0.811586987339959	0.843289604032926
"hsa-let-7b-5p"	0.865250735410642	10.9954192015006	4.69775495150046	0.0302020441040214	0.0433475381205199
"hsa-let-7c-5p"	2.13344440978354	4.29970638337217	9.43963668680959	0.00212345555325189	0.00383375007125567
"hsa-let-7d-3p"	-0.821226085206534	7.46199778339644	7.93880844530436	0.00483856846767465	0.00832150352845769
"hsa-let-7d-5p"	0.0496744817537378	10.2245571184626	0.0275027739010092	0.868283179001499	0.888956430926582
"hsa-let-7e-5p"	0.150212456289732	7.16876590273805	0.111577527071076	0.738355242161971	0.783763521083799
"hsa-let-7f-1-3p"	0.278789855822227	3.5140489585616	0.442645534891422	0.505848324499844	0.55882417041037
"hsa-let-7f-2-3p"	1.56407696941059	3.76593904826249	4.53857298802941	0.0331392073003908	0.0472233704030569
"hsa-let-7f-5p"	1.71720260453822	14.9029704151179	26.6903090869531	2.38816274668994e-07	7.38664291418052e-07
"hsa-let-7g-3p"	3.51290998626017	5.34455116349574	47.528569424705	5.42081386735274e-12	3.27712838344506e-11
"hsa-let-7g-5p"	2.91631654827083	15.0400005248097	64.2101118161988	1.11833306371663e-15	8.74931161613597e-15
"hsa-let-7i-3p"	2.81537946611323	7.2411191345704	45.1816370961331	1.79581056916288e-11	9.81545776843823e-11
"hsa-let-7i-5p"	2.12630693395616	12.8700914735042	51.7454513382249	6.31830328017461e-13	4.13279181768798e-12
"hsa-miR-100-5p"	-1.55605594197025	8.4027800567659	3.40028189622858	0.0651852781942904	0.0884657346922513
"hsa-miR-101-3p"	0.846122948911746	14.2460759065137	2.22992114939734	0.135360755443569	0.169307026401204
"hsa-miR-101-5p"	0.620645022289215	6.01012415336157	1.84599134069885	0.174250345878447	0.212617394512234
"hsa-miR-103a-2-5p"	-1.64562601916216	2.39265463273539	5.75521381878168	0.0164397947425684	0.0247527475557917
"hsa-miR-103a-3p"	-0.686334197630455	12.658855691259	6.86720813023334	0.00877916995304718	0.0140115552450633
"hsa-miR-106a-5p"	2.30844131217811	3.85888118623056	10.6118577823632	0.00112364737519244	0.00211478916368766
"hsa-miR-106b-3p"	0.700903095153934	8.85882629989238	5.54152331839546	0.0185704110312864	0.0276477388115047
"hsa-miR-106b-5p"	-0.0859356655137587	8.86177783031846	0.06247520102594	0.802625708567878	0.842756993996271
"hsa-miR-107"	0.108780171591099	4.12670314442113	0.0583643165254815	0.809100135375578	0.843289604032926
"hsa-miR-10a-5p"	1.79625246774884	11.3222638989892	6.8831012642632	0.00870144525412507	0.0139886369389294
"hsa-miR-10b-5p"	2.02964551620689	4.63364226562269	5.0900912221205	0.0240629258788707	0.0349131179115252
"hsa-miR-1226-3p"	-1.37827091148116	2.90517948105601	4.62422052072188	0.0315235817223945	0.0450821114954674
"hsa-miR-1248"	1.45745253087167	3.52847649210166	2.93302138932637	0.0867849370330471	0.115040497927528
"hsa-miR-1249-3p"	-1.646384480754	4.20156790759418	13.9806687669253	0.000184699907305801	0.000402706355273304
"hsa-miR-1255a"	-1.44996461406411	2.51950176716064	2.38095815406495	0.122822194236483	0.156070240446996
"hsa-miR-125a-3p"	-1.68564469503688	3.43609752913229	8.90256240416394	0.00284770763873279	0.00505712772976339
"hsa-miR-125a-5p"	1.87386036916876	12.7646327127653	16.8857015109076	3.96995124615636e-05	9.71785611789195e-05
"hsa-miR-125b-2-3p"	4.75694844230196	2.50164082143171	13.556057350516	0.000231542957579089	0.000499381838238143
"hsa-miR-125b-5p"	1.45432809251223	7.37894389752498	3.67769893754092	0.0551449055977746	0.0763986712969169
"hsa-miR-126-3p"	-4.04799826792354	6.42039137160956	50.7175754673942	1.06660152355021e-12	6.86409690155699e-12
"hsa-miR-126-5p"	-3.5795427201046	8.05960864243896	22.0319029255702	2.68156044305461e-06	7.48211620125028e-06
"hsa-miR-1260a"	-1.58549429892792	6.05112635279079	31.1597329464409	2.37644827639845e-08	8.6095624725381e-08
"hsa-miR-1260b"	-2.17705688940496	4.5909643291197	39.9564501645444	2.59688611565921e-10	1.2190088942918e-09
"hsa-miR-127-3p"	-5.15916654655286	6.98694048532242	83.3721270797853	6.79736854456766e-20	6.95423089559614e-19
"hsa-miR-1271-5p"	3.4498336979998	6.724810004317	62.4488160442353	2.73460156975502e-15	2.05869061572123e-14
"hsa-miR-1273h-3p"	-0.615826839822638	4.83374699073976	1.62947502038993	0.201775675981462	0.242495466013866
"hsa-miR-128-1-5p"	0.68354595588775	3.30812296447458	2.52532826195389	0.112031464692963	0.143731686213801
"hsa-miR-128-3p"	-0.158543542043866	9.67331357758812	0.301692101858272	0.582823564411233	0.631920114674136
"hsa-miR-1285-3p"	0.545490735687717	3.29524181138827	0.773787042275971	0.379048044192018	0.428442406891261
"hsa-miR-1287-5p"	2.74460777434322	2.65588358957224	12.1872101856888	0.000481182928470699	0.000969656507372772
"hsa-miR-1294"	-1.9099829875699	2.52544300734788	11.8263296820545	0.000583989953612946	0.00115926363926152
"hsa-miR-1301-3p"	-1.11258887470831	5.49843786319802	11.4580279549443	0.00071185802281337	0.00139916921725387
"hsa-miR-1304-3p"	-2.04880478900225	4.61469854665965	45.6679127205164	1.40099028735659e-11	7.8606288221739e-11
"hsa-miR-1306-5p"	-0.235331276767344	3.23982294235685	0.308808026171995	0.578412550770891	0.62884634266372
"hsa-miR-1307-3p"	0.287278251169437	7.21379223887339	0.732364935393907	0.392117693341804	0.438249186676134
"hsa-miR-1307-5p"	0.944658957433834	8.46926559313508	1.44730827692336	0.228960353781086	0.271083623616182
"hsa-miR-130a-3p"	-3.30044099796187	6.10796974149979	107.589083056208	3.3070181023721e-25	5.27800089138587e-24
"hsa-miR-130b-3p"	-0.609830808757576	7.21768073558795	3.68120987711737	0.0550289054790185	0.0763986712969169
"hsa-miR-130b-5p"	-1.6321192624341	5.55700971775186	18.6873096007814	1.54004046301321e-05	3.91386079453676e-05
"hsa-miR-132-3p"	0.513808366494698	5.88053416074555	2.54653339993171	0.110536549103341	0.142271235781397
"hsa-miR-132-5p"	-0.0177817443326016	3.83349219245968	0.00155371692859418	0.968557754077402	0.970991316273576
"hsa-miR-133a-3p"	-2.16824415544592	2.05227103733695	6.273143244266	0.0122581499620386	0.0189573714529201
"hsa-miR-134-5p"	-4.47167095296304	2.41131137417624	16.9431716235973	3.85156071234783e-05	9.48625138411595e-05
"hsa-miR-136-3p"	-2.68821580456585	2.21617892511312	8.89996337568823	0.00285176375738537	0.00505712772976339
"hsa-miR-139-5p"	-2.88216504864104	2.51062707179213	17.1067025155064	3.53373762844863e-05	8.81225821094377e-05
"hsa-miR-140-3p"	0.022928481834059	12.8911630136736	0.00700781416771523	0.933284868823336	0.937986555819927
"hsa-miR-140-5p"	0.660346864751149	7.0038877356018	2.60680753046554	0.106405776222749	0.137843846470379
"hsa-miR-141-3p"	3.11338271754559	8.4832531320784	21.8335056002456	2.97361835012474e-06	8.23940084513731e-06
"hsa-miR-142-3p"	1.15360880993256	12.8498921924878	4.42106268372902	0.035497922205527	0.0502257835461179
"hsa-miR-142-5p"	2.25485111992782	15.9574403743442	16.481986743	4.91144898427868e-05	0.000117345397887856
"hsa-miR-143-3p"	-11.3970937455863	14.3237080936019	365.578970657435	1.71713595996392e-81	3.42568624012801e-79
"hsa-miR-143-5p"	-8.45022177359933	4.04777576534717	142.840921610259	6.36814248865476e-33	2.11740737747771e-31
"hsa-miR-144-3p"	-5.71189938185162	4.10993398294064	92.2527024228662	7.62859018505296e-22	1.01460249461204e-20
"hsa-miR-144-5p"	-6.16089123897229	6.15879328624569	145.99096141232	1.30411862763966e-33	4.73039393116568e-32
"hsa-miR-145-3p"	-11.3485051685034	6.70949842439447	301.383892206236	1.64539488953246e-67	1.64128140230863e-65
"hsa-miR-145-5p"	-11.5936549027266	6.94722259556057	307.793930326227	6.60400774236502e-69	8.78333029734547e-67
"hsa-miR-1468-5p"	2.90231429264374	4.6995334391225	39.1778074635135	3.8691319230251e-10	1.69646553548024e-09
"hsa-miR-146a-3p"	4.63464083104221	2.74295056718732	16.3193386940497	5.35150216455841e-05	0.000125602903744636
"hsa-miR-146a-5p"	2.2351858530762	11.1761115937257	12.9596905658391	0.000318269780075817	0.000664867236912309
"hsa-miR-146b-3p"	5.09984223929083	9.01688397687977	87.1702380219674	9.95709210466419e-21	1.16849404404736e-19
"hsa-miR-146b-5p"	2.97328046331318	13.1723352244166	11.101759814882	0.000862458403132383	0.00168686717083245
"hsa-miR-148a-3p"	-3.41132695436223	14.0385077728237	79.1418985064377	5.78053186335054e-19	5.49150527018302e-18
"hsa-miR-148a-5p"	-2.91100412686117	6.73870892001755	47.3813280352446	5.84366779620206e-12	3.48003500102182e-11
"hsa-miR-148b-3p"	-1.61611629514831	10.4208073677455	29.63903643247	5.20461682136291e-08	1.79020871700328e-07
"hsa-miR-148b-5p"	-0.268679397575357	6.1270505930096	0.813999836960146	0.366940333851785	0.417120208566559
"hsa-miR-150-3p"	5.79576247882851	7.86515167434429	121.720557877708	2.65752461035512e-28	5.30176159765846e-27
"hsa-miR-150-5p"	8.24342911148846	18.0117847332123	110.856763515618	6.36041801384436e-26	1.05741949480163e-24
"hsa-miR-151a-3p"	0.683674538639562	9.3085236185437	1.02008237081304	0.312499471357307	0.360367887490074
"hsa-miR-151a-5p"	0.452482508069434	9.91511980276582	0.425646718785345	0.514132805034358	0.563568651672277
"hsa-miR-151b"	2.99078830314945	4.06305665042222	9.29842936322711	0.00229350403897514	0.00412210861059046
"hsa-miR-152-3p"	2.62360045453804	5.71621853996144	14.7093669481626	0.000125421710063158	0.000278018123973334
"hsa-miR-153-3p"	6.9016197482533	3.88122242783498	27.8450202732413	1.31431910272745e-07	4.25717231959564e-07
"hsa-miR-155-5p"	4.91935485281331	10.2081507004942	99.1408638494007	2.35165393365829e-23	3.47522192418392e-22
"hsa-miR-15a-5p"	0.371572213905352	11.2930062125752	0.927336734807881	0.33555593043577	0.38362984597098
"hsa-miR-15b-3p"	-0.663377254413119	6.26037393006885	3.45440015936203	0.0630836205443583	0.0859056812191091
"hsa-miR-15b-5p"	-1.6565380658075	9.86141980347677	28.7419810310265	8.26916069707748e-08	2.74949593177826e-07
"hsa-miR-16-2-3p"	1.3664631868008	7.76829100015642	14.9214953493193	0.000112078646726083	0.000249828938791659
"hsa-miR-16-5p"	0.0394401400132434	13.8290270310918	0.00963394880045598	0.9218110559972	0.931145851500969
"hsa-miR-17-3p"	0.550719897545103	7.45589807295498	1.68973927696966	0.193635341767008	0.2341227314092
"hsa-miR-17-5p"	0.322846688776296	8.5475647055332	0.752726536395155	0.385614363822895	0.434633138885128
"hsa-miR-181a-2-3p"	1.69024649929447	7.56904540121698	8.20955120265441	0.00416704564698437	0.0072604856469291
"hsa-miR-181a-3p"	0.735737928445819	7.96084524906589	3.26414410737022	0.0708099649811702	0.0951285388130873
"hsa-miR-181a-5p"	0.980523818899521	14.4366807059094	7.1832037868528	0.00735891856689658	0.0120336414270153
"hsa-miR-181b-5p"	1.909706184285	9.76288289556232	32.643925744407	1.10684786064385e-08	4.20602187044662e-08
"hsa-miR-181c-3p"	-0.60410106310735	6.83485864425098	1.46254838439639	0.22652508104543	0.268998533741449
"hsa-miR-181c-5p"	0.538593548999052	11.0605196309711	1.20705185855337	0.271916780718276	0.317646427775452
"hsa-miR-181d-5p"	0.692097564575086	6.44155580359188	2.01967017344915	0.155272865303936	0.191807657140156
"hsa-miR-182-5p"	-4.21835360589137	7.01395310528794	125.518232302824	3.91972103316958e-29	1.04264579482311e-27
"hsa-miR-183-5p"	-4.47713960569713	4.25271441430053	83.8400674454888	5.36464468845743e-20	5.78511683971491e-19
"hsa-miR-185-3p"	-2.5148975613466	4.05814515162997	41.1216219178679	1.43045118978903e-10	6.93612209635456e-10
"hsa-miR-185-5p"	-0.99497593683294	6.93692695578358	10.0335194795519	0.00153717048112207	0.00281344505489774
"hsa-miR-186-5p"	0.982491448536767	13.859628205126	10.7425604048804	0.00104699373446865	0.00197986018982461
"hsa-miR-18a-3p"	0.177870812614177	3.87645061468388	0.160942501487876	0.688290257051962	0.738246807967024
"hsa-miR-18a-5p"	-1.21426356279153	5.58272588561494	6.87729657372001	0.00872975087166268	0.0139886369389294
"hsa-miR-190a-5p"	-0.686450837720017	2.60447476796115	1.52664252840208	0.216617041576547	0.258773052661804
"hsa-miR-190b"	-0.835951505021907	3.59065834388867	4.18948383190038	0.0406754800108442	0.0571461849448128
"hsa-miR-191-3p"	-1.04815701261012	3.44619797714118	6.33963326363932	0.0118069290549928	0.018474371344871
"hsa-miR-191-5p"	-3.04843304951966	15.0995457770351	122.356733170299	1.92849914140015e-28	4.27483976343699e-27
"hsa-miR-192-5p"	1.37867716315921	12.6314987394686	12.1083568314379	0.000501963494599161	0.00100644941881942
"hsa-miR-193a-3p"	-0.682425954184592	3.20663498035085	0.83740834191693	0.3601390397891	0.410558505359574
"hsa-miR-193a-5p"	-4.49839569874737	5.66782428472291	122.13787359292	2.15341060618269e-28	4.52216227298365e-27
"hsa-miR-193b-3p"	5.83010120650675	4.44416449541269	40.2379111244596	2.2484236308686e-10	1.06800122466258e-09
"hsa-miR-194-5p"	1.40221040989391	7.41173401163019	16.1006449596423	6.00635771208134e-05	0.000139333530646538
"hsa-miR-195-5p"	2.10136036635266	3.59112277589736	15.5219944931144	8.15508407643774e-05	0.000184879462869242
"hsa-miR-196a-5p"	5.64219325103692	3.75260935296811	12.9924468758784	0.000312750001735349	0.000656775003644232
"hsa-miR-196b-5p"	-3.72908200974025	4.47896909995861	33.2411039163462	8.14113432916424e-09	3.18462019346719e-08
"hsa-miR-197-3p"	-1.51411377312464	11.1132621117526	29.2317802884975	6.42172330359495e-08	2.17141321875795e-07
"hsa-miR-1976"	-0.992180626061674	4.45577113920836	8.14171313865758	0.00432583951084526	0.00750439115142286
"hsa-miR-199a-3p"	-3.6236808942721	8.48495643708766	85.4685568155033	2.35415438934445e-20	2.68373600385267e-19
"hsa-miR-199a-5p"	-3.18664994380655	5.09745951073771	46.9698266604299	7.20880262489776e-12	4.1685684743974e-11
"hsa-miR-199b-3p"	-3.73618108147468	7.32944167105315	81.42641971134	1.8190977928149e-19	1.81455004833287e-18
"hsa-miR-199b-5p"	-4.27921426550003	8.56097672047629	75.5489177534419	3.56465271070285e-18	3.1606587368232e-17
"hsa-miR-19a-3p"	0.764284802972154	8.50333213264737	2.15995633856875	0.141648715148412	0.176068029109709
"hsa-miR-19b-3p"	1.58897858401239	10.9368618921725	7.68055432205645	0.00558190193012965	0.00951785841932364
"hsa-miR-200b-3p"	0.0502723443284484	4.58679188651582	0.0272414376042369	0.868904782108689	0.888956430926582
"hsa-miR-200c-3p"	0.812024040338264	4.84481184299316	5.98847098092272	0.0143996788325541	0.0218459005862703
"hsa-miR-20a-3p"	1.82087031888425	3.17781668651776	8.73517599053622	0.00312129188245977	0.00551059938540464
"hsa-miR-20a-5p"	1.26269852607908	9.37006302131998	9.96681677487425	0.001593868214636	0.00290389688419984
"hsa-miR-20b-5p"	2.27413090005403	4.29997065655875	10.7978030346643	0.00101620623789963	0.00194003009053565
"hsa-miR-21-3p"	2.35670791142771	9.6478477258235	23.7714892339201	1.08477443287156e-06	3.11384891162413e-06
"hsa-miR-21-5p"	2.56104202016909	14.7170317446193	23.334129257763	1.36162365731872e-06	3.85310524305084e-06
"hsa-miR-210-3p"	2.706663299414	4.74392711258095	39.7652914412735	2.86389553528231e-10	1.29851627111096e-09
"hsa-miR-2110"	0.141348692426003	3.69229786836322	0.117157920409075	0.732137632890024	0.78107731423294
"hsa-miR-2110-3p"	-0.358989517034834	5.41114325083845	0.73985752330381	0.389706522299834	0.43797050134344
"hsa-miR-2115-3p"	-8.30694210525226	3.92743612390833	133.752908937048	6.18763762072798e-31	1.76347672190748e-29
"hsa-miR-2115-5p"	-6.88527752357609	2.82683081836943	65.4139075634467	6.07089514773442e-16	4.84457432789206e-15
"hsa-miR-212-5p"	-0.380975847617101	3.35309387589577	0.736542567837674	0.390770672877856	0.43797050134344
"hsa-miR-215-5p"	1.66313523329395	4.47910621991277	16.7010082726608	4.37577360581995e-05	0.000105814161740737
"hsa-miR-22-3p"	1.39399326572082	14.0105221237568	9.5670347409534	0.00198102505063915	0.00359285906911372
"hsa-miR-22-5p"	1.37985009645207	5.51816130311283	12.2254558958001	0.000471418732665181	0.000954802407783793
"hsa-miR-221-3p"	0.519067624969326	11.1546575996822	2.30234354546693	0.129178962338658	0.163575460003797
"hsa-miR-221-5p"	-1.53247754908535	7.68946517981409	28.9631531425671	7.37682088252876e-08	2.47340464884788e-07
"hsa-miR-222-3p"	1.29968569169689	9.70923395951194	11.0106652553201	0.000905891272440738	0.00176317374489685
"hsa-miR-223-3p"	-9.87379147157202	14.854524421495	467.261889643132	1.2635872023917e-103	5.04171293754289e-101
"hsa-miR-223-5p"	-5.1442299171509	5.09019907232206	163.403686615435	2.04188421447923e-37	8.14711801577211e-36
"hsa-miR-224-5p"	-5.66466415967343	2.82468198378213	51.9249821623702	5.76620814674701e-13	3.83452841758676e-12
"hsa-miR-2277-5p"	-0.434088557848768	3.83784146126	1.07821287279846	0.299097692783905	0.346918544827844
"hsa-miR-2355-3p"	-2.52316074387696	2.66030427446064	15.8190222333506	6.96982653466514e-05	0.000158912044990365
"hsa-miR-2355-5p"	-3.27797917935556	5.42862136060508	78.43147860182	8.28218136959405e-19	7.68509387550704e-18
"hsa-miR-23a-3p"	-1.05680594928565	11.6551518789861	13.536051460142	0.000234024234924637	0.00050201972975769
"hsa-miR-23a-5p"	0.985285174847401	4.44096070984444	7.63761438030627	0.00571634703724269	0.00962372349307947
"hsa-miR-23b-3p"	-0.072515481876648	7.80774801028129	0.0578838250270621	0.809872455310854	0.843289604032926
"hsa-miR-23c"	-4.34271280315007	1.53933319328987	8.38088802207014	0.00379187109342162	0.00663577441348783
"hsa-miR-24-2-5p"	-1.56804936141327	6.38531269313789	19.2410930751486	1.15206614054508e-05	2.96564122630636e-05
