"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	-7.33635615797043	4.0862567914963	18.9119782646899	1.36890441587553e-05	3.83857733111488e-05
"hsa-let-7a-3p"	-1.76263675972739	6.31842989592166	6.70967827886009	0.00958910233295556	0.0156181786500833
"hsa-let-7a-5p"	-1.04529339972029	15.6435639063351	3.28147428879686	0.0700659633056885	0.097984277733405
"hsa-let-7b-3p"	-1.34516597471716	7.14715659961597	7.65596324804914	0.00565849712632442	0.00969479763394874
"hsa-let-7b-5p"	-1.69448616133774	12.5456192827414	6.94918520817293	0.00838574181231735	0.0138657858538013
"hsa-let-7c-5p"	-6.34773414412197	9.22386587409723	36.9686810861374	1.20042026360704e-09	7.25587359335809e-09
"hsa-let-7d-3p"	1.56459804807827	7.55511026683588	17.8273673780533	2.4187913195673e-05	6.54384945933661e-05
"hsa-let-7d-5p"	0.958404883536603	10.1719300101082	5.85523973519376	0.0155307423453713	0.0241392109596629
"hsa-let-7e-3p"	-3.03352931901373	3.81873821781082	10.9275622733206	0.000947440775239507	0.00185398482636796
"hsa-let-7e-5p"	-3.84679082379087	11.3107034730703	32.6587317090953	1.09844839894145e-08	5.5993167724103e-08
"hsa-let-7f-1-3p"	-0.562594563014536	4.38463920467416	1.00616254578793	0.315823932744561	0.37926759252327
"hsa-let-7f-2-3p"	-1.21476078490645	4.26663390489696	1.23663693736052	0.26612018376582	0.326042228347304
"hsa-let-7f-5p"	-0.447918207961139	14.6175440368254	1.14340107044223	0.284934809628035	0.345221684716372
"hsa-let-7g-3p"	0.393251777330184	3.04455778343988	0.290234357732921	0.590070387479289	0.647173973364382
"hsa-let-7g-5p"	1.30871835140582	12.3700728296527	10.351077058841	0.00129399162580384	0.00248739026302929
"hsa-let-7i-3p"	-0.255209819895349	5.87112244288064	0.308166887451897	0.578807240830816	0.637390969659846
"hsa-let-7i-5p"	-2.38245110889557	13.9913711886233	26.153851628192	3.15267626162909e-07	1.15104421901089e-06
"hsa-miR-100-3p"	-11.5560009824176	8.15237768584611	57.344999360139	3.65691912908549e-14	4.14450834629689e-13
"hsa-miR-100-5p"	-8.0178606360898	17.6555740377961	57.5073292442644	3.36722215052676e-14	3.89738053167353e-13
"hsa-miR-101-3p"	4.20318742943198	12.2875525889883	124.401262489831	6.88197663372892e-29	2.87984252980657e-27
"hsa-miR-101-5p"	5.3799092710784	4.1716657326074	85.1632310361569	2.74723290008338e-20	6.79315771656982e-19
"hsa-miR-103a-2-5p"	2.44294620608121	2.34267058529684	14.1359571616445	0.000170061802558955	0.000379154182754392
"hsa-miR-103a-3p"	2.1328386166283	12.3888800655621	34.2365099388564	4.88046833193568e-09	2.65497477257301e-08
"hsa-miR-106b-3p"	1.77863094771473	7.84681946020654	14.7436878697775	0.000123159149761927	0.000282694419706702
"hsa-miR-106b-5p"	2.56819459814045	8.04515836331316	32.0799008655221	1.47960176825839e-08	7.06055580642602e-08
"hsa-miR-107"	-2.32466705264479	6.67740760748281	6.08274017645849	0.0136508868660756	0.0214626660553328
"hsa-miR-10a-3p"	-5.59103039292161	3.79265361088384	9.12098926309412	0.00252693276673725	0.00462845597678472
"hsa-miR-10a-5p"	-4.06952018829864	14.3771504667181	8.18964297091946	0.00421302140761015	0.0073223119672202
"hsa-miR-10b-5p"	-7.7570853509684	11.0708723492611	9.96031133486968	0.00159951003396434	0.00300046020164345
"hsa-miR-1180-3p"	-5.35561548687402	4.52046101940555	32.0087324576376	1.53481094454183e-08	7.26032307678918e-08
"hsa-miR-1185-1-3p"	-5.6035852194394	5.33561525340512	27.6219502359289	1.47495458116621e-07	5.77248411621883e-07
"hsa-miR-1185-2-3p"	-5.7659352289752	2.7906989769017	16.8463191044185	4.05318633623384e-05	0.000104499211701953
"hsa-miR-1185-5p"	-5.05940686051153	4.86596611034614	29.6758500367203	5.10670702564079e-08	2.18743985980204e-07
"hsa-miR-1197"	-5.17654935700187	4.05269973601298	15.8231462159171	6.9546523954354e-05	0.000173547289133801
"hsa-miR-122-5p"	-3.88875084084593	2.09385376673744	4.7268321468037	0.0296955308277325	0.0438977412236045
"hsa-miR-1226-3p"	0.973407201228071	3.45031330073482	2.28227975543106	0.130859396527524	0.172785222599449
