"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	0	4.34898065707896	0	1	1
"hsa-let-7a-3p"	0	6.57234334566871	0	1	1
"hsa-let-7a-5p"	0	15.7904324877209	0	1	1
"hsa-let-7b-3p"	0	7.35233718073334	0	1	1
"hsa-let-7b-5p"	0	12.714630342695	0	1	1
"hsa-let-7c-5p"	0	9.73320009609005	0	1	1
"hsa-let-7d-3p"	0	7.16594053944121	0	1	1
"hsa-let-7d-5p"	0	9.9703829579722	0	1	1
"hsa-let-7e-3p"	0	4.05716556779634	0	1	1
"hsa-let-7e-5p"	0	11.6025054192527	0	1	1
"hsa-let-7f-1-3p"	0	4.53354933021752	0	1	1
"hsa-let-7f-2-3p"	0	4.55893193835903	0	1	1
"hsa-let-7f-5p"	0	14.764840541566	3.45607986673713e-11	0.999995309361687	1
"hsa-let-7g-3p"	0	3.04313912405293	0	1	1
"hsa-let-7g-5p"	0	12.0285614523555	0	1	1
"hsa-let-7i-3p"	0	5.94061236046263	0	1	1
"hsa-let-7i-5p"	0	14.2962447766498	0	1	1
"hsa-miR-100-3p"	0	8.49143959806831	0	1	1
"hsa-miR-100-5p"	0	17.99884428387	-2.83762346953154e-10	1	1
"hsa-miR-101-3p"	0	10.2068554527713	0	1	1
"hsa-miR-103a-3p"	0	11.6652294709123	0	1	1
"hsa-miR-106b-3p"	0	7.4026657290778	0	1	1
"hsa-miR-106b-5p"	0	7.21963024910801	0	1	1
"hsa-miR-107"	0	6.93063855096695	0	1	1
"hsa-miR-10a-3p"	0	4.05383623605669	0	1	1
"hsa-miR-10a-5p"	0	14.5876345556882	0	1	1
"hsa-miR-10b-5p"	0	11.8563747456993	0	1	1
"hsa-miR-1180-3p"	0	4.82411386896534	0	1	1
"hsa-miR-1185-1-3p"	0	5.68181998298669	0	1	1
"hsa-miR-1185-2-3p"	0	3.08398010341246	0	1	1
"hsa-miR-1185-5p"	0	5.17109801881763	0	1	1
"hsa-miR-1197"	0	4.32339090815372	0	1	1
"hsa-miR-122-5p"	0	2.282539370467	0	1	1
"hsa-miR-1226-3p"	0	3.27474846974748	0	1	1
"hsa-miR-1233-3p"	0	2.06022993688895	0	1	1
"hsa-miR-1247-5p"	0	1.67494327768973	0	1	1
"hsa-miR-1249-3p"	0	4.69118064985961	0	1	1
"hsa-miR-1257"	0	2.31299080480689	0	1	1
"hsa-miR-125a-3p"	0	4.86046267363843	0	1	1
"hsa-miR-125a-5p"	0	12.9940940837149	0	1	1
"hsa-miR-125b-1-3p"	0	11.0042319287486	0	1	1
"hsa-miR-125b-2-3p"	0	6.84768793110459	0	1	1
"hsa-miR-125b-5p"	0	14.7964550320243	0	1	1
"hsa-miR-126-3p"	0	6.07733672950525	0	1	1
"hsa-miR-126-5p"	0	7.7242798426245	0	1	1
"hsa-miR-1260a"	0	4.29177377164831	0	1	1
"hsa-miR-1260b"	0	3.46136755485568	0	1	1
"hsa-miR-1262"	0	2.67890947398587	0	1	1
"hsa-miR-1269b"	0	1.68818124520021	0	1	1
"hsa-miR-127-3p"	0	14.5019661874354	0	1	1
"hsa-miR-127-5p"	0	6.69757403996407	0	1	1
"hsa-miR-1271-5p"	0	7.55986579186791	0	1	1
"hsa-miR-1277-5p"	0	2.23178557777902	0	1	1
"hsa-miR-128-1-5p"	0	4.03562112401883	0	1	1
"hsa-miR-128-3p"	0	9.44168511586784	0	1	1
"hsa-miR-1285-3p"	0	4.31894332542037	0	1	1
"hsa-miR-1293-3p"	0	3.304496612116	0	1	1
"hsa-miR-1296-5p"	0	5.63416871975194	0	1	1
"hsa-miR-1301-3p"	0	5.43329735413233	0	1	1
"hsa-miR-1304-3p"	0	6.34281386293531	0	1	1
"hsa-miR-1306-3p"	0	2.02437963048513	0	1	1
