"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	-7.25955507770122	3.80692443615674	39.9134844834731	2.65464195676056e-10	8.26558972900448e-10
"hsa-let-7a-3p"	-1.33202819039402	6.23003449276356	6.90846130546677	0.0085788785979199	0.0127404484326832
"hsa-let-7a-5p"	-1.18340448521568	15.4374634328243	10.134641270666	0.00145508558802876	0.0024686900998135
"hsa-let-7b-3p"	-2.25736070328903	6.86940086395536	36.5112765365835	1.51785592909783e-09	4.33221379763338e-09
"hsa-let-7b-5p"	-1.56697560463625	12.3037842683578	14.3565706954757	0.000151250921592652	0.00028385446929032
"hsa-let-7c-5p"	-5.11913370102297	9.12350205867742	41.7682329333751	1.02759496372225e-10	3.31248258893997e-10
"hsa-let-7d-3p"	-0.124403298966968	7.08228462505929	0.149865254011809	0.698664159645985	0.736284537473077
"hsa-let-7d-5p"	0.177296490401677	9.98425859173808	0.354284427541476	0.551697782266263	0.599861874368874
"hsa-let-7e-3p"	-4.24767567393692	3.56594757321623	33.8720869997138	5.88570956465166e-09	1.63724306671528e-08
"hsa-let-7e-5p"	-4.48610485827354	11.0059253548726	87.0224431656993	1.07296668275548e-20	8.3997963164286e-20
"hsa-let-7f-1-3p"	-1.14537191934776	4.23169944418678	7.05500770269369	0.00790439697429814	0.0118674234025079
"hsa-let-7f-2-3p"	-0.592645602320317	4.3616703881452	0.527412705413255	0.467696647493566	0.517773258235301
"hsa-let-7f-5p"	0.411585430277714	14.8666928352882	1.94564019679092	0.163057436737723	0.198567722960605
"hsa-let-7g-3p"	3.04420674413995	4.52497388263237	38.7483998347985	4.82105284878904e-10	1.46774275618689e-09
"hsa-let-7g-5p"	3.42432000860776	14.0582635392226	129.216360032569	6.08144703098195e-30	1.04144780405566e-28
"hsa-let-7i-3p"	1.71119840557137	6.70081449434911	34.1169515946036	5.1897189113966e-09	1.45844408381812e-08
"hsa-let-7i-5p"	-1.09944245734518	13.9703298430412	13.6918886446092	0.000215382750024627	0.000400100837333884
