"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-3p"	-0.700762126000289	5.07028832261328	1.29282714519342	0.255527596812257	0.481010637642276
"hsa-let-7a-5p"	0.451965199097918	14.7225855675702	1.92249467367083	0.165581909716036	0.391578840544679
"hsa-let-7b-3p"	-0.445477080403068	4.97036621077323	0.922837387843845	0.336731068123842	0.574906701674853
"hsa-let-7b-5p"	-0.0622892703762618	11.0612440370834	0.021577368699635	0.88321697355026	0.968618365010558
"hsa-let-7c-5p"	-0.159705816088067	4.5605095608001	0.0677950232718612	0.794574698991219	0.949047292520171
"hsa-let-7d-3p"	-0.521289986838321	6.84415437254569	2.56125702338984	0.109511477666906	0.306167652569591
"hsa-let-7d-5p"	-0.132461124640013	10.0554790326494	0.181221516894347	0.670325583080485	0.87270260766269
"hsa-let-7e-5p"	-1.16058281514143	6.77670094872203	5.66443492017206	0.0173122933868209	0.104470735954954
"hsa-let-7f-1-3p"	-0.301354687050588	3.40595876964848	0.474818242523487	0.49077886276615	0.712749385759969
"hsa-let-7f-2-3p"	-0.151868997118857	3.95491173641782	0.0452050197695755	0.831627487933721	0.953695287887431
"hsa-let-7f-5p"	0.46997358753297	15.3173699841035	2.38199021646187	0.122741086450921	0.333018451611025
"hsa-let-7g-3p"	-0.639660805910088	5.56356560132105	2.1122203281497	0.146127164143409	0.367946096763979
"hsa-let-7g-5p"	-0.0214516917936239	15.3845748984258	0.00363103942095222	0.951950067306249	0.988134475906719
"hsa-let-7i-3p"	-1.14545026398962	7.30011704580829	10.2077063307696	0.00139855004790272	0.0215867310192311
"hsa-let-7i-5p"	-0.225807782936117	13.0860216005448	0.630588182492595	0.427139646778801	0.649995114663392
"hsa-miR-1-3p"	5.64929045911275	2.01635069843337	23.5522043934837	1.2157006642757e-06	3.54579360413745e-05
"hsa-miR-100-5p"	-0.976367819697477	7.25418415276113	0.854747148849953	0.355212851951893	0.594960890795296
