"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-3p"	0	5.15190828387449	0	1	1
"hsa-let-7a-5p"	0	14.4524306753277	0	1	1
"hsa-let-7b-3p"	0	4.99975731487357	0	1	1
"hsa-let-7b-5p"	0	10.9821620455415	0	1	1
"hsa-let-7c-5p"	0	4.50913193859819	0	1	1
"hsa-let-7d-3p"	0	6.89098327312574	0	1	1
"hsa-let-7d-5p"	0	9.99522457309743	0	1	1
"hsa-let-7e-5p"	0	6.96791863387637	0	1	1
"hsa-let-7f-1-3p"	0	3.399551507725	0	1	1
"hsa-let-7f-2-3p"	0	3.89908253766192	0	1	1
"hsa-let-7f-5p"	0	15.0354046446431	0	1	1
"hsa-let-7g-3p"	0	5.63255137767997	0	1	1
"hsa-let-7g-5p"	0	15.289044907229	0	1	1
"hsa-let-7i-3p"	0	7.48284952202284	0	1	1
"hsa-let-7i-5p"	0	13.0502162097217	0	1	1
"hsa-miR-100-5p"	0	7.41712640386886	0	1	1
"hsa-miR-101-3p"	0	14.2364051945122	0	1	1
"hsa-miR-101-5p"	0	5.94829713483542	0	1	1
"hsa-miR-103a-3p"	0	12.1448842535671	0	1	1
"hsa-miR-106a-5p"	0	4.09309955528005	0	1	1
"hsa-miR-106b-3p"	0	8.80848904194291	0	1	1
"hsa-miR-106b-5p"	0	8.58105201052632	0	1	1
"hsa-miR-107"	0	3.95186990721146	0	1	1
"hsa-miR-10a-5p"	0	11.4700139696481	0	1	1
"hsa-miR-10b-5p"	0	4.81743495825874	0	1	1
"hsa-miR-1248"	0	3.66773551020647	0	1	1
"hsa-miR-1249-3p"	0	3.28451492987244	0	1	1
"hsa-miR-125a-3p"	0	2.59040153984421	0	1	1
"hsa-miR-125a-5p"	0	12.912879409007	0	1	1
"hsa-miR-125b-2-3p"	0	2.83754116360819	0	1	1
"hsa-miR-125b-5p"	0	7.47761973612693	0	1	1
"hsa-miR-126-3p"	0	3.70778719067934	0	1	1
"hsa-miR-126-5p"	0	5.61757447742163	0	1	1
"hsa-miR-1260a"	0	5.0914300581722	0	1	1
"hsa-miR-1260b"	0	3.35143558462678	0	1	1
"hsa-miR-127-3p"	0	3.33359679567278	0	1	1
"hsa-miR-1271-5p"	0	7.00814546532209	0	1	1
"hsa-miR-1273h-3p"	0	4.38165616700965	0	1	1
"hsa-miR-128-1-5p"	0	3.29921079128467	0	1	1
"hsa-miR-128-3p"	0	9.36984277645107	0	1	1
"hsa-miR-1285-3p"	0	3.24669421203879	0	1	1
"hsa-miR-1287-5p"	0	2.90896994126718	0	1	1
"hsa-miR-1301-3p"	0	4.8078604828419	0	1	1
"hsa-miR-1304-3p"	0	3.44383884699656	0	1	1
"hsa-miR-1306-5p"	0	2.98127912141007	0	1	1
"hsa-miR-1307-3p"	0	7.05988709747109	0	1	1
"hsa-miR-1307-5p"	0	8.47271631909456	0	1	1
"hsa-miR-130a-3p"	0	3.99027267544	0	1	1
"hsa-miR-130b-3p"	0	6.73999923088729	0	1	1
"hsa-miR-130b-5p"	0	4.58363131117135	0	1	1
"hsa-miR-132-3p"	0	5.79647571483969	0	1	1
"hsa-miR-132-5p"	0	3.62902235278365	0	1	1
"hsa-miR-140-3p"	0	12.65377345116	0	1	1
"hsa-miR-140-5p"	0	6.94206997959277	0	1	1
"hsa-miR-141-3p"	0	8.74828546643748	0	1	1
"hsa-miR-142-3p"	0	12.8845897129584	0	1	1
"hsa-miR-142-5p"	0	16.1468685954024	0	1	1
"hsa-miR-143-3p"	0	4.39943428077359	0	1	1
"hsa-miR-1468-5p"	0	4.96561955538863	0	1	1
"hsa-miR-146a-3p"	0	3.08099698281661	0	1	1
"hsa-miR-146a-5p"	0	11.3847372141087	0	1	1
"hsa-miR-146b-3p"	0	9.33967459408193	8.66862137627322e-13	0.999999257126137	1
"hsa-miR-146b-5p"	0	13.4524059070189	0	1	1
"hsa-miR-148a-3p"	0	11.7213769096105	0	1	1
"hsa-miR-148a-5p"	0	4.8799773658006	0	1	1
"hsa-miR-148b-3p"	0	9.42054876222937	0	1	1
"hsa-miR-148b-5p"	0	5.78975173727238	0	1	1
"hsa-miR-150-3p"	0	8.19245985321789	0	1	1
"hsa-miR-150-5p"	0	18.3375396470555	0	1	1
"hsa-miR-151a-3p"	0	9.25133262934562	0	1	1
"hsa-miR-151a-5p"	0	9.79834235710595	0	1	1
"hsa-miR-151b"	0	4.34642926187199	0	1	1
"hsa-miR-152-3p"	0	5.94851132654405	0	1	1
"hsa-miR-153-3p"	0	4.24646866729446	0	1	1
"hsa-miR-155-5p"	0	10.514759839456	0	1	1
"hsa-miR-15a-5p"	0	11.1480187507708	0	1	1
"hsa-miR-15b-3p"	0	5.76264567299638	0	1	1
"hsa-miR-15b-5p"	0	8.83355800024587	0	1	1
"hsa-miR-16-2-3p"	0	7.84909339063371	0	1	1
"hsa-miR-16-5p"	0	13.5849354508343	0	1	1
"hsa-miR-17-3p"	0	7.38197283150385	0	1	1
"hsa-miR-17-5p"	0	8.39519920070664	0	1	1
"hsa-miR-181a-2-3p"	0	7.71218614120835	0	1	1
"hsa-miR-181a-3p"	0	7.91796352433673	0	1	1
"hsa-miR-181a-5p"	0	14.4445221433918	0	1	1
"hsa-miR-181b-5p"	0	9.92039031655009	0	1	1
"hsa-miR-181c-3p"	0	6.36340546785013	0	1	1
"hsa-miR-181c-5p"	0	10.9697885157849	0	1	1
"hsa-miR-181d-5p"	0	6.39272503477677	0	1	1
"hsa-miR-182-5p"	0	4.11148793160686	0	1	1
"hsa-miR-185-5p"	0	6.28970744980479	0	1	1
"hsa-miR-186-5p"	0	13.8746323808459	0	1	1
"hsa-miR-18a-3p"	0	3.72232273245431	0	1	1
"hsa-miR-18a-5p"	0	4.83133816348094	0	1	1
"hsa-miR-191-5p"	0	13.0781172938872	0	1	1
"hsa-miR-192-5p"	0	12.7184122840602	0	1	1
"hsa-miR-193a-3p"	0	2.79577000344922	0	1	1
"hsa-miR-193b-3p"	0	4.80041337693364	0	1	1
"hsa-miR-194-5p"	0	7.49641910552885	0	1	1
"hsa-miR-195-5p"	0	3.79588966793819	0	1	1
"hsa-miR-196a-5p"	0	4.0938697522212	0	1	1
"hsa-miR-197-3p"	0	10.1733546574602	0	1	1
"hsa-miR-1976"	0	3.84716280639328	0	1	1
"hsa-miR-199a-3p"	0	6.00979274002807	0	1	1
"hsa-miR-199a-5p"	0	3.16590160931504	0	1	1
"hsa-miR-199b-3p"	0	4.79785625498922	0	1	1
"hsa-miR-199b-5p"	0	5.52636582465799	0	1	1
"hsa-miR-19a-3p"	0	8.46665996154186	0	1	1
"hsa-miR-19b-3p"	0	11.0491544099018	0	1	1
"hsa-miR-200b-3p"	0	4.37942686658424	0	1	1
"hsa-miR-200c-3p"	0	4.84021768656901	0	1	1
"hsa-miR-20a-3p"	0	3.35565417690196	0	1	1
