"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	7.29778641372869	3.64769027041297	59.9153161403037	9.90278159913191e-15	3.4292965908105e-14
"hsa-let-7a-3p"	1.5340821875015	6.11848749487408	12.05546827058	0.000516406747127569	0.000837295332770423
"hsa-let-7a-5p"	1.02977280590235	15.4167320751932	11.1746258324483	0.000829236171184461	0.00131412850857198
"hsa-let-7b-3p"	2.4130397326926	6.73657155799323	60.65638999701	6.79591127948161e-15	2.38281639236824e-14
"hsa-let-7b-5p"	1.60937145017752	12.2094813374065	22.9757770711822	1.64055554647005e-06	3.37125150758131e-06
"hsa-let-7c-5p"	5.19132319786084	8.94641244348773	69.2451806550763	8.69531457344302e-17	3.56063611365076e-16
"hsa-let-7d-3p"	0.288794067176234	7.04282665982833	1.10509911248749	0.293149779368141	0.330899449145929
"hsa-let-7d-5p"	-0.117418880759906	10.0108747411235	0.232446176446781	0.629715927794812	0.656636868945891
"hsa-let-7e-3p"	4.18388976450526	3.42620953924537	49.7438936006378	1.7518256567429e-12	5.3411640947433e-12
"hsa-let-7e-5p"	4.79874234387768	10.8271236361812	132.378192576547	1.23666369852046e-30	1.09750416745333e-29
"hsa-let-7f-1-3p"	1.25751982886891	4.15520975663854	12.5535758377636	0.000395448860470753	0.000650577157548658
"hsa-let-7f-2-3p"	0.624155937271175	4.33642613158734	0.86957007478485	0.351074357598772	0.391556092669804
"hsa-let-7f-5p"	-0.580964199106386	15.0310814064588	5.18687888913024	0.0227580524900322	0.0305437020260958
"hsa-let-7g-3p"	-2.84254814682124	4.65010781831322	44.3184624797139	2.79071820522271e-11	7.63703860063385e-11
"hsa-let-7g-5p"	-3.39882769067918	14.3570352204128	158.22246640518	2.76714037358094e-36	3.69610892756882e-35
"hsa-let-7i-3p"	-1.40073167603577	6.69240629367651	23.6698703099424	1.14358993767469e-06	2.37612575939074e-06
"hsa-let-7i-5p"	1.18358118117715	13.8939509884308	24.1105386588825	9.09611282207936e-07	1.91120572778521e-06
"hsa-miR-1-3p"	-1.91610040057592	1.6368595265863	1.73134478553844	0.188239247101026	0.219547229986852
"hsa-miR-100-3p"	10.7776724869392	7.67239623516835	179.946482210681	4.9785793236375e-41	8.21465588400188e-40
"hsa-miR-100-5p"	10.7330143274475	17.1717394660968	149.003391583568	2.86285468809135e-34	3.14914015690048e-33
"hsa-miR-101-3p"	-4.29486856379191	13.3574419724126	120.86780321984	4.08463331196288e-28	3.22743561691715e-27
"hsa-miR-101-5p"	-4.96955251114806	4.84630109885569	113.374713561307	1.78618366041589e-26	1.31848557038594e-25
"hsa-miR-103a-3p"	-0.781729398034017	12.0449304840557	11.3579884627487	0.000751241438476617	0.00119729104257211
"hsa-miR-106a-5p"	-6.76849884292031	3.74361651277862	84.5687472379728	3.71084838060659e-20	1.82612801887745e-19
"hsa-miR-106b-3p"	-1.5123779239181	8.23626855009087	19.7666752738979	8.74949672576993e-06	1.67524493623103e-05
"hsa-miR-106b-5p"	-1.43916974504724	7.99563526301194	16.4959297013761	4.87546265084607e-05	8.65548907317925e-05
"hsa-miR-107"	2.77764937724523	6.25093941101276	28.178154678949	1.10646363757058e-07	2.59718033756107e-07
"hsa-miR-10a-3p"	3.3698686665333	3.46920894849561	16.2003147600373	5.69846470928405e-05	0.000100846646747898
"hsa-miR-10a-5p"	2.28581275569553	13.97404908108	9.36566735133454	0.00221087489145444	0.00333031319077542
"hsa-miR-10b-5p"	6.61439264734498	11.0406518877102	24.4072800248296	7.79734825517467e-07	1.66323664302395e-06
"hsa-miR-1180-3p"	5.29006547528913	4.10218691307051	108.198954301166	2.43107887836078e-25	1.62361339376238e-24
"hsa-miR-1185-1-3p"	8.72810632843367	4.93693205889322	107.247278115871	3.9294994432698e-25	2.59346963255807e-24
"hsa-miR-1185-2-3p"	5.84246600829919	2.51965001717028	48.8557001632235	2.75503579253359e-12	8.26510737760078e-12
"hsa-miR-1185-5p"	8.18043731626766	4.42872263831017	128.470360400496	8.85599108853208e-30	7.30619264803896e-29
"hsa-miR-1197"	7.29520754287094	3.64627785541856	63.4181281978619	1.67172450291427e-15	6.21084401413845e-15
"hsa-miR-122-5p"	3.94937871306676	1.86848662403875	14.1073182201914	0.000172670682685282	0.000296233189560988
"hsa-miR-1226-3p"	1.28717572234773	2.91714686013229	5.94921411708484	0.0147238488241184	0.0202452921331628
"hsa-miR-1233-3p"	1.50855738880225	1.8348194376625	3.22793624986028	0.0723918632570662	0.0898491931133057
