"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-3p"	0	5.07171448002	0	1	1
"hsa-let-7a-5p"	0	14.7225842782687	0	1	1
"hsa-let-7b-3p"	0	4.97330490540986	0	1	1
"hsa-let-7b-5p"	0	11.0612753690154	0	1	1
"hsa-let-7c-5p"	0	4.5625485002897	0	1	1
"hsa-let-7d-3p"	0	6.84471459790131	0	1	1
"hsa-let-7d-5p"	0	10.0554994172283	0	1	1
"hsa-let-7e-5p"	0	6.77831138545635	0	1	1
"hsa-let-7f-1-3p"	0	3.4075348348147	0	1	1
"hsa-let-7f-2-3p"	0	3.95657283067492	0	1	1
"hsa-let-7f-5p"	0	15.3173685949268	0	1	1
"hsa-let-7g-3p"	0	5.56483241754946	0	1	1
"hsa-let-7g-5p"	0	15.3845743188674	0	1	1
"hsa-let-7i-3p"	0	7.30086453972712	0	1	1
"hsa-let-7i-5p"	0	13.0860240496365	0	1	1
"hsa-miR-1-3p"	0	2.00745986424155	0	1	1
"hsa-miR-100-5p"	0	7.25546585687757	0	1	1
"hsa-miR-101-3p"	0	14.4568313138444	0	1	1
"hsa-miR-101-5p"	0	5.93486200529009	0	1	1
"hsa-miR-103a-3p"	0	12.4207231442014	0	1	1
"hsa-miR-106a-5p"	0	4.76199041438873	0	1	1
"hsa-miR-106b-3p"	0	8.88045989635315	0	1	1
"hsa-miR-106b-5p"	0	8.62475749922175	0	1	1
"hsa-miR-107"	0	4.22613759742893	0	1	1
"hsa-miR-10a-5p"	0	12.1811795183293	0	1	1
"hsa-miR-10b-5p"	0	5.40026587989813	0	1	1
"hsa-miR-1248"	0	3.72442502397945	0	1	1
"hsa-miR-1249-3p"	0	3.43574771457285	0	1	1
"hsa-miR-1255a"	0	2.17915857140622	0	1	1
"hsa-miR-125a-3p"	0	2.56792930840056	0	1	1
"hsa-miR-125a-5p"	0	12.7609113634667	0	1	1
"hsa-miR-125b-2-3p"	0	2.77953607125929	0	1	1
"hsa-miR-125b-5p"	0	7.41533951891147	0	1	1
"hsa-miR-126-3p"	0	3.77253760292374	0	1	1
"hsa-miR-126-5p"	0	5.4293002076527	0	1	1
"hsa-miR-1260a"	0	5.21381927891615	0	1	1
"hsa-miR-1260b"	0	3.68120137592301	0	1	1
"hsa-miR-127-3p"	0	3.21699125253921	0	1	1
"hsa-miR-1271-5p"	0	7.12982344700266	0	1	1
"hsa-miR-1273h-3p"	0	4.4703571197796	0	1	1
"hsa-miR-128-1-5p"	0	3.19941398265037	0	1	1
"hsa-miR-128-3p"	0	9.55061707708712	0	1	1
"hsa-miR-1285-3p"	0	3.71309655926823	0	1	1
"hsa-miR-1287-5p"	0	2.95156639045412	0	1	1
"hsa-miR-1291"	0	2.86695626835836	0	1	1
"hsa-miR-1294"	0	2.36012302288568	0	1	1
"hsa-miR-1301-3p"	0	4.8932050911441	0	1	1
"hsa-miR-1304-3p"	0	3.70024317782985	0	1	1
"hsa-miR-1306-5p"	0	2.92535843776388	0	1	1
"hsa-miR-1307-3p"	0	7.16230751729075	0	1	1
"hsa-miR-1307-5p"	0	8.64968277120463	0	1	1
"hsa-miR-130a-3p"	0	4.64169748650831	0	1	1
"hsa-miR-130b-3p"	0	7.1403538930083	0	1	1
"hsa-miR-130b-5p"	0	5.15820069661869	0	1	1
"hsa-miR-132-3p"	0	5.77306912318969	0	1	1
"hsa-miR-132-5p"	0	3.69800092493217	0	1	1
"hsa-miR-133a-3p"	0	2.69247276880799	0	1	1
"hsa-miR-140-3p"	0	12.7817453958325	0	1	1
"hsa-miR-140-5p"	0	6.90343311903644	0	1	1
"hsa-miR-141-3p"	0	8.83185399399287	0	1	1
"hsa-miR-142-3p"	0	12.9657210404339	0	1	1
"hsa-miR-142-5p"	0	16.2003995724499	0	1	1
"hsa-miR-143-3p"	0	4.74328068064976	0	1	1
"hsa-miR-1468-5p"	0	5.14231704463007	0	1	1
"hsa-miR-146a-3p"	0	3.18470270957299	0	1	1
"hsa-miR-146a-5p"	0	12.3723641970779	0	1	1
"hsa-miR-146b-3p"	0	9.43895235494282	0	1	1
"hsa-miR-146b-5p"	0	14.3405988221363	0	1	1
"hsa-miR-148a-3p"	0	11.9557181637349	0	1	1
"hsa-miR-148a-5p"	0	4.93638639896617	0	1	1
"hsa-miR-148b-3p"	0	9.84342624568777	0	1	1
"hsa-miR-148b-5p"	0	5.98051429694456	0	1	1
"hsa-miR-150-3p"	0	8.107294699171	0	1	1
"hsa-miR-150-5p"	0	18.0416618914671	0	1	1
"hsa-miR-151a-3p"	0	9.26629740522196	0	1	1
"hsa-miR-151a-5p"	0	9.73324961087912	0	1	1
"hsa-miR-151b"	0	4.1500234732231	0	1	1
"hsa-miR-152-3p"	0	6.91824675092438	0	1	1
"hsa-miR-152-5p"	0	2.13258826586721	0	1	1
"hsa-miR-153-3p"	0	4.07497308931575	0	1	1
"hsa-miR-155-5p"	0	10.3973036420512	0	1	1
"hsa-miR-15a-5p"	0	11.2456036976336	0	1	1
"hsa-miR-15b-3p"	0	5.86423206376365	0	1	1
"hsa-miR-15b-5p"	0	8.91887243910014	0	1	1
"hsa-miR-16-2-3p"	0	7.8547456462974	0	1	1
"hsa-miR-16-5p"	0	13.5198004423515	0	1	1
"hsa-miR-17-3p"	0	7.66361189279178	0	1	1
"hsa-miR-17-5p"	0	8.28163081893114	0	1	1
"hsa-miR-181a-2-3p"	0	9.64871769513177	0	1	1
"hsa-miR-181a-3p"	0	8.43331958905307	0	1	1
"hsa-miR-181a-5p"	0	15.1670703567105	9.09494701772928e-13	0.999999239077987	1
