"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-3p"	0	4.83355488344806	0	1	1
"hsa-let-7a-5p"	0	15.7366839625149	0	1	1
"hsa-let-7b-3p"	0	4.28996606196261	0	1	1
"hsa-let-7b-5p"	0	10.7645106624708	0	1	1
"hsa-let-7d-3p"	0	7.42458515615589	0	1	1
"hsa-let-7d-5p"	0	10.6719245190554	0	1	1
"hsa-let-7e-5p"	0	7.29713774416589	0	1	1
"hsa-let-7f-1-3p"	0	3.19214775601111	0	1	1
"hsa-let-7f-2-3p"	0	3.47148763398784	0	1	1
"hsa-let-7f-5p"	0	15.3820219395223	0	1	1
"hsa-let-7g-3p"	0	4.84169870928097	0	1	1
"hsa-let-7g-5p"	0	14.5973932746232	0	1	1
"hsa-let-7i-3p"	0	8.17865136842809	0	1	1
"hsa-let-7i-5p"	0	13.5536120751407	0	1	1
"hsa-miR-100-5p"	0	5.28914836091246	0	1	1
"hsa-miR-101-3p"	0	13.5695301141814	0	1	1
"hsa-miR-101-5p"	0	4.53754544817308	0	1	1
"hsa-miR-103a-3p"	0	12.1061588876741	0	1	1
"hsa-miR-106a-5p"	0	4.6530557030807	0	1	1
"hsa-miR-106b-3p"	0	9.67869892913134	0	1	1
"hsa-miR-106b-5p"	0	8.22658248356939	0	1	1
"hsa-miR-10a-5p"	0	11.4891295011214	0	1	1
"hsa-miR-10b-5p"	0	6.96159979218363	0	1	1
"hsa-miR-122-5p"	0	5.18148658740179	0	1	1
"hsa-miR-1248"	0	4.07289694605536	0	1	1
"hsa-miR-125a-5p"	0	8.23107451108664	0	1	1
"hsa-miR-125b-5p"	0	3.76523011838835	0	1	1
"hsa-miR-126-3p"	0	3.94296303261201	0	1	1
"hsa-miR-126-5p"	0	7.69846712757521	0	1	1
"hsa-miR-1260a"	0	3.34533451446413	0	1	1
"hsa-miR-127-3p"	0	4.65187427862792	0	1	1
"hsa-miR-1271-5p"	0	6.6071716911154	0	1	1
"hsa-miR-1273h-3p"	0	5.98612050962596	0	1	1
"hsa-miR-128-1-5p"	0	5.72376925133934	0	1	1
"hsa-miR-128-3p"	0	8.50173311380234	0	1	1
"hsa-miR-1299"	0	3.62900575885717	0	1	1
"hsa-miR-1301-3p"	0	4.06955959874666	0	1	1
"hsa-miR-1304-3p"	0	5.01769483962267	0	1	1
"hsa-miR-1307-3p"	0	6.89244890175782	0	1	1
"hsa-miR-1307-5p"	0	7.22902421355384	0	1	1
"hsa-miR-130a-3p"	0	4.63928755744049	0	1	1
"hsa-miR-130b-3p"	0	6.60273228960151	0	1	1
"hsa-miR-130b-5p"	0	3.64046644945587	0	1	1
"hsa-miR-132-3p"	0	5.69869500894117	0	1	1
"hsa-miR-138-5p"	0	5.34237700123335	0	1	1
"hsa-miR-140-3p"	0	12.3377515597698	0	1	1
"hsa-miR-140-5p"	0	6.06870149378639	0	1	1
"hsa-miR-141-3p"	0	10.1844795729473	0	1	1
"hsa-miR-142-3p"	0	11.4461566946871	0	1	1
"hsa-miR-142-5p"	0	16.3265853763062	0	1	1
"hsa-miR-143-3p"	0	7.32531936524713	0	1	1
"hsa-miR-144-5p"	0	2.88418550269118	0	1	1
"hsa-miR-1468-5p"	0	5.42388005351222	0	1	1
"hsa-miR-146a-5p"	0	13.5426293334807	0	1	1
"hsa-miR-146b-3p"	0	7.14174064911262	0	1	1
"hsa-miR-146b-5p"	0	14.6887129108849	0	1	1
"hsa-miR-148a-3p"	0	10.9867467545208	0	1	1
"hsa-miR-148a-5p"	0	5.85608699152411	0	1	1
"hsa-miR-148b-3p"	0	10.3382258720417	0	1	1
"hsa-miR-148b-5p"	0	5.29232079952284	0	1	1
"hsa-miR-150-3p"	0	7.30753226358984	0	1	1
"hsa-miR-150-5p"	0	14.2387122198505	-5.96855898038484e-13	1	1
"hsa-miR-151a-3p"	0	13.1725204491608	0	1	1
"hsa-miR-151a-5p"	0	12.3874302020566	0	1	1
"hsa-miR-151b"	0	8.2972669175301	0	1	1
"hsa-miR-152-3p"	0	4.61572597407752	0	1	1
"hsa-miR-155-5p"	0	14.1988608785557	0	1	1
"hsa-miR-15a-5p"	0	12.0155041901144	0	1	1
"hsa-miR-15b-3p"	0	5.26518996205431	0	1	1
"hsa-miR-15b-5p"	0	8.32475843073447	0	1	1
"hsa-miR-16-2-3p"	0	6.92613171189805	0	1	1
"hsa-miR-16-5p"	0	15.1507230842495	0	1	1
"hsa-miR-17-3p"	0	7.32993640906634	0	1	1
"hsa-miR-17-5p"	0	9.09459999230145	0	1	1
"hsa-miR-181a-2-3p"	0	8.52599366373641	0	1	1
"hsa-miR-181a-3p"	0	9.31741442181254	0	1	1
"hsa-miR-181a-5p"	0	16.9813563653483	0	1	1
"hsa-miR-181b-5p"	0	11.171159191273	0	1	1
"hsa-miR-181c-3p"	0	3.81709469301033	0	1	1
"hsa-miR-181c-5p"	0	8.25931338967469	0	1	1
"hsa-miR-181d-5p"	0	3.73167745269537	0	1	1
"hsa-miR-182-5p"	0	8.22910234630364	0	1	1
"hsa-miR-183-5p"	0	5.98815445628111	0	1	1
"hsa-miR-185-5p"	0	5.57939863486845	0	1	1
"hsa-miR-186-5p"	0	13.6964873075749	0	1	1
"hsa-miR-188-5p"	0	2.71208832364155	0	1	1
"hsa-miR-18a-3p"	0	3.61211954538931	0	1	1
"hsa-miR-18a-5p"	0	5.06950831263503	0	1	1
"hsa-miR-191-5p"	0	15.0498220770376	0	1	1
"hsa-miR-192-5p"	0	12.4359777565405	0	1	1
"hsa-miR-193a-5p"	0	6.24819566260371	0	1	1
"hsa-miR-193b-3p"	0	4.37993061891021	0	1	1
"hsa-miR-194-5p"	0	6.35982831288695	0	1	1
"hsa-miR-195-5p"	0	6.57529575606477	0	1	1
"hsa-miR-197-3p"	0	9.40411424009423	0	1	1
"hsa-miR-1976"	0	3.69076779228781	0	1	1
"hsa-miR-199a-3p"	0	5.31580264724807	0	1	1
"hsa-miR-199b-3p"	0	4.21511199565198	0	1	1
"hsa-miR-199b-5p"	0	3.90347796751157	0	1	1
"hsa-miR-19a-3p"	0	7.43244127663729	0	1	1
"hsa-miR-19b-3p"	0	10.4057446202919	0	1	1
"hsa-miR-200a-3p"	0	5.13251858797119	0	1	1
"hsa-miR-200b-3p"	0	5.41035663079819	0	1	1
"hsa-miR-200c-3p"	0	5.56958217242499	0	1	1
"hsa-miR-20a-5p"	0	10.4681661855417	0	1	1
"hsa-miR-20b-5p"	0	6.39847284740898	0	1	1
"hsa-miR-21-3p"	0	12.109749916486	0	1	1
"hsa-miR-21-5p"	0	15.0378079580668	0	1	1
"hsa-miR-210-3p"	0	5.97537876761503	0	1	1
"hsa-miR-210-5p"	0	4.15291506198623	0	1	1
"hsa-miR-2110"	0	3.62377964147975	0	1	1
"hsa-miR-2110-3p"	0	3.67932454728923	0	1	1
"hsa-miR-212-3p"	0	3.06651933034685	0	1	1
"hsa-miR-215-5p"	0	3.82518854628953	0	1	1
