"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	6.13025423218692	3.16612106018428	27.0091267018081	2.0249707795252e-07	6.19173757585589e-07
"hsa-let-7a-3p"	1.50676309271039	6.02228334314872	4.80684318800232	0.02834692791211	0.0416045680433122
"hsa-let-7a-5p"	-1.37992634297149	15.654919324399	6.36042546859721	0.0116693557701931	0.0191281192521722
"hsa-let-7b-3p"	2.61617080399211	6.25958428562178	25.7910962866147	3.80439434257632e-07	1.12018277864747e-06
"hsa-let-7b-5p"	0.52575534007307	11.3798508821518	1.13594696458557	0.286510386157389	0.336614419204617
"hsa-let-7c-5p"	6.0040695488711	8.09054229581894	47.4379884087438	5.67717526165085e-12	3.47181102539417e-11
"hsa-let-7d-3p"	-0.871139756930867	7.4823416680896	3.03977390314858	0.0812472325612555	0.106762892373881
"hsa-let-7d-5p"	-1.58535373258367	10.5381648812911	5.76816138084142	0.016319099614945	0.0256059556458183
"hsa-let-7e-3p"	7.12517927469817	3.17689783719063	37.9937968104152	7.09699145892818e-10	3.13450456102661e-09
"hsa-let-7e-5p"	3.4631994899254	9.99744520904728	5.44679807442053	0.0196042256884735	0.0300682175350542
"hsa-let-7f-1-3p"	1.15111888029124	4.04004116923761	4.32534467451324	0.0375488088730998	0.0534650203954287
"hsa-let-7f-2-3p"	0.724922934381731	4.12972250344331	1.77777069930347	0.182423310159968	0.221979385067104
"hsa-let-7f-5p"	-1.5055990845545	15.2731129128166	7.59305763149041	0.00585934887765411	0.00987600499873148
"hsa-let-7g-3p"	-2.67238884615465	4.58114147106053	15.0545834898042	0.00010444631055934	0.000225433892021743
"hsa-let-7g-5p"	-3.82173572102892	14.2385658639236	46.7420560448409	8.09725069698852e-12	4.88909947147282e-11
"hsa-let-7i-3p"	-3.1341139764618	7.86699634192779	34.2138530063955	4.93762106879313e-09	1.93052889329043e-08
"hsa-let-7i-5p"	-0.0680564392316928	13.8823897139022	0.0157943629324109	0.89998869661963	0.91926040318536
"hsa-miR-100-3p"	10.0263419225595	6.6820090015408	70.0747223809891	5.70999989738807e-17	1.08946798042164e-15
"hsa-miR-100-5p"	11.6841172752162	16.0646242708399	108.629141091502	1.95676532043162e-25	9.33377057845885e-24
"hsa-miR-101-3p"	-4.40849622769748	13.2136868238968	24.5238355598043	7.33962411007049e-07	2.08392898839501e-06
"hsa-miR-101-5p"	-4.88498481835821	4.16459203024133	22.1046654412235	2.58181507578663e-06	6.91868421994507e-06
"hsa-miR-103a-3p"	-1.20965652757384	12.0601012906983	4.4601991278946	0.0346934529594212	0.0499054694664979
"hsa-miR-106a-5p"	-6.65432201053232	4.23425423119681	56.9104997596002	4.56104122646565e-14	3.95566666368021e-13
"hsa-miR-106b-3p"	-3.01871671350246	9.35098824843168	15.1982726049634	9.67919203233517e-05	0.00021082075796456
"hsa-miR-106b-5p"	-1.52309429248265	8.15264539392867	3.35128466930992	0.0671525864576913	0.0900110660853493
"hsa-miR-107"	1.96685375133676	4.60603624812344	10.4414942154906	0.00123215551136095	0.00230485560360461
"hsa-miR-10a-3p"	4.39720639216583	2.80141971155325	20.37854502139	6.35381737104422e-06	1.59514257157268e-05
"hsa-miR-10a-5p"	1.42033814305898	12.6491114193502	6.6275443874739	0.0100413600013903	0.0166310025023027
"hsa-miR-10b-5p"	4.01398060503665	10.2402858143303	6.82442874892551	0.0089919311957289	0.0149970320991702
"hsa-miR-1180-3p"	3.93751192590988	3.63483479220746	21.4374355903476	3.65563606483196e-06	9.47683914633069e-06
"hsa-miR-1185-1-3p"	8.13944453122895	4.84807036120334	55.845774384195	7.83850381019983e-14	6.23161052910887e-13
"hsa-miR-1185-2-3p"	6.11849294575041	2.45999193094401	24.5355908138291	7.29498279410786e-07	2.08365676214937e-06
"hsa-miR-1185-5p"	7.01137377384698	3.69054254674183	39.6210564458829	3.08340771463421e-10	1.47078547988052e-09
"hsa-miR-1197"	7.46785953677704	3.44813494227908	34.537616537581	4.18092944944045e-09	1.66191945615258e-08
"hsa-miR-122-5p"	-4.78975947399568	4.80639090849316	11.9276135479727	0.000553079806808321	0.00109016143738665
"hsa-miR-1226-3p"	1.37689744011054	2.397058379461	2.81134035295296	0.0936001418038803	0.122321281206715
"hsa-miR-1247-5p"	4.19963046031798	1.79984452233133	3.58940066660737	0.0581492110900498	0.0794761423780909
"hsa-miR-1248"	-4.87084916149152	3.69857957264555	14.2787400410676	0.000157635277185213	0.000332708085032508
"hsa-miR-1249-3p"	1.9456995695991	3.37993718167947	11.0578872476021	0.000883107167809241	0.00169173541785144
"hsa-miR-125a-3p"	4.15400188623586	3.52001930442254	22.3149580457657	2.31397130163885e-06	6.23595655865386e-06
"hsa-miR-125a-5p"	4.01728999397682	11.467385034961	22.0496074394988	2.65694015003499e-06	7.08022598640608e-06
"hsa-miR-125b-1-3p"	12.5599845985247	8.9641357976351	131.704616868833	1.7362340399287e-30	2.07045909261497e-28
"hsa-miR-125b-2-3p"	5.97911753637312	5.90611369630766	39.8754150870593	2.70688963718531e-10	1.3042286433711e-09
"hsa-miR-125b-5p"	9.83265244046898	12.5619086992794	151.35120253149	8.78268995726675e-35	2.09467155480812e-32
"hsa-miR-126-3p"	2.35751679696227	5.67109486151972	8.64137827081291	0.00328612734476516	0.00584881620691411
"hsa-miR-126-5p"	-0.0431791317873999	8.06476008892081	0.00156625426260604	0.968431217204117	0.976620910372863
