"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	5.60159500551067	3.40223909641549	28.9442491450703	7.44916397815288e-08	2.00246343498733e-07
"hsa-let-7a-3p"	1.31195762674522	6.60426706034409	5.60083577289479	0.0179519116291665	0.0252843825762908
"hsa-let-7a-5p"	-1.16556585575132	15.6324677733401	21.1842243356584	4.17184332234684e-06	8.99974983679872e-06
"hsa-let-7b-3p"	2.01633686516584	6.57301083250455	27.7170468329963	1.40419859950874e-07	3.71481110981149e-07
"hsa-let-7b-5p"	0.729387695698785	11.9556071153785	4.75236933004075	0.0292579829870688	0.0393252459503613
"hsa-let-7c-3p"	6.18404615629013	2.94970906993649	23.9752553259252	9.75818040477634e-07	2.24842866469501e-06
"hsa-let-7c-5p"	6.994656627456	10.0705820602499	140.161290165421	2.4543893181233e-32	3.40887405294903e-31
"hsa-let-7d-3p"	-0.639847874946805	7.68571636180022	5.71702373330913	0.0168011869323082	0.0237977152015697
"hsa-let-7d-5p"	-1.0272006199436	10.5916492516993	14.0111120866527	0.000181733452931702	0.000321083839101946
"hsa-let-7e-3p"	7.83798782367191	4.32672995763101	60.6447625193318	6.83617124978283e-15	3.35106433812884e-14
"hsa-let-7e-5p"	4.23676892955395	11.2040715720155	17.7141650517689	2.56707881621877e-05	5.09341034964041e-05
"hsa-let-7f-1-3p"	1.42800792282833	4.81139466076666	15.2588840303055	9.3734816880305e-05	0.000174878389702062
"hsa-let-7f-2-3p"	1.01076260693995	4.85936628733997	3.64430120025643	0.0562614091506538	0.0719455359982785
"hsa-let-7f-5p"	-1.49029603169926	15.1300840290124	38.2039943932403	6.3721846042817e-10	2.10999490208003e-09
"hsa-let-7g-3p"	-2.4002935847911	4.3971845663689	28.7612916894277	8.18711814418988e-08	2.18906902251066e-07
"hsa-let-7g-5p"	-3.17085243647034	13.907354612385	147.222223488517	7.01701337674844e-34	1.16970747084198e-32
"hsa-let-7i-3p"	-3.36936969995434	7.48619941386363	94.7440122886409	2.16667876799375e-22	1.90059541052083e-21
"hsa-let-7i-5p"	-0.338920792267207	13.9205593015943	1.53368901776969	0.215559632204593	0.250069178891639
"hsa-miR-100-3p"	9.727507464955	7.22291189936462	173.534032436328	1.25124916127546e-39	2.84374809380786e-38
"hsa-miR-100-5p"	10.7843946353682	16.3343286600639	90.410927402591	1.93494533301412e-21	1.58602076476567e-20
"hsa-miR-101-3p"	-3.65122610820272	12.9421415260735	71.5294407427696	2.7315192337233e-17	1.64549351429115e-16
"hsa-miR-101-5p"	-2.30663954922668	4.15107741075743	20.9004287933985	4.83786287977131e-06	1.02064617716694e-05
"hsa-miR-103a-3p"	-0.580166620506282	12.3130460255649	5.47205837798724	0.0193228545751571	0.0270628215338334
"hsa-miR-106a-5p"	-7.59064725024913	3.645054352196	152.582148549286	4.72709703693744e-35	8.44124470881685e-34
"hsa-miR-106b-3p"	-2.63203364098257	8.98913152502959	82.8146520655475	9.01194856375656e-20	6.43710611696897e-19
"hsa-miR-106b-5p"	-0.960135641512162	8.47058722138535	4.2459361473521	0.0393443727091123	0.0517460386041639
"hsa-miR-107"	1.61162928570166	4.95820717356544	12.034881975586	0.000522141403885407	0.000884985430314249
"hsa-miR-10a-3p"	5.14714865349595	4.11953203024772	18.6323184767827	1.58510523064124e-05	3.19577667467992e-05
"hsa-miR-10a-5p"	2.15651405719266	13.9343822751536	14.4152690464377	0.000146608737924972	0.000263684780440598
"hsa-miR-10b-3p"	4.93653711044451	2.09513735501005	5.87806171532631	0.0153306895526122	0.0219009850751603
"hsa-miR-10b-5p"	5.82568573399414	13.110960584775	7.92628002613751	0.00487218639377898	0.00749567137504459
"hsa-miR-1180-3p"	4.36406483837358	4.72854678295292	60.5658711154822	7.11570622943418e-15	3.45422632496805e-14
"hsa-miR-1185-1-3p"	6.29564846613763	3.95611976714031	27.068057105128	1.96416865567305e-07	5.08851983334986e-07
