"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-3p"	-1.2237596352038	4.8540421792842	3.78016886298235	0.0518634263488528	0.0714578223743106
"hsa-let-7a-5p"	-2.15047629608931	15.5584615682853	22.2397650648493	2.40638065313854e-06	7.29318444105065e-06
"hsa-let-7b-3p"	0.594137488205199	4.96929429005391	2.76025088074201	0.0966330821929852	0.124422988183125
"hsa-let-7b-5p"	-0.879388441875455	10.8619271664239	5.70086566968629	0.0169565477772222	0.0256956916316368
"hsa-let-7c-5p"	-0.867222832874629	3.24743027945639	3.23840187121912	0.0719307707338612	0.0944690788971377
"hsa-let-7d-3p"	0.047385195529269	7.85694519665023	0.0206611262211469	0.885705952336372	0.9159268903426
"hsa-let-7d-5p"	-0.938108017084159	10.7358311749952	3.38693723770723	0.0657149113065337	0.0874718751850483
"hsa-let-7e-5p"	-0.649827016298873	7.38790129773154	0.219253652102992	0.639609187338501	0.696274215217498
"hsa-let-7f-1-3p"	-0.288679707579352	3.42142277934368	0.412885823320027	0.520508397729589	0.582614513367779
"hsa-let-7f-2-3p"	-1.33563049549753	3.43475710131125	6.40187533054187	0.0113999882416559	0.0178237911397319
"hsa-let-7f-5p"	-2.27463808719561	15.1868289109932	21.5721872687627	3.40757633026958e-06	9.94507462315715e-06
"hsa-let-7g-3p"	-2.95020981732003	4.58046076166644	31.3727781071737	2.12945691995686e-08	9.02157017702155e-08
"hsa-let-7g-5p"	-2.46025416843672	14.3936702312414	40.461807201323	2.00497162263751e-10	1.19690730199875e-09
"hsa-let-7i-3p"	-3.77413122547803	7.86959951102911	67.2233696214384	2.42423377135764e-16	2.72899458832832e-15
"hsa-let-7i-5p"	-2.84364842914225	13.2917380257729	33.6221226315621	6.6927203312769e-09	3.21577050063792e-08
"hsa-miR-100-5p"	3.48166112067836	8.09543491349685	19.4162815214188	1.05107168261422e-05	2.8560154686207e-05
"hsa-miR-101-3p"	-0.453419292112931	13.8408787455863	0.502802734141596	0.478271207058045	0.541490964312844
"hsa-miR-101-5p"	0.5896090205066	5.23169420835923	1.16628446468655	0.280166000290385	0.33551794563651
"hsa-miR-103a-2-5p"	1.8183769221505	2.41192519013577	5.11508708487541	0.023718675838291	0.0352647482274969
"hsa-miR-103a-3p"	0.505162651755378	12.7450585898912	1.29974540247269	0.254259734003072	0.305421753650032
"hsa-miR-106a-5p"	-3.17698589373275	4.35124031491053	47.7528310625795	4.83485555331581e-12	3.80986617601286e-11
"hsa-miR-106b-3p"	-1.78234837371683	9.5515020084838	11.7643858491269	0.000603747993717313	0.00120139752285162
"hsa-miR-106b-5p"	0.175336164159708	8.74999918619615	0.0729219251195303	0.787129019920318	0.832874516717385
"hsa-miR-107"	0.511680856552234	3.79743680604646	0.93369110928826	0.333905625833114	0.392712885308199
"hsa-miR-10a-5p"	-2.061358764249	11.3427815865435	22.0272674782112	2.68804432382464e-06	8.08465239379318e-06
"hsa-miR-10b-5p"	-4.53768644689141	6.63960480399015	22.8478424127133	1.75346056324561e-06	5.52690769535016e-06
"hsa-miR-122-5p"	-8.15097339126871	4.80536693108573	21.7511759360087	3.10399549579648e-06	9.13451913369048e-06
"hsa-miR-1226-3p"	2.08898798063198	2.82385685764983	11.1859995913884	0.000824168437835366	0.0015917762966036
"hsa-miR-1248"	-2.14792960631357	3.90454222072536	3.43152130451699	0.0639631557608123	0.08571933118966
"hsa-miR-1249-3p"	2.86558028874382	4.07471100227216	37.1222156777562	1.10952430039078e-09	5.98839142950641e-09
"hsa-miR-1255a"	0.130014502805722	2.93949060295942	0.0281185370863852	0.866830445523175	0.903378024318849
"hsa-miR-125a-3p"	3.76076536818515	3.26713586066299	25.6413391384062	4.11136591589698e-07	1.44631979541376e-06
"hsa-miR-125a-5p"	2.62578248624166	10.2871311779048	13.3588046764849	0.000257212193714885	0.000544847335073466
"hsa-miR-125b-5p"	2.18782226163741	5.42293488883993	26.8156362241954	2.23819024820083e-07	8.31931092255781e-07
"hsa-miR-126-3p"	3.50977001883873	6.69224166000523	34.1242489740633	5.17029329946719e-09	2.54636944998759e-08
"hsa-miR-126-5p"	1.20072689141971	8.77617320766518	1.52783521821077	0.216437630850068	0.26238900478439
"hsa-miR-1260a"	3.29478855430845	5.80970241607199	55.2425056569033	1.06539740717049e-13	9.32814618722609e-13
"hsa-miR-1260b"	2.67792442660705	4.61979364089358	35.8846878616671	2.09347503727411e-09	1.04408755023544e-08
"hsa-miR-127-3p"	3.40812674304668	7.36503657023664	20.7233273466835	5.30655875946389e-06	1.52611981841516e-05
"hsa-miR-1271-5p"	-3.31938580213028	6.34741457438152	12.975158098752	0.000315651204541163	0.000661524332921374
"hsa-miR-1273h-3p"	-1.30859551518486	5.96846769641686	9.13826958460205	0.0025031773220487	0.00442265410263314
"hsa-miR-128-1-5p"	-3.55098822250302	5.31716471739717	9.16596427600718	0.00246557685598862	0.00439564380660414
"hsa-miR-128-3p"	0.797174853666772	9.32037041468575	4.60783790251971	0.0318261357965167	0.0455981727411913
"hsa-miR-1285-3p"	2.08502848848628	2.41814770983426	6.90011425878909	0.0086190240958656	0.0138044532267116
"hsa-miR-1294"	0.329270784499218	2.99255820934085	0.353573669876702	0.552097100247382	0.61448095338268
"hsa-miR-1299"	-5.73938166310919	3.04912178826297	5.82324302231837	0.0158157579816729	0.0241527466851904
"hsa-miR-1301-3p"	1.72928813031511	5.36730778640772	9.80593948338964	0.00173949150055901	0.00317802841930338
"hsa-miR-1304-3p"	0.107920885056172	5.41653765509128	0.0272076127430934	0.868985459941228	0.903378024318849
"hsa-miR-1306-5p"	3.17873861562909	2.61825904549562	17.4453660578973	2.9568419363728e-05	7.56490729175899e-05
"hsa-miR-1307-3p"	-0.333099577038402	7.14373785295631	0.387519984224014	0.533605892346911	0.595582780693153
"hsa-miR-1307-5p"	0.0583961555003436	7.68472959626235	0.0157673149145836	0.900073919015809	0.924614395823582
"hsa-miR-130a-3p"	2.32018835462011	6.45507594028018	30.2279613988818	3.84131368325614e-08	1.57653915750304e-07
"hsa-miR-130b-3p"	0.524216940611167	7.25782910548009	2.08750817920871	0.148508126411143	0.187388151611408
"hsa-miR-130b-5p"	2.4730313783998	5.47134531586815	20.1038581469855	7.33485633242899e-06	2.04959815246597e-05
"hsa-miR-132-3p"	-0.612837013735258	5.81205144609762	0.492922514789039	0.482626525918262	0.544856307197121
"hsa-miR-132-5p"	1.66373462316023	3.25327512320354	10.005430378475	0.00156079312360241	0.00288710089530211
"hsa-miR-133a-3p"	0.614315172471804	2.40782663353047	0.338776624060349	0.560536230273996	0.620368749235827
"hsa-miR-134-5p"	6.16702020554898	2.53372968042232	14.0825828972749	0.000174956383847159	0.000391663722930571
"hsa-miR-136-3p"	1.7861723836725	2.41352281424913	3.29158899792463	0.0696356010756451	0.0923785414942901
"hsa-miR-138-5p"	-7.10806032793499	4.95885237894532	67.4287247524072	2.1844304317833e-16	2.53136938271359e-15
"hsa-miR-139-5p"	3.08681048950256	2.5920080313664	13.158348296076	0.000286241087408335	0.000603096194860342
"hsa-miR-140-3p"	0.0411667119154343	12.7858974452403	0.0129231400224583	0.909491475706047	0.928341039969384
"hsa-miR-140-5p"	-0.033502927312189	6.48268591356415	0.00546656508290244	0.941061132867046	0.955613624612412
"hsa-miR-141-3p"	-4.81674215698767	9.86090997785296	29.213995841576	6.48093682374815e-08	2.52820703817502e-07
"hsa-miR-142-3p"	0.0118456002952926	11.9024227786306	0.000233473573803877	0.987808924301896	0.995388020907793
"hsa-miR-142-5p"	-2.68554910206293	16.1155058780851	29.0770371352009	6.95565550061279e-08	2.68679241886415e-07
"hsa-miR-143-3p"	8.10549628886493	14.6219813992049	248.650736799887	5.11204122213372e-56	2.01414424152068e-53
"hsa-miR-143-5p"	7.45545632298933	4.28439676913646	92.1650835523548	7.97393274496367e-22	1.84807617736217e-20
"hsa-miR-144-3p"	3.22068254379103	4.45125845736682	16.8884173215034	3.96427509168135e-05	0.000100123358084773
"hsa-miR-144-5p"	4.63993541289989	6.47563725655297	24.0017513146683	9.62481144407198e-07	3.1240971523392e-06
"hsa-miR-145-3p"	9.42988784175194	6.99401156223857	173.039704814775	1.60434650902142e-39	3.16056262277219e-37
"hsa-miR-145-5p"	8.05528797995032	7.23585936688204	168.448265691545	1.61469177554603e-38	2.12062853188378e-36
"hsa-miR-1468-5p"	-3.6269277073954	5.10459752767213	60.9633893925248	5.81461227129924e-15	5.45466008307596e-14
"hsa-miR-146a-5p"	-4.62161587318132	13.1799395999922	67.9642948200365	1.66483074378554e-16	1.98770700924698e-15
"hsa-miR-146b-3p"	-3.06802689488613	6.80711604434306	10.1868930552878	0.00141442435632195	0.00264115258953009
"hsa-miR-146b-5p"	-4.40134693443353	14.280172671817	10.8652951622194	0.000979831335635404	0.00185602666461706
"hsa-miR-148a-3p"	3.906636261011	14.2141179364964	74.8995011483021	4.9529516709389e-18	7.50562676288433e-17
"hsa-miR-148a-5p"	1.69867993408884	7.19180283938024	4.67671183661693	0.0305742173367399	0.0439643855134143
"hsa-miR-148b-3p"	0.457518191854882	10.968310169429	1.77551880044992	0.182700556110914	0.224249280709346
"hsa-miR-148b-5p"	0.55866005831346	5.95458634930365	2.81899054462347	0.093154972138298	0.120337898434391
"hsa-miR-150-3p"	-5.15868371030739	6.961144764472	72.966411469481	1.31875160366429e-17	1.676090747883e-16
"hsa-miR-150-5p"	-4.37245778910959	13.9066628192488	74.4651528274258	6.17181349047442e-18	8.78864029259477e-17
"hsa-miR-151a-3p"	-4.82422723859914	12.8083160991002	82.5679669053803	1.02098345609759e-19	1.74898905088022e-18
"hsa-miR-151a-5p"	-3.27364936995558	12.1118772212977	49.4083666222613	2.0785726962704e-12	1.67134212720518e-11
"hsa-miR-151b"	-7.25725263437297	7.88755214883516	88.3086431469285	5.59982360703587e-21	1.16122657956428e-19
"hsa-miR-152-3p"	-1.46565572496813	4.55488733586979	8.64010591174455	0.00328842312830847	0.00565781097184951
"hsa-miR-155-5p"	-8.76764665729944	13.7440518414515	30.0517007839732	4.20679409316065e-08	1.69130293133193e-07
"hsa-miR-15a-5p"	-1.486312375825	11.9878181895332	10.1102647926784	0.00147445777662134	0.00274026586787173
"hsa-miR-15b-3p"	0.93903556788168	6.13400547204188	6.26394379472024	0.0123219604681498	0.0190386369586315
"hsa-miR-15b-5p"	1.92880014415246	9.87844301059281	32.0123096656481	1.53198728962162e-08	6.85158052980477e-08
"hsa-miR-16-2-3p"	-0.668462342203216	7.09650476665178	3.17590689425294	0.0747317143082972	0.0978215795264753
"hsa-miR-16-5p"	-1.85928259925074	15.0498883407059	16.8697131330428	4.00353362610434e-05	0.000100470843865294
"hsa-miR-17-3p"	-0.754414388277545	7.47232660237184	5.43648301500061	0.0197203385561639	0.0296557763020175
"hsa-miR-17-5p"	-1.27136898231179	9.09415903970798	9.14645442062202	0.00249200476611733	0.00442265410263314
"hsa-miR-181a-2-3p"	-2.73150368032185	8.26464986627823	22.6581914659809	1.93533375089657e-06	6.05175791947021e-06
"hsa-miR-181a-3p"	-2.36529594970686	9.12184327149109	29.5650534893689	5.40710745615107e-08	2.15191953305406e-07
"hsa-miR-181a-5p"	-3.72290374111695	16.6541022077027	44.8446729029411	2.13300375934912e-11	1.47439207225185e-10
"hsa-miR-181b-5p"	-3.37647459002703	10.8637186646305	40.7594245928984	1.72171082085363e-10	1.04362163602513e-09
"hsa-miR-181c-3p"	3.12757029282353	6.1629760818676	50.2540793145597	1.35073628875731e-12	1.13231935695826e-11
"hsa-miR-181c-5p"	1.93141973297884	9.82459944489266	29.2894865242249	6.23329710607158e-08	2.4559190597922e-07
"hsa-miR-181d-5p"	1.96721142286257	5.15916575632562	14.1984699407179	0.000164504222137635	0.000372457678183867
"hsa-miR-182-5p"	-0.30495067508014	8.55020327311954	0.0928250455888531	0.760615954584574	0.809953205692763
"hsa-miR-183-5p"	-0.898738439550332	6.03318143841561	1.82846099594179	0.176309433166873	0.217080989586712
"hsa-miR-185-3p"	2.13038488010092	4.28359046374086	10.8726792878229	0.000975932415740134	0.00185602666461706
"hsa-miR-185-5p"	1.49532791065466	6.79836454262923	20.608425044061	5.63475969396109e-06	1.60876472421788e-05
"hsa-miR-186-5p"	-1.05800011858313	13.7717113907704	4.67728751056882	0.0305639724915006	0.0439643855134143
"hsa-miR-188-5p"	-3.13633614983539	2.29188614812659	4.8456196031933	0.0277164333898232	0.0402962168102965
"hsa-miR-18a-3p"	-0.234365254723234	3.82568495663834	0.0978273495486759	0.754452643931139	0.805567321704251
"hsa-miR-18a-5p"	0.684665061723591	5.81257999975686	1.8635317030643	0.17221774388319	0.213779953158912
"hsa-miR-190a-5p"	0.740507154451164	2.57478743608427	0.94211788487698	0.33173377040184	0.392501818433408
"hsa-miR-190b"	0.820973254746532	3.60599583062104	3.76294448774953	0.0524002262602617	0.0716864206477192
"hsa-miR-191-3p"	1.35485962824139	3.4078993454654	3.62256614870968	0.0570008881135367	0.0769121572490872
"hsa-miR-191-5p"	0.858400763749891	15.8777674436092	3.28118933502947	0.0700781287295676	0.0926536332867438
"hsa-miR-192-5p"	-1.33561817577084	12.4280784316655	11.5466730683962	0.000678705970113567	0.00134376960916957
"hsa-miR-193a-3p"	2.36323147046823	2.8179498334611	6.62929624736928	0.0100314889991213	0.0158096266626152
"hsa-miR-193a-5p"	0.370230619139838	6.79757315795845	0.4296149675106	0.512177938302148	0.576566021974418
"hsa-miR-193b-3p"	-5.62651017809465	3.97083791552818	63.5173901478111	1.58957338031829e-15	1.60587669703951e-14
"hsa-miR-194-5p"	-0.500448749683479	6.59318067512312	1.76398711531597	0.184127974882718	0.225299447527301
"hsa-miR-195-5p"	-5.31144316107121	6.22713607585407	46.8743936971661	7.56851547727416e-12	5.52221314452966e-11
"hsa-miR-196b-5p"	3.56341365947971	4.70116597759765	38.3210427839816	6.00120183704156e-10	3.4267732228904e-09
"hsa-miR-197-3p"	2.04471859810265	11.0493136925761	36.3057639687425	1.68664300748843e-09	8.64744869202217e-09
"hsa-miR-1976"	0.985428537293103	4.4962959976925	6.023879654465	0.0141135877279338	0.021637173403914
