"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	4.9886336018537	2.12720468643493	6.09624507591974	0.0135469438039143	0.0249145839039301
"hsa-let-7a-3p"	0.318895082693829	5.20927713825078	0.141165292570863	0.707125291093574	0.758787412817305
"hsa-let-7a-5p"	-1.12261482732077	15.6972279039678	1.68766967072747	0.193908442905036	0.256002719565638
"hsa-let-7b-3p"	2.00595508307945	5.49626671713648	10.4189388218837	0.00124729544183584	0.00287367087089631
"hsa-let-7b-5p"	0.669786614860467	11.2784898995097	0.809404810185072	0.368296277257484	0.441579720181167
"hsa-let-7c-5p"	7.10946483468446	8.71060890957791	43.0331492026203	5.3820177965272e-11	5.3820177965272e-10
"hsa-let-7d-3p"	-0.855349525916278	7.45000578985252	1.37854748326153	0.24034871876559	0.302042507539646
"hsa-let-7d-5p"	-1.2886342415099	10.594508058975	2.41031749956988	0.120537916517544	0.170641026395318
"hsa-let-7e-3p"	5.82961030391091	2.06580797626923	7.29576523211963	0.00691173251423656	0.0141239751377878
"hsa-let-7e-5p"	3.55571311319628	9.6750637972275	4.856343410025	0.0275446552918173	0.0459077588196954
"hsa-let-7f-1-3p"	0.591654122818069	3.60068561517167	0.681367885050964	0.409116095467841	0.479512630598217
"hsa-let-7f-2-3p"	1.06617736525687	4.10217234003494	0.606519848630574	0.436101165689994	0.507345415530439
"hsa-let-7f-5p"	-0.78249656206857	15.412799600489	1.06845719204716	0.301294189744085	0.370702275339581
"hsa-let-7g-3p"	-1.87397198568472	4.71622221264677	5.53886761422773	0.018598613628434	0.0327391326043595
"hsa-let-7g-5p"	-3.25790775139433	14.3481127348021	15.6113891725147	7.77846645622828e-05	0.000235863176414664
"hsa-let-7i-3p"	-2.9478719143296	7.95191344275222	14.308516143923	0.000155161335773315	0.000439312215743722
"hsa-let-7i-5p"	0.44334760467875	13.9624366988967	0.360809049038721	0.548057253392352	0.616493342135664
"hsa-miR-100-3p"	9.22106753086972	5.50598689195313	53.706751161677	2.327620467944e-13	4.75644182579861e-12
"hsa-miR-100-5p"	11.4898833250268	15.4044824123902	85.3355099314497	2.51800449823509e-20	3.94487371390165e-18
"hsa-miR-101-3p"	-3.71485757149238	13.328838914112	11.4676800054526	0.000708170313662529	0.00172455983119891
"hsa-miR-101-5p"	-3.45982583935561	4.30146924732493	6.69220848667994	0.00968351719173241	0.0185765431841397
"hsa-miR-103a-3p"	-1.1025996415954	12.0671173895526	1.88315454901678	0.169976045418452	0.226313714863095
"hsa-miR-106a-5p"	-7.05284814953661	4.34521522447542	33.1414446844586	8.56925851221554e-09	5.51719383663192e-08
"hsa-miR-106b-3p"	-2.19455783324591	9.48374654855999	6.09787094631837	0.0135344849951932	0.0249145839039301
"hsa-miR-106b-5p"	-1.2048298884398	8.21339171266119	1.45125853230498	0.228326117684244	0.290035879220526
"hsa-miR-107"	3.14158235801326	5.1545092968515	11.2428219587215	0.000799315349669443	0.00189634354570145
"hsa-miR-10a-5p"	-1.06407749127652	11.4790525921571	1.57477121490246	0.209515468342046	0.273534083668782
"hsa-miR-10b-5p"	6.11394418238728	11.7967632033449	19.9831630533095	7.81270758384821e-06	2.89131697984934e-05
"hsa-miR-1180-3p"	3.65876804194107	3.14372198287253	10.2089537112842	0.00139760441847163	0.00318870911010519
"hsa-miR-1185-1-3p"	7.35626282291962	3.79086676427399	33.6371863790842	6.64109102479406e-09	4.33515664118501e-08
"hsa-miR-1185-5p"	6.94843674574801	3.3105147730091	30.0243918742358	4.26645684934099e-08	2.38718418951222e-07
"hsa-miR-1197"	6.72483456225755	2.62403581207717	21.2927347192491	3.94222789840187e-06	1.55701438004107e-05
"hsa-miR-122-5p"	-8.50859377866823	4.88627250966462	14.1475077166673	0.000169020866321659	0.000472855995066546
"hsa-miR-1248"	-7.30747049518906	3.78264812986322	13.9208210521587	0.00019067455014618	0.000521029294004096
"hsa-miR-1249-3p"	3.81492554397727	4.41120988001971	11.2344708921621	0.000802919926796998	0.00189634354570145
"hsa-miR-125a-3p"	3.82148892286906	3.04896037476557	6.91656760226311	0.00854007415076742	0.0170077747917826
"hsa-miR-125a-5p"	3.97868259096967	11.0112146407051	15.657971386631	7.58920194064771e-05	0.000231618500786001
"hsa-miR-125b-1-3p"	13.3011364826354	9.29970302766116	83.3622797404613	6.83131337125066e-20	7.64015870427984e-18
"hsa-miR-125b-2-3p"	4.83006466395959	4.45643482468611	31.782725779878	1.7241942591904e-08	1.02578645799935e-07
"hsa-miR-125b-5p"	10.4325924697758	12.6834367752577	105.287799445058	1.0562450568765e-24	2.48217588365976e-22
"hsa-miR-126-3p"	0.303503523052977	4.28037675463437	0.0460745761347923	0.830040292257968	0.859292813571024
"hsa-miR-126-5p"	-1.71155157745153	7.60310049159635	1.48909726669636	0.22235657684232	0.285539866436859
"hsa-miR-1260a"	1.46387590092194	4.15674000953288	3.47133170664711	0.0624410224076369	0.0943642460822808
"hsa-miR-1260b"	0.967946164531354	3.24989405313034	1.22997364996073	0.267412162587163	0.333378558132538
"hsa-miR-1262"	5.83709867379849	2.07298586230731	12.0569512648699	0.000515996097464149	0.00128999024366037
