"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-3p"	-0.401109682267321	4.94628358338488	0.307966162800118	0.578930918910994	0.670987072094721
"hsa-let-7a-5p"	1.32326851453958	15.2377009774103	6.90773845133344	0.00858234761633179	0.0274049154322974
"hsa-let-7b-3p"	-1.16836630772172	4.80530920744737	7.73930044680701	0.00540317288466922	0.0188536245337394
"hsa-let-7b-5p"	-0.527041716821101	10.9443911123746	1.21970891738368	0.269417784657219	0.3682043056982
"hsa-let-7c-5p"	-1.95181660852261	4.13009995547033	11.8278744715159	0.000583505650099498	0.00269563173567092
"hsa-let-7d-3p"	0.38741872671192	7.20413849229409	0.966426561810521	0.325573003897175	0.420424981410525
"hsa-let-7d-5p"	0.628600592541921	10.36539339296	1.26597766705289	0.260522625277482	0.359039584416025
"hsa-let-7e-5p"	-0.124429297384636	7.28209963701202	0.008030215605487	0.928595969117624	0.937167624217172
"hsa-let-7f-1-3p"	-0.359799364699871	3.26579248306293	0.497448851782516	0.480623224462006	0.579575064792419
"hsa-let-7f-2-3p"	-0.551739466899461	3.64279173809135	0.891044597826251	0.345194388745364	0.438698282560865
"hsa-let-7f-5p"	0.551677254820672	15.1010040949844	1.41191420428595	0.234738884218722	0.331872215619572
"hsa-let-7g-3p"	-0.926442023468039	5.22542948476067	3.94613017393908	0.0469792868334312	0.0958147195407544
"hsa-let-7g-5p"	-0.548298452444617	14.7887018522677	2.19369497004914	0.13857653158647	0.226134837613742
"hsa-let-7i-3p"	0.501216009416116	7.91786120420058	1.4328673764033	0.231297050628023	0.331290098716121
"hsa-let-7i-5p"	0.505180517656904	13.2885020592333	1.13240066677815	0.28726385107561	0.381467786043726
"hsa-miR-100-5p"	-2.67731077658042	6.89605418743866	7.07574874376457	0.00781341651266124	0.0258868749106352
"hsa-miR-101-3p"	-0.284160456712761	13.6292429241158	0.135308474666772	0.712990302061527	0.800893216014318
"hsa-miR-101-5p"	-1.38407853243139	5.18434285779558	3.93052736477424	0.0474170724875667	0.0960049368884067
"hsa-miR-103a-3p"	0.0991714225936015	11.9946136050449	0.0394279913981563	0.84260316794525	0.900953269913118
"hsa-miR-106a-5p"	0.326909311828321	4.4666186868328	0.440104871835663	0.507071842538178	0.604798415827354
"hsa-miR-106b-3p"	0.776877999976546	9.32583440002437	1.9727017420976	0.160161379080506	0.249916830249855
"hsa-miR-106b-5p"	-0.259079558455544	8.27452403095083	0.152907543770198	0.695772147253979	0.784238021647097
"hsa-miR-107"	-0.582238102725332	3.41575671096546	1.20415328041361	0.272493148775401	0.370862044806355
"hsa-miR-10a-5p"	-0.468310720106331	11.6389264733487	0.886560283080271	0.346411143851414	0.438698282560865
"hsa-miR-10b-5p"	4.16969026953174	6.16707812327567	18.9256548143458	1.35912592671528e-05	0.000111448325990653
"hsa-miR-122-5p"	8.09866425993336	4.38787301153484	18.7691354005776	1.47535540328936e-05	0.000118028432263149
"hsa-miR-1248"	0.0791021030324204	3.9815914892709	0.00711641951937647	0.932771104966622	0.938493627082981
"hsa-miR-125a-3p"	-2.70196130565781	2.26964724771886	5.24968705202311	0.0219507184837899	0.0525535449830883
"hsa-miR-125a-5p"	-5.12110571744978	12.1058867939792	38.2961611706094	6.07820989659693e-10	1.42403774720271e-08
"hsa-miR-125b-2-3p"	-2.18272385340999	2.50482283419209	6.74048084444389	0.00942492181369335	0.0288913491111347
"hsa-miR-125b-5p"	-4.46969766926317	6.85409374014496	50.9929213890376	9.26996595509749e-13	3.80068604158997e-11
"hsa-miR-126-3p"	1.40567976981295	3.50842160577735	3.29358534889071	0.0695509948867174	0.130358436130533
"hsa-miR-126-5p"	2.82402001144524	6.9793617690359	4.60446638372141	0.0318887760293966	0.0716405379290554
"hsa-miR-1260a"	-1.74719387131874	4.15100550480387	14.5830096048567	0.000134118359636417	0.000830015508693295
"hsa-miR-127-3p"	1.66150222606105	4.14450136228087	5.97473653103375	0.0145122494305036	0.0390165394525014
"hsa-miR-1271-5p"	-0.112713038023517	6.58836776954535	0.0199613589914573	0.887645056863852	0.918863981740236
"hsa-miR-1273h-3p"	2.40357919168648	5.33107552025419	16.9061860406602	3.92733851153751e-05	0.000280036311257457
"hsa-miR-128-1-5p"	2.7274279128815	5.01808636868529	5.4415087955224	0.0196636766171638	0.0478077364248509
"hsa-miR-128-3p"	-0.754842801903265	8.80385142739992	3.90702477816432	0.0480846525447391	0.0967593008262235
"hsa-miR-1299"	6.48869496839725	2.87805050791475	6.05572903280532	0.0138612517203441	0.0382058030611165
"hsa-miR-1301-3p"	-0.876066353795872	4.39343899969378	2.14834254108048	0.142723893135815	0.231749687864095
"hsa-miR-1304-3p"	1.95308970706082	4.42863300951553	5.97899229831086	0.01447727169142	0.0390165394525014
"hsa-miR-1307-3p"	-0.0301730176847676	6.83477835776409	0.00251494148127307	0.960003499295367	0.960003499295367
"hsa-miR-1307-5p"	-0.532961502771449	7.41120922864417	0.373700295762349	0.54099416644131	0.636007478827059
"hsa-miR-130a-3p"	0.677627590806332	4.35077161522074	1.92593809037861	0.165203524143501	0.254397915112997
"hsa-miR-130b-3p"	-0.290951267806141	6.66362578862836	0.459287827729534	0.49795699600454	0.596094506166019
"hsa-miR-130b-5p"	-1.08552923178503	4.07032950259191	4.7573479637666	0.029173465383376	0.0669153611590722
"hsa-miR-132-3p"	-0.111669250626097	5.6769345577897	0.0146481049082787	0.90366778372211	0.925881063374269
"hsa-miR-132-5p"	-1.70244962742378	2.87889502922955	5.53717376928147	0.0186166247408504	0.0462594917802951
"hsa-miR-138-5p"	4.61182016938603	4.57111142593526	38.9574802030675	4.33137443004018e-10	1.09283908696398e-08
"hsa-miR-140-3p"	-0.280660347527416	12.3954926303004	0.530839447613829	0.466254151977749	0.564322368445393
"hsa-miR-140-5p"	-0.816975732048877	6.40169704848182	3.33460953088604	0.0678365065618782	0.129025257781391
"hsa-miR-141-3p"	1.66489925760997	9.61583793613391	5.87960882071922	0.0153172243938814	0.0405165290418799
