"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	7.37865862725862	3.58555112116076	27.1785182728055	1.85508468546279e-07	7.19225455921231e-07
"hsa-let-7a-3p"	1.73629682222296	6.3580047085344	5.71547479932085	0.0168160161982935	0.0268715393979487
"hsa-let-7a-5p"	0.57804433195738	14.7587886474649	1.1934447913863	0.274635800739885	0.323141128731258
"hsa-let-7b-3p"	2.12878553020524	6.80738433287014	12.8471970762813	0.000337985133397222	0.000713691821861097
"hsa-let-7b-5p"	0.657041580586832	11.6660079106842	1.22035382885761	0.2692912241425	0.31764276563442
"hsa-let-7c-5p"	4.65354288704089	8.59184470871595	21.848420428716	2.95059393092794e-06	8.72269330830571e-06
"hsa-let-7d-3p"	0.15951385247452	7.14245167988575	0.0824760011448493	0.773969635403782	0.794116350425139
"hsa-let-7d-5p"	-0.33866808431921	9.90564393384101	0.313914171766683	0.575288166763408	0.629887275183084
"hsa-let-7e-3p"	4.03945117348291	3.62987140458631	24.7190281128391	6.63261035129898e-07	2.17862826122529e-06
"hsa-let-7e-5p"	3.918214404434	10.4415237986578	35.1729968469874	3.01677763664603e-09	1.60329867655457e-08
"hsa-let-7f-1-3p"	1.44495959034153	4.31592435942755	4.45534733279797	0.0347921400950175	0.0519138241796318
"hsa-let-7f-2-3p"	0.788398727971044	4.4415811489054	1.25310732907038	0.262959823108492	0.312512553593761
"hsa-let-7f-5p"	-0.342624858985901	14.7183320993885	0.427686511478214	0.513126330698585	0.567496128382367
"hsa-let-7g-3p"	-2.93990297468723	4.9756728859093	14.6712265865241	0.000127985188946284	0.000285551860243361
"hsa-let-7g-5p"	-3.73852092926446	14.2881221186976	41.1688478119889	1.3963030657163e-10	9.57175869686681e-10
"hsa-let-7i-3p"	-1.96434188280142	7.03096661009068	11.8746916563425	0.000569018897032805	0.00115513278238848
"hsa-let-7i-5p"	1.06399247153445	13.7087355422008	4.15300108383772	0.0415608015862498	0.0610504942555781
"hsa-miR-100-3p"	11.2812961474662	7.23784924966131	59.0438035312263	1.54200776082431e-14	2.70136915136999e-13
"hsa-miR-100-5p"	9.66636082559121	16.6172957811424	50.8228445323675	1.01090251159759e-12	9.96160183303457e-12
"hsa-miR-101-3p"	-4.08422841378985	13.0138077428237	21.3132496175059	3.90026405561803e-06	1.1248932306752e-05
"hsa-miR-101-5p"	-5.68101071807838	4.98032463872411	25.158751254366	5.27995102309258e-07	1.7712176127112e-06
"hsa-miR-103a-3p"	-0.478087876131593	11.8158905429493	0.781937349016829	0.376549283757346	0.432300512663167
"hsa-miR-106a-5p"	-5.74668226745132	3.48630468121057	26.4788461564905	2.6643986323104e-07	9.84578557095953e-07
"hsa-miR-106b-3p"	-1.64163454473332	8.32926876680265	5.82700104629394	0.0157820053211192	0.0255646867016759
"hsa-miR-106b-5p"	-1.15435183557312	8.07286209049866	2.85002609783253	0.0913724534719152	0.122088052237898
"hsa-miR-107"	2.01852381715194	4.96985475257202	8.92417207401887	0.00281420902304432	0.00521639707907097
"hsa-miR-10a-3p"	2.8381241521824	3.25408433225069	12.0132785844651	0.000528228535740065	0.00108631346697848
"hsa-miR-10a-5p"	1.60655097134272	12.9841949592466	6.2124413448098	0.0126855564142609	0.0209799586851238
"hsa-miR-10b-5p"	8.79271271037753	10.5931906460348	19.024358487071	1.29060374939231e-05	3.3726827263125e-05
"hsa-miR-1180-3p"	6.22764645738918	3.95915556248241	34.1392794941325	5.13051123128413e-09	2.63775196999717e-08
"hsa-miR-1185-1-3p"	9.33936511762239	5.35204799681398	46.7498034293415	8.0653026811797e-12	6.93616030581455e-11
"hsa-miR-1185-2-3p"	6.36615309262233	2.79653429990414	23.3496970948357	1.35064777933188e-06	4.28762684311396e-06
"hsa-miR-1185-5p"	8.01390637827513	4.13248226240478	36.7826454719048	1.32060604521536e-09	7.43626975460555e-09
"hsa-miR-1197"	7.74536013919321	3.89720491865243	31.569556578287	1.92422690153581e-08	9.28734004516775e-08
"hsa-miR-1226-3p"	0.825793817888526	2.79765947632318	0.445194947908062	0.504625673958236	0.560300337517008
"hsa-miR-1247-5p"	5.08535965973104	1.99668629730956	4.50777309272697	0.0337411428278652	0.0505049384733552
"hsa-miR-1248"	-4.09130287104568	3.16643467268801	12.8889452139493	0.000330528658612638	0.000701076482169407
"hsa-miR-1249-3p"	1.98099925491815	3.72965857773945	9.08601065621451	0.00257572103792242	0.00485384880851516
"hsa-miR-125a-3p"	1.97603314717602	4.1191442294489	6.4116717060854	0.0113372628742443	0.0189488527898147
"hsa-miR-125a-5p"	-0.498591471877154	13.1321551169916	0.770017170998813	0.380211740391574	0.435448312845556
"hsa-miR-125b-1-3p"	12.0664554639032	9.49813458294007	105.387542491079	1.00439346544188e-24	1.18769527288502e-22
"hsa-miR-125b-2-3p"	4.34974925959772	6.41048372235342	19.5111049724976	1.00016543475843e-05	2.70330428937564e-05
