"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	5.81048055724933	2.44291244782489	17.0693228403077	3.60397886197942e-05	6.30696300846399e-05
"hsa-let-7a-3p"	-0.0260620091789641	5.39454902157305	0.00205588570242554	0.963834809670012	0.968090150993059
"hsa-let-7a-5p"	1.52520642828877	15.4949999077837	13.1018325960631	0.000295007043805673	0.000462855879074418
"hsa-let-7b-3p"	1.36499025893537	6.34783114436008	9.56127434276673	0.00198725105891946	0.0028474712780248
"hsa-let-7b-5p"	1.39803678614763	12.2568881082052	10.3713856410143	0.00127983455309509	0.00187030982866817
"hsa-let-7c-5p"	4.09073920680498	8.22368147509082	48.2451923941116	3.7611922778481e-12	1.48812390123555e-11
"hsa-let-7d-3p"	-0.52854825380726	6.93849888927905	1.58382075672891	0.208211201627502	0.239838219596236
"hsa-let-7d-5p"	-0.244263172875874	10.0501723606512	0.375174016662619	0.540197405352165	0.581150017129571
"hsa-let-7e-3p"	3.01670112516945	3.00053079125568	12.5797871768548	0.000389941133350708	0.000595379918371048
"hsa-let-7e-5p"	4.01876176176688	10.6352876425692	73.4026314819134	1.05725045212638e-17	7.40075316488467e-17
"hsa-let-7f-1-3p"	-0.0864257877100962	3.58673660686291	0.0206742073208721	0.88567002535939	0.9015209430392
"hsa-let-7f-2-3p"	-1.30596939658837	3.62474757385331	1.99123557720858	0.158211748841746	0.185054873323893
"hsa-let-7f-5p"	-0.490012282797737	14.7616302230986	1.41890174587741	0.233584254903463	0.266368009977633
"hsa-let-7g-3p"	-4.69270417599747	4.96076756775815	45.0894624151783	1.8823556598093e-11	6.79739543820025e-11
"hsa-let-7g-5p"	-3.22278646008793	14.4416356598852	56.5711968146798	5.41999671361487e-14	2.46609850469477e-13
"hsa-let-7i-3p"	-2.77404180253409	7.0031453264763	35.5893041537627	2.43621532258639e-09	7.06036924698602e-09
"hsa-let-7i-5p"	0.568268729019863	13.5052155377507	2.25009261342976	0.13360640609265	0.158309673885822
"hsa-miR-100-3p"	11.686477760028	7.60729948858139	133.514769451202	6.97617843995742e-31	1.22083122699255e-29
"hsa-miR-100-5p"	9.79805470434481	16.7919954304128	110.50065171691	7.61203788626103e-26	1.11725072201573e-24
"hsa-miR-101-3p"	-3.9127905403727	13.1577431192461	39.7617117575814	2.86914938693983e-10	8.8807004833852e-10
"hsa-miR-101-5p"	-5.1746269068113	5.08817685866206	44.5498101271378	2.47967548361943e-11	8.74614220966543e-11
"hsa-miR-103a-3p"	-0.809796584761186	11.7884506267695	4.2352140683669	0.0395936302784006	0.0499033290212528
"hsa-miR-106a-5p"	-6.60415046086297	3.54937021570292	37.1256983084997	1.10754448093139e-09	3.27229051184273e-09
"hsa-miR-106b-3p"	-2.58974323144181	8.24957290194622	32.8496146611508	9.95708082869067e-09	2.64939870003173e-08
"hsa-miR-106b-5p"	-2.51387150107776	7.89310817804457	30.042240229884	4.22736767849125e-08	1.05684191962281e-07
"hsa-miR-107"	4.0937796693857	6.85762380991611	64.261880353205	1.08933093225261e-15	5.63233607016974e-15
"hsa-miR-10a-3p"	2.85491301743498	3.37295683097057	8.36951247258865	0.00381567969974554	0.00532556522510497
"hsa-miR-10a-5p"	3.26549909742561	14.5430037090531	23.0978684992454	1.53961280194801e-06	3.11343922171708e-06
"hsa-miR-10b-5p"	4.4917727723414	6.50112138583287	29.3286341838186	6.10863319120637e-08	1.49431618387038e-07
"hsa-miR-1180-3p"	5.05094683840619	3.12452653656563	23.5305796136456	1.2294410737695e-06	2.50850084558351e-06
"hsa-miR-1185-1-3p"	6.87997400070771	3.20490590321001	29.0578819045805	7.02477125561938e-08	1.66472443818063e-07
"hsa-miR-1185-5p"	8.09368504528008	4.20260085692945	47.2072506959712	6.3863762220501e-12	2.46254337375661e-11
