"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-3p"	-1.40717229077061	5.00099892328027	5.61255033894865	0.0178322910627559	0.0278125033447922
"hsa-let-7a-5p"	-0.579109860143817	14.4198338687435	3.45269279939598	0.0631488095627806	0.086091362677316
"hsa-let-7b-3p"	-0.295647664969417	5.51855703596449	0.634596668737448	0.425674221707992	0.47311005873117
"hsa-let-7b-5p"	-1.11978418849359	11.0783928046895	8.80634505891274	0.00300184761727122	0.00526713077289718
"hsa-let-7c-5p"	-2.63107320234636	4.4382922703373	17.0325793980197	3.67439229152805e-05	8.75845709741591e-05
"hsa-let-7d-3p"	0.674985433229894	7.69495761293968	4.00938545206031	0.0452476406232291	0.0642279243303515
"hsa-let-7d-5p"	-0.0791973649165465	10.2681188207717	0.0589255227208962	0.808202326208874	0.832360547916205
"hsa-let-7e-5p"	-0.556112648376722	7.42669696331703	2.04434619240037	0.152772606694163	0.192361521385673
"hsa-let-7f-1-3p"	-0.409265235334916	3.56414748482407	0.559868709709033	0.454313146251379	0.500536867526956
"hsa-let-7f-2-3p"	-1.67175127507996	3.63033619787243	7.5417155528687	0.00602866142129924	0.00997756628241228
"hsa-let-7f-5p"	-1.53138328290901	14.5596338344348	19.2671693816148	1.13643768268784e-05	2.8523833227728e-05
"hsa-let-7g-3p"	-3.64699322507444	5.12351719161562	49.8717605532306	1.64129967587557e-12	1.07250444337386e-11
"hsa-let-7g-5p"	-2.78464696910827	14.6343490497118	73.9936783568647	7.83675965409373e-18	1.02418341686259e-16
"hsa-let-7i-3p"	-2.97366029780281	7.10909989326588	43.0519096969552	5.33065595268437e-11	2.76755973433887e-10
"hsa-let-7i-5p"	-2.12273247076093	12.6347428738257	44.3710425425415	2.71676066123772e-11	1.51419454501337e-10
"hsa-miR-100-5p"	1.17017913351506	8.83848560924529	2.13072565201652	0.144372394800315	0.183000460298728
"hsa-miR-101-3p"	-0.546943917633117	13.9697998312027	0.869450935603027	0.351107357713953	0.398412241238288
"hsa-miR-101-5p"	-0.589274488784131	5.93129588056405	1.17202626736579	0.278985287996016	0.322364098019787
"hsa-miR-103a-2-5p"	2.084443407222	2.58305333335554	5.40902534861591	0.0200328980093406	0.030863692461545
"hsa-miR-103a-3p"	0.843477829724135	12.7611707644285	7.47447939844342	0.00625796578320854	0.0103120392688523
"hsa-miR-106a-5p"	-2.62583821652773	3.83738593572628	15.6566944741545	7.59432778795531e-05	0.000171324418549706
"hsa-miR-106b-3p"	-0.770455513236853	8.83385571616087	5.16998999116014	0.0229803483214098	0.0349781205374069
"hsa-miR-106b-5p"	0.155769673397302	8.88846333295715	0.150095838400818	0.698443788527708	0.739413954893859
"hsa-miR-107"	0.148265110300893	4.03207418564724	0.0964578914597292	0.756122436532517	0.790837748324112
"hsa-miR-10a-5p"	-2.33173952840064	11.543518004803	24.4168429985984	7.75873917553933e-07	2.22769859661319e-06
"hsa-miR-10b-5p"	-0.0532610427274323	3.28198576118636	0.00868569009472697	0.925747018094622	0.94316698886522
"hsa-miR-1226-3p"	1.21179392257996	3.1658933964484	2.10806588894483	0.146524405969394	0.185109166208001
"hsa-miR-1248"	-1.79192164212895	3.52109742529553	4.18306501347546	0.0408297969767515	0.0588383766318967
"hsa-miR-1249-3p"	2.47684203281745	4.37485055639252	24.9229857611254	5.96667596728422e-07	1.77563325481664e-06
"hsa-miR-1255a"	2.13416154027434	2.63642953501245	5.6720551329256	0.0172372505114619	0.0269955286935705
"hsa-miR-125a-3p"	1.19817223338607	3.82072868764201	3.81771691344177	0.0507132957144079	0.0709237604271609
"hsa-miR-125a-5p"	-2.2597907100889	12.8864197552697	37.4587110606965	9.3368751600358e-10	4.36873541438712e-09
"hsa-miR-125b-2-3p"	-5.31222418062636	2.53005952562354	21.92887313026	2.82944652341663e-06	7.60539171897094e-06
"hsa-miR-125b-5p"	-2.06951553598769	7.69508943791738	15.346585898413	8.94824816539637e-05	0.000200673731046463
"hsa-miR-126-3p"	5.16304956326942	6.94200106390253	71.7431064780764	2.4511878739232e-17	2.73235354181439e-16
"hsa-miR-126-5p"	4.24982156660101	8.56293390912841	22.4415146986428	2.1664043192409e-06	5.90695853951296e-06
"hsa-miR-1260a"	1.79990675170153	6.31346311163861	22.5160412155943	2.08396062584741e-06	5.72334113910267e-06
"hsa-miR-1260b"	2.34836379550523	4.93540123608295	24.9132571805607	5.99686165215118e-07	1.77563325481664e-06
"hsa-miR-127-3p"	5.34287611713333	7.60315415316349	47.3145611680558	6.04614027960694e-12	3.75653633765742e-11
"hsa-miR-1271-5p"	-3.1159919147826	6.11716014264055	44.3771297326073	2.70832630348743e-11	1.51419454501337e-10
"hsa-miR-1273h-3p"	1.35049804614762	4.75549167833749	6.38841588303178	0.0114867493302241	0.0182919243535922
"hsa-miR-128-3p"	0.27938552090581	9.67895819989102	0.693499726828037	0.404976538759465	0.452761381090965
"hsa-miR-1285-3p"	0.15679559781609	2.9899489588856	0.0575085233511641	0.810478059810618	0.832442234873237
"hsa-miR-1294"	3.13404590594428	2.70269667347151	12.498274494776	0.000407328056691815	0.000852913444675126
"hsa-miR-1301-3p"	1.07684239530135	5.73522791375979	6.2322208070261	0.0125446312862214	0.0198929508681085
"hsa-miR-1304-3p"	2.25663053748411	4.94120742740572	27.2799188624818	1.76030104374146e-07	5.70217175707705e-07
"hsa-miR-1306-5p"	0.51996642071485	3.22612119857752	0.872167623307557	0.350355917092338	0.398412241238288
"hsa-miR-1307-3p"	-0.108764405019635	7.1158896473189	0.0736896674425513	0.786038484431704	0.816187905752373
"hsa-miR-1307-5p"	-0.335247439882765	7.97807936895793	0.152725178378649	0.695944565781799	0.738831905970033
"hsa-miR-130a-3p"	3.23392273595515	6.60928632425302	57.5052518964535	3.37078034180471e-14	2.45678028758458e-13
"hsa-miR-130b-3p"	0.493175393810106	7.41213489076339	1.69314975765517	0.193186281694964	0.238493813558279
"hsa-miR-130b-5p"	1.63390838508277	5.86782003945183	10.7896330857393	0.00102070111831261	0.00195376628202263
"hsa-miR-132-3p"	-0.476385594447482	5.82430132580153	1.33116127092138	0.24859873153761	0.293516882407334
"hsa-miR-132-5p"	0.185849143617786	3.81472965624793	0.14500153553869	0.703358581750435	0.742542903853523
"hsa-miR-133a-3p"	2.02270786174757	2.28066684829332	3.71001663252793	0.0540868520356141	0.07483729442497
"hsa-miR-134-5p"	4.57313308248883	2.82482336587475	10.4721493485333	0.0012118764149524	0.0022965058063348
"hsa-miR-136-3p"	2.79416009174709	2.52373752067772	5.85123209155912	0.0155661491897888	0.024479545821286
"hsa-miR-139-5p"	2.48541087420663	2.89314467495054	8.26206821202754	0.00404819826899123	0.00691111326102557
"hsa-miR-140-3p"	0.0180533856425338	12.912049010073	0.0036184971686879	0.952033025354634	0.957904720495118
"hsa-miR-140-5p"	-0.598816391340695	6.91215717856765	2.13608727141031	0.143868422978403	0.182973598351727
"hsa-miR-141-3p"	-3.00385085511467	8.03625109284304	19.2188343330371	1.16557723039467e-05	2.90627480473409e-05
"hsa-miR-142-3p"	-1.10775600654842	12.699168927634	3.253549544615	0.0712689647803393	0.0956705721293136
"hsa-miR-142-5p"	-2.07534625971365	15.5748391556035	11.0763043490279	0.000874378920516067	0.00170819387049273
"hsa-miR-143-3p"	12.10146970698	14.9511255885319	447.664017184142	2.3253749349717e-99	8.81317100354275e-97
"hsa-miR-143-5p"	8.51648414611517	4.61115771727382	74.4658000633442	6.16979036678367e-18	8.35125196075362e-17
"hsa-miR-144-3p"	8.56887862468285	4.65669170092215	60.2055412722301	8.54512957688004e-15	7.04044371660334e-14
"hsa-miR-144-5p"	6.40762552565901	6.76668982149809	89.836941505209	2.58619949054134e-21	4.0840400288132e-20
