"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	7.85631369592131	3.92977029945017	35.5212285142533	2.52286042826449e-09	2.20299776682382e-08
"hsa-let-7a-3p"	2.39518792571712	6.75607421121939	5.92351697063272	0.0149401074786055	0.0267608518572824
"hsa-let-7a-5p"	1.11212051866247	14.9267348802279	2.20398928750132	0.137654089075496	0.183914889502508
"hsa-let-7b-3p"	2.01130339499964	6.55333398129137	7.67403760773146	0.005602096342602	0.0116077335234423
"hsa-let-7b-5p"	1.39474414122728	11.9748009678594	2.72716994886247	0.0986539599826946	0.136662284508605
"hsa-let-7c-3p"	7.37736698118448	3.48400426146619	6.39840798303479	0.0114222746259762	0.0212376132779558
"hsa-let-7c-5p"	5.79229388145605	9.59029502305096	13.3437350957584	0.000259287392608661	0.000732899046159742
"hsa-let-7d-3p"	-0.533795402354496	6.66947231573932	0.581268607017648	0.445815496676465	0.510547489168129
"hsa-let-7d-5p"	-0.798397116738301	9.54835149942228	1.06906474217698	0.301156793960388	0.357440952054926
"hsa-let-7e-3p"	3.80785033852347	3.3003431070616	19.9623175112673	7.89834847186206e-06	2.99402511840353e-05
"hsa-let-7e-5p"	3.86743338083102	10.2173639727713	18.5321949579146	1.67058469470514e-05	5.96288989569937e-05
"hsa-let-7f-1-3p"	2.28736287130198	4.79124261879037	6.50095381379488	0.0107816637608281	0.0202001286553446
"hsa-let-7f-2-3p"	2.76799595736026	5.71863959101911	4.98522663524473	0.0255646362352378	0.042376634301801
"hsa-let-7f-5p"	-0.325734324814658	14.5661741778042	0.170583705556965	0.679593570303541	0.730376386546003
"hsa-let-7g-3p"	-1.7009800751052	5.06474171097594	3.23219946196254	0.0722036539842415	0.103238557889749
"hsa-let-7g-5p"	-3.20565076351084	14.174322540945	16.130833143993	5.91137635794686e-05	0.000186494389615227
"hsa-let-7i-3p"	-1.50737680265887	6.97453232353797	4.2157188248828	0.040051093139885	0.0621745541123929
"hsa-let-7i-5p"	1.06201736201696	13.5492675617718	2.01850557444237	0.155392008576968	0.203172973781115
"hsa-miR-1-3p"	9.83769104606541	5.77213156025613	7.76119322018473	0.00533806835591928	0.0111077252172108
"hsa-miR-100-3p"	11.6268762922733	7.537525642475	48.0884181220024	4.07425979883656e-12	1.81119367421007e-10
