"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-3p"	0.379247910128055	5.15157606780324	0.340533663016988	0.559521343388006	0.852052036803208
"hsa-let-7a-5p"	-0.00481371848371878	14.4524305917141	0.000150972503078606	0.990196569786366	0.990196569786366
"hsa-let-7b-3p"	1.10975241623415	4.9974293722505	6.08431465223608	0.013638726486332	0.181849686484427
"hsa-let-7b-5p"	0.735844909724183	10.9821217548544	2.64455469133695	0.103905268963042	0.454140092946085
"hsa-let-7c-5p"	1.39790359317165	4.50729921334422	4.72815229917201	0.0296727454185086	0.244271174879225
"hsa-let-7d-3p"	0.425440460019145	6.8906775841268	1.20941636810199	0.27144773950317	0.68537617806816
"hsa-let-7d-5p"	0.166920999394578	9.99520553846367	0.175361140290917	0.675390491228441	0.91703079127108
"hsa-let-7e-5p"	1.22803888316656	6.96698791880093	8.36505477272554	0.00382505092133133	0.0720009585191781
"hsa-let-7f-1-3p"	0.385113280424158	3.39879582285543	0.529761340443975	0.466707214187577	0.83700169583446
"hsa-let-7f-2-3p"	0.344155860451246	3.89748827175728	0.167146854786817	0.682660036893523	0.91703079127108
"hsa-let-7f-5p"	-0.262519199205427	15.0354055153087	0.496955226760406	0.48084103292447	0.837297482770276
"hsa-let-7g-3p"	0.403696673434011	5.63211684135677	0.661022673765959	0.416199133015408	0.83700169583446
"hsa-let-7g-5p"	-0.163561806842008	15.2890456157535	0.151177311001447	0.6974128071297	0.91703079127108
"hsa-let-7i-3p"	0.512896597372712	7.48255394674968	1.70036057408329	0.19224082863881	0.603108482004109
"hsa-let-7i-5p"	0.10654264660399	13.0502153775941	0.0904288364244259	0.763632685228057	0.91703079127108
"hsa-miR-100-5p"	1.30349251379204	7.41622321649205	1.54383676535066	0.214047612626073	0.622683964003121
"hsa-miR-101-3p"	-0.479029632995002	14.2364097238693	0.454651210367047	0.500134404718254	0.842331628999165
"hsa-miR-101-5p"	0.0378692119427841	5.94868744759933	0.00394299441828494	0.949931127206217	0.986636650083807
"hsa-miR-103a-3p"	-0.189087088004764	12.1448871867624	0.269861941101357	0.603424398385983	0.882580065595455
