"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	6.88780349180336	3.14778969918386	19.3832456332198	1.069411634186e-05	6.24897159735194e-05
"hsa-let-7a-3p"	0.976305584076287	5.58984516590149	1.15482555813054	0.282541264912014	0.346917755651461
"hsa-let-7a-5p"	1.22097274412233	15.2557206714739	3.77415178008778	0.0520502852082335	0.0838683997541304
"hsa-let-7b-3p"	2.96080304772222	6.51035603863121	14.2627880142122	0.000158976949999782	0.000579727975563116
"hsa-let-7b-5p"	2.42718057094428	12.3043913536569	12.5246258104619	0.000401623323105952	0.00127311968435547
"hsa-let-7c-5p"	6.75993545566545	9.37209340779206	32.8340074107296	1.00373438370183e-08	1.57035863256577e-07
"hsa-let-7d-3p"	0.673432380630389	7.10866472660594	1.07827269091741	0.299084288392737	0.359061487005208
"hsa-let-7d-5p"	0.317010035168512	10.1412251582395	0.224946849349777	0.635296244515965	0.698681810862229
"hsa-let-7e-3p"	5.27629914864495	3.13979747011653	17.9057371406246	2.32120322297647e-05	0.000116060161148823
"hsa-let-7e-5p"	5.49937751150427	10.8193210219245	47.4243484701136	5.71681621467523e-12	1.73290991507343e-10
"hsa-let-7f-1-3p"	1.31972906517029	3.98261108292759	2.92865648970889	0.0870198813451638	0.130664527716423
"hsa-let-7f-2-3p"	-0.276793276335808	3.720423854031	0.048098530175511	0.826405635265144	0.852780283199138
"hsa-let-7f-5p"	-0.483404909855487	15.0096047516116	0.669171621590408	0.413340566574377	0.480743824433029
"hsa-let-7g-3p"	-2.83026262307322	4.7457426401823	6.67662084350187	0.00976856402158323	0.0188755121532584
"hsa-let-7g-5p"	-3.2781413252461	14.5686222329484	22.105952691751	2.58008439097386e-06	1.86767302928705e-05
"hsa-let-7i-3p"	-1.37463527769921	6.76258320838553	4.1788717341272	0.0409309409020605	0.0688227452532749
"hsa-let-7i-5p"	1.28976862419871	13.850924325369	4.75369253870969	0.0292354952610366	0.0506400542914385
