"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	-5.65762633224212	2.7454810049737	16.6250771028506	4.55448356367677e-05	0.000156280174785373
"hsa-let-7a-3p"	-0.486870760905559	5.36045937889739	0.264620721806121	0.606963280864733	0.646518191303109
"hsa-let-7a-5p"	0.451614501043122	15.64651939524	0.590403757016929	0.442263030847328	0.494416690145362
"hsa-let-7b-3p"	-2.53290994752967	6.05759610051353	12.7382051342548	0.000358261339948881	0.000914996313924885
"hsa-let-7b-5p"	-1.77863640548324	11.936941072669	8.82644417243125	0.00296896336242234	0.00586370264078413
"hsa-let-7c-5p"	-6.87134081532866	8.77145870273023	47.7304479081589	4.89037175744022e-12	1.05365282410303e-10
"hsa-let-7d-3p"	0.576129730455562	7.3814244171338	0.911076021196259	0.339829079759921	0.398710355955947
"hsa-let-7d-5p"	0.797096895059536	10.4179478644362	1.52409656631503	0.217000611705864	0.27283366034106
"hsa-let-7e-3p"	-6.4778183236143	2.70490874449876	20.706801226988	5.3525547657326e-06	2.56273834238106e-05
"hsa-let-7e-5p"	-4.4917924210443	10.2717160944229	9.96410143882876	0.00159622062501105	0.00348667546661401
"hsa-let-7f-1-3p"	-0.854263937347977	3.72913735023256	1.32769075685209	0.249216450348577	0.306032635920274
"hsa-let-7f-2-3p"	0.513936938036468	3.53473996977284	0.269286579433161	0.603810742719835	0.64460876587658
"hsa-let-7f-5p"	1.10419273627349	15.0982884559915	3.61404972649734	0.0572934444348781	0.083560285114253
"hsa-let-7g-3p"	2.7784781602585	4.47621939873909	6.95867448415596	0.0083413807578403	0.0146981950900234
"hsa-let-7g-5p"	3.00987084733321	14.1038525210652	21.4533195560417	3.62547832141872e-06	1.79007992120049e-05
"hsa-let-7i-3p"	2.87563760300669	7.73407990818037	16.6761017688189	4.43360224363158e-05	0.000154278168161411
"hsa-let-7i-5p"	-0.345510759423254	13.7929042585732	0.376455612133781	0.539506263588729	0.586527451699674
"hsa-miR-100-3p"	-8.91212991710404	5.54774042347937	42.1669043847528	8.38063721661929e-11	1.41872215738484e-09
"hsa-miR-100-5p"	-12.363000450076	16.6978238189075	77.3889336999891	1.40399655430606e-18	8.31867958426342e-17
"hsa-miR-101-3p"	3.02578960711016	13.229224992729	7.04397959630251	0.00795321213176872	0.0140786280066209
"hsa-miR-101-5p"	4.13426333167904	4.13527472665966	8.37435543588072	0.00380552502254003	0.00727346314791926
"hsa-miR-103a-3p"	0.874044945929011	11.8633318434176	2.12991718253994	0.144448560198445	0.188100597621052
"hsa-miR-106a-5p"	7.23598943482446	4.11076391126596	32.1427548965777	1.4324989542293e-08	1.54052172988583e-07
"hsa-miR-106b-3p"	2.42775602044663	9.10807231846789	13.0220748580644	0.000307840549285136	0.000806168068293672
"hsa-miR-106b-5p"	1.63352224204415	8.07358013788987	2.53669897892144	0.111227106720527	0.150859639021901
"hsa-miR-107"	-4.49743462637709	6.47225683780721	18.9545949947182	1.33866486174336e-05	5.66542093273528e-05
"hsa-miR-10a-3p"	-5.43005690267913	3.46042013564259	9.12263351185036	0.0025246625836499	0.0052257208063321
"hsa-miR-10a-5p"	-3.11737544198626	13.7734719750994	14.8885921841427	0.000114050604479083	0.000360399910153902
"hsa-miR-10b-5p"	-6.10752216382516	12.2072227473765	13.8372741276158	0.00019934218143439	0.000549349965115702
"hsa-miR-1180-3p"	-3.59226520656149	3.14960817629468	5.71091486256003	0.0168597507832426	0.0282385931846536
"hsa-miR-1185-1-3p"	-6.76089413178516	3.58322453248784	11.0244167491652	0.000899195664617893	0.00207911582940918
"hsa-miR-1185-2-3p"	-4.95922480189046	1.82186615536719	6.38205456922721	0.0115279906426083	0.0197980708862186
"hsa-miR-1185-5p"	-6.15902095599846	2.96820333865911	8.8277335311043	0.00296686636893141	0.00586370264078413
"hsa-miR-1197"	-6.6612754517125	2.8494496241671	9.01134551894869	0.00268308823159883	0.00543497359734123
"hsa-miR-122-5p"	3.60975286606177	4.83055355804431	4.29408261319494	0.0382452240533633	0.0582901485572161
"hsa-miR-1226-3p"	-2.50214014276026	2.86507635028981	4.87650680773464	0.027224662052731	0.0433036570905856
"hsa-miR-1233-3p"	-3.06148630985597	1.86915954581177	3.58665141279602	0.0582454979922931	0.0846882394121071
"hsa-miR-1248"	4.1739811406299	3.70076636016317	6.44878280938281	0.0111028382204091	0.0191372556962687
"hsa-miR-1249-3p"	-1.95510917495675	3.21841977264081	4.25791809672783	0.0390677731652463	0.0593529630779704
"hsa-miR-1257"	-5.9940484916922	2.36026878882733	10.8263680989907	0.00100064728184012	0.00229133725406867
"hsa-miR-125a-3p"	-4.60268037244509	3.64335149470351	14.3177266019889	0.000154404032653647	0.000449003137900791
"hsa-miR-125a-5p"	-5.18376387597061	12.1442027573764	35.1894906554733	2.99133473091843e-09	4.17027253663334e-08
"hsa-miR-125b-1-3p"	-12.9285563006382	9.29894913507884	102.720863199286	3.85859380498929e-24	4.57243365891231e-22
"hsa-miR-125b-2-3p"	-6.28037035114243	6.07512898831382	24.9711523771006	5.81945468172506e-07	3.62950199886537e-06
"hsa-miR-125b-5p"	-11.4479060513315	14.0423103349116	112.580367398962	2.66634938217347e-26	6.31924803575112e-24
"hsa-miR-126-3p"	-4.93130775371413	7.84478377815869	13.307141820028	0.000264397093444753	0.000704068664566365
"hsa-miR-126-5p"	-2.13364596120075	9.35355347546825	2.43827777658852	0.118406161553904	0.158097241060705
"hsa-miR-1260a"	-1.27738239554118	4.10091837120404	2.44837908709658	0.117646297489231	0.157526398333038
"hsa-miR-1260b"	-1.46739625353655	3.60562141387147	2.61169060570121	0.106078620354283	0.144486396689455
"hsa-miR-1269b"	-4.69779413666217	1.7103384784221	4.81631448860615	0.0281915621065693	0.0446916402625881
"hsa-miR-127-3p"	-8.96457068550635	12.6072196137914	38.4761867450074	5.5425863823822e-10	8.75728648416387e-09
"hsa-miR-127-5p"	-7.02002107518404	4.15242708456626	17.3242532839641	3.15138969895349e-05	0.000117618796638106
"hsa-miR-1271-3p"	-3.96412876622278	2.41937604961144	3.90348455400048	0.0481860672584048	0.0720510911056274
"hsa-miR-1271-5p"	-0.886050351467777	7.39532233661512	0.562662124625096	0.453189616357251	0.50543971330197
"hsa-miR-1273h-3p"	9.21468135212051	5.3966272684605	45.7379681793141	1.35177095033667e-11	2.56295772183832e-10
"hsa-miR-128-1-5p"	2.53983053124877	4.89288679373645	4.73093645365253	0.0296247514917446	0.0466516020169001
"hsa-miR-128-3p"	-0.557858011637687	8.98971593013751	0.787472353030111	0.374865526382493	0.436575576180103
"hsa-miR-1285-3p"	-2.74632260198503	2.61363995840457	2.61191566219056	0.106063568654668	0.144486396689455
"hsa-miR-1296-5p"	-4.76822065876805	3.96745645712781	26.1324868216254	3.18775266687838e-07	2.22205112367699e-06
"hsa-miR-1299"	6.18600282465429	2.74228685263201	5.99047342763737	0.0143833415650944	0.0242622914656753
"hsa-miR-1301-3p"	-1.647550304149	4.97186940304706	3.66705849149619	0.0554980482451251	0.0819503889974744
"hsa-miR-1304-3p"	-0.725498030442759	5.30829729803302	0.677068798633718	0.410597903767274	0.465606235372459
"hsa-miR-1306-3p"	-2.72297792053026	1.91742624995328	3.62810035637913	0.0568116273082065	0.0833706233563154
"hsa-miR-1306-5p"	-4.60299626644488	3.40999107323033	9.62675320003817	0.00191763307537581	0.00409440575553213
"hsa-miR-1307-3p"	-0.455664716040142	7.12496005720808	0.497429161227082	0.480631909677658	0.530412686809926
"hsa-miR-1307-5p"	-1.65174025290314	8.42996341504892	4.6101056437238	0.0317840751382548	0.049886263627592
"hsa-miR-130a-3p"	-4.97258355370997	8.62489555920781	39.3693914375323	3.50752233324928e-10	5.73298477917296e-09
"hsa-miR-130b-3p"	-2.48079324669773	8.31947365231046	14.1375396865414	0.00016991880456365	0.000491106788799816
"hsa-miR-130b-5p"	-4.37848704653761	6.85502822464581	33.5356086617109	6.99711793759163e-09	8.08935098150838e-08
"hsa-miR-132-3p"	-0.914085476934136	5.98436104647856	0.694656656990464	0.404584980934952	0.460993463853768
"hsa-miR-132-5p"	-2.4669139210007	3.50848026989045	7.72491759437853	0.00544638456854184	0.010068457542229
"hsa-miR-133a-3p"	-0.987296376094415	2.45153931958683	0.462571557187707	0.496424598520523	0.542263069377107
"hsa-miR-134-5p"	-9.54584193161502	5.32825407756475	30.1060367506788	4.09055890061864e-08	3.59060170165414e-07
"hsa-miR-1343-3p"	-5.84876915574279	4.22186439899893	15.9187914563966	6.61189904590407e-05	0.000219163646696401
"hsa-miR-136-3p"	-7.90593832897044	7.26398086696192	23.0409757063302	1.58585128706479e-06	8.84345305963186e-06
"hsa-miR-136-5p"	-7.94690349305256	4.87029290457686	25.7283998573591	3.93000980155695e-07	2.62369668441971e-06
"hsa-miR-137"	-6.34877776158369	2.62276316845429	9.69004439807781	0.00185269063248039	0.00399170618088956
"hsa-miR-138-5p"	-2.65869811871249	7.28758209120709	3.80038847388824	0.0512406932556068	0.076138208787328
"hsa-miR-140-3p"	1.52122203980947	12.1111666239955	3.12032141777104	0.0773215305390077	0.108433152294348
"hsa-miR-140-5p"	1.42444490384722	5.89960075076797	2.67962973784218	0.101639357705192	0.139240044948731
"hsa-miR-141-3p"	9.94103119179668	9.7079828515471	46.8678879085763	7.59368172947951e-12	1.56495875642317e-10
"hsa-miR-142-3p"	14.8690088019704	10.9926391859138	54.7941841591096	1.3383623579984e-13	4.22922505127495e-12
"hsa-miR-142-5p"	14.5107858969899	15.8134229638139	114.755337163553	8.90314298000068e-27	4.22008977252032e-24
"hsa-miR-143-3p"	-5.33082570591023	11.6907381958014	43.8017549564279	3.63379048000794e-11	6.37932106490284e-10
"hsa-miR-143-5p"	-6.00958923960929	2.98136900489829	16.6132802296803	4.58289964033055e-05	0.000156280174785373
"hsa-miR-144-5p"	5.86211636248508	2.51513528420106	9.64052835156262	0.00190330480473556	0.00408220125540567
"hsa-miR-145-3p"	-6.5187927608584	4.09901573437536	25.3305417293903	4.83000142254317e-07	3.13619270450063e-06
"hsa-miR-145-5p"	-6.00235967384017	5.074293833963	35.8099471540851	2.17534405641053e-09	3.12458509920786e-08
"hsa-miR-1468-5p"	1.9445781529934	5.11266406704134	5.03163836026955	0.0248883440532901	0.0399057751758097
"hsa-miR-146a-5p"	6.00477540572776	12.8305432672093	24.0847032750277	9.2189724735961e-07	5.39480611417846e-06
"hsa-miR-146b-3p"	2.01479239101572	6.41929671712577	1.96720877449861	0.160744446739774	0.207609993881888
"hsa-miR-146b-5p"	3.53881630256398	13.664665301678	4.47913197060905	0.0343111431620044	0.0531486335254578
"hsa-miR-147b"	-2.04558948685901	2.09420175588893	2.14719931246355	0.142830225790743	0.186505584090392
"hsa-miR-148a-3p"	-1.127173180672	11.7636941136937	1.35826922786475	0.243837664834646	0.300987117530266
"hsa-miR-148a-5p"	0.270865661934461	5.68799422219047	0.0695733522624415	0.791958994136144	0.812529357620199
"hsa-miR-148b-3p"	0.0675160595001549	10.474676732499	0.0117146192158017	0.913810000292211	0.923552111169526
"hsa-miR-148b-5p"	-0.816207542569194	5.86666114511112	1.31594256937216	0.251321532858342	0.307820172028047
"hsa-miR-149-5p"	-8.69802813659675	7.50790502074616	59.0146781178267	1.56500182587555e-14	5.29864903903579e-13
"hsa-miR-150-3p"	10.652729004496	6.79733116260733	49.8649781701013	1.64698298397137e-12	4.30710077652066e-11
"hsa-miR-150-5p"	13.1926726385718	13.6416022386413	108.152750654905	2.48841695069226e-25	3.93169878209376e-23
"hsa-miR-151a-3p"	1.20636287396288	12.8807727501907	4.07091680973156	0.0436275890445754	0.0658582076660151
"hsa-miR-151a-5p"	-0.343236135067382	12.7664437637511	0.328522640879839	0.566530308284139	0.611697872725927
"hsa-miR-151b"	4.73074555487456	7.58489351866331	36.3640005547309	1.63699053457367e-09	2.42479222933725e-08
"hsa-miR-152-3p"	-3.63057560832455	7.29465153380812	26.0061777316674	3.40326601204929e-07	2.30449727101623e-06
"hsa-miR-152-5p"	-5.5190793528392	4.56747308863451	30.0127829738326	4.29207532240958e-08	3.69898855058571e-07
"hsa-miR-154-5p"	-6.28574576576054	2.56783332815508	10.4737570805796	0.00121082223131339	0.00272004614996468
"hsa-miR-155-5p"	4.65398280780966	13.1379019407094	13.684785839276	0.000216198919277204	0.000588955676651693
"hsa-miR-15a-5p"	3.90706318751177	11.571557009742	19.4959786631479	1.00811689983308e-05	4.42451306037853e-05
"hsa-miR-15b-3p"	-0.0825665496602459	5.465427061679	0.0171469402136897	0.895817767555834	0.907302610729627
"hsa-miR-15b-5p"	0.531874101967836	8.29758508147235	0.635601767755951	0.425307962851107	0.478850295466567
"hsa-miR-16-1-3p"	-0.315149965206803	2.75874175081575	0.0330153542091107	0.855817163440593	0.87238136660396
"hsa-miR-16-2-3p"	1.72736000838122	6.64239805173583	5.02943253648228	0.0249200621351048	0.0399057751758097
"hsa-miR-16-5p"	4.61230520702118	14.66626810063	31.6040007008167	1.89039733650158e-08	1.90648582447181e-07
"hsa-miR-17-3p"	0.788191178660383	7.25264870738192	0.748262624214563	0.38702685229082	0.447440799965485
"hsa-miR-17-5p"	2.70529184537027	8.61254180012174	12.7570488184831	0.000354670045022667	0.00091366087685187
"hsa-miR-181a-2-3p"	2.61303172675371	7.91862337337362	13.201501963911	0.000279724851794995	0.000736608776393487
"hsa-miR-181a-3p"	1.5883421161957	9.00393598819828	5.66415154687782	0.0173150905027957	0.0287977294678076
"hsa-miR-181a-5p"	4.37633257900267	16.2973238338714	28.6292746023473	8.76470594941221e-08	6.92411770003565e-07
"hsa-miR-181b-3p"	0.419734527480296	2.96330453963163	0.161819738731889	0.687486624078856	0.720948362418977
"hsa-miR-181b-5p"	1.47328735705618	10.7789486258207	5.06332476378901	0.0244373136421652	0.0393989342394091
"hsa-miR-181c-3p"	-1.71012792429021	4.79124916743972	4.73902931581882	0.0294857034123512	0.0465874113915149
"hsa-miR-181c-5p"	0.813661543404118	8.19134245055626	1.49356317464757	0.221664435144272	0.276713174849047
"hsa-miR-181d-5p"	-1.78094749305449	4.69747574772968	4.57537975140941	0.0324345561506077	0.050572301366408
"hsa-miR-182-5p"	4.13781006703737	7.84599329027171	9.53889831140698	0.0020116245307778	0.00427582972012861
"hsa-miR-183-5p"	3.79476146715794	5.23151035151303	17.4488586790883	2.95141434029309e-05	0.000111917631783914
"hsa-miR-184"	-11.1853077355485	9.65962433679891	11.5133914107703	0.000690965986706542	0.0016375893884945
