"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	0	3.87522123144315	0	1	1
"hsa-let-7a-3p"	0	5.82050326704306	0	1	1
"hsa-let-7a-5p"	0	15.6156494554781	0	1	1
"hsa-let-7b-3p"	0	7.19716673455979	0	1	1
"hsa-let-7b-5p"	0	12.9169581521153	0	1	1
"hsa-let-7c-5p"	0	10.1747258658597	0	1	1
"hsa-let-7d-3p"	0	7.2562929560807	0	1	1
"hsa-let-7d-5p"	0	10.1307914267792	0	1	1
"hsa-let-7e-3p"	0	3.80929363622751	0	1	1
"hsa-let-7e-5p"	0	11.6335251032232	0	1	1
"hsa-let-7f-1-3p"	0	4.28843981937699	0	1	1
"hsa-let-7f-2-3p"	0	3.45715755676134	0	1	1
"hsa-let-7f-5p"	0	14.5968228460118	0	1	1
"hsa-let-7g-3p"	0	2.8328497906065	0	1	1
"hsa-let-7g-5p"	0	12.0019109188385	0	1	1
"hsa-let-7i-3p"	0	5.79214794392193	0	1	1
"hsa-let-7i-5p"	0	14.2135237827717	0	1	1
"hsa-miR-100-3p"	0	6.964487693536	0	1	1
"hsa-miR-100-5p"	0	18.1811185220321	0	1	1
"hsa-miR-101-3p"	0	11.0695745601595	0	1	1
"hsa-miR-103a-3p"	0	11.5294671269982	0	1	1
"hsa-miR-106b-3p"	0	7.54262454228938	0	1	1
"hsa-miR-106b-5p"	0	7.14246128688012	0	1	1
"hsa-miR-107"	0	7.79023053595415	0	1	1
"hsa-miR-10a-3p"	0	4.70231113360569	0	1	1
"hsa-miR-10a-5p"	0	15.0537537936411	0	1	1
"hsa-miR-10b-5p"	0	13.5711944700783	0	1	1
"hsa-miR-1180-3p"	0	4.28393706146229	0	1	1
"hsa-miR-1185-1-3p"	0	4.86692923816306	0	1	1
"hsa-miR-1185-2-3p"	0	2.62192730087975	0	1	1
"hsa-miR-1185-5p"	0	4.14386047264861	0	1	1
"hsa-miR-1197"	0	4.0054477697648	0	1	1
"hsa-miR-122-5p"	0	2.5958885474565	0	1	1
"hsa-miR-1226-3p"	0	3.82828475351352	0	1	1
"hsa-miR-1233-3p"	0	2.59570171188202	0	1	1
"hsa-miR-1249-3p"	0	4.04301821045	0	1	1
"hsa-miR-1257"	0	3.44955647643636	0	1	1
"hsa-miR-125a-3p"	0	4.83645315883059	0	1	1
"hsa-miR-125a-5p"	0	13.5346412959773	0	1	1
"hsa-miR-125b-1-3p"	0	10.7579385061596	0	1	1
"hsa-miR-125b-2-3p"	0	7.4335009743942	0	1	1
"hsa-miR-125b-5p"	0	15.5122180568998	0	1	1
"hsa-miR-126-3p"	0	9.17417556097664	0	1	1
"hsa-miR-126-5p"	0	10.373988098831	0	1	1
"hsa-miR-1260a"	0	4.82742125341519	0	1	1
"hsa-miR-1260b"	0	4.37067552286827	0	1	1
"hsa-miR-1269b"	0	2.44412092545801	0	1	1
"hsa-miR-127-3p"	0	14.0929617802659	0	1	1
"hsa-miR-127-5p"	0	5.50055225152846	0	1	1
"hsa-miR-1271-3p"	0	3.33535139200789	0	1	1
"hsa-miR-1271-5p"	0	8.10310135514666	0	1	1
"hsa-miR-128-1-5p"	0	3.41167371064974	0	1	1
"hsa-miR-128-3p"	0	9.52096674600028	0	1	1
"hsa-miR-1285-3p"	0	3.51715246014842	0	1	1
"hsa-miR-1296-5p"	0	5.24382507197188	0	1	1
"hsa-miR-1301-3p"	0	5.90493191833625	0	1	1
"hsa-miR-1304-3p"	0	5.89996390706128	0	1	1
"hsa-miR-1306-3p"	0	2.5848401199095	0	1	1
"hsa-miR-1306-5p"	0	4.55451690185757	0	1	1
"hsa-miR-1307-3p"	0	7.58094920897515	0	1	1
"hsa-miR-1307-5p"	0	9.35032074736702	0	1	1
"hsa-miR-130a-3p"	0	10.0203623880891	0	1	1
"hsa-miR-130b-3p"	0	9.44049220384027	0	1	1
"hsa-miR-130b-5p"	0	8.20249248587653	0	1	1
"hsa-miR-132-3p"	0	6.6756333396445	0	1	1
"hsa-miR-132-5p"	0	4.53331836417295	0	1	1
"hsa-miR-133a-3p"	0	2.90702904551955	0	1	1
"hsa-miR-134-5p"	0	6.7543906756251	0	1	1
"hsa-miR-1343-3p"	0	5.48855862754699	0	1	1
"hsa-miR-136-3p"	0	8.71142305908301	0	1	1
"hsa-miR-136-5p"	0	6.26775705720732	0	1	1
"hsa-miR-137"	0	3.73272740831558	0	1	1
"hsa-miR-138-5p"	0	8.46641700012785	0	1	1
"hsa-miR-140-3p"	0	11.2573964727339	0	1	1
"hsa-miR-140-5p"	0	5.16268288320963	0	1	1
"hsa-miR-143-3p"	0	13.114917335491	0	1	1
"hsa-miR-143-5p"	0	4.17246520373798	0	1	1
"hsa-miR-145-3p"	0	5.4459074163705	0	1	1
"hsa-miR-145-5p"	0	6.45716877980341	0	1	1
"hsa-miR-1468-5p"	0	4.00760884530168	0	1	1
"hsa-miR-146a-5p"	0	7.90084879808553	0	1	1
"hsa-miR-146b-3p"	0	5.28183561943408	0	1	1
"hsa-miR-146b-5p"	0	11.1269097830032	0	1	1
"hsa-miR-147b"	0	2.72630130502762	0	1	1
"hsa-miR-148a-3p"	0	12.4822750577249	0	1	1
"hsa-miR-148a-5p"	0	5.72173871807453	0	1	1
"hsa-miR-148b-3p"	0	10.6562442788115	0	1	1
"hsa-miR-148b-5p"	0	6.4639716820688	0	1	1
"hsa-miR-149-5p"	0	8.93067465172741	0	1	1
"hsa-miR-151a-3p"	0	12.3148199012086	0	1	1
"hsa-miR-151a-5p"	0	13.1917495352729	0	1	1
"hsa-miR-151b"	0	4.01548323809058	0	1	1
"hsa-miR-152-3p"	0	8.59135108425657	0	1	1
"hsa-miR-152-5p"	0	5.88537028491053	0	1	1
"hsa-miR-154-5p"	0	3.68594718236674	0	1	1
"hsa-miR-155-5p"	0	9.467311719959	0	1	1
"hsa-miR-15a-5p"	0	8.61590808551538	0	1	1
"hsa-miR-15b-3p"	0	5.7245745777516	0	1	1
"hsa-miR-15b-5p"	0	8.19404793425805	0	1	1
"hsa-miR-16-1-3p"	0	3.01034031070837	0	1	1
"hsa-miR-16-2-3p"	0	5.70393050340373	0	1	1
"hsa-miR-16-5p"	0	11.0443198658564	0	1	1
"hsa-miR-17-3p"	0	6.94298865563214	0	1	1
"hsa-miR-17-5p"	0	6.78687970118867	0	1	1
"hsa-miR-181a-2-3p"	0	6.2135376269999	0	1	1
"hsa-miR-181a-3p"	0	8.15226147022201	0	1	1
"hsa-miR-181a-5p"	0	12.9321952839336	0	1	1
"hsa-miR-181b-3p"	0	2.95732518105592	0	1	1
"hsa-miR-181b-5p"	0	10.0126645649834	0	1	1
"hsa-miR-181c-3p"	0	5.67000218991044	0	1	1
"hsa-miR-181c-5p"	0	7.89277625234528	0	1	1
"hsa-miR-181d-5p"	0	5.59064968686984	0	1	1
"hsa-miR-182-5p"	0	4.75959893052973	0	1	1
"hsa-miR-184"	0	11.046072241845	0	1	1
"hsa-miR-185-5p"	0	6.60051580506489	0	1	1
"hsa-miR-186-5p"	0	12.5097715568585	0	1	1
"hsa-miR-188-5p"	0	3.5989030282856	0	1	1
"hsa-miR-18a-3p"	0	3.43727382712383	0	1	1
"hsa-miR-18a-5p"	0	4.68265483195883	0	1	1
"hsa-miR-190a-5p"	0	4.36878675569986	0	1	1
"hsa-miR-191-3p"	0	4.04145616188197	0	1	1
"hsa-miR-191-5p"	0	13.3582621205055	0	1	1
"hsa-miR-1910-5p"	0	3.3637632807301	0	1	1
"hsa-miR-192-5p"	0	9.05017759714583	0	1	1
"hsa-miR-193a-3p"	0	8.84816907052604	0	1	1
"hsa-miR-193a-5p"	0	8.14625465875849	0	1	1
"hsa-miR-193b-3p"	0	9.33734659581335	0	1	1
"hsa-miR-193b-5p"	0	3.98960317705206	0	1	1
"hsa-miR-194-5p"	0	3.91607418498761	0	1	1
"hsa-miR-195-5p"	0	6.39037522435201	0	1	1
"hsa-miR-197-3p"	0	9.14302030573817	0	1	1
"hsa-miR-199a-3p"	0	13.2417187012144	0	1	1
"hsa-miR-199a-5p"	0	11.4123983369091	0	1	1
"hsa-miR-199b-3p"	0	12.1124441877095	0	1	1
"hsa-miR-199b-5p"	0	11.0269469425531	0	1	1
"hsa-miR-19a-3p"	0	6.48361326438636	0	1	1
"hsa-miR-19b-3p"	0	7.91580393783895	0	1	1
"hsa-miR-204-5p"	0	10.0111747658029	0	1	1
"hsa-miR-205-5p"	0	4.1266884741755	0	1	1
"hsa-miR-20a-5p"	0	6.48408213936894	0	1	1
"hsa-miR-21-3p"	0	10.864638391859	0	1	1
"hsa-miR-21-5p"	0	15.5971320223499	0	1	1
"hsa-miR-210-3p"	0	8.46708046166267	0	1	1
"hsa-miR-210-5p"	0	5.22420571934674	0	1	1
"hsa-miR-2110-3p"	0	3.77105819225294	0	1	1
"hsa-miR-212-3p"	0	4.78285056096045	0	1	1
"hsa-miR-212-5p"	0	5.06118593258376	0	1	1
"hsa-miR-214-3p"	0	8.47008138937993	0	1	1
"hsa-miR-214-5p"	0	6.61934602355068	0	1	1
"hsa-miR-215-5p"	0	4.38216188023015	0	1	1
"hsa-miR-216a-5p"	0	3.02785784224758	0	1	1
"hsa-miR-217"	0	2.5848401199095	0	1	1
"hsa-miR-218-1-3p"	0	6.52949635478361	0	1	1
"hsa-miR-218-5p"	0	7.25731381497918	0	1	1
"hsa-miR-22-3p"	0	16.1809802619188	0	1	1
"hsa-miR-22-5p"	0	6.74312790185665	0	1	1
"hsa-miR-221-3p"	0	14.3910657564649	0	1	1
"hsa-miR-221-5p"	0	10.747092322511	0	1	1
"hsa-miR-222-3p"	0	14.0735012487127	0	1	1
"hsa-miR-222-5p"	0	6.04433610840321	0	1	1
"hsa-miR-223-3p"	0	3.52978925258155	0	1	1
"hsa-miR-224-3p"	0	3.69892631020653	0	1	1
"hsa-miR-224-5p"	0	10.4934111171572	0	1	1
"hsa-miR-23a-3p"	0	11.5368551243871	0	1	1
"hsa-miR-23a-5p"	0	4.06090890536305	0	1	1
"hsa-miR-23b-3p"	0	11.781930607204	0	1	1
"hsa-miR-23b-5p"	0	3.56520484253086	0	1	1
"hsa-miR-24-1-5p"	0	3.72720772448188	0	1	1
"hsa-miR-24-2-5p"	0	7.64201903242336	0	1	1
"hsa-miR-24-3p"	0	10.7724229543431	0	1	1
"hsa-miR-25-3p"	0	10.6924589140106	0	1	1
"hsa-miR-25-5p"	0	3.94849135914946	0	1	1
"hsa-miR-2682-3p"	0	2.95757478382558	0	1	1
"hsa-miR-2682-5p"	0	3.48228458714629	0	1	1
"hsa-miR-26a-2-3p"	0	4.38454831133021	0	1	1
