"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	0.572733550272121	4.24383720218605	0.358769555305048	0.549190388311902	0.99633268228435
"hsa-let-7a-3p"	1.16433837722374	6.60994894452323	1.55564671750034	0.212303764622194	0.972132891821793
"hsa-let-7a-5p"	-0.58836040594399	15.4442364403051	0.592605404265669	0.441413389883312	0.99633268228435
"hsa-let-7b-3p"	0.280370389207475	7.43658403663537	0.117535423286151	0.731723047885788	0.99633268228435
"hsa-let-7b-5p"	-0.958628908883016	12.6169825147566	1.44025539606633	0.230098016285456	0.99135687390276
"hsa-let-7c-5p"	-0.612094385639324	10.0224727633971	0.31126712549613	0.576903665485024	0.99633268228435
"hsa-let-7d-3p"	-0.0251844703001467	7.34626426943605	0.000949016121360557	0.975424171438051	0.997052201846877
"hsa-let-7d-5p"	-0.393416732790415	10.057337015543	0.212545324762182	0.644779677555714	0.99633268228435
"hsa-let-7e-3p"	0.66616409229232	4.24779914323217	0.63048136573597	0.427178800770585	0.99633268228435
"hsa-let-7e-5p"	-0.282496276606148	11.6059313884333	0.122085148534122	0.726783889622478	0.99633268228435
"hsa-let-7f-1-3p"	0.539937520543416	4.66827486207537	0.360249834828124	0.548367516376326	0.99633268228435
"hsa-let-7f-2-3p"	1.43416060648253	4.33820682489696	1.83575075161136	0.17544980282389	0.90477587123157
"hsa-let-7f-5p"	-0.0618192709900347	14.6713053495114	0.00679392350042463	0.93430854974527	0.99633268228435
"hsa-let-7g-3p"	0.309002274567873	3.06278563871395	0.072486509080349	0.78775024313789	0.99633268228435
"hsa-let-7g-5p"	-0.549360916365456	11.8569917781148	0.473211872378897	0.491513256184108	0.99633268228435
"hsa-let-7i-3p"	-0.0344909660104212	5.87519037464265	0.00173228963139782	0.966801004641985	0.997052201846877
"hsa-let-7i-5p"	-0.0696195806269936	14.280060394255	0.00864572672671216	0.925917543334085	0.99633268228435
"hsa-miR-100-3p"	1.21413453215638	7.7857486129029	1.57452743937826	0.209550736070067	0.972132891821793
"hsa-miR-100-5p"	-0.58272209018002	17.9995688386577	0.439859961727052	0.507190053609726	0.99633268228435
"hsa-miR-101-3p"	-1.23147267461755	10.7151415171684	1.25082158042106	0.263395617882334	0.99633268228435
"hsa-miR-103a-3p"	0.0213994275849277	11.6449581131679	0.000753683394719928	0.978098191151599	0.997573597612582
"hsa-miR-106b-3p"	-0.210349289477024	7.54244142067249	0.0569873978540922	0.811322448311368	0.99633268228435
"hsa-miR-106b-5p"	0.257001337116355	7.39953294052484	0.0620005874911698	0.80336142215327	0.99633268228435
"hsa-miR-107"	-2.22002414243371	7.19887942638789	3.69015219300887	0.0547346216694377	0.7009072386003
"hsa-miR-10a-3p"	-0.856166753023265	4.4536901270244	0.339283227195483	0.560243249213207	0.99633268228435
"hsa-miR-10a-5p"	-1.43556840366897	14.5865704541156	2.13515536095201	0.143955876612596	0.90477587123157
"hsa-miR-10b-5p"	-1.95766683439121	13.0452123968646	1.02243024708872	0.311943240532289	0.99633268228435
"hsa-miR-1180-3p"	0.634851173099803	4.6805331867061	0.230255690302151	0.63133430278173	0.99633268228435
"hsa-miR-1185-1-3p"	1.46434686715862	5.82794325262024	1.00653990962984	0.315733198929583	0.99633268228435
"hsa-miR-1185-2-3p"	1.15576405573599	3.23244330444826	0.733267272041446	0.391826184186475	0.99633268228435
"hsa-miR-1185-5p"	0.934479078085467	4.73192377833116	0.404372445834968	0.524839739234865	0.99633268228435
"hsa-miR-1197"	0.791980546177604	4.50437000316933	0.26962934734325	0.603580517612564	0.99633268228435
"hsa-miR-122-5p"	-1.11698521836903	2.35554436603199	0.626849641670472	0.428513246196409	0.99633268228435
"hsa-miR-1226-3p"	-0.913961721816232	3.55180073855068	0.619825201915584	0.431112249427441	0.99633268228435
"hsa-miR-1233-3p"	-1.36447178274409	2.30784095893845	0.830643302929486	0.362086577210668	0.99633268228435
"hsa-miR-1247-5p"	5.28249264889251	2.06498122987311	4.35987620844099	0.0367949789696014	0.570022769263523
"hsa-miR-1249-3p"	0.251918223584397	4.27963525847968	0.0636245889941889	0.80085621852242	0.99633268228435
"hsa-miR-1257"	-6.33116693060681	2.70601533916377	9.91846504202235	0.0016362878777746	0.260245629818377
"hsa-miR-125a-3p"	-0.141556555493238	4.88823963838951	0.0230389170464687	0.879355913587164	0.99633268228435
"hsa-miR-125a-5p"	-0.662966549385223	13.3492143644482	0.579931619774698	0.44633912504383	0.99633268228435
"hsa-miR-125b-1-3p"	-0.274919134349792	10.7230690873325	0.118289521780454	0.730897096474573	0.99633268228435
"hsa-miR-125b-2-3p"	-0.094112094453016	7.51644115055118	0.00686862265276034	0.933949220012563	0.99633268228435
"hsa-miR-125b-5p"	-1.4191400390827	15.0591298938887	2.62884209715116	0.104938216815238	0.851103235046125
"hsa-miR-126-3p"	-2.40170017859974	8.56566988615912	2.8362793545609	0.0921573796194926	0.801595320841247
"hsa-miR-126-5p"	-2.06642614931429	9.81935755812751	2.30842339530332	0.128674505425489	0.90477587123157
"hsa-miR-1260a"	-0.774190721127238	4.62308698445961	0.687721189598004	0.406940571798692	0.99633268228435
"hsa-miR-1260b"	-2.24600611253355	3.81580008903085	5.03973609082595	0.0247722636585585	0.507953531673636
"hsa-miR-1269b"	-2.97782173158417	1.99838535767725	1.82927403515582	0.176213316896718	0.90477587123157
"hsa-miR-127-3p"	-0.163437001766773	14.0909952000251	0.0190968843235169	0.890089090816723	0.99633268228435
"hsa-miR-127-5p"	0.85475277802433	6.06324054354264	0.465313278386491	0.495151218141597	0.99633268228435
"hsa-miR-1271-3p"	-4.88905015337457	2.70466200390934	3.69738748406416	0.054497735533042	0.7009072386003
"hsa-miR-1271-5p"	-0.860581923595964	7.807312598469	0.527561371295047	0.467633917805591	0.99633268228435
"hsa-miR-1277-5p"	5.21020821128066	2.03327030477956	4.34605595930629	0.0370947572188844	0.570022769263523
"hsa-miR-128-1-5p"	0.498194224239271	3.71775319599073	0.313512451417136	0.575532760578851	0.99633268228435
"hsa-miR-128-3p"	-0.00717684195943735	9.61315812581159	7.66255157884643e-05	0.993015726775353	0.997815152697058
"hsa-miR-1285-3p"	1.7520867758393	4.61076146648291	1.06723289583248	0.301571306564042	0.99633268228435
"hsa-miR-1293-3p"	2.39120394891033	3.75017327648168	2.85595176003561	0.0910363456901995	0.801595320841247
"hsa-miR-1296-5p"	0.71623834482161	5.72060340238474	0.695788725077051	0.404202372083018	0.99633268228435
"hsa-miR-1301-3p"	-0.737675913801844	5.66670608243401	0.490612452222903	0.48365423069096	0.99633268228435
"hsa-miR-1304-3p"	-0.0994160683377969	5.94383547778925	0.00885573145738405	0.925025831171693	0.99633268228435
"hsa-miR-1306-3p"	-0.0739349612191467	2.65727989184355	0.00282164287868714	0.957636982633785	0.99633268228435
"hsa-miR-1306-5p"	-0.754213569457933	4.37893904201897	0.343851795678946	0.557614285691658	0.99633268228435
