"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	-0.659683940160152	3.6117657417956	0.552540473168918	0.45728151219406	0.906939798094251
"hsa-let-7a-3p"	-0.209508326662505	5.72839992313634	0.0651015555546786	0.798607197342725	0.95743615736618
"hsa-let-7a-5p"	0.691213246115883	16.0132086198222	1.1391170334673	0.285838980108841	0.844209762285518
"hsa-let-7b-3p"	-0.0745275258539693	7.17747016625138	0.0109000084901165	0.916849458121814	0.976195814134492
"hsa-let-7b-5p"	0.104888660076272	12.9975405212309	0.0247103954641261	0.875090849282195	0.967870573708392
"hsa-let-7c-5p"	-0.875682169186982	9.86214112237576	0.985353336072706	0.320880717813968	0.89614096347955
"hsa-let-7d-3p"	-0.330122346902555	7.11879768621952	0.227558641611311	0.633339997373947	0.943001357244592
"hsa-let-7d-5p"	0.0171281890372079	10.1728572919645	0.000591796616078	0.980591880111711	0.997905114295523
"hsa-let-7e-3p"	0.0098014240082068	3.84863161188322	0.000153469324198019	0.990115840534025	0.997905114295523
"hsa-let-7e-5p"	0.13091563571557	11.7315387186026	0.0372521379735176	0.846952601540863	0.95743615736618
"hsa-let-7f-1-3p"	-0.570862921302129	4.07788210176658	0.505232876399181	0.477209821445743	0.906939798094251
"hsa-let-7f-2-3p"	-0.418101316991461	3.28648602658264	0.0902251511570187	0.763891117485341	0.95743615736618
"hsa-let-7f-5p"	0.124092263241487	14.684333783711	0.038999759974331	0.843449138391932	0.95743615736618
"hsa-let-7g-3p"	-1.05909216608811	2.57033955683093	0.621108227153541	0.430635759773418	0.906939798094251
"hsa-let-7g-5p"	0.310870875969186	12.1915423709048	0.225740422675685	0.634700387679834	0.943001357244592
"hsa-let-7i-3p"	-0.437349062561333	5.60722729608793	0.376792185957021	0.539325023762206	0.919779110292135
"hsa-let-7i-5p"	-0.165308348649173	14.1493108197393	0.069750219166508	0.791700808209786	0.95743615736618
"hsa-miR-100-3p"	2.02686653570414	8.28114602338902	5.1984470471649	0.0226070765715893	0.343468086654235
"hsa-miR-100-5p"	-0.107461835273077	18.1289332270192	0.019737670902316	0.888272204017132	0.970718777469261
"hsa-miR-101-3p"	-0.705431738020172	10.8307013604783	0.522168712437065	0.469918034348171	0.906939798094251
"hsa-miR-103a-3p"	0.0395124330467732	11.5726319252552	0.00366040668184553	0.951756384577916	0.990006641168518
"hsa-miR-106b-3p"	-0.766140637512791	7.22374692146872	1.06537883576421	0.301991595227722	0.879975509272831
"hsa-miR-106b-5p"	-0.691192435120995	6.88606343171294	0.577285560993045	0.4473782655663	0.906939798094251
"hsa-miR-107"	0.172997868625457	7.94393282577409	0.0302118057956537	0.862010512871132	0.962906086055126
"hsa-miR-10a-3p"	-0.521400005088803	4.44700734366248	0.120830546164328	0.728135435261533	0.95743615736618
"hsa-miR-10a-5p"	0.463961201326747	15.29925015149	0.23549236218787	0.627480894704185	0.943001357244592
"hsa-miR-10b-5p"	-5.81055255883243	12.6872189943799	9.52888708710498	0.00202262735553863	0.106543615795362
"hsa-miR-1180-3p"	-0.168384413340094	4.19361022545688	0.0186519397182083	0.891369027268497	0.970718777469261
"hsa-miR-1185-1-3p"	-0.659726915606638	4.56035545954341	0.241846092311246	0.622875937650496	0.943001357244592
"hsa-miR-1185-2-3p"	-0.432196885501314	2.46727140934389	0.0882441126203233	0.766421384315245	0.95743615736618
"hsa-miR-1185-5p"	1.28103877930889	4.82171404430854	0.901833111193707	0.342290661784802	0.89614096347955
"hsa-miR-1197"	-1.32951945641853	3.52615979146657	0.781678959304843	0.376628145742421	0.89614096347955
"hsa-miR-122-5p"	0.389350844081336	2.73116221064401	0.0989106007649125	0.753140892987607	0.95743615736618
"hsa-miR-1226-3p"	-1.68040857447248	3.29745480800713	2.10958128411551	0.146379365016847	0.748917681481543
"hsa-miR-1233-3p"	-0.975164920035467	2.30759158515226	0.383239383906834	0.535874651473303	0.919779110292135
"hsa-miR-1249-3p"	-0.195957189072011	4.01652829867222	0.0365385990844516	0.848407508640942	0.95743615736618
"hsa-miR-1257"	-1.77025681657414	2.93159266014069	1.39791652962065	0.23707272314711	0.790242410490366
"hsa-miR-125a-3p"	0.40250785555947	5.08889662050395	0.231517161965567	0.630401150572133	0.943001357244592
"hsa-miR-125a-5p"	-0.535965883369715	13.3333639027743	0.531448446521097	0.465998538326423	0.906939798094251
"hsa-miR-125b-1-3p"	0.547581014891065	11.0714453446429	0.633976389782333	0.425900488499633	0.906939798094251
"hsa-miR-125b-2-3p"	-0.268941659558922	7.37623615712962	0.0759174529142994	0.782908143977168	0.95743615736618
"hsa-miR-125b-5p"	-0.981975082841726	15.1233556928285	1.75382186158663	0.185396991637432	0.769216191705654
"hsa-miR-126-3p"	-5.34097195425983	8.28921825434742	12.0620099671234	0.000514597791929802	0.0566057571122782
"hsa-miR-126-5p"	-5.76225701707128	9.46664101028441	15.2971955582947	9.18527756780277e-05	0.0404152212983322
"hsa-miR-1260a"	-1.66838929694566	4.31435994285385	3.29331690202854	0.0695623653709896	0.566804458578434
"hsa-miR-1260b"	-1.59553991957286	3.88036144025306	2.70588947083153	0.0999783066229088	0.662593246349281
"hsa-miR-1269b"	-1.83380247730064	2.0347861900611	0.77550428052105	0.37851962690378	0.89614096347955
"hsa-miR-127-3p"	0.639991401648731	14.4336389068856	0.344735670634009	0.557108374817414	0.924648185116669
"hsa-miR-127-5p"	1.39943036897945	6.30696594239438	1.5063617537603	0.219695090918021	0.785901138243328
"hsa-miR-1271-3p"	-1.70096442544448	2.92350680696874	0.68937936356058	0.406375562411802	0.9021309263947
"hsa-miR-1271-5p"	-0.942806598082694	7.70979846165453	0.743559145035034	0.388523136996853	0.89614096347955
"hsa-miR-128-1-5p"	0.983014270574987	3.89740922036181	0.917346354160296	0.338172699021819	0.89614096347955
"hsa-miR-128-3p"	-0.30731434249436	9.38333633606382	0.19154382425311	0.661634800221115	0.950891195508147
"hsa-miR-1285-3p"	-0.396808481157741	3.32890269301221	0.0378870139011518	0.845670192342166	0.95743615736618
"hsa-miR-1296-5p"	-0.269618053194008	5.12193245260377	0.126441292745496	0.722150746200533	0.95743615736618
"hsa-miR-1301-3p"	-0.58639229427715	5.64667438573755	0.403941105381856	0.525060892734244	0.919779110292135
"hsa-miR-1304-3p"	1.3031713019406	6.6545418120366	1.57695971455102	0.209199166139875	0.785007791989519
"hsa-miR-1306-3p"	-0.708931352483898	2.41792043182492	0.24235908780244	0.6225074252907	0.943001357244592
"hsa-miR-1306-5p"	-2.53720885376067	3.92978283751863	3.54142004211583	0.0598541973935212	0.566804458578434
"hsa-miR-1307-3p"	-0.453688545636195	7.40109066024918	0.395367725062915	0.529491305978189	0.919779110292135
"hsa-miR-1307-5p"	0.0219439088544721	9.38532218226255	0.000782514589369399	0.977683316930745	0.997905114295523
"hsa-miR-130a-3p"	1.08963985329959	10.6701464797734	2.56826169564089	0.109027478458608	0.662858231432962
"hsa-miR-130b-3p"	-0.101536329153042	9.42674164412825	0.0189204389115289	0.890594820182311	0.970718777469261
"hsa-miR-130b-5p"	-0.435747743459794	8.03147270560262	0.321269378237801	0.570845791942	0.933725458938587
"hsa-miR-132-3p"	-0.549858691909342	6.40795282310333	0.275662077193022	0.599558644539383	0.943001357244592
"hsa-miR-132-5p"	0.00590047352651054	4.52753830199416	4.59751777066586e-05	0.994589985339547	0.997905114295523
"hsa-miR-133a-3p"	-0.99294891846216	2.66403342084421	0.546838420731619	0.459612398921139	0.906939798094251
"hsa-miR-134-5p"	0.764903848413552	7.15539974919022	0.587333213318265	0.443452205330418	0.906939798094251
"hsa-miR-1343-3p"	-2.7733101359546	4.80250874198335	4.52470013158811	0.0334089299567467	0.419997976599101
"hsa-miR-136-3p"	0.568938282220714	8.97913846670064	0.214874407619487	0.642973426654149	0.943027692426086
"hsa-miR-136-5p"	2.79073766313715	8.20047329807896	7.52879895769878	0.00607203744566876	0.178163440001055
"hsa-miR-137"	1.45649771721731	4.51216740127153	1.25550905585049	0.262502880042707	0.808701289905427
"hsa-miR-138-1-3p"	1.10374862020454	3.41047183890704	0.866184973227005	0.352013638984554	0.89614096347955
"hsa-miR-138-5p"	0.456328437027009	8.66346276556374	0.10596259877407	0.744788328979926	0.95743615736618
"hsa-miR-140-3p"	-0.67389333594993	11.0245065425988	0.554207267391988	0.456603684513558	0.906939798094251
"hsa-miR-140-5p"	-1.00748206621164	4.80014042381569	1.24486756377662	0.264535013601694	0.808701289905427
"hsa-miR-143-3p"	2.55649614482183	14.8878462745719	9.39203536719924	0.00217930123217785	0.106543615795362
"hsa-miR-143-5p"	2.18616491855731	5.5337114541632	5.42108758993345	0.0198949634853843	0.334095359286382
"hsa-miR-145-3p"	2.37403015580525	7.02335388384227	6.77389298794636	0.00925008462318679	0.214212486010642
"hsa-miR-145-5p"	2.22850592087189	7.94850700760075	6.92834394166272	0.00848402113788395	0.207387183370497
"hsa-miR-1468-5p"	-0.806665375207685	3.75474534092252	0.72589032194086	0.394218547287533	0.89614096347955
"hsa-miR-146a-5p"	0.137608380537663	7.98011130235679	0.0143151768327812	0.904763540572076	0.973670499195466
"hsa-miR-146b-3p"	-1.2813547141515	4.79938900396223	0.806803428866783	0.36906700872289	0.89614096347955
"hsa-miR-146b-5p"	-0.948136722789314	10.7352551399309	0.461860682836175	0.496755662137987	0.906939798094251
"hsa-miR-147b"	-1.53864520275372	2.3844467620089	0.935781765971346	0.333365029753199	0.89614096347955
"hsa-miR-148a-3p"	-1.35660805137074	12.0355880913545	1.45692834118587	0.227419486813895	0.790242410490366
"hsa-miR-148a-5p"	-0.744211121050782	5.47352846351894	0.47308615143486	0.491570810212856	0.906939798094251
"hsa-miR-148b-3p"	-0.308425435425007	10.5459905675802	0.189344529689659	0.663462720502275	0.950891195508147
"hsa-miR-148b-5p"	0.299343651049796	6.65819376078559	0.141115776181139	0.707174289830354	0.95743615736618
"hsa-miR-149-5p"	-2.25757486352478	8.22801873010468	7.85781047777477	0.00506016330017688	0.171267065544448
"hsa-miR-151a-3p"	-0.147856835933375	12.2499181748667	0.0523739301998489	0.818982773296262	0.95743615736618
"hsa-miR-151a-5p"	-0.625909715911067	12.92400347674	0.939503803556363	0.332405483357162	0.89614096347955
"hsa-miR-151b"	-0.740558288089052	3.73533546387766	0.917167217897684	0.338219869288207	0.89614096347955
"hsa-miR-152-3p"	-0.356954596712404	8.43269343551322	0.252740300788793	0.615152122848804	0.943001357244592
"hsa-miR-152-5p"	1.03904060180389	6.51666153490118	1.9034341799108	0.16769442824843	0.75035196729972
"hsa-miR-154-5p"	1.18138988866189	4.29438323956052	1.01700750450232	0.313229890647359	0.89614096347955
"hsa-miR-155-5p"	-0.980298801549898	9.0929705484863	1.78387311848999	0.181674448130514	0.761628943484533
"hsa-miR-15a-5p"	-0.635667591622249	8.37036292003778	0.662486222537673	0.415683583024496	0.906939798094251
"hsa-miR-15b-3p"	-1.01761879940796	5.34516165821731	1.942364947572	0.163411981718866	0.75035196729972
"hsa-miR-15b-5p"	-0.409297580338911	8.04234607265026	0.281164337541483	0.595939082315909	0.943001357244592
"hsa-miR-16-1-3p"	-1.15261543786904	2.73097663601221	0.461907006184131	0.496734077398201	0.906939798094251
"hsa-miR-16-2-3p"	1.01410579653161	6.2711830581087	1.5323618908268	0.215758312880987	0.785007791989519
"hsa-miR-16-5p"	-0.618027908587515	10.7809410725294	0.764465953447464	0.381934517442286	0.89614096347955
"hsa-miR-17-3p"	0.87820936442032	7.51278760595349	0.749247915682602	0.386714449618303	0.89614096347955
"hsa-miR-17-5p"	-0.22618554999977	6.70343025101765	0.0809793837713544	0.775974541776065	0.95743615736618
"hsa-miR-181a-2-3p"	2.78300212006233	8.18227360075631	12.3221527161579	0.000447614183827383	0.0566057571122782
"hsa-miR-181a-3p"	1.85714477122458	9.36399179037165	6.22772623737575	0.0125765124118393	0.251530248236786
"hsa-miR-181a-5p"	0.542306243750825	13.2201630514191	0.518116004645087	0.471646449050132	0.906939798094251
"hsa-miR-181b-3p"	1.40724204505702	3.64928423046635	1.57904491318224	0.208898319684603	0.785007791989519
"hsa-miR-181b-5p"	1.09575476427635	10.6609286646264	2.45602481054203	0.117074736921591	0.671398377748319
"hsa-miR-181c-3p"	0.0381765230573925	5.73683930195401	0.00206204629865114	0.963780701699269	0.996887542594292
"hsa-miR-181c-5p"	-0.463833115704801	7.70857456789768	0.396594780969584	0.528853114444713	0.919779110292135
"hsa-miR-181d-5p"	-1.27661807198038	5.15846877547841	2.15444709460678	0.14215760834378	0.744120991767096
"hsa-miR-182-5p"	-0.171934706746975	4.70619238218402	0.0507094774894294	0.821833296993685	0.95743615736618
"hsa-miR-184"	-9.8218524217845	10.141624475139	5.42738556237441	0.0198233353299457	0.334095359286382
"hsa-miR-185-3p"	0.973607698347318	3.65501780652156	1.53204303594923	0.215806080271482	0.785007791989519
"hsa-miR-185-5p"	-0.802237050935606	6.32699229821471	0.65781314468961	0.41733304864389	0.906939798094251
"hsa-miR-186-5p"	-0.830526107064171	12.1921779589942	1.29545658088142	0.25504480213148	0.808701289905427
"hsa-miR-188-3p"	0.885004345343843	2.5552595341924	0.477596428963848	0.489513057357848	0.906939798094251
"hsa-miR-188-5p"	0.46447121682803	3.82568369131089	0.251511333327048	0.616012905983086	0.943001357244592
"hsa-miR-18a-3p"	0.413129015959177	3.63365359008273	0.160315484997794	0.688866223450533	0.95743615736618
"hsa-miR-18a-5p"	-0.713898651307871	4.45253299084787	0.418336352687199	0.5177683413352	0.919779110292135
"hsa-miR-190a-5p"	2.79729297166538	6.2536466316839	10.4900034851682	0.00120022145175019	0.103128745494622
"hsa-miR-191-3p"	-0.945951923762003	3.74260083571953	0.865202009148357	0.352287029041749	0.89614096347955
"hsa-miR-191-5p"	0.27489768968194	13.5113332816044	0.14832727088708	0.700139030570635	0.95743615736618
"hsa-miR-1910-5p"	0.266310454472232	3.46504828712386	0.0669295994383923	0.795860889294269	0.95743615736618
