"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	-7.32786442691802	3.42544395237669	18.7951857999273	1.45534016587643e-05	9.78312000394711e-05
"hsa-let-7a-3p"	-0.826625426692053	5.92232971268133	0.75030178791747	0.386380699753347	0.524521013287964
"hsa-let-7a-5p"	-1.54625364992283	15.4593608907907	4.93897085615117	0.0262576662958032	0.0567353146748604
"hsa-let-7b-3p"	-2.96517191926932	6.76339131266171	12.3846738396534	0.000432872243863305	0.00170037474268746
"hsa-let-7b-5p"	-2.42439469314922	12.5147145764354	13.0822788755463	0.000298102565053194	0.00126562843408549
"hsa-let-7c-5p"	-4.91459426060575	9.43104676934951	18.8545465082927	1.41074444231096e-05	9.75429014397863e-05
"hsa-let-7d-3p"	0.840077601521002	8.13000465137776	1.46905973084289	0.225494105595575	0.342128987800182
"hsa-let-7d-5p"	0.651351109024419	10.819593025832	1.02648415925867	0.310985870414664	0.438825543092412
"hsa-let-7e-3p"	-0.13354675779295	4.03611723411454	0.02147430875055	0.883494207228733	0.91765362544975
"hsa-let-7e-5p"	-0.65409251106033	11.6799187933131	1.05299126766613	0.304819175539732	0.433919061650678
"hsa-let-7f-1-3p"	0.00776569136918132	4.6612452935934	7.09135361685043e-05	0.993281079540472	0.993281079540472
"hsa-let-7f-2-3p"	0.417027504775803	4.12737878560768	0.117377989907801	0.731895855389962	0.824204508468501
"hsa-let-7f-5p"	-0.0230354321613667	14.9531868434979	0.00147156700290907	0.969399848484277	0.97747818055498
"hsa-let-7g-3p"	0.924830573757925	3.42013572176352	0.748699045900906	0.386888433354965	0.524521013287964
"hsa-let-7g-5p"	0.648581081713229	12.720946952469	1.07747400262912	0.299263326842092	0.429802522823657
"hsa-let-7i-3p"	-0.32909118828016	6.05410981996788	0.135497450793072	0.712798832133576	0.811752081770943
"hsa-let-7i-5p"	-0.983269391211858	14.2054521737749	2.5348584666782	0.111356871185693	0.187991630112336
"hsa-miR-100-3p"	-10.5930579817244	6.49645805353757	35.3836426331998	2.70751199444514e-09	5.697546979615e-08
"hsa-miR-100-5p"	-11.7755792737612	17.6375762772429	81.1554083591247	2.08647192520283e-19	2.52463102949542e-17
"hsa-miR-101-3p"	-0.0857409820451542	11.1825468509643	0.00921760547925032	0.923513931720675	0.949003700536744
"hsa-miR-101-5p"	2.5006922802278	3.01828397426277	3.07567772273021	0.0794714644924964	0.143523092590926
"hsa-miR-103a-3p"	0.971971064502214	12.4668834460738	2.53319387843155	0.111474375707108	0.187991630112336
"hsa-miR-106b-3p"	-1.42470533666247	7.42382076987549	3.489991415522	0.0617409050475024	0.117648023791304
"hsa-miR-106b-5p"	-0.197299658364276	7.33383837939266	0.0467176646731104	0.828876520262887	0.883648096491712
"hsa-miR-107"	-2.8619853022402	7.1556900045687	7.22454503152282	0.00719133963405478	0.0183189914888553
"hsa-miR-10a-3p"	-8.34855979949666	4.33539378993069	10.649092244979	0.00110124943298026	0.00360138328082733
"hsa-miR-10a-5p"	-5.64806970599504	14.5605686084501	20.5927452863524	5.68109911808282e-06	4.58275328858681e-05
"hsa-miR-10b-5p"	-9.67482896386152	12.6258668283412	23.0856803167989	1.54940332720313e-06	1.55923422706466e-05
"hsa-miR-1180-3p"	-3.55798045659361	3.91616904695862	5.17951409745595	0.0228547143717913	0.0505099623559223
"hsa-miR-1185-1-3p"	-8.51571241570458	4.49018080481314	11.1458918120133	0.000842179751166919	0.00287052816594922
"hsa-miR-1185-2-3p"	-5.86445468887858	2.30310822696549	6.70737596547814	0.00960149094893466	0.0239542351509504
"hsa-miR-1185-5p"	-7.74641664864853	3.78909355567057	9.42331478337932	0.00214243893631352	0.00644062388307915
"hsa-miR-1197"	-7.59785110064108	3.65868678962122	8.65329982187161	0.0032646956464462	0.00924042510456117
"hsa-miR-122-5p"	-1.03597725004782	2.6854770458357	0.32091026474785	0.571061122055024	0.692768757381565
"hsa-miR-1226-3p"	0.503170762923896	4.47516182832693	0.190560421063695	0.662450592730174	0.772592980437119
"hsa-miR-1228-3p"	2.23378031144384	3.96692090281521	3.52887050857962	0.0603088589769986	0.116194112736207
"hsa-miR-1228-5p"	5.42243732001099	2.13184714819897	6.24565109172899	0.012449860729021	0.0299787691186377
"hsa-miR-1233-3p"	-5.80950935234079	2.26487425317976	7.36513463202337	0.00665006209279398	0.0172119254166432
"hsa-miR-1237-3p"	0.929637488732595	2.32522480244538	0.590679883054419	0.4421563325289	0.579955731555522
"hsa-miR-1249-3p"	3.44740971888941	6.6956240554498	12.3096556304842	0.000450621103916385	0.00174480491436424
"hsa-miR-1257"	-6.72355999099771	2.9019592379537	11.1186772819993	0.000854627130184447	0.00289258413293198
"hsa-miR-125a-3p"	-1.64782055320941	4.51028871710915	3.77743044998477	0.0519483788596654	0.100975965333647
"hsa-miR-125a-5p"	-0.648110273771333	13.5330250059916	0.898028938903735	0.343310775404149	0.478854222753914
"hsa-miR-125b-1-3p"	-14.2824718175135	10.164651809208	93.7441594755768	3.59060062343875e-22	8.68925350872178e-20
"hsa-miR-125b-2-3p"	-5.09551603002439	6.64088773536176	18.811519822976	1.44292962399791e-05	9.78312000394711e-05
"hsa-miR-125b-5p"	-10.8803895556664	14.8886742602725	93.7759490202175	3.53339311579465e-22	8.68925350872178e-20
"hsa-miR-126-3p"	-5.29952683851712	8.34652485433746	13.4162289967354	0.000249456672939684	0.00108772098831358
"hsa-miR-126-5p"	-5.5401897783771	9.5972511294341	15.9893367820466	6.37002613148111e-05	0.000324536068172301
"hsa-miR-1260a"	-0.302112310083166	4.92500884069876	0.105960808621921	0.744790409712433	0.82868634092142
"hsa-miR-1260b"	-0.586963625898371	4.3695436845366	0.369234862906224	0.543421629048068	0.674400175536577
"hsa-miR-1269b"	-5.61515212787378	2.14592128306627	4.92192364971178	0.0265179752577726	0.0570431112211642
"hsa-miR-127-3p"	-11.1547038180364	13.6093632698683	37.6994107887167	8.25294855595361e-10	2.10233005320081e-08
"hsa-miR-127-5p"	-9.15480412564731	5.09496273536763	17.1516148234652	3.45115890558611e-05	0.000187681001157717
"hsa-miR-1271-3p"	-6.21868765342443	2.61186391321444	5.46816375929867	0.0193659625391426	0.0439665117861015
"hsa-miR-1271-5p"	-2.46540064915625	7.7923405125355	4.13498099281087	0.0420055391949911	0.0850656107547101
"hsa-miR-1273h-3p"	6.05199108771919	2.52734877615832	10.1473793270519	0.00144506527902768	0.00460139207269339
"hsa-miR-128-1-5p"	0.294281380564428	3.95367142195422	0.102264563120556	0.749128810040932	0.829827958347274
"hsa-miR-128-3p"	-0.781166420820408	9.6171837466344	1.26714458613786	0.260303037832933	0.385668633441415
"hsa-miR-1285-3p"	0.699362516441578	4.43515933769745	0.151077466887806	0.697507811602707	0.796282690240061
"hsa-miR-1296-5p"	-1.1360500080553	5.23414228773167	1.85293536481176	0.173442379661841	0.276138525514247
"hsa-miR-1301-3p"	1.86145256722861	7.54282542099044	3.52368601173722	0.0604977611767031	0.116194112736207
"hsa-miR-1303"	3.06136968216494	3.75355792775276	2.74024229486524	0.0978499293511434	0.168538668348589
"hsa-miR-1304-3p"	-1.41628249802059	5.90783110649997	1.80097819203107	0.179594281205822	0.284771550304532
"hsa-miR-1306-3p"	-2.73512901914284	2.17788251200138	2.59953586611646	0.106895015662209	0.181533991510558
"hsa-miR-1306-5p"	-1.45461591917912	4.16272454610442	1.64962184156204	0.199010408288905	0.31071302455429
"hsa-miR-1307-3p"	0.761643581347643	8.36413312080023	1.24789233540928	0.263955411901468	0.389359081033108
"hsa-miR-1307-5p"	-0.748907319411895	9.40010401317705	0.935077571512089	0.333546987748091	0.467032330391888
"hsa-miR-130a-3p"	-4.84420725447246	9.51642122293581	34.3693594313004	4.55843457295718e-09	8.48570128196644e-08
"hsa-miR-130b-3p"	-1.73199657788649	9.13992586826222	6.12565807913141	0.0133233682840023	0.0317660603421533
