"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	-7.05375538096572	3.26681169177051	17.6708312266011	2.62623155994236e-05	0.00013593964555492
"hsa-let-7a-3p"	-1.49427429362143	5.55305142466319	2.11469192286447	0.145891409849633	0.207275115434781
"hsa-let-7a-5p"	-0.746150906805933	15.4615084081688	1.34477338811939	0.246193922624641	0.314439388222664
"hsa-let-7b-3p"	-2.71592611431511	6.55966548120217	12.9927924636877	0.000312692284090196	0.00107802304934592
"hsa-let-7b-5p"	-1.99662546369784	12.3684298391614	9.12910072451035	0.00251575349031167	0.00619222587950604
"hsa-let-7c-5p"	-5.85017199562489	9.26207587270229	33.2039437958437	8.29820609118837e-09	1.23970169786541e-07
"hsa-let-7d-3p"	-0.928798387493171	7.05995988902399	1.85849997265973	0.172798024785256	0.237959291114891
"hsa-let-7d-5p"	-0.265058573708932	10.1425468699561	0.178738624267556	0.672459495252553	0.722271309715705
"hsa-let-7e-3p"	-3.93492564669944	3.1703805205858	13.3128938833324	0.000263587231624872	0.000928203608507583
"hsa-let-7e-5p"	-5.84223104990049	10.7949012161972	58.3281715963356	2.21844491055942e-14	9.11411117421493e-13
"hsa-let-7f-1-3p"	-1.40402768959229	4.01198683267829	2.78310307654113	0.0952634319588942	0.143623461638333
"hsa-let-7f-2-3p"	0.185330194691105	3.84913790709593	0.0259431895488378	0.872039137033041	0.899404381919015
"hsa-let-7f-5p"	0.890592576877874	15.2725429663911	2.31178082084489	0.128396873955657	0.185629498123574
"hsa-let-7g-3p"	2.59040238902465	4.45053881515392	6.47380377832053	0.0109475972450823	0.0217012578942268
"hsa-let-7g-5p"	3.25550490127922	14.5482130042724	24.2690722579384	8.37734378894011e-07	7.23174399922204e-06
"hsa-let-7i-3p"	0.516143258537797	6.27714609197997	0.511457272351047	0.474508693620305	0.535315299667758
"hsa-let-7i-5p"	-1.4260842301254	13.8529603471767	5.6377037582385	0.01757821470163	0.0325791723605399
"hsa-miR-1-3p"	5.69340710990356	2.32057338508538	10.3409403095442	0.00130111713129709	0.00362401551259584
"hsa-miR-100-3p"	-10.3287405890136	6.2893735854375	34.0417471402869	5.39422132940647e-09	8.34828181382231e-08
"hsa-miR-100-5p"	-11.8171692466661	17.3464187511092	49.1037722522481	2.42772882828069e-12	8.54907365958845e-11
"hsa-miR-101-3p"	3.57002419389506	13.8139046312511	11.591011207337	0.00066271366535852	0.00204198648138594
"hsa-miR-101-5p"	4.8016344855987	4.80894198818205	14.3732169816476	0.000149919607299639	0.000572948576734278
"hsa-miR-103a-3p"	1.04976114484341	12.3131957668643	2.93352321282718	0.0867579700174573	0.133661497558145
"hsa-miR-106a-5p"	7.79692743864099	4.59201305123194	30.117386938099	4.06668788747424e-08	4.88994421591414e-07
"hsa-miR-106b-3p"	1.10501699505483	8.40186618162311	2.62675406352492	0.105076329160198	0.156032018903548
"hsa-miR-106b-5p"	1.23430548772041	8.04109473550021	1.90073550307838	0.167996015947461	0.233301509470699
"hsa-miR-107"	-3.35687680557694	6.96458785226086	9.4585188295285	0.00210170714513747	0.00542482524896739
"hsa-miR-10a-3p"	-4.24238900863026	4.21991759568048	5.2490051516457	0.0219593224237883	0.0403953207273419
"hsa-miR-10a-5p"	-2.27110668485833	14.5095188538317	5.00095143592625	0.0253333888912455	0.0456913826140247
"hsa-miR-10b-5p"	-7.57302861190262	12.5811121094648	13.4892700963985	0.000239931507751853	0.000859260400173063
"hsa-miR-1180-3p"	-5.0348537285598	3.61716939695212	6.87729628329381	0.00872975229023356	0.0179323661628548
"hsa-miR-1185-1-3p"	-8.24619076320646	4.30163836870457	9.92541577497873	0.00163012021462001	0.00434405008544684
"hsa-miR-1185-2-3p"	-5.6137287500444	2.22039083715429	5.94045106312543	0.0147972312789722	0.0279853274765926
"hsa-miR-1185-5p"	-7.49124819538263	3.6305181454112	8.29543089458576	0.00397449487199684	0.00919918296664058
"hsa-miR-1197"	-7.34782278848033	3.50817708825148	7.60488768492296	0.00582102899090152	0.0127545213000642
"hsa-miR-122-5p"	-5.54773287573415	2.17991212132441	6.55638422109453	0.0104508508264623	0.0211158584321555
"hsa-miR-1226-3p"	-2.17964269307254	3.32397263909131	3.1586756394354	0.0755244291734454	0.117086615039335
"hsa-miR-1233-3p"	-2.62931627961791	2.30381767310784	2.24348448923727	0.134178310860333	0.192856872461061
"hsa-miR-1248"	3.13039794799981	3.01210189438249	7.01006977070116	0.00810525213104634	0.0168602924076196
"hsa-miR-1249-3p"	-0.622541555245688	3.87501468466644	0.440112767442382	0.507068032343887	0.567433348455995
"hsa-miR-1255a"	0.187671393550347	2.44753576385453	0.0115035468226408	0.914587009531122	0.933522558382698
"hsa-miR-1257"	-6.33941174951588	2.70023226634463	10.2374596422041	0.00137616983240822	0.00381152655829918
"hsa-miR-125a-3p"	-3.08407383726707	4.16859920539585	10.8583574605303	0.000983508888369255	0.00285217577627084
"hsa-miR-125a-5p"	-1.5331605352718	13.0508044689839	5.19513785990216	0.0226501584523713	0.0415112569405913
"hsa-miR-125b-1-3p"	-13.9964347387388	9.92836227399034	95.4073247650069	1.5497919200648e-22	2.54682472197315e-20
"hsa-miR-125b-2-3p"	-5.50208570945383	6.52391940555126	16.658949718274	4.47387253970559e-05	0.000200510832915896
"hsa-miR-125b-5p"	-8.58382955213981	14.6211416693661	81.4857213288282	1.7653240566823e-19	1.74060951988875e-17
"hsa-miR-126-3p"	-5.67760874402478	8.26757406362022	13.0146760956095	0.000309059220987268	0.0010730013799065
"hsa-miR-126-5p"	-5.99459435748815	9.50226690104488	15.7603022893779	7.18953431895862e-05	0.000305555208555741
"hsa-miR-1260a"	0.407723274174889	5.11688989198048	0.264217766343522	0.607237187600455	0.663786992210697
"hsa-miR-1260b"	-0.407922902542786	4.2685657507761	0.219821835395917	0.63917570439142	0.695615060187571
"hsa-miR-1269b"	-5.37428377188112	2.07837972093249	4.24987271157894	0.039253272488895	0.0660473151434309
"hsa-miR-127-3p"	-11.9844858197565	13.314946655749	42.7179988639702	6.32278283194585e-11	1.64059575586805e-09
"hsa-miR-127-5p"	-8.87049512603229	4.88239137347902	15.7229918040168	7.33274250011349e-05	0.00030897795320991
"hsa-miR-1271-3p"	-6.11951610154111	2.59801125947296	4.7190958922023	0.029829423039946	0.0521486012719623
"hsa-miR-1271-5p"	-1.03453410620718	7.79299223163734	0.84208461315685	0.358801250270689	0.424194283893165
"hsa-miR-1273h-3p"	7.44560079096518	3.62430215137258	28.3346050224453	1.0205519242299e-07	1.14348204237577e-06
"hsa-miR-128-1-5p"	-1.03931576370658	3.24844291105719	1.24180869808623	0.265122758131112	0.332584019742082
"hsa-miR-128-3p"	0.00385721519603033	9.72346502988776	3.4632065421647e-05	0.995304555069956	0.995304555069956
"hsa-miR-1285-3p"	0.465499901897127	4.13122464899315	0.0321995656211218	0.857590361592825	0.886356495315016
"hsa-miR-1291"	1.90155625747928	2.63324059021316	3.32006478319589	0.0684391321398227	0.107124927693529
"hsa-miR-1294"	2.12897440068838	2.5318870792537	2.17368260563326	0.140389689843128	0.200614832152644
"hsa-miR-1296-5p"	-3.60253504079443	4.61054016241071	11.8004251158414	0.000592171975882341	0.00184772648170882
"hsa-miR-1301-3p"	-1.20346312525724	5.58847931513827	1.58569767711538	0.2079418942581	0.274105224249314
"hsa-miR-1304-3p"	-2.34595931538024	5.49430421969788	4.65305213768956	0.0309983841275236	0.0540007186391136
"hsa-miR-1306-3p"	-1.57539656926613	2.28527965117265	1.46023715319583	0.226892390970819	0.296152846484488
"hsa-miR-1306-5p"	-2.32962187632954	3.92756386992036	3.5740809344278	0.0586879159976815	0.0939387746326525
"hsa-miR-1307-3p"	-0.572882714996245	7.49899628504428	0.703900953493756	0.401476013658755	0.462447838163005
"hsa-miR-1307-5p"	-0.781785710967294	9.23006863148226	0.980014522132734	0.322195220908423	0.388367344517977
"hsa-miR-130a-3p"	-4.92045480566091	9.29217947597095	37.3261283009313	9.99366815544487e-10	2.0528660002643e-08
"hsa-miR-130b-3p"	-1.96252856322032	8.92274902449368	7.77319052981655	0.0053027306394408	0.0117758838074068
"hsa-miR-130b-5p"	-2.52416292590635	7.55794216806202	12.5483381076693	0.000396558825328123	0.00129598204135578
"hsa-miR-132-3p"	-1.47150995250437	6.42215409559172	1.57518609021141	0.209455463257422	0.275364115695757
"hsa-miR-132-5p"	-1.1288463563737	4.30328017816694	1.58713994779855	0.20773523185253	0.274105224249314
"hsa-miR-133a-3p"	0.978994567368084	3.42971714258257	0.6570201967598	0.417613901079247	0.479915275599228
"hsa-miR-134-5p"	-10.1201371055861	6.08459314737221	23.6021293584773	1.18456360576981e-06	9.41919125233089e-06
"hsa-miR-1343-3p"	-5.53663030210021	4.59602092926651	12.8771923375085	0.000332610858732475	0.00113271806983925
"hsa-miR-136-3p"	-10.3450842691872	8.14217974281877	18.4735705634949	1.72276854988306e-05	9.99205758932175e-05
"hsa-miR-136-5p"	-9.64988743985711	5.62807107026575	22.3600818124356	2.26023383316558e-06	1.6631272832099e-05
"hsa-miR-137"	-6.99220165626119	3.21149948667474	8.35587546018552	0.00384442198903224	0.00898246464735969
"hsa-miR-138-5p"	-9.61485988785001	7.92462422000724	12.6932022847857	0.000366987248853683	0.0012224642816545
"hsa-miR-140-3p"	1.54901378631517	12.2858752297999	3.31987670919185	0.0684469619137153	0.107124927693529
"hsa-miR-140-5p"	1.27833098271366	6.11210740192932	1.83444818770823	0.175603050019547	0.239812475511459
"hsa-miR-141-3p"	7.84510331831574	7.8321314112399	39.7736427978127	2.85167578086446e-10	6.39034618166444e-09
"hsa-miR-142-3p"	16.0289764358202	11.9591116024595	106.143532751169	6.85833352538432e-25	1.69057921400723e-22
"hsa-miR-142-5p"	13.6397515216809	15.1201722297421	149.044518707852	2.80420341726421e-34	1.38247228471125e-31
"hsa-miR-143-3p"	-8.26192429286384	12.3804155131253	46.764728171124	8.00411244528835e-12	2.32119260913362e-10
"hsa-miR-143-5p"	-7.39312344095131	3.54784005044704	16.8748414371787	3.9927310170243e-05	0.000183731663002171
"hsa-miR-145-3p"	-5.67146568889528	4.73613344669636	17.1031320951903	3.54038704265347e-05	0.000174541081202816
"hsa-miR-145-5p"	-7.24978740056366	5.68671882374375	29.3207336043429	6.13358939052726e-08	7.03223155704637e-07
"hsa-miR-1468-5p"	1.31757083947185	4.83375368863857	2.32910822050713	0.126974600764253	0.184113171108166
"hsa-miR-146a-3p"	6.06259857964101	2.56027077816182	8.81576965160681	0.00298638217458309	0.00711249474429693
"hsa-miR-146a-5p"	5.37070232057582	12.3629289159539	12.7060066909745	0.00036448292086527	0.00122238149650734
"hsa-miR-146b-3p"	4.15644279462622	8.56309585179135	6.60131321984433	0.0101903581313707	0.0206742656739332
"hsa-miR-146b-5p"	4.0729979008578	14.3372647945179	5.48704919552222	0.0191578506446357	0.035373859055451
"hsa-miR-147b"	-0.938243232033818	2.47266007842421	0.526682421357401	0.468004987653371	0.531627785514082
"hsa-miR-148a-3p"	-0.296755955708202	12.3634316225814	0.0751518589411262	0.783978269615582	0.815403558903971
"hsa-miR-148a-5p"	-0.921018966533156	5.38456077193479	0.79854907828897	0.371527525588311	0.434324259119454
"hsa-miR-148b-3p"	-0.42891777671478	10.5806566397626	0.439047869620367	0.50758236646875	0.567433348455995
"hsa-miR-148b-5p"	-0.44944148757135	6.41516435096374	0.330770000963014	0.565206035007369	0.626172079232884
"hsa-miR-149-5p"	-7.9066339323137	8.16638023482193	28.290610257297	1.04401181083509e-07	1.143772939426e-06
"hsa-miR-150-3p"	10.7272399580056	6.6848283159915	48.467561736243	3.35797656305975e-12	1.10365496372564e-10
"hsa-miR-150-5p"	14.8808491387873	15.6360799586798	69.6165320900823	7.20306302912435e-17	4.43888759169788e-15
"hsa-miR-151a-3p"	-3.41439967874046	11.6550873797916	20.7577262474866	5.21208689725073e-06	3.56883172270085e-05
"hsa-miR-151a-5p"	-4.01438443264387	12.4645254691313	34.0329146190714	5.41876304345464e-09	8.34828181382231e-08
"hsa-miR-151b"	-0.97301492564077	3.83906122083284	1.58920810954807	0.207439309356948	0.274105224249314
"hsa-miR-152-3p"	-0.941023488108269	8.42358168880379	1.86386886181927	0.172178941437568	0.23777091912807
"hsa-miR-152-5p"	-3.33955278739468	5.182204523478	10.113225222492	0.00147209123416927	0.00403189432469696
"hsa-miR-153-3p"	2.57406725908272	2.79139264833256	4.20785741383279	0.0402371302579305	0.0674724667250332
"hsa-miR-154-5p"	-6.829899169324	3.07749572276751	9.15930413995042	0.00247456650024965	0.00616142062940949
"hsa-miR-155-5p"	0.214605244266989	9.73748352402477	0.109669489628237	0.740520731287348	0.778415182355357
"hsa-miR-15a-5p"	2.49035230223608	10.5030071397381	11.4089339901416	0.000730917595055059	0.00222433564421077
"hsa-miR-15b-3p"	0.014259440273046	5.88807596242584	0.000436856507925576	0.983324539092153	0.988727185937269
"hsa-miR-15b-5p"	0.632713924037822	8.64468225293363	0.890060308040537	0.345460965523513	0.411382260877033
"hsa-miR-16-1-3p"	-2.1124380530149	2.51223822531706	1.36720770454857	0.242292218610954	0.311880062076241
"hsa-miR-16-2-3p"	1.75333404735252	7.05804906534415	4.03601741232147	0.0445388121061726	0.0736833368065205
"hsa-miR-16-5p"	1.87580804899691	12.4973371290197	7.04730187185851	0.00793847394382062	0.0166539049119301
"hsa-miR-17-3p"	1.02266852599462	7.58114399901375	1.01100061656253	0.314663241556767	0.382091079033216
"hsa-miR-17-5p"	0.761887119327919	7.42862500026059	0.824658963780916	0.363821506224434	0.429100484613986
"hsa-miR-181a-2-3p"	4.65823478274277	10.0379809355982	38.5381820206006	5.36929089321455e-10	1.15089583058903e-08
"hsa-miR-181a-3p"	0.742085010671807	8.74493739862545	1.1699812743559	0.279405088157708	0.347845223388257
"hsa-miR-181a-5p"	2.8189695852709	15.1772614949468	11.5313478845533	0.000684323798359569	0.00209547597882775
"hsa-miR-181b-2-3p"	6.56187860539456	2.93212976053021	20.1230840498458	7.26149446251283e-06	4.58963688463952e-05
"hsa-miR-181b-3p"	-1.26779268412617	2.8166662618569	0.870858160945063	0.350717842951653	0.416635895361843
"hsa-miR-181b-5p"	1.37300171251	11.0880205982963	3.88929460847344	0.0485948296379205	0.0793286457334265
"hsa-miR-181c-3p"	0.984125406752403	6.35257186982166	1.45911780415092	0.227070539495206	0.296152846484488
"hsa-miR-181c-5p"	2.81373239872045	10.0670261526077	15.3633004180412	8.86943518309134e-05	0.000364385962105336
"hsa-miR-181d-5p"	0.40887957756618	5.92974078856935	0.20055431436008	0.654273791001181	0.708916437282598
"hsa-miR-182-5p"	-0.69616433881186	4.66067856003196	0.706502678055621	0.400607288607311	0.462447838163005
"hsa-miR-184"	-14.111626281502	10.0437894512263	7.99868314419489	0.00468113817127898	0.0107339586904211
"hsa-miR-185-3p"	0.422266947750819	3.49446156699266	0.272290332097781	0.601799519805922	0.660773192125433
"hsa-miR-185-5p"	0.965800533601889	7.19477679888934	0.918064446080628	0.337983699248832	0.40443195080018
"hsa-miR-186-5p"	1.48655095524752	13.5906329042908	4.78748292381681	0.0286672899196916	0.0506558205390966
"hsa-miR-188-5p"	-1.70589601892874	3.33455288930119	1.46898151013801	0.225506457219798	0.29567734949298
"hsa-miR-18a-3p"	-0.556722195090195	3.43800217580703	0.298449027000281	0.584856379129146	0.645042941634606
"hsa-miR-18a-5p"	-0.250044541764764	4.67868391782254	0.0500398795961923	0.822993894835313	0.852386533936574
"hsa-miR-190a-5p"	-2.91841202493796	3.82913492428637	8.26004172338796	0.0040527196511225	0.00933640555141773
"hsa-miR-190b"	1.85888963574717	2.96009730696694	2.58524397044293	0.107863787426522	0.159690231835661
"hsa-miR-191-3p"	-0.856621059564135	3.8255200006642	1.02801752142589	0.310624750089553	0.378536154657879
"hsa-miR-191-5p"	0.599232888873429	13.8378537856993	0.755390944655119	0.384774774784737	0.448449087396868
"hsa-miR-1910-5p"	-4.80960846790533	2.86029438079711	8.47251651738746	0.00360552287389767	0.00846439417538834
"hsa-miR-192-5p"	3.85257456562804	12.0664367760663	16.6787575518865	4.42739955038335e-05	0.000200248438379724
"hsa-miR-193a-3p"	-6.40983141963715	8.01864391311562	13.4846484662936	0.000240523195180289	0.000859260400173063
