"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	-6.82306454576868	3.09173666545703	19.3954872322012	1.06257850339091e-05	6.45418053911515e-05
"hsa-let-7a-3p"	-1.58545792637986	5.45205659341551	3.23549037808098	0.0720587277941924	0.105331154649638
"hsa-let-7a-5p"	-1.27538307271628	15.1938807647175	4.21018769695053	0.0401818906568611	0.0643957335608328
"hsa-let-7b-3p"	-1.66440050975735	6.70676777211268	5.92928801850301	0.0148912571561537	0.0282625424748301
"hsa-let-7b-5p"	-2.35658356597572	12.3404176777885	11.0198801554186	0.000901398985822658	0.00280688798116929
"hsa-let-7c-5p"	-7.64726751445277	9.53652503002878	34.6608902402751	3.92437023251195e-09	5.72287410752321e-08
"hsa-let-7d-3p"	0.895561472725148	7.93437449572136	1.78787114140338	0.181185758436439	0.233359667933842
"hsa-let-7d-5p"	0.188881512600998	10.4670090609699	0.0665353907420325	0.796449702176589	0.850007057420568
"hsa-let-7e-3p"	-3.31546865357192	3.29481770614495	9.99702765067005	0.00156793093028231	0.00440812581542225
"hsa-let-7e-5p"	-4.43027435187292	10.9132299395004	28.6889567854345	8.49869913041344e-08	9.72409295851956e-07
"hsa-let-7f-1-3p"	-0.948577777391554	4.14201916053563	1.24638891077763	0.264243298146565	0.32830227951543
"hsa-let-7f-2-3p"	-0.571005625573566	3.35713641515857	0.305268847709677	0.580598025728958	0.640480333315352
"hsa-let-7f-5p"	-0.844898608205164	14.4272993448704	1.52794594249418	0.216420984094846	0.275573835029382
"hsa-let-7g-3p"	-0.133959865578318	3.08090079193189	0.0140670481715759	0.905588630725776	0.936028584699752
"hsa-let-7g-5p"	0.80247609922558	12.6421817978447	1.403984746128	0.236057532027702	0.297034030070664
"hsa-let-7i-3p"	-0.645412278623191	5.65964471805898	0.805534949668317	0.369443645705002	0.434847544705409
"hsa-let-7i-5p"	-2.8172633678276	13.554300522301	17.1689344433613	3.41983459338785e-05	0.000171689655096615
"hsa-miR-100-3p"	-10.0993200583509	6.06905610421332	41.3092751821382	1.29950811370016e-10	2.90617269063853e-09
"hsa-miR-100-5p"	-8.57099088297193	17.1450144393567	64.6084396691252	9.1363187962817e-16	6.42152692538657e-14
"hsa-miR-101-3p"	2.47604487251979	13.230625506083	5.06146957245937	0.0244634855336156	0.0419374037719125
"hsa-miR-101-5p"	4.73589208337274	5.03432439072776	12.1597973060538	0.000488306834857585	0.00171604973392808
"hsa-miR-103a-2-5p"	2.46433304067745	2.6558608942354	4.99760576569712	0.0253824073949025	0.0429145856985981
"hsa-miR-103a-3p"	1.72354030939946	12.8229634078515	6.54587148092901	0.0105127819998189	0.0211113826282078
"hsa-miR-106b-3p"	1.05278508289518	8.29977678764333	2.46107955361385	0.116698551570212	0.159932276803744
"hsa-miR-106b-5p"	1.78308642560495	8.64326753249035	3.37386725975109	0.0662380985438594	0.0981600737457193
"hsa-miR-107"	-3.86472512547117	7.25851531695166	9.91884354743788	0.00163595140698031	0.00454739035160628
"hsa-miR-10a-3p"	-6.50013095898001	3.83886556946932	9.01847817484756	0.00267263819885537	0.00699435103104703
"hsa-miR-10a-5p"	-4.71715483595983	14.0443832330604	26.2396438470171	3.01567682916329e-07	2.69765999990607e-06
"hsa-miR-10b-5p"	-10.8328578425035	13.1049553423511	22.9970302414757	1.62251846059874e-06	1.24731106658528e-05
"hsa-miR-1180-3p"	-4.97124493999971	3.37051992988334	8.36876985370413	0.00381723925116633	0.00894324624558968
"hsa-miR-1185-1-3p"	-5.09727748299812	4.00647544558048	6.86055963525465	0.00881189462265715	0.018370559976048
"hsa-miR-1185-2-3p"	-5.24089047046359	2.0419062745955	6.15771056301355	0.0130840451194375	0.0255450404712827
"hsa-miR-1185-5p"	-4.30837986575376	3.37838513638441	5.0056271777894	0.0252650477123414	0.0428634602567999
"hsa-miR-1197"	-5.09668515835437	3.23518688268621	5.70946857626113	0.0168736466816189	0.0312099028847988
"hsa-miR-122-5p"	-4.53769135740606	2.02269995722507	5.65916592225542	0.0173643788650334	0.0317766708508979
"hsa-miR-1226-3p"	0.0376195668978341	3.7624840008008	0.00154250699356551	0.968671327449963	0.980630232727123
"hsa-miR-1233-3p"	-0.605793790495928	2.44280340026745	0.20604955079693	0.649881504723139	0.707393142309257
"hsa-miR-1248"	1.99251635427943	2.50268936079287	1.31462391789162	0.251559173302224	0.314129729098209
"hsa-miR-1249-3p"	0.984861561665994	4.93096272409847	0.923227295505888	0.336629014259435	0.405934987783436
"hsa-miR-1255a"	1.54596352445101	2.88743229136042	2.12957853303237	0.144480477601603	0.192640636802138
"hsa-miR-1257"	-6.14496985783878	2.57930337987409	10.4635872063543	0.00121750624215993	0.00354445604226442
"hsa-miR-125a-3p"	-0.719938567766753	4.85960905711316	0.588833814737536	0.442870429952494	0.502055879116653
"hsa-miR-125a-5p"	-2.10885823846696	13.0753432097729	6.63028246603116	0.0100259364430078	0.020451881228617
"hsa-miR-125b-1-3p"	-11.5156198838725	9.86799010474159	84.8521493964479	3.21531078476056e-20	3.95483226525549e-18
"hsa-miR-125b-2-3p"	-9.71616340022482	6.86310283534969	27.5506113015702	1.53036993789725e-07	1.50588401889089e-06
"hsa-miR-125b-5p"	-8.93680674118207	14.5726512407804	78.30197881015	8.84332261633791e-19	8.70182945447651e-17
"hsa-miR-126-3p"	-1.49979425561517	9.09987621339656	1.24872434628422	0.263796260145532	0.32830227951543
"hsa-miR-126-5p"	-1.05299998046836	10.3951224061799	0.687625437396605	0.40697323369423	0.471131367006026
"hsa-miR-1260a"	2.16714126260862	6.52369827530447	5.74859541685296	0.016501845549405	0.0307534394329821
"hsa-miR-1260b"	1.36883937307409	5.38821752848367	2.39879178967968	0.12142900212684	0.165952969573349
"hsa-miR-1269b"	-4.99661019788611	1.91378088552947	4.60738723885138	0.0318345013423004	0.0522085822013726
"hsa-miR-127-3p"	-5.14873186869895	13.0414271843226	14.2255226241676	0.000162156206858142	0.000647828303399152
"hsa-miR-127-5p"	-5.91031900286204	4.57712445668684	13.19399336192	0.000280847813758169	0.00104679639673499
"hsa-miR-1271-3p"	-6.64485993823491	2.92882368442481	5.36494905398117	0.020545388396603	0.0359727085093547
"hsa-miR-1271-5p"	-3.80434493358723	7.07391140463549	10.5203041013929	0.00118070053476909	0.00347847103656521
"hsa-miR-1273h-3p"	8.55446836398351	4.60652199377617	32.4350352585671	1.23244364981329e-08	1.63881696137335e-07
"hsa-miR-128-1-5p"	-0.267246365217171	3.33667731538721	0.117503468874665	0.731758112333187	0.789528489622649
"hsa-miR-128-3p"	0.53194126286568	9.90916714325226	0.62871239989089	0.427828007733658	0.491802289263924
"hsa-miR-1285-3p"	-0.345662676052456	3.43632621068368	0.0407348281514857	0.840050636116227	0.887958858597461
"hsa-miR-1294"	2.88433034657357	2.83623705088455	6.38804195356883	0.011489169374062	0.0227930295646715
"hsa-miR-1296-5p"	-3.166832014625	4.51555248770849	15.6295464818191	7.70413463924454e-05	0.000332494231798975
"hsa-miR-1301-3p"	0.651322031290936	6.19630149402021	0.578911213686232	0.446739407113184	0.504118780503868
"hsa-miR-1304-3p"	-0.0424993744014485	5.91618484648768	0.00250356416249975	0.960093996087272	0.977983946324923
"hsa-miR-1306-3p"	-1.15397214103517	2.52554347267413	0.789900699494983	0.374130153476393	0.439312733915
"hsa-miR-1306-5p"	-1.45541168536159	4.47117287716887	1.32641782895887	0.249443490870203	0.31228040078407
"hsa-miR-1307-3p"	-0.453427154085704	7.60994644574824	0.380929500308872	0.537106202889063	0.596515241131871
"hsa-miR-1307-5p"	-1.49930510869988	9.06539743882104	2.96520890498321	0.0850734684816689	0.12202958161219
"hsa-miR-130a-3p"	-2.40257424222949	9.3880292086895	11.7123313112896	0.000620872868690976	0.00210668587169628
"hsa-miR-130b-3p"	-1.7658629074534	9.09419996509662	4.6869825993366	0.0303919727305118	0.0503712801288308
"hsa-miR-130b-5p"	-1.62726734515979	7.78434318411905	3.98399939084189	0.0459343756752152	0.0712924695022268
"hsa-miR-132-3p"	-0.783704031120826	6.31186976591761	0.600191018929591	0.438505152988103	0.498255277760154
"hsa-miR-132-5p"	-0.386471866911406	4.35907154910838	0.251369984084086	0.616112077318094	0.677631711204098
"hsa-miR-133a-3p"	-0.442363155720626	3.10247915310149	0.0838339913008683	0.772167408518479	0.825883402154547
"hsa-miR-134-5p"	-3.23120198466311	5.90680360252445	5.8707156430021	0.0153947923498298	0.0289093047180009
"hsa-miR-1343-3p"	-3.39682871501821	5.09285544452396	5.9023572128505	0.0151206352569511	0.028503266461379
"hsa-miR-136-3p"	-5.79047318120141	7.77968969582475	11.9457136966133	0.000547732453011032	0.00191123664454913
"hsa-miR-136-5p"	-4.20842786345409	5.38701248048743	12.8862917488747	0.000330997608404862	0.00119743252452347
"hsa-miR-137"	-6.61460477039044	2.94571517198718	8.99650602817369	0.00270496266062875	0.00704149010068437
"hsa-miR-138-5p"	-9.57114579880731	7.52446070560306	16.7320152786697	4.30483909533825e-05	0.000211798083490642
"hsa-miR-139-5p"	2.00938195279395	3.07938352201861	3.63929305941227	0.0564308908179693	0.085691352723583
"hsa-miR-140-3p"	1.58886340440535	12.6542076019847	2.62501680816523	0.105191391205963	0.14744776203229
"hsa-miR-140-5p"	1.47331875911662	6.34151001270426	2.58370956041513	0.107968368525815	0.150910333280401
"hsa-miR-141-3p"	5.41043953955401	5.31919094824594	18.6427468563025	1.57645864918063e-05	9.01880994647526e-05
"hsa-miR-142-3p"	15.4022392792	11.334700875638	99.795942266963	1.68936019280325e-23	2.77055071619733e-21
"hsa-miR-142-5p"	12.1038916317407	13.5124602094397	122.696869543179	1.6246747498675e-28	7.9933997693481e-26
"hsa-miR-143-3p"	3.1145212830438	15.4215700403118	18.145247446553	2.04679605415003e-05	0.000111891517626868
"hsa-miR-143-5p"	1.66235395092003	5.1774520555166	3.63188615759174	0.0566825434143475	0.0858086503380276
"hsa-miR-144-3p"	5.16026203644042	4.88044652596982	15.9812766939967	6.39720456645856e-05	0.0002887545547429
"hsa-miR-144-5p"	11.0914210194079	7.04448981235275	53.8577277281761	2.15545647941304e-13	9.64076898064741e-12
"hsa-miR-145-3p"	3.23516014241771	7.7693878570234	15.7505189174665	7.22681126430055e-05	0.000315501275235846
"hsa-miR-145-5p"	2.36034546427957	8.11806075558042	11.8529600645258	0.00057569763973542	0.00199467069542132
"hsa-miR-1468-5p"	-1.59458505256502	3.79822394411478	2.19717630177234	0.138263806683381	0.185862822098971
"hsa-miR-146a-5p"	1.98965755161061	9.08844625441118	3.49173700153083	0.0616758391635826	0.0925137587453739
"hsa-miR-146b-3p"	-0.198750727743293	5.03391729258399	0.0206145085475971	0.88583408132692	0.923369423756026
"hsa-miR-146b-5p"	0.132552017292646	11.0013503078125	0.00965493598857847	0.92172620996057	0.94674174384259
"hsa-miR-147b"	-1.65044711018573	2.5828590487573	1.21500195717764	0.27034375480533	0.335035585300308
"hsa-miR-148a-3p"	2.80605041224686	14.936217567153	5.35238611627483	0.0206939320281851	0.036104306942791
"hsa-miR-148a-5p"	2.27045302747566	7.60980474034485	4.09039445955246	0.0431275759240028	0.0680088697263121
"hsa-miR-148b-3p"	0.754071431878286	11.3162103835206	1.06382906565298	0.30234348574153	0.369084156770714
"hsa-miR-148b-5p"	-0.114974730237221	6.71934813316457	0.018373792495912	0.892177063895417	0.925121970753172
"hsa-miR-149-5p"	-10.2889981210094	8.18944004889337	52.2464749039374	4.89537376949656e-13	2.00710324549359e-11
"hsa-miR-150-5p"	9.10136721677931	9.71242104936746	50.0407830186047	1.50583456268211e-12	5.69900465261228e-11
"hsa-miR-151a-3p"	-3.23040512297916	11.5721369032434	20.4191775404787	6.22033231107556e-06	4.2505604125683e-05
"hsa-miR-151a-5p"	-3.31805031319955	12.4400307546818	20.2341772905459	6.85178154586738e-06	4.55550881157669e-05
"hsa-miR-151b"	-2.09694240920598	3.49371008917935	6.60694121927682	0.0101582001642136	0.0205672200855682
"hsa-miR-152-3p"	-4.82296702737831	7.79221974165358	32.6961329617659	1.07751379676748e-08	1.47260218891556e-07
"hsa-miR-152-5p"	-6.4292856367104	5.1750716183433	28.474764359174	9.49277510030661e-08	1.04961233804804e-06
"hsa-miR-154-5p"	-2.86962870428607	2.97870137608496	2.79338323223709	0.0946541951520973	0.133821448318482
"hsa-miR-155-5p"	-3.5220793888171	8.85566140515999	17.5071032876355	2.86236266969124e-05	0.000149817280158307
"hsa-miR-15a-5p"	2.48347900073923	10.6339484897029	8.61408616987426	0.0033357311216299	0.00826188030637023
"hsa-miR-15b-3p"	1.09904128476511	6.56372600357955	2.27387739677908	0.131570363191998	0.178819388647688
"hsa-miR-15b-5p"	2.68971516361074	10.306314215348	11.0822693944739	0.000871570697872401	0.00273129161371479
"hsa-miR-16-1-3p"	-1.9096489175121	2.87362959095596	1.06064068814903	0.30306910434018	0.369084156770714
"hsa-miR-16-2-3p"	1.42248011891222	6.58687864803363	3.47456834083507	0.0623189793760923	0.0931943399788371
"hsa-miR-16-5p"	2.91836544080517	13.3367034420565	15.5900939548442	7.86656401633039e-05	0.000336552130089961
"hsa-miR-17-3p"	0.0619007019985541	7.40038699268486	0.00339707842786385	0.953522044567206	0.973304659599721
"hsa-miR-17-5p"	1.63486905725514	8.07841887856498	3.69595051929186	0.0545446956798935	0.0833415847034397
"hsa-miR-181a-2-3p"	0.337805989752612	6.48750711794966	0.250063311716843	0.617030501259016	0.677631711204098
"hsa-miR-181a-3p"	-0.407288016859448	8.0297226757485	0.362896821959472	0.546901799845695	0.606026318747933
"hsa-miR-181a-5p"	1.1587147313438	13.6246397571304	2.54891183488417	0.11037024828228	0.152534163356409
"hsa-miR-181b-3p"	-2.04005911301581	2.45955091076134	2.24757045645395	0.13382436580484	0.180883483450498
"hsa-miR-181b-5p"	-1.46317430699903	9.53759444861892	4.56712905945274	0.0325911403542101	0.0532718971902703
"hsa-miR-181c-3p"	1.58581928203113	6.98490651124475	3.1439135105661	0.0762107410970602	0.110933978164952
"hsa-miR-181c-5p"	2.91490389497462	10.2213597003733	13.8717015350388	0.000195723406616091	0.000770367328440934
"hsa-miR-181d-5p"	0.390434182667167	6.13190734517545	0.18611755993362	0.666167776083634	0.721926312407815
"hsa-miR-182-5p"	3.90680576936554	7.91015955712876	19.2404395187961	1.15246060021848e-05	6.91476360131089e-05
"hsa-miR-183-5p"	3.36763501194562	5.08500201503808	15.0115066981369	0.000106857633029158	0.000441797944960889
"hsa-miR-184"	-13.8781415535266	10.5913846308272	8.89038497037825	0.00286676281739156	0.00732948574892845
"hsa-miR-185-3p"	2.38578906930159	4.71545653493351	9.5765526136705	0.00197078115335781	0.00532760619479144
