"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	-7.6669177456425	3.80676948601129	34.063411563009	5.3344956938146e-09	2.30225603627788e-08
"hsa-let-7a-3p"	-2.24801399555473	6.54410339701811	12.6829594909514	0.000369003057614715	0.000789345671071476
"hsa-let-7a-5p"	-0.719824833367643	14.9997346471864	1.75488107526883	0.185264288014308	0.228446189731929
"hsa-let-7b-3p"	-3.36657285447942	6.93538433921769	24.504515249728	7.41359005246427e-07	2.29401654453611e-06
"hsa-let-7b-5p"	-1.53400397479745	11.681357519536	6.67481249734975	0.00977847985559055	0.0166193150691182
"hsa-let-7c-5p"	-6.14952762993563	8.85825674344047	34.0169016459392	5.46354157699775e-09	2.33744561381121e-08
"hsa-let-7d-3p"	-0.743674577403692	7.18744777939843	1.87878731302688	0.170472041547798	0.212873716856641
"hsa-let-7d-5p"	0.0175369820153249	10.030445843572	0.000875724716017601	0.976391930136035	0.976391930136035
"hsa-let-7e-3p"	-6.06139010412651	3.79791013631	44.9493557665228	2.02196720006126e-11	1.34433494922992e-10
"hsa-let-7e-5p"	-5.33464818889693	10.6801773083727	66.4416400764737	3.60407649556464e-16	8.44383636103716e-15
"hsa-let-7f-1-3p"	-1.96382441793707	4.45821098686034	10.0364109729702	0.00153475941360254	0.00297284106886791
"hsa-let-7f-2-3p"	-1.32611784127815	4.54211090437604	2.28717123758897	0.130447477405893	0.168010887130103
"hsa-let-7f-5p"	0.459731798446138	15.0819039080229	0.784248661258061	0.375844889621875	0.425093530330948
"hsa-let-7g-3p"	2.38979685214394	4.81099211198739	11.2392337482993	0.000800862123598115	0.00163495504070652
"hsa-let-7g-5p"	3.77068379395621	14.6124863036444	32.7901187367457	1.02665393228276e-08	4.14027651379605e-08
"hsa-let-7i-3p"	1.28414096435791	6.82280853078468	5.88508148650917	0.0152696909901609	0.0244712963099647
"hsa-let-7i-5p"	-1.31993184458548	13.9294710200995	6.13434570637509	0.013258059977525	0.0216709817572834
"hsa-miR-100-3p"	-9.98065274514185	7.53022136437013	58.778944491271	1.76419101070123e-14	2.63024841595456e-13
"hsa-miR-100-5p"	-11.0804690635261	16.9166087393506	55.8013736605438	8.01755015637747e-14	9.17356901613423e-13
"hsa-miR-101-3p"	4.46802386406727	13.6752167272044	32.0088203747002	1.53474148511204e-08	5.94561268248129e-08
"hsa-miR-101-5p"	5.55725844947599	5.13804758093234	37.3757471305571	9.74261567674365e-10	5.26490912360175e-09
"hsa-miR-103a-3p"	0.5182385386361	12.1350665770504	0.943632822386135	0.33134532057829	0.380004423600276
"hsa-miR-106a-5p"	4.89368535899305	3.01559587886808	14.3860221240909	0.000148903529586321	0.00035052888304531
"hsa-miR-106b-3p"	1.21037378054281	8.31503855431082	3.41171318512515	0.0647352069937634	0.0894655107891337
"hsa-miR-106b-5p"	1.03848202188354	8.28461316541432	2.51550651700342	0.112731406268935	0.148150040310888
"hsa-miR-107"	-1.76176901303982	5.2899600236447	5.7715515784723	0.016287647906869	0.0258500734521921
"hsa-miR-10a-3p"	-4.76641374105663	3.34782358861795	26.7414348692039	2.32580359121257e-07	7.78432222365024e-07
"hsa-miR-10a-5p"	-3.17465227490587	13.0198170798692	13.5038115632576	0.000238079377361856	0.000532432062100151
"hsa-miR-10b-5p"	-6.20148715589573	10.9201496166902	10.4779194568015	0.00120809728641931	0.00239670913273508
"hsa-miR-1180-3p"	-5.07138611989708	4.21377544776002	36.5576161777662	1.48219706464043e-09	7.44123424288869e-09
"hsa-miR-1185-1-3p"	-9.63055951198819	5.62830183669681	52.9196939185664	3.47468096010092e-13	3.03354127822411e-12
"hsa-miR-1185-2-3p"	-6.64958492947676	2.97043647474969	32.3657749068376	1.2771618248572e-08	5.10864729942879e-08
"hsa-miR-1185-5p"	-8.30552800211671	4.37873687354119	43.6738129012418	3.87928027754543e-11	2.5448078620698e-10
"hsa-miR-1197"	-8.03504617827551	4.13281202357816	37.3043796456963	1.01057401463634e-09	5.31134647989571e-09
