"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	0	4.62068506653172	0	1	1
"hsa-let-7a-3p"	0	7.15954808313762	0	1	1
"hsa-let-7a-5p"	0	15.2145720373386	0	1	1
"hsa-let-7b-3p"	0	7.68959870295531	0	1	1
"hsa-let-7b-5p"	0	12.1526568600401	0	1	1
"hsa-let-7c-5p"	0	9.75029247728419	0	1	1
"hsa-let-7d-3p"	0	7.40863839176351	0	1	1
"hsa-let-7d-5p"	0	9.92363762716936	0	1	1
"hsa-let-7e-3p"	0	4.60114806998356	0	1	1
"hsa-let-7e-5p"	0	11.5452017996057	0	1	1
"hsa-let-7f-1-3p"	0	4.98553035293424	0	1	1
"hsa-let-7f-2-3p"	0	4.92824709633144	0	1	1
"hsa-let-7f-5p"	0	14.7341187004223	0	1	1
"hsa-let-7g-3p"	0	3.25878726704188	0	1	1
"hsa-let-7g-5p"	0	11.6398091101551	0	1	1
"hsa-let-7i-3p"	0	5.96258766556355	0	1	1
"hsa-let-7i-5p"	0	14.3447328191529	0	1	1
"hsa-miR-100-3p"	0	8.41565032951438	0	1	1
"hsa-miR-100-5p"	0	17.8131782466561	0	1	1
"hsa-miR-101-3p"	0	10.0487810845924	0	1	1
"hsa-miR-103a-3p"	0	11.7515888730577	0	1	1
"hsa-miR-106b-3p"	0	7.5001342997906	0	1	1
"hsa-miR-106b-5p"	0	7.57895920792507	0	1	1
"hsa-miR-107"	0	5.79985990384357	0	1	1
"hsa-miR-10a-3p"	0	4.0825783790607	0	1	1
"hsa-miR-10a-5p"	0	13.7688812161807	0	1	1
"hsa-miR-10b-5p"	0	11.822200708826	0	1	1
"hsa-miR-1180-3p"	0	5.01252362056562	0	1	1
"hsa-miR-1185-1-3p"	0	6.50460173652433	0	1	1
"hsa-miR-1185-2-3p"	0	3.71208856305563	0	1	1
"hsa-miR-1185-5p"	0	5.22606268314528	0	1	1
"hsa-miR-1197"	0	4.96493840029364	0	1	1
"hsa-miR-1226-3p"	0	3.20010272926546	0	1	1
"hsa-miR-1247-5p"	0	2.71327376739662	0	1	1
"hsa-miR-1249-3p"	0	4.48361486998658	0	1	1
"hsa-miR-125a-3p"	0	4.90560205815214	0	1	1
"hsa-miR-125a-5p"	0	13.0662306714919	0	1	1
"hsa-miR-125b-1-3p"	0	10.6922918768486	0	1	1
"hsa-miR-125b-2-3p"	0	7.53262849952143	0	1	1
"hsa-miR-125b-5p"	0	14.288575844203	0	1	1
"hsa-miR-126-3p"	0	7.0105582685062	0	1	1
"hsa-miR-126-5p"	0	8.51312020576147	0	1	1
"hsa-miR-1260a"	0	4.30681985560403	0	1	1
"hsa-miR-127-3p"	0	14.1528040642323	0	1	1
"hsa-miR-127-5p"	0	6.56675026544277	0	1	1
"hsa-miR-1271-5p"	0	7.42421238671371	0	1	1
"hsa-miR-1277-5p"	0	2.66318077279688	0	1	1
"hsa-miR-128-1-5p"	0	4.01644270468185	0	1	1
"hsa-miR-128-3p"	0	9.73564141940921	0	1	1
"hsa-miR-1285-3p"	0	5.28441001667891	0	1	1
"hsa-miR-1293-3p"	0	4.47732680989703	0	1	1
"hsa-miR-1296-5p"	0	6.10896737572982	0	1	1
"hsa-miR-1301-3p"	0	5.37931924169198	0	1	1
"hsa-miR-1304-3p"	0	6.01714982412879	0	1	1
"hsa-miR-1306-3p"	0	2.6748968608905	0	1	1
"hsa-miR-1306-5p"	0	4.076540157741	0	1	1
"hsa-miR-1307-3p"	0	7.98495631387812	0	1	1
"hsa-miR-1307-5p"	0	9.66702139590432	0	1	1
"hsa-miR-130a-3p"	0	10.5223794085656	0	1	1
"hsa-miR-130b-3p"	0	8.94486242563541	0	1	1
"hsa-miR-130b-5p"	0	7.61785015395581	0	1	1
"hsa-miR-132-3p"	0	6.7241784102131	0	1	1
"hsa-miR-132-5p"	0	4.10396610378797	0	1	1
"hsa-miR-134-5p"	0	7.37766142545796	0	1	1
"hsa-miR-1343-3p"	0	4.78062423209536	0	1	1
"hsa-miR-135b-5p"	0	3.80332673005801	0	1	1
"hsa-miR-136-3p"	0	10.0827493031913	0	1	1
"hsa-miR-136-5p"	0	6.83216604904822	0	1	1
"hsa-miR-137"	0	6.14046979442747	0	1	1
"hsa-miR-138-1-3p"	0	3.62677041852751	0	1	1
"hsa-miR-138-5p"	0	10.896264758575	0	1	1
"hsa-miR-139-5p"	0	3.02240618916766	0	1	1
"hsa-miR-140-3p"	0	9.70224407536987	0	1	1
"hsa-miR-140-5p"	0	5.4435518819349	0	1	1
"hsa-miR-141-3p"	0	9.53525865292024	0	1	1
"hsa-miR-141-5p"	0	6.97489230636463	0	1	1
"hsa-miR-142-5p"	0	2.84513700600457	0	1	1
"hsa-miR-143-3p"	0	13.4890382738554	0	1	1
"hsa-miR-143-5p"	0	4.91855554229215	0	1	1
"hsa-miR-145-3p"	0	6.23833585426927	0	1	1
"hsa-miR-145-5p"	0	8.01739540068659	0	1	1
"hsa-miR-1468-5p"	0	3.67879281413844	0	1	1
"hsa-miR-146a-3p"	0	3.49085912493667	0	1	1
"hsa-miR-146a-5p"	0	9.9283854730809	0	1	1
"hsa-miR-146b-5p"	0	6.24849997318677	0	1	1
"hsa-miR-147b"	0	3.4036213187701	0	1	1
"hsa-miR-148a-3p"	0	11.8360184123133	0	1	1
"hsa-miR-148a-5p"	0	6.30606779628454	0	1	1
"hsa-miR-148b-3p"	0	10.3074545638884	0	1	1
"hsa-miR-148b-5p"	0	6.8580476032985	0	1	1
"hsa-miR-149-5p"	0	9.74289049101667	0	1	1
"hsa-miR-150-5p"	0	3.09087035051183	0	1	1
"hsa-miR-151a-3p"	0	12.6219057413372	0	1	1
"hsa-miR-151a-5p"	0	13.2289295498594	0	1	1
"hsa-miR-151b"	0	3.54013103980238	0	1	1
"hsa-miR-152-3p"	0	8.54736331279293	0	1	1
"hsa-miR-152-5p"	0	5.41714415980639	0	1	1
"hsa-miR-154-5p"	0	4.17608601530467	0	1	1
"hsa-miR-155-5p"	0	11.0926937547712	0	1	1
"hsa-miR-15a-5p"	0	8.73347059602763	0	1	1
"hsa-miR-15b-3p"	0	6.08908603734183	0	1	1
"hsa-miR-15b-5p"	0	7.83003337580192	0	1	1
"hsa-miR-16-2-3p"	0	6.09381768026284	0	1	1
"hsa-miR-16-5p"	0	11.8376476404589	0	1	1
"hsa-miR-17-3p"	0	6.03368908097825	0	1	1
"hsa-miR-17-5p"	0	8.54655399917437	0	1	1
"hsa-miR-181a-2-3p"	0	7.77278102232031	0	1	1
"hsa-miR-181a-3p"	0	9.20838247645467	0	1	1
"hsa-miR-181a-5p"	0	13.680666201392	0	1	1
"hsa-miR-181b-3p"	0	4.51893921037122	0	1	1
"hsa-miR-181b-5p"	0	11.5092135157252	0	1	1
"hsa-miR-181c-3p"	0	5.86990415032013	0	1	1
"hsa-miR-181c-5p"	0	7.79878271294288	0	1	1
"hsa-miR-181d-5p"	0	5.48233674816244	0	1	1
"hsa-miR-182-5p"	0	10.7327537970432	0	1	1
"hsa-miR-183-3p"	0	3.16872187961619	0	1	1
"hsa-miR-183-5p"	0	9.01101029648644	0	1	1
"hsa-miR-184"	0	6.27300822365499	0	1	1
"hsa-miR-185-5p"	0	6.36205087180008	0	1	1
"hsa-miR-186-5p"	0	12.6594018848408	0	1	1
"hsa-miR-188-5p"	0	4.27030902730687	0	1	1
"hsa-miR-18a-3p"	0	4.7360519785124	0	1	1
"hsa-miR-18a-5p"	0	6.63462245215416	0	1	1
"hsa-miR-190a-5p"	0	3.83123573235268	0	1	1
"hsa-miR-191-3p"	0	4.53725995985901	0	1	1
"hsa-miR-191-5p"	0	13.1998780503439	0	1	1
"hsa-miR-1910-5p"	0	4.25601675406202	0	1	1
"hsa-miR-192-5p"	0	8.97180462892288	0	1	1
"hsa-miR-193a-3p"	0	9.56678882205609	0	1	1
"hsa-miR-193a-5p"	0	6.81132247709948	0	1	1
"hsa-miR-193b-3p"	0	8.70438385066011	0	1	1
"hsa-miR-194-5p"	0	4.27968595535967	0	1	1
"hsa-miR-195-5p"	0	5.5909499613252	0	1	1
"hsa-miR-196a-5p"	0	4.47010839336301	0	1	1
"hsa-miR-196b-5p"	0	5.61362563177138	0	1	1
"hsa-miR-197-3p"	0	8.76026832650102	0	1	1
"hsa-miR-199a-3p"	0	12.7209816922878	0	1	1
"hsa-miR-199a-5p"	0	10.9015820013872	0	1	1
"hsa-miR-199b-3p"	0	11.3775075003044	0	1	1
"hsa-miR-199b-5p"	0	10.6326728654007	0	1	1
"hsa-miR-19a-3p"	0	7.64911011663735	0	1	1
"hsa-miR-19b-3p"	0	8.81819077170857	0	1	1
"hsa-miR-200a-3p"	0	6.37631886248388	0	1	1
"hsa-miR-200a-5p"	0	3.41931388824991	0	1	1
"hsa-miR-200b-3p"	0	10.0180306968995	0	1	1
"hsa-miR-200b-5p"	0	2.74728728478988	0	1	1
"hsa-miR-200c-3p"	0	8.80615472385339	0	1	1
"hsa-miR-200c-5p"	0	2.78755953244557	0	1	1
"hsa-miR-203a-3p"	0	6.17631783605928	0	1	1
"hsa-miR-204-5p"	0	10.0533643574105	0	1	1
"hsa-miR-205-3p"	0	4.09876113872697	0	1	1
"hsa-miR-205-5p"	0	13.3820517866449	0	1	1
"hsa-miR-20a-3p"	0	3.45447475974893	0	1	1
"hsa-miR-20a-5p"	0	8.56657856187238	0	1	1
"hsa-miR-21-3p"	0	12.2376307562669	0	1	1
"hsa-miR-21-5p"	0	16.7758575425254	0	1	1
"hsa-miR-210-3p"	0	8.85497874394321	0	1	1
"hsa-miR-210-5p"	0	5.79871460361546	0	1	1
"hsa-miR-2110-3p"	0	3.74620642872011	0	1	1
"hsa-miR-2116-3p"	0	3.13888944285129	0	1	1
"hsa-miR-212-3p"	0	3.78481184476275	0	1	1
"hsa-miR-212-5p"	0	3.79615404010281	0	1	1
"hsa-miR-214-3p"	0	7.20366244309699	0	1	1
"hsa-miR-214-5p"	0	6.52766591534271	0	1	1
"hsa-miR-215-5p"	0	4.07369240461978	0	1	1
"hsa-miR-218-1-3p"	0	6.22045626662329	0	1	1
"hsa-miR-218-5p"	0	7.55926511090364	0	1	1
"hsa-miR-22-3p"	0	16.9511888737691	0	1	1
"hsa-miR-22-5p"	0	7.12045403624712	0	1	1
"hsa-miR-221-3p"	0	13.2548291749271	0	1	1
"hsa-miR-221-5p"	0	9.97602517102803	0	1	1
"hsa-miR-222-3p"	0	13.972926643606	0	1	1
"hsa-miR-222-5p"	0	6.50913188907778	0	1	1
"hsa-miR-224-5p"	0	10.5128826208058	0	1	1
"hsa-miR-2355-3p"	0	2.53357655424571	0	1	1
"hsa-miR-2355-5p"	0	4.94438581047443	0	1	1
"hsa-miR-23a-3p"	0	11.312738581032	0	1	1
"hsa-miR-23a-5p"	0	5.7014014271134	0	1	1
"hsa-miR-23b-3p"	0	10.5166590763582	0	1	1
"hsa-miR-24-2-5p"	0	7.5811764321955	0	1	1
"hsa-miR-24-3p"	0	9.21014151066647	0	1	1
"hsa-miR-2467-5p"	0	3.31615360219775	0	1	1
"hsa-miR-25-3p"	0	10.4729029312852	0	1	1
"hsa-miR-25-5p"	0	4.15820995364368	0	1	1
"hsa-miR-2682-3p"	0	3.73558885586457	0	1	1
"hsa-miR-2682-5p"	0	4.59171937422339	0	1	1
"hsa-miR-26a-2-3p"	0	5.22693814194605	0	1	1
"hsa-miR-26a-5p"	0	14.2474237655185	0	1	1
"hsa-miR-26b-3p"	0	5.59959288665361	0	1	1
"hsa-miR-26b-5p"	0	10.8999297513819	0	1	1
"hsa-miR-27a-3p"	0	12.6943827336321	0	1	1
"hsa-miR-27a-5p"	0	7.07051988648442	0	1	1
"hsa-miR-27b-3p"	0	14.9228981940191	0	1	1
"hsa-miR-27b-5p"	0	7.476093943273	0	1	1
"hsa-miR-28-3p"	0	11.615186729633	0	1	1
"hsa-miR-28-5p"	0	9.35602121107556	0	1	1
"hsa-miR-296-3p"	0	5.12304559212219	0	1	1
"hsa-miR-296-5p"	0	4.01494964214152	0	1	1
"hsa-miR-299-3p"	0	6.53053659743993	0	1	1
"hsa-miR-299-5p"	0	4.20833912803114	0	1	1
"hsa-miR-29a-3p"	0	13.4645967977836	0	1	1
"hsa-miR-29a-5p"	0	6.55969085365158	0	1	1
"hsa-miR-29b-1-5p"	0	4.85251285724851	0	1	1
"hsa-miR-29b-3p"	0	8.71091800582166	0	1	1
"hsa-miR-29c-3p"	0	7.91347208942374	0	1	1
"hsa-miR-29c-5p"	0	4.08042493216246	0	1	1
"hsa-miR-301a-3p"	0	8.43308929511668	0	1	1
"hsa-miR-301b-3p"	0	6.32497955768045	0	1	1
"hsa-miR-30a-3p"	0	7.87026988061628	0	1	1
"hsa-miR-30a-5p"	0	13.340915090766	0	1	1
"hsa-miR-30b-5p"	0	9.22698964581508	0	1	1
"hsa-miR-30c-1-3p"	0	4.09518991694466	0	1	1
"hsa-miR-30c-2-3p"	0	4.40291386275203	0	1	1
"hsa-miR-30c-5p"	0	10.8670846462298	0	1	1
"hsa-miR-30d-3p"	0	5.46429573048761	0	1	1
"hsa-miR-30d-5p"	0	11.8068814511167	0	1	1
"hsa-miR-30e-3p"	0	6.905744860144	0	1	1
"hsa-miR-30e-5p"	0	11.6820787231572	0	1	1
"hsa-miR-31-3p"	0	9.62655376829861	0	1	1
"hsa-miR-31-5p"	0	14.193416064459	0	1	1
"hsa-miR-3117-3p"	0	3.32832245605686	0	1	1
"hsa-miR-3129-3p"	0	3.25916496427795	0	1	1
"hsa-miR-3152-5p"	0	3.75344034307708	0	1	1
"hsa-miR-3158-3p"	0	3.67797209219337	0	1	1
"hsa-miR-3176"	0	4.40483984521021	0	1	1
"hsa-miR-32-5p"	0	4.4747705427731	0	1	1
"hsa-miR-320a"	0	10.695031679984	0	1	1
"hsa-miR-323a-3p"	0	7.25913542170718	0	1	1
"hsa-miR-323b-3p"	0	5.89968519237215	0	1	1
"hsa-miR-324-3p"	0	4.84478783469353	0	1	1
"hsa-miR-324-5p"	0	4.25353947703461	0	1	1
"hsa-miR-326"	0	3.50090463152794	0	1	1
"hsa-miR-328-3p"	0	6.03838236283999	0	1	1
"hsa-miR-329-3p"	0	6.24068791526916	0	1	1
"hsa-miR-330-3p"	0	5.05805915987361	0	1	1
"hsa-miR-330-5p"	0	6.7464045261218	0	1	1
"hsa-miR-331-3p"	0	9.15754712077882	0	1	1
"hsa-miR-331-5p"	0	4.00635658212359	0	1	1
"hsa-miR-335-3p"	0	8.56014259112008	0	1	1
"hsa-miR-335-5p"	0	7.26123137185248	0	1	1
"hsa-miR-337-3p"	0	6.46596810823778	0	1	1
"hsa-miR-337-5p"	0	4.50755397779086	0	1	1
"hsa-miR-339-3p"	0	7.23360837300413	0	1	1
"hsa-miR-339-5p"	0	6.9063583885504	0	1	1
"hsa-miR-33a-3p"	0	3.41788097416727	0	1	1
"hsa-miR-33a-5p"	0	4.55914834446354	0	1	1
"hsa-miR-33b-5p"	0	5.02579158632461	0	1	1
"hsa-miR-340-3p"	0	4.0356704096574	0	1	1
"hsa-miR-340-5p"	0	8.16207651205328	0	1	1
"hsa-miR-342-3p"	0	8.32918999504177	0	1	1
"hsa-miR-345-3p"	0	3.62743052621017	0	1	1
"hsa-miR-345-5p"	0	7.92090245081307	0	1	1
"hsa-miR-34a-3p"	0	3.97263113953431	0	1	1
"hsa-miR-34a-5p"	0	8.14994725082877	0	1	1
"hsa-miR-34b-5p"	0	4.16828651598095	0	1	1
"hsa-miR-34c-5p"	0	7.72996530229621	0	1	1
"hsa-miR-3605-3p"	0	3.90074134736783	0	1	1
"hsa-miR-3607-3p"	0	5.82455826509679	0	1	1
"hsa-miR-361-3p"	0	7.74978510710689	0	1	1
"hsa-miR-361-5p"	0	7.67473939189637	0	1	1
"hsa-miR-3613-5p"	0	3.57939103434289	0	1	1
"hsa-miR-3614-5p"	0	3.32743054935184	0	1	1
"hsa-miR-362-5p"	0	3.94628898199018	0	1	1
"hsa-miR-3651"	0	3.57433376794974	0	1	1
