"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	-0.893877883292186	4.24644156960555	2.91977136947887	0.0875002609315325	0.177500529318252
"hsa-let-7a-3p"	-0.206322774870094	7.17726693073984	0.212043715002524	0.645170255369567	0.729637972499949
"hsa-let-7a-5p"	0.0191558227237209	15.404050490829	0.00406855715436905	0.949141229147685	0.960739696306312
"hsa-let-7b-3p"	-0.720236314553875	7.38846349613655	4.37569902498051	0.0364548748430137	0.0884811926213486
"hsa-let-7b-5p"	0.0533571768201953	12.3667904339629	0.0203537211225324	0.886553600336278	0.904757986380144
"hsa-let-7c-3p"	1.78235343876699	3.27746122081591	7.16617019126842	0.00742912116562264	0.0222426097549063
"hsa-let-7c-5p"	0.951224391970251	10.6420682525271	2.8898593320564	0.0891387080562441	0.179360072485641
"hsa-let-7d-3p"	0.125333786316767	7.66320479334192	0.156382699030319	0.692508952306389	0.762614152999228
"hsa-let-7d-5p"	0.354180340610005	10.3539863016479	1.13891897965105	0.285880868470007	0.421610657654581
"hsa-let-7e-3p"	0.262254776896125	4.94202428145509	0.448286082662187	0.503149992061109	0.626730691865592
"hsa-let-7e-5p"	0.229390191589282	11.8877047539098	0.460572724658959	0.497356431150737	0.622635129173592
"hsa-let-7f-1-3p"	0.167294196338269	5.28170502391913	0.211359706837592	0.645703760854966	0.729637972499949
"hsa-let-7f-2-3p"	0.225877690153406	5.257336951206	0.192244777129462	0.661054839290027	0.737877279683826
"hsa-let-7f-5p"	-0.175626984283727	14.7777816861074	0.385944277878808	0.534439003025049	0.649383741692031
"hsa-let-7g-3p"	0.211335960359839	3.5446480297015	0.140267912125575	0.708014816552976	0.766630422280673
"hsa-let-7g-5p"	0.551408023907141	12.2387290274628	2.81370786818047	0.0934621278741098	0.184328085529494
"hsa-let-7i-3p"	-0.343256230635925	5.89093217015726	0.803504352429439	0.37004768676056	0.512104561379397
"hsa-let-7i-5p"	-0.473928123747947	14.1805867698938	2.38337056096961	0.122632700695171	0.221630735438182
"hsa-miR-100-3p"	-0.661726127792054	8.1772856254863	2.54602997035858	0.110571784367075	0.20582088700538
"hsa-miR-100-5p"	-0.898168433049647	17.4042820975922	2.2405354220391	0.134434422777962	0.233747752892096
"hsa-miR-101-3p"	0.792848403013452	10.8346778809578	5.4166305910846	0.0199458155383144	0.0530110712435414
"hsa-miR-101-5p"	2.62742217586784	3.14361623519278	12.3163886569425	0.00044899854859599	0.00204726861148814
"hsa-miR-103a-3p"	0.420993805706987	12.2556777296366	2.14702778381009	0.142846187502186	0.24396754360339
"hsa-miR-106b-3p"	0.21797687928549	7.80401865606034	0.313151692885042	0.57575258962674	0.682874868923481
"hsa-miR-106b-5p"	0.618657077686379	8.20858659630401	2.1736564755164	0.140392074623094	0.242436385890432
"hsa-miR-107"	-0.473298954103149	5.62101132971676	1.18142317420858	0.27706645593609	0.4122815227552
"hsa-miR-10a-3p"	0.597890097969465	4.66680509578667	0.509053249396356	0.475548984613166	0.606020116289085
"hsa-miR-10a-5p"	0.657097537682681	14.4434956600003	1.13077112644392	0.287610915999075	0.422907175300415
"hsa-miR-10b-3p"	1.56591299922898	2.35376193186132	0.768484686522459	0.38068623524959	0.518359065531633
"hsa-miR-10b-5p"	1.92943965369073	13.5706430809523	0.87979964040953	0.348256562151164	0.494524318254653
"hsa-miR-1180-3p"	0.240661223373469	5.34340336570282	0.487613718530184	0.484993705296268	0.611781399828034
"hsa-miR-1185-1-3p"	-2.16472049040774	5.47597807040798	12.3890484040246	0.000431859285420151	0.00201381050222518
"hsa-miR-1185-2-3p"	-2.13459076299823	2.82201287940484	14.0643544694645	0.000176660289514076	0.000914585040505165
"hsa-miR-1185-5p"	-2.32763566228189	4.16213600443772	9.73597937377737	0.00180695710725946	0.00675231340081165
"hsa-miR-1197"	-1.68889822909961	4.18314695895611	5.52376720851465	0.0187598175424696	0.050264905482419
"hsa-miR-1226-3p"	0.102174014153377	3.41068695683237	0.0333793253290366	0.855033339892825	0.889020020767226
"hsa-miR-1247-5p"	-5.43025591708052	1.61052655944931	12.1193595631443	0.000499010388091682	0.0022343077737078
"hsa-miR-1249-3p"	-0.558286966501546	4.28353161927196	1.99985818649889	0.157313924794855	0.262512814804733
"hsa-miR-1254"	1.00897850447917	2.63191641562042	1.27657287170151	0.258537225593443	0.391714057723904
"hsa-miR-1255a"	1.10435191030751	2.75962072381504	1.64754888181479	0.199292869955308	0.318484104076489
"hsa-miR-1257"	5.45876795185599	2.49935796863202	4.56291940072318	0.0326713364308849	0.08159625229221
"hsa-miR-125a-3p"	0.896360063102885	5.74984905571463	6.91637250072765	0.00854100597953551	0.0251176329694032
"hsa-miR-125a-5p"	-0.024413981537977	13.2074520507368	0.00427511997008878	0.947867943237814	0.960739696306312
"hsa-miR-125b-1-3p"	-1.45529556857088	9.94935798075952	18.0088889018722	2.19875880175112e-05	0.000155687155518744
"hsa-miR-125b-2-3p"	0.725876297572544	8.2361558162559	2.90879628431015	0.0880976048697513	0.177985811464498
"hsa-miR-125b-5p"	-1.72886365651515	13.395063477081	15.2429371120933	9.45295972081672e-05	0.000546293137354176
"hsa-miR-126-3p"	7.1974908074518	13.9223033328037	130.209552059332	3.68722848250672e-30	1.83255255580584e-27
"hsa-miR-126-5p"	7.35746417109867	15.5857043217534	72.1328379081183	2.01187833811643e-17	1.99980706808773e-15
