"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	-7.98137729616625	4.01076765290862	36.3831694116836	1.62096947027173e-09	8.39491557235463e-09
"hsa-let-7a-3p"	-2.05498505535435	6.84032732841539	9.67656291752386	0.00186633439732773	0.00452333262800612
"hsa-let-7a-5p"	-1.11531950933363	15.132017296658	4.25483196084519	0.039138820066903	0.0690369199809673
"hsa-let-7b-3p"	-3.41094582035149	7.19313732384203	23.8548251482763	1.03881161766796e-06	3.90149096101248e-06
"hsa-let-7b-5p"	-1.66149711250253	11.9187913003874	8.25445134723845	0.00406521922907698	0.00913282128176198
"hsa-let-7c-5p"	-4.57033776738334	9.16572382230451	16.681960726966	4.41993000566542e-05	0.000135799477782411
"hsa-let-7d-3p"	0.720464633839667	8.17776870882591	1.51795335463147	0.217929474610037	0.297011915535009
"hsa-let-7d-5p"	0.801500827408976	10.7461078336547	1.82944759868833	0.176192806304207	0.25347035292886
"hsa-let-7e-3p"	-0.993931031535904	4.54682290318529	1.63715408516623	0.200716386583165	0.27801921825417
"hsa-let-7e-5p"	-0.61672752313527	11.6379098191958	1.18898948960106	0.275533482995657	0.362466507042415
"hsa-let-7f-1-3p"	-0.657890812101178	5.05972485925637	0.764243854172573	0.382003673801566	0.471042124086142
"hsa-let-7f-2-3p"	-0.980828266770463	4.88538148401836	1.43230515047732	0.231388604853701	0.313414649567816
"hsa-let-7f-5p"	-0.164138919880994	15.0233686235702	0.0987938580296799	0.753281880688161	0.800463683150271
"hsa-let-7g-3p"	0.2698534833364	3.68915705534921	0.102522076192833	0.748823782397453	0.799178526983833
"hsa-let-7g-5p"	0.987730571583416	12.5864229751824	3.13508457056197	0.0766244125808794	0.123200035914355
"hsa-let-7i-3p"	-0.378352289619142	6.14555855881419	0.243512068329974	0.621680942056353	0.701529870393867
"hsa-let-7i-5p"	-1.06968029717256	14.2747337685495	3.93265064522402	0.0473572451466539	0.0820414246906822
"hsa-miR-100-3p"	-11.8846175705123	7.79215103452523	66.9824504292894	2.73934912115876e-16	4.64744747451761e-15
"hsa-miR-100-5p"	-11.2875027398782	17.1849564745329	146.952516732472	8.03732103617341e-34	3.95436194979732e-31
"hsa-miR-101-3p"	0.746250852161808	10.8352522262526	1.42189696362887	0.233091424388249	0.313414649567816
"hsa-miR-101-5p"	2.77857297821825	3.06283486591149	5.75289338191565	0.0164615225569462	0.0320121308222037
"hsa-miR-103a-3p"	0.756619055312047	12.5492445974265	1.97886071968537	0.159510479043896	0.232186851152653
"hsa-miR-106b-3p"	-1.28358774350142	7.35819637977343	3.2553785753274	0.071189496564758	0.115977590430003
"hsa-miR-106b-5p"	-0.674008285233068	7.64901530976952	0.843700056300081	0.35834069258333	0.447471118657356
"hsa-miR-107"	-1.05782558105748	5.72986396082809	2.6840696937384	0.101356403971051	0.157310254743713
"hsa-miR-10a-3p"	-7.39626990163098	3.49351572610688	35.4739919233614	2.58478907954271e-09	1.31104765684022e-08
"hsa-miR-10a-5p"	-4.17719336341699	13.215591194098	20.9814331426365	4.63755974314115e-06	1.61821233590457e-05
"hsa-miR-10b-5p"	-8.25069722485018	11.1751981993716	17.7387249358164	2.53414970608601e-05	8.19595438079234e-05
"hsa-miR-1180-3p"	-4.18731826801891	4.46965886916177	29.4654834287195	5.69214653128918e-08	2.37333567236803e-07
"hsa-miR-1185-1-3p"	-9.94600284499385	5.87785003545318	56.1587062777058	6.68509204858245e-14	6.20578356208031e-13
"hsa-miR-1185-2-3p"	-6.96421357035905	3.12971701910071	32.3846623580378	1.26480834296356e-08	5.65714277034609e-08
"hsa-miR-1185-5p"	-8.62088632120845	4.60341052772354	46.503378978251	9.14606012302605e-12	6.61744350077767e-11
"hsa-miR-1197"	-8.34982894818582	4.34925224137471	39.9100401834394	2.65932719386036e-10	1.5576059278325e-09
"hsa-miR-1226-3p"	1.29330467037287	4.20405912008417	3.15686740867313	0.0756081381865369	0.12196460323861
"hsa-miR-1228-3p"	4.33529014499528	3.8320375092859	20.016981143072	7.67574920308646e-06	2.64088713840457e-05
"hsa-miR-1228-5p"	5.48712600738888	2.19586701837258	7.29689884203532	0.0069073729503738	0.0149053837350171
"hsa-miR-1237-3p"	1.27134350743958	2.22617007385692	1.10434346994216	0.293314866392339	0.377777262473902
"hsa-miR-1247-5p"	-5.68858357819737	2.20192841043623	6.17187713593974	0.0129796815590087	0.0257500134154528
"hsa-miR-1249-3p"	2.78482257736181	6.74408138903504	18.9869655490542	1.31614476300052e-05	4.34592767380037e-05
"hsa-miR-125a-3p"	-1.81282428484698	4.63331001971239	8.67763604640164	0.00322138564373528	0.0074061763398026
"hsa-miR-125a-5p"	-0.277841378232362	13.2984880654706	0.228760300265549	0.632444574520539	0.708798930897734
"hsa-miR-125b-1-3p"	-14.1618194023812	10.0626903860022	124.033706861162	8.28246224350533e-29	1.35832380793487e-26
"hsa-miR-125b-2-3p"	-5.37596891431276	6.92749213737139	33.3650975658964	7.63825400099223e-09	3.54530280046055e-08
"hsa-miR-125b-5p"	-9.63349152200562	13.6556021066152	127.962465837889	1.14385854922389e-29	2.81389203109077e-27
"hsa-miR-126-3p"	-3.33462014308315	6.50613735711865	17.1701795700822	3.41759369507479e-05	0.000107785647306205
"hsa-miR-126-5p"	-3.82232532649932	7.97202109978247	22.7485280842939	1.84645513591924e-06	6.58301396284252e-06
"hsa-miR-1260a"	0.0959330085342038	4.68327343701723	0.018799962984771	0.890941510971842	0.917036032213695
"hsa-miR-1260b"	1.33949598590885	3.61513124404408	2.59010953086957	0.107532899214634	0.1653318325425
"hsa-miR-127-3p"	-11.1010537776814	13.5238457748985	120.671443766992	4.50961461989082e-28	5.5468259824657e-26
"hsa-miR-127-5p"	-10.0120809946981	5.94229769258867	52.7994306353129	3.69408327652211e-13	3.13360167594634e-12
"hsa-miR-1271-5p"	-1.70133031098508	7.18840772852607	6.91586102322631	0.00854344935253855	0.0178175513635274
"hsa-miR-1273h-3p"	6.05843211062434	2.5629420176448	11.6653526190804	0.000636748732847597	0.00164884408716325
"hsa-miR-1277-5p"	-5.65203267873339	2.19316234277175	6.20189050649439	0.0127613935822132	0.0254194560423032
"hsa-miR-128-1-5p"	-0.312100571203309	4.20038954535288	0.277840775012153	0.59811995415848	0.679618977935271
"hsa-miR-128-3p"	-0.935605238635173	9.71108952434671	2.45660397855977	0.117031566054593	0.178646290941483
"hsa-miR-1285-3p"	-0.961233129282628	5.2475487215345	2.170831651993	0.140650152254729	0.210333966289747
"hsa-miR-1293-3p"	-7.84081556426213	3.88877534237593	23.5884979022494	1.1929849826589e-06	4.44658038991046e-06
