"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	-7.75729957816384	3.86542584582708	35.3179047056104	2.80045663407893e-09	1.17714109364673e-08
"hsa-let-7a-3p"	-2.69165986787427	6.55617125258256	11.5032322253573	0.000694752727179531	0.00150479193310501
"hsa-let-7a-5p"	-0.396175364743895	15.212102231747	0.611610418016994	0.43418210285444	0.480653246021264
"hsa-let-7b-3p"	-3.27327485801373	7.02178767667599	28.6663347688131	8.59856117703726e-08	2.94130092676585e-07
"hsa-let-7b-5p"	-1.32945124560019	11.8180803647413	5.85729441873517	0.0155126217542936	0.0255623268775071
"hsa-let-7c-5p"	-5.54903490775147	8.94510386819559	33.7118858950288	6.39090028053830e-09	2.51578296757698e-08
"hsa-let-7d-3p"	-1.07587682658089	7.15487076196294	3.61742966200254	0.0571771464755874	0.0786659692395987
"hsa-let-7d-5p"	-0.125321750658859	10.0421119777733	0.0505872290375855	0.822044583956617	0.84068889410821
"hsa-let-7e-3p"	-4.8398370531249	3.88570142519198	38.4515837118066	5.61290146252798e-10	2.78399912541388e-09
"hsa-let-7e-5p"	-5.82694911323827	10.7511705869783	77.6520288734614	1.22890007412307e-18	4.06356291176696e-17
"hsa-let-7f-1-3p"	-2.1017780273381	4.50770199960417	9.91870325476752	0.00163607611138275	0.00331221939284017
"hsa-let-7f-2-3p"	-1.2388747457251	4.64170202661745	2.93417844271251	0.0867227728965057	0.113196040412281
"hsa-let-7f-5p"	0.704746305866372	15.3098295791041	2.03434504563211	0.153780413756694	0.188333543761285
"hsa-let-7g-3p"	1.96654622777517	4.56921027394022	7.36099946610068	0.00666537310971387	0.0118616140080747
"hsa-let-7g-5p"	3.5421321054654	14.4830892102291	37.1462757824365	1.09591850187498e-09	4.94159615390899e-09
"hsa-let-7i-3p"	0.383306910403435	6.33560907443795	0.464296754199203	0.495622696043452	0.535574852369395
"hsa-let-7i-5p"	-1.57952540798368	13.9400155810418	9.51648282900399	0.00203634492765023	0.00400804398458141
"hsa-miR-1-3p"	5.62960438024085	2.29872578067552	12.2550015435628	0.000464012768717044	0.00105573547377823
"hsa-miR-100-3p"	-11.6610045815997	7.60764764488141	64.4806746164758	9.74838164027833e-16	1.46521130108426e-14
"hsa-miR-100-5p"	-11.5469663190382	16.9956422642944	66.6630482760778	3.22117000289448e-16	5.32566773811887e-15
"hsa-miR-101-3p"	4.41904780940614	13.7096840849055	41.4680520206506	1.19813047796663e-10	6.390029215822e-10
"hsa-miR-101-5p"	5.09819381043865	4.79425205262983	38.1724510635828	6.47603075928105e-10	3.11855461806155e-09
"hsa-miR-103a-3p"	0.775942364190105	12.3738511602528	2.24489414671385	0.134056081813997	0.168520368248074
"hsa-miR-106a-5p"	6.71392610162379	4.60168191040848	39.4033688235214	3.44701768824179e-10	1.74461303404891e-09
"hsa-miR-106b-3p"	1.15951474980551	8.3595986923451	3.20755356358358	0.0732990043563866	0.0975771876028628
"hsa-miR-106b-5p"	0.788458797026561	8.20574412363976	1.39142283027317	0.238164964584891	0.278608071778552
