"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	-7.43243377650815	3.62264866945105	29.2244011180309	6.4462262548066e-08	2.5375620812572e-07
"hsa-let-7a-3p"	-2.31758779889505	6.29678643811278	20.6462502639687	5.52452770984347e-06	1.48117067247695e-05
"hsa-let-7a-5p"	-0.373738783498313	14.8954815780711	0.746196145676095	0.387683232336004	0.43406519918433
"hsa-let-7b-3p"	-1.62797425245095	6.96079937269397	9.57886260420356	0.00196830306534674	0.00336647696693787
"hsa-let-7b-5p"	-1.00036996996036	11.5934612583445	4.36872558767447	0.0366043582065638	0.0509851489190917
"hsa-let-7c-5p"	-6.44540823260404	8.6214124427427	39.2588557122101	3.71181047527199e-10	2.14076511131966e-09
"hsa-let-7d-3p"	1.32527344968573	8.06817622289542	6.43709536657139	0.0111761243792815	0.0171620981180297
"hsa-let-7d-5p"	1.04748984235365	10.3943448296161	3.86170969092453	0.0493999653164408	0.0664021214009611
"hsa-let-7e-3p"	-3.52333473830868	3.69880140072901	26.1260389460039	3.19841533760689e-07	1.04369342595593e-06
"hsa-let-7e-5p"	-3.6881535972955	10.5092160079464	38.6345024485346	5.11074470528758e-10	2.84823525148611e-09
"hsa-let-7f-1-3p"	-1.02952497358389	4.463718520068	2.95316705986983	0.0857094414309984	0.11070802851504
"hsa-let-7f-2-3p"	-1.67389503127254	4.24285473315052	9.51497963111821	0.00203801367415497	0.0034737277745047
"hsa-let-7f-5p"	-0.386931942444548	14.4089810725824	0.659282335486751	0.416813420200507	0.458402342393462
"hsa-let-7g-3p"	0.123236984961425	3.19839828838483	0.0340822720623812	0.853531925240382	0.867551730564588
"hsa-let-7g-5p"	1.75974509586024	12.6280493445172	12.9602607077722	0.000318172870206809	0.000621313951269989
"hsa-let-7i-3p"	-0.221392119661362	5.7195275395987	0.153207273562399	0.69548902313752	0.721678986351904
"hsa-let-7i-5p"	-2.38429844494885	13.4527524891898	23.6381511357266	1.16259552689158e-06	3.47377940565195e-06
"hsa-miR-100-3p"	-11.3317625878888	7.28567040532712	62.7256266478908	2.37603859499034e-15	4.36487090042671e-14
"hsa-miR-100-5p"	-7.78370768258692	16.6764620856265	89.4228981154079	3.18824936601756e-21	1.23928723270499e-19
"hsa-miR-101-3p"	4.36360176410458	13.332892872665	58.2435798644313	2.31591530621914e-14	3.58966872463967e-13
"hsa-miR-101-5p"	5.91635917466361	5.25173035095701	57.4739900220029	3.42478389832779e-14	4.8534080387731e-13
"hsa-miR-103a-2-5p"	2.29774027272038	2.87079651908562	6.84007674196215	0.00891350097845962	0.0140799251124712
"hsa-miR-103a-3p"	2.11032267781629	13.0179449656888	20.8506004491756	4.96536573454926e-06	1.36067480902565e-05
"hsa-miR-106b-3p"	1.65715047186293	8.4001289871871	6.59101708277856	0.0102494598643522	0.0160370097562103
