"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	-1.00722319854672	4.30283348171911	0.421387457609263	0.51624554060134	0.956911640194258
"hsa-let-7a-3p"	-1.19589030525988	6.7755826503588	2.05426675275932	0.151780307210979	0.751886201552209
"hsa-let-7a-5p"	0.141528452356225	15.2515730401329	0.0225520234557735	0.880627881510105	0.987106370574273
"hsa-let-7b-3p"	-0.63810200564014	7.44772811660095	0.568115213943759	0.451008853658967	0.919665879852416
"hsa-let-7b-5p"	0.0430952444944128	12.1487995884823	0.0020522422347824	0.963866848157783	0.987106370574273
"hsa-let-7c-5p"	1.25146628796147	10.3602973001492	0.913969323160472	0.33906342943238	0.875463592809061
"hsa-let-7d-3p"	0.0797039385784389	7.42056151177751	0.00777296649409465	0.929745988946446	0.987106370574273
"hsa-let-7d-5p"	0.291327459743639	10.02608074416	0.0997986167960008	0.752071435701946	0.987106370574273
"hsa-let-7e-3p"	-1.35774439886695	4.21150856581749	0.925252858792578	0.336099512478039	0.875463592809061
"hsa-let-7e-5p"	-0.0409079250011922	11.5076576489738	0.00159289297909027	0.968164030840438	0.987106370574273
"hsa-let-7f-1-3p"	-0.524276129591228	4.79171136134701	0.298731216078678	0.584678929725952	0.968955540782584
"hsa-let-7f-2-3p"	0.460166723840838	5.09843691172971	0.084392872727963	0.771430297843455	0.987106370574273
"hsa-let-7f-5p"	0.710331854986898	15.039701773872	0.654368817643899	0.418555030221759	0.909248437786011
"hsa-let-7g-3p"	0.820512677455384	3.56267962014077	0.645797006315717	0.421619379731125	0.909248437786011
"hsa-let-7g-5p"	0.527956803654109	11.8537037411806	0.335125203333575	0.562656654092418	0.956911640194258
"hsa-let-7i-3p"	0.162045051769723	6.00595534617328	0.037518034664858	0.846414137828769	0.987106370574273
"hsa-let-7i-5p"	0.4591262320342	14.5242554349606	0.268951684559468	0.604035859478614	0.976871786536104
"hsa-miR-100-3p"	-0.874820122068422	8.10573692533404	0.764223029574708	0.382010158988324	0.878922817480718
"hsa-miR-100-5p"	-0.269795809229268	17.6887313318881	0.0878142416238461	0.766974505050359	0.987106370574273
"hsa-miR-101-3p"	0.687023823467205	10.3419647950975	0.552527630501714	0.4572867410241	0.9241919967009
"hsa-miR-103a-3p"	0.0469278879500352	11.7493476067237	0.00263489882446066	0.959061554618788	0.987106370574273
"hsa-miR-106b-3p"	0.872631563052224	7.88878578946089	0.862006665217443	0.353177749256365	0.875463592809061
"hsa-miR-106b-5p"	0.406095912376765	7.73401209668622	0.170520137986543	0.679649957758452	0.986876062884893
"hsa-miR-107"	1.05679334891911	6.28340551337523	1.03982107613145	0.307863088514226	0.869428621384515
"hsa-miR-10a-3p"	-2.96813427755862	3.52987966067269	4.79909607312385	0.0284746729259613	0.392782988302231
"hsa-miR-10a-5p"	-2.38876507347882	13.184279280777	4.22281016978377	0.0398840536988585	0.45378827573447
"hsa-miR-10b-5p"	2.26859305375073	13.1344401363537	1.33900459870371	0.247209585525799	0.869428621384515
"hsa-miR-1180-3p"	-0.296061243048006	4.88805773421809	0.102323884924269	0.749058505082856	0.987106370574273
"hsa-miR-1185-1-3p"	-0.715219041508579	6.24235503010094	0.559045211030169	0.45464519751704	0.923067522231566
"hsa-miR-1185-2-3p"	-0.530173656264775	3.53173180552906	0.332660651954217	0.564096583945445	0.956911640194258
"hsa-miR-1185-5p"	-0.0385229678428332	5.18908800886544	0.001819859506619	0.965972716262009	0.987106370574273
"hsa-miR-1197"	-0.666447288937447	4.72694784637216	0.462312973276778	0.496544981406158	0.942491825433469
"hsa-miR-1226-3p"	-0.139618376552158	3.1408697547432	0.0178301773076337	0.893774487664766	0.987106370574273
"hsa-miR-1247-5p"	-1.59854749131392	2.38510977163841	0.390690077109918	0.531936890848407	0.956911640194258
"hsa-miR-1249-3p"	2.02390712765756	5.5519700546561	2.53773293156402	0.111154281373473	0.695084772855451
"hsa-miR-125a-3p"	-0.320756991895211	4.77184861081978	0.100283666992433	0.751489487790417	0.987106370574273
"hsa-miR-125a-5p"	-0.154669525966814	12.9841791079377	0.0235101602884242	0.878137860239912	0.987106370574273
"hsa-miR-125b-1-3p"	0.687593271207487	10.985325999418	0.515899698789923	0.472596014095426	0.93466854722499
"hsa-miR-125b-2-3p"	-1.15917418044221	7.154241958545	1.37884034028374	0.240298778344314	0.869428621384515
"hsa-miR-125b-5p"	0.49234378416211	14.4832069066847	0.271262118695631	0.602486386363194	0.976871786536104
"hsa-miR-126-3p"	-1.90516917807897	6.49532730525923	1.21231581705617	0.270873964767489	0.869428621384515
"hsa-miR-126-5p"	-1.53671073625358	8.05491160348626	1.62554745658598	0.202320005612578	0.855576976141151
"hsa-miR-1260a"	1.13283251036124	4.805055909795	1.58553370103361	0.20796540571448	0.855576976141151
"hsa-miR-1260b"	1.84994938075813	3.45306086469091	3.52276053562486	0.0605315479711923	0.525727703675726
"hsa-miR-1262"	1.23796185655672	2.95029065765804	1.11775177916003	0.290403069535084	0.869428621384515
"hsa-miR-127-3p"	0.732045738756291	14.4681082541534	0.587327772118783	0.443454317001358	0.912449300750728
"hsa-miR-127-5p"	0.630845169652684	6.82536908254406	0.49122172324698	0.483382827309815	0.93680390912522
"hsa-miR-1271-5p"	-0.303439645767283	7.29175228993933	0.106993312737302	0.743593520364448	0.987106370574273
"hsa-miR-1277-5p"	-0.589265382338489	2.50487696160918	0.0553152017574918	0.814059838868659	0.987106370574273
"hsa-miR-128-1-5p"	0.431144989830792	4.16459694247228	0.19852514268325	0.655913951228853	0.986876062884893
"hsa-miR-128-3p"	0.00942811448810184	9.71676716704501	0.000105050976817012	0.991822274940075	0.997692356927878
"hsa-miR-1285-3p"	-3.60519757426027	4.6421819430424	7.79656151253294	0.00523457527118314	0.196986515548456
"hsa-miR-1293-3p"	-3.6885306417995	3.86464137819735	4.82194038999912	0.0280996954374759	0.392782988302231
"hsa-miR-1296-5p"	-1.22802047190278	5.72421312323697	1.51535358997586	0.218323989966613	0.864816987605439
"hsa-miR-1301-3p"	-0.38227456275576	5.22489000212059	0.143239113871282	0.705081894817506	0.987106370574273
"hsa-miR-1304-3p"	-0.386713995736896	5.85864128005285	0.130074707928351	0.71835459175871	0.987106370574273
"hsa-miR-1306-3p"	-5.23835317928567	2.1874997190641	5.72757082379562	0.0167005685828115	0.346190266678358
"hsa-miR-1306-5p"	-0.988800867528096	3.7745083963047	0.384953221881435	0.534964204483885	0.956911640194258
"hsa-miR-1307-3p"	-0.704942942739988	7.72312217990534	0.625560928468445	0.428988285253434	0.910386903999368
"hsa-miR-1307-5p"	-0.314707660504537	9.52956204811446	0.119911603416209	0.729130382527623	0.987106370574273
"hsa-miR-130a-3p"	0.0829310429976499	10.5350668300677	0.00712632604903263	0.93272443866438	0.987106370574273
"hsa-miR-130b-3p"	1.01720590622732	9.41639069769578	1.19924338637933	0.273472953423125	0.869428621384515
"hsa-miR-130b-5p"	1.14589032488444	8.16154828551235	1.71499205844594	0.190338955370563	0.842160094988623
"hsa-miR-132-3p"	0.359532730170866	6.85445268634914	0.18966152700911	0.66319847502562	0.986876062884893
"hsa-miR-132-5p"	-0.208563847871991	4.01422445051022	0.0601433246417407	0.806269553347837	0.987106370574273
"hsa-miR-134-3p"	1.20199531045163	2.71386759532845	0.369040285928664	0.54352785978417	0.956911640194258
"hsa-miR-134-5p"	0.110847000234794	7.399896786966	0.0174665155462002	0.8948569909804	0.987106370574273
"hsa-miR-1343-3p"	-2.27937682993079	4.25175197170695	2.22463326049669	0.135824905564929	0.733589380473642
"hsa-miR-135b-5p"	-2.94731425826882	3.27021562419342	2.13572519376886	0.143902394463913	0.733589380473642
