"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	-5.60159500551067	3.40223909641548	28.9442491450703	7.44916397815268e-08	2.00246343498728e-07
"hsa-let-7a-3p"	-1.31195762674522	6.60426706034409	5.60083577289496	0.0179519116291648	0.0252843825762884
"hsa-let-7a-5p"	1.16556585575132	15.6324677733401	21.1842243357275	4.17184332219637e-06	8.99974983679858e-06
"hsa-let-7b-3p"	-2.01633686516584	6.57301083250455	27.7170468329963	1.40419859950875e-07	3.71481110981151e-07
"hsa-let-7b-5p"	-0.729387695698785	11.9556071153785	4.75236933004005	0.0292579829870806	0.0393252459503772
"hsa-let-7c-3p"	-6.18404615629013	2.94970906993649	23.9752553259253	9.75818040477585e-07	2.2484286646949e-06
"hsa-let-7c-5p"	-6.994656627456	10.0705820602499	140.161290165421	2.45438931812334e-32	3.40887405294908e-31
"hsa-let-7d-3p"	0.639847874946805	7.68571636180022	5.71702373330918	0.0168011869323078	0.0237977152015691
"hsa-let-7d-5p"	1.0272006199436	10.5916492516993	14.0111120866531	0.000181733452931663	0.000321083839101878
"hsa-let-7e-3p"	-7.83798782367191	4.32672995763101	60.6447625193324	6.8361712497807e-15	3.35106433812779e-14
"hsa-let-7e-5p"	-4.23676892955395	11.2040715720155	17.7141650517695	2.56707881621796e-05	5.09341034963882e-05
"hsa-let-7f-1-3p"	-1.42800792282833	4.81139466076666	15.2588840303057	9.3734816880295e-05	0.000174878389702043
"hsa-let-7f-2-3p"	-1.01076260693995	4.85936628733997	3.64430120025636	0.0562614091506562	0.0719455359982816
"hsa-let-7f-5p"	1.49029603169926	15.1300840290124	38.2039943933027	6.37218460407807e-10	2.10999490201261e-09
"hsa-let-7g-3p"	2.4002935847911	4.3971845663689	28.761291689428	8.18711814418888e-08	2.1890690225104e-07
"hsa-let-7g-5p"	3.17085243647034	13.907354612385	147.222223488502	7.01701337680181e-34	1.1697074708409e-32
"hsa-let-7i-3p"	3.36936969995434	7.48619941386363	94.744012288642	2.16667876799251e-22	1.90059541051974e-21
"hsa-let-7i-5p"	0.338920792267207	13.9205593015943	1.53368901773575	0.215559632209671	0.25006917889753
"hsa-miR-100-3p"	-9.727507464955	7.22291189936462	173.53403243633	1.25124916127395e-39	2.84374809380443e-38
"hsa-miR-100-5p"	-10.7843946353682	16.3343286600639	90.4109274014002	1.93494533417872e-21	1.58602076572026e-20
"hsa-miR-101-3p"	3.65122610820272	12.9421415260735	71.5294407427701	2.73151923372257e-17	1.6454935142907e-16
"hsa-miR-101-5p"	2.30663954922668	4.15107741075743	20.9004287933985	4.83786287977131e-06	1.02064617716694e-05
"hsa-miR-103a-3p"	0.580166620506282	12.3130460255649	5.47205837798606	0.0193228545751701	0.0270628215338517
"hsa-miR-106a-5p"	7.59064725024913	3.645054352196	152.582148549288	4.72709703693274e-35	8.44124470880847e-34
"hsa-miR-106b-3p"	2.63203364098257	8.98913152502959	82.8146520655481	9.01194856375387e-20	6.43710611696705e-19
"hsa-miR-106b-5p"	0.960135641512162	8.47058722138535	4.24593614735225	0.039344372709109	0.0517460386041642
"hsa-miR-107"	-1.61162928570166	4.95820717356544	12.0348819755861	0.000522141403885387	0.000884985430314215
"hsa-miR-10a-3p"	-5.14714865349595	4.11953203024772	18.6323184767827	1.58510523064127e-05	3.19577667467999e-05
"hsa-miR-10a-5p"	-2.15651405719266	13.9343822751536	14.415269046475	0.00014660873792207	0.000263684780435377
"hsa-miR-10b-3p"	-4.93653711044451	2.09513735501005	5.87806171532627	0.0153306895526125	0.0219009850751607
"hsa-miR-10b-5p"	-5.82568573399414	13.110960584775	7.92628002613532	0.00487218639378487	0.00749567137505365
"hsa-miR-1180-3p"	-4.36406483837358	4.72854678295292	60.5658711154827	7.11570622943245e-15	3.45422632496721e-14
"hsa-miR-1185-1-3p"	-6.29564846613763	3.95611976714031	27.0680571051279	1.96416865567312e-07	5.08851983335006e-07
"hsa-miR-1185-5p"	-5.02098122287198	2.75802561041147	11.8882830474053	0.000564881688929969	0.000954192042111435
"hsa-miR-1197"	-6.30068318049467	3.03795163242766	17.5983125602515	2.72830329575613e-05	5.3706757790475e-05
"hsa-miR-122-5p"	6.85433314917509	4.32233164654745	47.0438093602057	6.94175739443801e-12	2.73297535214095e-11
"hsa-miR-1226-3p"	-1.6239494138446	3.00904327239921	5.73141535012472	0.0166640468574869	0.0237379584864485
"hsa-miR-1248"	4.91045451636759	3.2658442085393	26.2371519553258	3.01957064036423e-07	7.66388487402089e-07
"hsa-miR-1249-3p"	-1.52775876481555	3.66635659142264	9.68974373417932	0.00185299381075321	0.00294126001706859
