"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	-6.94554274405368	3.67267242593606	34.6737280696782	3.89857545088601e-09	1.32498881878085e-08
"hsa-let-7a-3p"	-1.9251666566908	6.85503210480803	12.6705281935025	0.000371464578582158	0.000667309582238662
"hsa-let-7a-5p"	-0.611404109113736	15.2941883681899	4.07233988164512	0.0435908515104576	0.0586261986891984
"hsa-let-7b-3p"	-2.57763446624522	6.86524483142026	37.2062598584359	1.06272092790499e-09	3.82613526275563e-09
"hsa-let-7b-5p"	-1.47545384308409	12.1507810107039	12.9220065814207	0.000324741556008148	0.000589693150440789
"hsa-let-7c-3p"	-6.37589549902913	3.20053630178485	26.7723037530177	2.28894509208155e-07	6.36099105700011e-07
"hsa-let-7c-5p"	-6.94551079251822	10.4427484524941	101.928055767993	5.75752833965699e-24	7.42573526883965e-23
"hsa-let-7d-3p"	-0.717583483144242	7.57009439009103	5.10136595733237	0.0239070098603204	0.0334034054437254
"hsa-let-7d-5p"	-0.184553042709732	10.4072322120335	0.379815065153171	0.537702226958128	0.584155983066821
"hsa-let-7e-3p"	-6.26065852054562	4.64578639004692	58.2266787547464	2.3358971907836e-14	1.29116075490566e-13
"hsa-let-7e-5p"	-5.41134713112099	11.5558839787887	152.438211920356	5.08220636683223e-35	1.1619771829621e-33
"hsa-let-7f-1-3p"	-2.00092335859375	5.05606777296198	25.6771095084233	4.03585873849703e-07	1.08558125425883e-06
"hsa-let-7f-2-3p"	-1.41739428559745	5.09484053209583	4.38623722861396	0.0362301881903563	0.0491207133685963
"hsa-let-7f-5p"	0.760320736617409	14.9815761170529	8.97249205628489	0.00274074520664878	0.00432161391518601
"hsa-let-7g-3p"	2.31798777308828	4.48187472652264	28.8570679598935	7.79210353726075e-08	2.27873725537335e-07
"hsa-let-7g-5p"	3.36142291195246	14.1053098754014	124.711101068357	5.88709145892219e-29	9.55228065754149e-28
"hsa-let-7i-3p"	1.74295836634924	6.47890596009572	24.5312688852965	7.31136385413469e-07	1.92545341289516e-06
"hsa-let-7i-5p"	-0.721454988161797	13.9178819527232	5.71111062985424	0.0168578707610376	0.024021271934283
"hsa-miR-100-3p"	-9.32323736243455	7.58943984105246	163.611262076204	1.83943427357088e-37	4.86966020845344e-36
"hsa-miR-100-5p"	-10.1969432852131	16.7097837046764	62.7258128883755	2.37581392537167e-15	1.55199273306747e-14
"hsa-miR-101-3p"	3.82157998592028	13.112402873634	128.652284702622	8.08034929242286e-30	1.40152265313403e-28
"hsa-miR-101-5p"	3.0693249979292	4.77082354563426	58.4055513378993	2.1328832353903e-14	1.20807061505448e-13
"hsa-miR-103a-3p"	0.216974892739945	12.4254084551831	0.759116028907968	0.383605300769638	0.438530605198018
"hsa-miR-106a-5p"	6.00645156682551	2.41996132395977	44.7662165054182	2.22020516107079e-11	9.88286014175758e-11
"hsa-miR-106b-3p"	1.13683118319655	8.25390598956046	15.0643690218002	0.000103906220292942	0.000200248386235057
"hsa-miR-106b-5p"	0.561403542240875	8.5244514168856	2.78321308298815	0.0952568900548649	0.12254275114475
"hsa-miR-107"	-1.13655448327818	5.30945331076234	4.76868931957581	0.0289818817314718	0.0400491387662921
"hsa-miR-10a-3p"	-5.25498071431247	4.42612828528095	16.9075366755699	3.92454507857766e-05	8.12364680874305e-05
"hsa-miR-10a-5p"	-3.66512900040202	14.2095073402463	19.8593494806167	8.33540573040924e-06	1.91447903305747e-05
"hsa-miR-10b-3p"	-5.11983300899762	2.28099034006003	5.70227021832618	0.0169429843337398	0.0240743534459636
"hsa-miR-10b-5p"	-8.06226678195067	13.4698289081951	8.9649051562647	0.00275214985457893	0.00432603555266626
"hsa-miR-1180-3p"	-5.19808470441706	5.04175395354045	72.26019889069	1.88613383285847e-17	1.43746260292093e-16
"hsa-miR-1185-1-3p"	-7.60689744637276	4.255142476388	29.2980495649364	6.20581247555493e-08	1.82545244163984e-07
"hsa-miR-1185-5p"	-6.11134090992815	2.9895457754114	13.8399222600522	0.000199061450457287	0.000372222712193366
"hsa-miR-1197"	-6.49448026577389	3.29486685636369	17.870638875612	2.36440962635651e-05	5.03939848329376e-05
"hsa-miR-1226-3p"	-1.51421213471872	3.25567846639979	5.44685747302273	0.0196035591106725	0.0276982871704165
"hsa-miR-1248"	3.31894634575305	2.34478034325113	13.7178432744359	0.000212426662973421	0.000395743005465299
"hsa-miR-1249-3p"	-0.234362213344376	4.10854980040873	0.301333573245614	0.583047595518474	0.629341074132602
"hsa-miR-1254"	-1.27549884044953	2.62562099289938	2.01583484244622	0.15566562757315	0.192114251669009
