"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	0.893877883292186	4.24644156960555	2.91977136947879	0.0875002609315367	0.17750052931826
"hsa-let-7a-3p"	0.206322774870094	7.17726693073984	0.212043715002508	0.64517025536958	0.729637972499923
"hsa-let-7a-5p"	-0.0191558227237209	15.404050490829	0.00406855715436905	0.949141229147685	0.960739696306312
"hsa-let-7b-3p"	0.720236314553875	7.38846349613655	4.37569902498023	0.0364548748430198	0.0884811926213384
"hsa-let-7b-5p"	-0.0533571768201953	12.3667904339629	0.0203537211223068	0.886553600336903	0.904757986380782
"hsa-let-7c-3p"	-1.78235343876699	3.27746122081591	7.16617019126815	0.00742912116562379	0.0222426097549098
"hsa-let-7c-5p"	-0.951224391970251	10.6420682525271	2.88985933205549	0.0891387080562943	0.179360072485742
"hsa-let-7d-3p"	-0.125333786316767	7.66320479334192	0.156382699030132	0.692508952306564	0.762614152999303
"hsa-let-7d-5p"	-0.354180340610005	10.3539863016479	1.13891897964936	0.285880868470364	0.421610657655107
"hsa-let-7e-3p"	-0.262254776896127	4.94202428145509	0.448286082662192	0.503149992061106	0.626730691865589
"hsa-let-7e-5p"	-0.229390191589282	11.8877047539098	0.460572724652735	0.497356431153643	0.622635129177231
"hsa-let-7f-1-3p"	-0.167294196338269	5.28170502391913	0.21135970683765	0.645703760854921	0.729637972499923
"hsa-let-7f-2-3p"	-0.225877690153406	5.257336951206	0.192244777129423	0.661054839290059	0.737877279683831
"hsa-let-7f-5p"	0.175626984283727	14.7777816861074	0.385944277878808	0.534439003025049	0.649383741690883
"hsa-let-7g-3p"	-0.211335960359839	3.5446480297015	0.140267912125553	0.708014816552997	0.766630422280696
"hsa-let-7g-5p"	-0.551408023907141	12.2387290274628	2.81370786817567	0.0934621278743903	0.184328085530048
"hsa-let-7i-3p"	0.343256230635925	5.89093217015726	0.803504352429394	0.370047686760573	0.512104561379349
"hsa-let-7i-5p"	0.473928123747947	14.1805867698938	2.38337056096928	0.122632700695197	0.221630735438229
"hsa-miR-100-3p"	0.661726127792054	8.1772856254863	2.54602997035875	0.110571784367063	0.205820887005357
"hsa-miR-100-5p"	0.898168433049647	17.4042820975922	2.24053542217735	0.134434422765944	0.233747752892133
"hsa-miR-101-3p"	-0.792848403013452	10.8346778809578	5.41663059108605	0.0199458155382979	0.0530110712434976
"hsa-miR-101-5p"	-2.62742217586784	3.14361623519278	12.316388656942	0.000448998548596105	0.00204726861148866
"hsa-miR-103a-3p"	-0.420993805706987	12.2556777296366	2.14702778381188	0.14284618750202	0.243967543603106
"hsa-miR-106b-3p"	-0.21797687928549	7.80401865606034	0.313151692885164	0.575752589626666	0.682874868923421
"hsa-miR-106b-5p"	-0.618657077686379	8.20858659630401	2.17365647551636	0.140392074623098	0.242436385890443
"hsa-miR-107"	0.473298954103149	5.62101132971676	1.18142317420855	0.277066455936096	0.412281522755208
"hsa-miR-10a-3p"	-0.597890097969465	4.66680509578667	0.509053249396334	0.475548984613175	0.606020116289097
"hsa-miR-10a-5p"	-0.657097537682681	14.4434956600003	1.13077112644392	0.287610915999075	0.422907175300415
"hsa-miR-10b-3p"	-1.56591299922898	2.35376193186132	0.768484686522514	0.380686235249573	0.51835906553161
"hsa-miR-10b-5p"	-1.92943965369073	13.5706430809523	0.879799640409573	0.348256562151152	0.494524318254636
"hsa-miR-1180-3p"	-0.240661223373469	5.34340336570282	0.487613718530092	0.48499370529631	0.611781399828086
"hsa-miR-1185-1-3p"	2.16472049040774	5.47597807040798	12.3890484040249	0.000431859285420086	0.00201381050222662
"hsa-miR-1185-2-3p"	2.13459076299823	2.82201287940483	14.0643544694637	0.00017666028951415	0.000914585040505546
"hsa-miR-1185-5p"	2.32763566228189	4.16213600443772	9.73597937377749	0.00180695710725934	0.00675231340081123
"hsa-miR-1197"	1.68889822909961	4.18314695895611	5.52376720851479	0.0187598175424681	0.0502649054824151
"hsa-miR-1226-3p"	-0.102174014153377	3.41068695683237	0.0333793253290384	0.855033339892821	0.889020020767222
"hsa-miR-1247-5p"	5.43025591708052	1.61052655944931	12.1193595631458	0.00049901038809126	0.00223430777370591
"hsa-miR-1249-3p"	0.558286966501549	4.28353161927196	1.99985818649873	0.157313924794871	0.262512814804745
"hsa-miR-1254"	-1.00897850447917	2.63191641562042	1.2765728717015	0.258537225593445	0.391714057723864
"hsa-miR-1255a"	-1.10435191030751	2.75962072381504	1.64754888181478	0.19929286995531	0.318484104076492
"hsa-miR-1257"	-5.45876795185599	2.49935796863202	4.56291940072347	0.0326713364308793	0.081596252292196
"hsa-miR-125a-3p"	-0.896360063102885	5.74984905571463	6.91637250072665	0.00854100597954031	0.0251176329694174
"hsa-miR-125a-5p"	0.024413981537977	13.2074520507368	0.00427511997008878	0.947867943237814	0.960739696306312
"hsa-miR-125b-1-3p"	1.45529556857088	9.94935798075952	18.0088889018716	2.19875880175181e-05	0.000155687155518714
"hsa-miR-125b-2-3p"	-0.725876297572544	8.2361558162559	2.90879628430981	0.0880976048697704	0.177985811464536
"hsa-miR-125b-5p"	1.72886365651515	13.395063477081	15.2429371120538	9.45295972101417e-05	0.000546293137365586
"hsa-miR-126-3p"	-7.19749080745179	13.9223033328037	130.209552061727	3.68722847805758e-30	1.83255255359462e-27
"hsa-miR-126-5p"	-7.35746417109869	15.5857043217534	72.1328379049399	2.01187834135693e-17	1.99980707130879e-15
"hsa-miR-1260a"	-0.100343171759034	4.52530120822728	0.0546259099782587	0.815200912344226	0.856564172167189
"hsa-miR-1260b"	-0.947640609663288	3.39034610631331	2.17262470707886	0.140486275928466	0.242436385890443
"hsa-miR-1262"	-0.860739043638027	3.1518852177893	2.32754397306054	0.127102275232088	0.22615690874281
"hsa-miR-127-3p"	2.59742443469307	12.948059059949	24.7578352292319	6.50040148790621e-07	8.73162037699835e-06
"hsa-miR-127-5p"	2.43918362466874	5.4467288054426	25.0912566758721	5.46802250337355e-07	7.54890884493515e-06
"hsa-miR-1271-3p"	-2.17429333179337	1.57481054644666	0.797068387902161	0.37197132124335	0.512104561379349
"hsa-miR-1271-5p"	0.2879990038882	7.41126797952614	0.155227874153388	0.693588652657966	0.762614152999303
"hsa-miR-1277-5p"	-0.987299389762203	3.39505150805676	0.558422249691361	0.454896641503039	0.584195428493567
"hsa-miR-128-1-5p"	-0.539668582038992	4.55594003100492	1.8201699232223	0.177293051657907	0.288900480898294
"hsa-miR-128-3p"	0.167013125670291	9.80943754940558	0.250399463382095	0.61679394338172	0.717109409623137
"hsa-miR-1285-3p"	-0.65737836808022	5.95456143677907	1.99900936821073	0.157402049923167	0.262512814804745
"hsa-miR-1293-3p"	2.66424604689664	3.35365863970348	18.9190641079505	1.36382937589927e-05	0.000104280492280298
"hsa-miR-1294"	-1.90494981407117	2.4446430171153	2.83112367254021	0.0924536504695926	0.184094305962409
"hsa-miR-1296-5p"	-0.413300039119769	6.5920274883359	0.990138927454983	0.319708421780955	0.461724904171997
"hsa-miR-1301-3p"	-0.612684182585116	6.04092149357464	1.49070037688567	0.222107824215004	0.343886568955941
"hsa-miR-1304-3p"	-1.392486964464	7.35340281449092	9.04118168341209	0.00263964962530455	0.00971782121315824
"hsa-miR-1304-5p"	-1.94045235019371	3.32416721086164	7.97282063095724	0.00474848898111919	0.0150318409147531
"hsa-miR-1306-3p"	1.16603527303228	2.21666368263032	2.52644025513932	0.111952521137298	0.207613444049392
"hsa-miR-1306-5p"	0.731518868987128	3.74741304269914	2.33874932064881	0.126190832489487	0.22615690874281
"hsa-miR-1307-3p"	-0.309656731849802	8.3772475313657	1.00741526088917	0.315522859766675	0.457186184559876
"hsa-miR-1307-5p"	-0.220183530890462	10.0172408418424	0.327850654648743	0.566927449748399	0.677253533120994
"hsa-miR-130a-3p"	0.168309900555185	10.569250982484	0.310983406310145	0.577077354019793	0.682874868923421
"hsa-miR-130b-3p"	-0.974133626120102	9.88954267157309	8.16143926885453	0.00427904001718644	0.0136325826188568
"hsa-miR-130b-5p"	-0.592968813024069	8.24736476449822	2.23965741024833	0.134510779330282	0.233747752892133
"hsa-miR-132-3p"	1.17882414267922	6.12326081967524	12.381723409702	0.000433556788205731	0.00201381050222662
"hsa-miR-132-5p"	1.99925518058864	3.21154536834047	11.6415734542252	0.000644940259897281	0.00278726355799086
"hsa-miR-133a-3p"	-0.495122304476427	2.42355215064874	0.133207549275747	0.715129251278154	0.772650517141831
"hsa-miR-134-5p"	2.29854911061066	6.27830159984569	21.8262421763	2.98489627566005e-06	3.22498575870227e-05
"hsa-miR-1343-3p"	2.0932929076833	3.74522441173786	6.39209896756451	0.0114629406187563	0.0325547513572679
"hsa-miR-135b-5p"	5.36274894983143	2.41210964265771	20.5111716978031	5.92842250773367e-06	5.1691683970941e-05
"hsa-miR-136-3p"	2.19321847294857	9.03687880602726	10.3730706757186	0.0012786669851221	0.00500391725673765
"hsa-miR-136-5p"	2.37927547541255	5.71212806439563	19.2855794966754	1.12553222062073e-05	9.17031989587713e-05
"hsa-miR-137"	0.242508466878418	6.16556236158227	0.230404769320495	0.631223860453741	0.723497032987154
"hsa-miR-138-1-3p"	2.40024303639895	2.67515583756407	2.41189968866736	0.120416159355863	0.218419091970306
"hsa-miR-138-5p"	3.24578670659512	9.46484750096956	10.4322869097937	0.00123831316903712	0.00488445750009085
"hsa-miR-139-5p"	-2.64425942515947	5.15232683626753	4.75269880917348	0.0292523818564503	0.074940380322968
"hsa-miR-140-3p"	-0.247207693180721	10.0740381067071	0.608854584378028	0.435219405571173	0.571274154621811
"hsa-miR-140-5p"	0.219591041287964	5.468208889245	0.170760872311728	0.679436479851575	0.753749844835341
"hsa-miR-141-3p"	9.43671810597946	7.70935141850604	27.8118435362351	1.33705109589535e-07	2.46116442466662e-06
"hsa-miR-141-5p"	10.2096026799545	5.1846408566635	20.714047212884	5.33233845814845e-06	4.90772632166626e-05
"hsa-miR-142-5p"	1.38712601983649	2.31984562130718	1.27145793494014	0.259493350404798	0.391714057723864
"hsa-miR-143-3p"	6.60078775353903	11.7679995243749	80.6526085238533	2.69099070911808e-19	3.34355595607922e-17
"hsa-miR-143-5p"	6.32750776211293	3.34037703763205	50.4490068637999	1.22301680730292e-12	8.68341933185076e-11
"hsa-miR-145-3p"	6.56616585629448	4.5445078896877	120.420409119042	5.11794844839334e-28	1.27181018942575e-25
"hsa-miR-145-5p"	6.10162296947917	6.32715888383447	87.2496893254812	9.56503054110946e-21	1.58460672631047e-18
"hsa-miR-1468-5p"	1.64061112624183	2.92245402090353	4.37095340057244	0.0365565329307017	0.0884811926213384
"hsa-miR-146a-3p"	0.68080782056152	3.25907200964877	0.190910986635782	0.6621594904205	0.737877279683831
"hsa-miR-146a-5p"	2.46460463777976	8.79513753340761	7.85232453701006	0.00507554060273914	0.0158650545884362
"hsa-miR-146b-5p"	1.41054890267072	5.50002691696025	1.9364128478069	0.16405855137688	0.271790333447699
"hsa-miR-147b"	3.02411514931193	2.32668993262305	25.7497196241477	3.88683477686887e-07	6.21322207905468e-06
"hsa-miR-148a-3p"	3.07535275704169	10.4283197677431	11.8587227019508	0.000573918942195934	0.00252422755992371
"hsa-miR-148a-5p"	3.13831504016644	4.92895154562318	9.84800188790173	0.00170016324879691	0.00640137223221262
"hsa-miR-148b-3p"	-0.346192823133487	10.7649468534876	1.36729582245145	0.242277042691093	0.369361012937034
"hsa-miR-148b-5p"	-0.599574992618363	7.50469926999521	2.78749485809215	0.0950026394667975	0.185162007117641
"hsa-miR-149-5p"	1.4829521026962	8.9464543831255	8.80654612625544	0.00300151682457402	0.0106553847272378
"hsa-miR-150-5p"	-2.09663132298417	4.81566352114845	6.69438520930838	0.00967170141705515	0.0281101497326106
"hsa-miR-151a-3p"	-0.597580316725463	13.2732571212648	3.67124023956796	0.0553589762407896	0.122347603502616
"hsa-miR-151a-5p"	-0.215076347825957	13.5656669175545	0.396332232723069	0.528989549706976	0.648859772272841
"hsa-miR-151b"	0.225883892226324	3.53673630152436	0.208582661567877	0.647880574516375	0.730151123661312
"hsa-miR-152-3p"	1.98469191799729	7.55773997445835	36.8389873263436	1.2829875488316e-09	5.31370676474421e-08
"hsa-miR-152-5p"	0.950782603054977	4.99207415150593	6.24144078894671	0.0124794912355976	0.0350412832999548
"hsa-miR-154-5p"	2.49614222724578	3.13974980282935	9.04685551443526	0.00263147021042287	0.00971782121315824
"hsa-miR-155-5p"	0.408985814694784	10.9353262834574	0.896471143819824	0.343729692762931	0.490901314089588
"hsa-miR-15a-5p"	0.180773249852531	8.73895123417263	0.193545704088628	0.65998179843301	0.737877279683831
"hsa-miR-15b-3p"	-1.09860987281982	7.13776372631093	7.23609815415932	0.00714520925083588	0.0216534694979599
"hsa-miR-15b-5p"	-0.511497454227205	8.38783537180544	1.87401667114666	0.171015753305282	0.281439832426242
"hsa-miR-16-2-3p"	-0.0804401949252113	6.29861606776347	0.0488842866960573	0.82501619600447	0.861413969357608
"hsa-miR-16-5p"	-0.249361011681549	12.1920981385511	0.303512871664672	0.581688500873619	0.686696401268857
"hsa-miR-17-3p"	-1.08068756577765	7.06356352449637	4.75527459604092	0.0292086320677566	0.074940380322968
"hsa-miR-17-5p"	-0.826107873499602	9.36320499469639	3.02229296672895	0.0821272709028252	0.169366197670972
"hsa-miR-181a-2-3p"	-0.973105640986487	8.7619114274229	3.74649567772476	0.0529183467862356	0.118470352940356
"hsa-miR-181a-3p"	-0.485087429206488	9.80477201576832	1.39190829816806	0.238083097975061	0.364083999057248
"hsa-miR-181a-5p"	-0.320246995339894	14.1087251334409	0.585978342694517	0.443978495964756	0.579153051166624
"hsa-miR-181b-2-3p"	-2.00987429753532	2.36382230889791	2.78751533583852	0.0950014252804385	0.185162007117641
"hsa-miR-181b-3p"	-0.959718511414428	5.44898839045129	2.48157179368334	0.115187089235244	0.212029567962652
"hsa-miR-181b-5p"	-0.631191166215305	12.2011635736414	3.21183957948824	0.0731072455758338	0.153345315620137
"hsa-miR-181c-3p"	-0.915370715429285	6.75139730680553	4.61509921930251	0.0316916617342811	0.0795492721309984
"hsa-miR-181c-5p"	-0.604988742686017	8.42538367845797	1.72639183107757	0.188872350742827	0.30422519998363
"hsa-miR-181d-5p"	-0.896389578678375	6.36073269015538	4.41123531062322	0.0357029778759443	0.0882804975340513
"hsa-miR-182-5p"	5.20671209921218	9.00939386251092	25.6941083757496	4.00046492011569e-07	6.21322207905468e-06
"hsa-miR-183-3p"	5.12016757343819	1.95638637866909	8.96221856068428	0.00275619989508063	0.0100165588067737
"hsa-miR-183-5p"	5.84621421953049	7.25542978236022	21.6489158338714	3.27395006175876e-06	3.38990245977939e-05
"hsa-miR-184"	8.52513079731633	4.44057511705004	16.0151369580721	6.28380688458667e-05	0.000382454784141047
"hsa-miR-185-3p"	-0.662175033768378	3.43261286004302	2.06591910270508	0.150624092931743	0.253763302329072
"hsa-miR-185-5p"	-0.375332248811795	6.84496462941361	0.323349624145697	0.569601563067556	0.677253533120994
"hsa-miR-186-5p"	0.11515894832403	12.7286336362377	0.117176433607199	0.732117283752694	0.78203178490553
"hsa-miR-187-3p"	-2.07630925980354	2.40297822597712	3.9570490761332	0.0466754592111649	0.106411482697014
"hsa-miR-188-5p"	-0.56730044017209	4.84638335852671	1.73060900817288	0.188333140271531	0.30422519998363
"hsa-miR-18a-3p"	-0.858296576453559	5.53941493106128	4.75796607772651	0.0291629899991864	0.074940380322968
"hsa-miR-18a-5p"	-0.360180429676324	7.06704219563567	0.386458674178144	0.534166771520614	0.649383741690883
"hsa-miR-1908-3p"	-1.97934302726848	2.53593525412136	4.74200029584357	0.0294348280640678	0.0750210746043164
"hsa-miR-1908-5p"	-2.51057721629949	3.24500711922961	11.7033885442351	0.00062386385328313	0.0027198275007168
"hsa-miR-190a-5p"	1.35233055572352	3.23967830609193	4.67318499837663	0.0306370600796952	0.0776868309163701
"hsa-miR-191-3p"	0.335738537109299	4.47511048259102	0.492309343700253	0.482898963708835	0.610689020262827
"hsa-miR-191-5p"	-0.614018744986594	13.8816307016651	2.61098472871109	0.106125844358578	0.200549599415259
"hsa-miR-1910-5p"	-1.1464164341448	5.30417037122421	5.70781412394529	0.0168895571234456	0.0458694529527457
"hsa-miR-192-5p"	0.587021193904242	8.7098918215365	2.32110457093672	0.127629368056576	0.22615690874281
"hsa-miR-193a-3p"	-0.64800886357313	10.2943257740203	1.22745310404535	0.267902921051296	0.402259068768864
"hsa-miR-193a-5p"	-0.406831423785073	7.32031492116421	0.764597924105104	0.381893433356275	0.518582066606745
"hsa-miR-193b-3p"	0.388174289694302	8.60066277430136	0.890066596540219	0.345459261514836	0.491957744907947
"hsa-miR-193b-5p"	0.716456608599654	2.83803601370664	1.28249832768365	0.257435029852922	0.391269754852913
"hsa-miR-194-5p"	0.717910145418317	3.94742134426022	2.57036941379712	0.108882302687859	0.204205677116474
"hsa-miR-195-3p"	-2.62588317524878	4.69574106416853	28.7656294239497	8.1688014768388e-08	1.85465870237169e-06
"hsa-miR-195-5p"	-2.53751069143909	7.89474104282308	29.6769104668398	5.10391420806374e-08	1.26832268070384e-06
"hsa-miR-196a-5p"	7.47657899756255	2.83173100940268	16.0072257317789	6.31011917496295e-05	0.000382454784141047
"hsa-miR-196b-5p"	0.840812706589592	5.12496921440297	0.233046377997047	0.629274127805511	0.723497032987154
"hsa-miR-197-3p"	-0.58224761257885	9.40464796475776	2.33482873592004	0.126508903460284	0.22615690874281
"hsa-miR-199a-3p"	4.36148308035343	11.1066901561099	18.9949257946697	1.31066537439996e-05	0.000101781357980747
"hsa-miR-199a-5p"	5.50047626702927	9.20785521375306	43.1200281248295	5.14825400266735e-11	2.84298026591742e-09
"hsa-miR-199b-3p"	4.36201080363334	9.76407975103241	18.6717316807135	1.55267419119697e-05	0.000116921071670438
"hsa-miR-199b-5p"	5.58734518412211	8.89607821236907	17.8802075004347	2.35255103606542e-05	0.000160179643593275
"hsa-miR-19a-3p"	-0.359621578764748	8.08841883901352	0.615848383363526	0.43259424965003	0.571274154621811
"hsa-miR-19a-5p"	-0.866496356124383	3.03287315982501	0.849752832948042	0.356622269523895	0.500825057447032
"hsa-miR-19b-3p"	-0.332475955196845	9.23607960712713	0.800155881617973	0.371046767570938	0.512104561379349
"hsa-miR-200a-3p"	6.28740407771614	4.65685720368976	22.0310607593504	2.68273726439736e-06	3.03027368273974e-05
"hsa-miR-200a-5p"	5.2896227517651	2.12637025445523	8.55996093086152	0.00343636795731795	0.011273421329374
"hsa-miR-200b-3p"	7.12954776590473	8.21409851863929	29.9839608756653	4.35634811068819e-08	1.13952895316423e-06
"hsa-miR-200b-5p"	5.53668984651975	1.66309033575782	12.3841401961953	0.000432995976376437	0.00201381050222662
"hsa-miR-200c-3p"	8.72853440623978	6.9896396553788	21.8756726015855	2.90898501509493e-06	3.21281233889374e-05
"hsa-miR-200c-5p"	5.59169080361656	1.6866497190892	12.4823446529982	0.000410816245770793	0.00196322763603927
"hsa-miR-203a-3p"	4.74951324661639	4.55847925288001	6.26965545795055	0.0122823023856717	0.0346835470777207
"hsa-miR-204-5p"	0.804349595987065	9.60986260612545	1.06640479436815	0.301758931919193	0.441100556364232
"hsa-miR-205-3p"	7.18684447618864	2.59647841390971	15.0547590648987	0.000104436595241639	0.000596609055575797
"hsa-miR-205-5p"	11.237272737851	11.5444221334601	30.1341873402699	4.03161024886525e-08	1.11317238538113e-06
"hsa-miR-20a-3p"	0.33636556626349	3.40705954916323	0.237496647637663	0.626020043005503	0.723497032987154
"hsa-miR-20a-5p"	-0.798219809010424	9.36182805836312	1.89836641725255	0.168261282937087	0.277826769500772
"hsa-miR-21-3p"	-0.240271979614131	12.5988628475093	0.340509523951852	0.559535262606736	0.671712622018232
"hsa-miR-21-5p"	0.422854673414432	16.6343228290433	1.15404740583313	0.282703485871287	0.418165572851279
