"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	0	4.04478647072863	0	1	1
"hsa-let-7a-3p"	0	7.17595352527445	0	1	1
"hsa-let-7a-5p"	0	15.4701709658998	0	1	1
"hsa-let-7b-3p"	0	7.23025091521762	0	1	1
"hsa-let-7b-5p"	0	12.4458752993928	0	1	1
"hsa-let-7c-3p"	0	3.54896607843736	0	1	1
"hsa-let-7c-5p"	0	10.89761798415	0	1	1
"hsa-let-7d-3p"	0	7.7512479577892	0	1	1
"hsa-let-7d-5p"	0	10.4935882185443	0	1	1
"hsa-let-7e-3p"	0	5.05612672502724	0	1	1
"hsa-let-7e-5p"	0	12.0060404468038	0	1	1
"hsa-let-7f-1-3p"	0	5.37580126440595	0	1	1
"hsa-let-7f-2-3p"	0	5.35664337015241	0	1	1
"hsa-let-7f-5p"	0	14.7935243732703	0	1	1
"hsa-let-7g-3p"	0	3.62596905552696	0	1	1
"hsa-let-7g-5p"	0	12.4206864581399	0	1	1
"hsa-let-7i-3p"	0	5.85855897566561	0	1	1
"hsa-let-7i-5p"	0	14.1130990942373	0	1	1
"hsa-miR-100-3p"	0	8.03933216717144	0	1	1
"hsa-miR-100-5p"	0	17.1858201622267	0	1	1
"hsa-miR-101-3p"	0	11.059419126201	0	1	1
"hsa-miR-101-5p"	0	3.47180411944542	0	1	1
"hsa-miR-103a-3p"	0	12.4125389722867	0	1	1
"hsa-miR-106b-3p"	0	7.91679818529894	0	1	1
"hsa-miR-106b-5p"	0	8.39191195610705	0	1	1
"hsa-miR-107"	0	5.56100908686601	0	1	1
"hsa-miR-10a-3p"	0	4.8373692620027	0	1	1
"hsa-miR-10a-5p"	0	14.6402503158065	0	1	1
"hsa-miR-10b-3p"	0	2.55811451934862	0	1	1
"hsa-miR-10b-5p"	0	13.9167755292789	0	1	1
"hsa-miR-1180-3p"	0	5.45387531068705	0	1	1
"hsa-miR-1185-1-3p"	0	4.66716623014581	0	1	1
"hsa-miR-1185-5p"	0	3.33909285481588	0	1	1
"hsa-miR-1197"	0	3.66752872269711	0	1	1
"hsa-miR-1226-3p"	0	3.48160556310192	0	1	1
"hsa-miR-1249-3p"	0	4.19340456033881	0	1	1
"hsa-miR-1254"	0	2.81345684795627	0	1	1
"hsa-miR-1255a"	0	2.95927698451788	0	1	1
"hsa-miR-1257"	0	2.8460837068425	0	1	1
"hsa-miR-125a-3p"	0	5.97897023954736	0	1	1
"hsa-miR-125a-5p"	0	13.267591806739	0	1	1
"hsa-miR-125b-1-3p"	0	9.4938696037795	0	1	1
"hsa-miR-125b-2-3p"	0	8.44990359998058	0	1	1
"hsa-miR-125b-5p"	0	12.803757031729	0	1	1
"hsa-miR-126-3p"	0	14.3907619202037	0	1	1
"hsa-miR-126-5p"	0	16.0497806809854	0	1	1
