"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	-0.632752716631397	3.94885673159957	0.565133195976133	0.452199361981288	0.596189158822698
"hsa-let-7a-3p"	-1.21573673373479	7.01346150245976	3.76158490565527	0.0524428474378135	0.121077726112187
"hsa-let-7a-5p"	0.0876290321024765	15.4712495797223	0.0291852242698951	0.864352064491541	0.908799215746381
"hsa-let-7b-3p"	-0.176278693708965	7.18861321206025	0.163212798194416	0.68621563314062	0.774134364656114
"hsa-let-7b-5p"	-0.0655811786601158	12.4133750595145	0.0139065290906046	0.906126333573121	0.932175139877072
"hsa-let-7c-3p"	-6.4084023669364	3.30571322334831	18.4066124716676	1.78437685530316e-05	0.000168674114057903
"hsa-let-7c-5p"	-0.136472268483632	10.8486211016735	0.0385518121996711	0.844339238692731	0.894321265507523
"hsa-let-7d-3p"	-0.373664881541253	7.67734643049783	0.713771054157648	0.398194748729639	0.539177213820403
"hsa-let-7d-5p"	-0.257142053653209	10.4369086896235	0.366279101633239	0.545039495516681	0.677237903345414
"hsa-let-7e-3p"	-1.56121227010431	4.87037823192172	3.50655835703862	0.0611263129736595	0.133748706282718
"hsa-let-7e-5p"	-0.260205701144057	11.9433979100699	0.193675755629322	0.659874765154721	0.757758998909607
"hsa-let-7f-1-3p"	-1.00782476239363	5.23168125184787	4.52105470071464	0.0334801859286396	0.083037490842814
"hsa-let-7f-2-3p"	-0.286023704482395	5.30452959891138	0.0885199037003197	0.766067291936111	0.836164952636147
"hsa-let-7f-5p"	0.665596986596278	14.9240086430314	3.10472899629113	0.0780652224863429	0.159635414145542
"hsa-let-7g-3p"	0.314097079547807	3.67653033793118	0.262981727090983	0.608079028912559	0.720207076797145
"hsa-let-7g-5p"	-0.17846132582387	12.3729685919346	0.162431325976826	0.686927847902861	0.774134364656114
"hsa-let-7i-3p"	0.287693787746812	5.8972638570726	0.374218009099007	0.5407140212509	0.673874936932092
"hsa-let-7i-5p"	0.776628349450086	14.2692357721653	3.50633275939009	0.0611346382010826	0.133748706282718
"hsa-miR-100-3p"	-0.347079906069684	7.9723653398312	0.474567756764625	0.490893258129431	0.626267969514192
"hsa-miR-100-5p"	0.453308004661955	17.2623837256089	0.383434371906333	0.535770925598107	0.66937963522357
"hsa-miR-101-3p"	-0.291848958106164	10.9927347725897	0.476010287006948	0.490235072227988	0.626267969514192
"hsa-miR-101-5p"	-1.45260479687927	3.30379620431001	3.0501593663853	0.0807292209051224	0.163086047070429
