"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	-4.7547826984019	2.24581722142487	19.0531934239261	1.27124862010003e-05	2.34071174494609e-05
"hsa-let-7a-3p"	-0.0489697662316779	5.19618558524173	0.00635809665197851	0.936445895330639	0.944588903116123
"hsa-let-7a-5p"	0.161728495511373	15.9897474307858	0.123537070220664	0.725229469538637	0.770037697633702
"hsa-let-7b-3p"	-2.17143643032957	5.88959030984198	30.0954106944204	4.11303418250309e-08	9.30950175942162e-08
"hsa-let-7b-5p"	-1.53464208909527	11.9501349957846	15.0925274880093	0.000102367706444859	0.000172309192366638
"hsa-let-7c-5p"	-5.71757047703808	7.7800310435749	118.09431173972	1.65336547691617e-27	3.06864632515641e-26
"hsa-let-7d-3p"	1.25228462032722	7.34158286178321	11.1343439478811	0.000847438975580817	0.001310705615565
"hsa-let-7d-5p"	1.22708259420078	10.5768788060221	5.53499214426596	0.0186398491015336	0.024996791858704
"hsa-let-7e-3p"	-6.35701954938919	2.65013563265573	32.7686644182638	1.03804782481831e-08	2.53502205639839e-08
"hsa-let-7e-5p"	-3.82857041170517	10.2848335599221	7.37711351508372	0.00660591103264918	0.0092046327902379
"hsa-let-7f-1-3p"	0.0523558972011591	3.44685101002073	0.0137459562955975	0.906667373682166	0.922573818834485
"hsa-let-7f-2-3p"	1.14131692402222	3.40981313601845	1.32443458563131	0.249797729338956	0.29122147340019
"hsa-let-7f-5p"	1.37644321748666	15.2612902561975	8.64382806616732	0.0032817116383785	0.00480351482715338
"hsa-let-7g-3p"	4.07831567011749	4.44281206516936	30.8897568204736	2.73109465250639e-08	6.43262902925363e-08
"hsa-let-7g-5p"	3.02130858103631	14.2526057575407	51.4723633600502	7.26121113492685e-13	2.5916938204662e-12
"hsa-let-7i-3p"	3.63428751817468	7.79459689810007	67.5820159454362	2.02102642381244e-16	9.87111853314708e-16
"hsa-let-7i-5p"	0.25260840263252	13.7690728284446	0.314460791058423	0.574955678982959	0.623316437028255
"hsa-miR-100-3p"	-10.6494996741834	7.28235953046616	113.917936776029	1.35814533787104e-26	2.25064084561487e-25
"hsa-miR-100-5p"	-12.0634983676352	16.4165479213627	145.976507560972	1.3136417026595e-33	3.80956093771255e-32
"hsa-miR-101-3p"	3.93492040033788	13.1945370296604	28.0114935669661	1.20597042579622e-07	2.66462036937831e-07
"hsa-miR-101-5p"	4.06494959240696	4.14710859326961	24.5578048660259	7.21136551521267e-07	1.48714382180386e-06
"hsa-miR-103a-3p"	1.25731531079683	12.009214576372	6.86888180459054	0.00877095154945667	0.0121141502488816
"hsa-miR-106a-5p"	7.15976616962605	4.17860145325406	82.8692721165968	8.76633785168735e-20	5.89504458432309e-19
"hsa-miR-106b-3p"	3.67066381338755	9.26579331779292	34.3592357760235	4.58220745078596e-09	1.13697553859074e-08
"hsa-miR-106b-5p"	2.56180516796796	7.95358443316941	12.5374305279869	0.000398880426759344	0.000638208682814951
"hsa-miR-107"	-4.33150400498449	6.50180337229746	78.0713438462345	9.93853406327422e-19	6.067736585999e-18
"hsa-miR-10a-3p"	-4.67226912365385	2.9814708645067	14.4333994229178	0.000145204093717086	0.000239767613824654
"hsa-miR-10a-5p"	-3.33662705105452	14.1199921306616	24.5628259992135	7.19259871511778e-07	1.48714382180386e-06
