"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	-6.33273797872123	2.65650606672614	28.6804227297208	8.53623440318787e-08	1.91259968939351e-07
"hsa-let-7a-3p"	-0.927440576484167	5.47564960344931	3.69063268582827	0.0547188563724172	0.0696821897503972
"hsa-let-7a-5p"	-2.11841502376239	15.8622390933075	30.3094765186937	3.6832199876403e-08	8.70238097101466e-08
"hsa-let-7b-3p"	-3.08260556363719	6.54712674412118	40.9375875444672	1.57169057864395e-10	4.58007990709127e-10
"hsa-let-7b-5p"	-2.72973027823222	12.496334146569	47.9189563152468	4.44205990664109e-12	1.46526281642675e-11
"hsa-let-7c-5p"	-6.07020128718338	8.62318525675458	130.669468454953	2.92466512856019e-30	4.08592922372379e-29
"hsa-let-7d-3p"	-0.5474414080124	6.94108242839858	2.05063171432539	0.152143050455627	0.178881061798076
"hsa-let-7d-5p"	-0.534998120867569	10.1832528662886	2.37777805698242	0.123072485975328	0.14725297440373
"hsa-let-7e-3p"	-5.46495137478396	3.17299249237408	36.0249320155827	1.94808900425468e-09	5.37989695942426e-09
"hsa-let-7e-5p"	-5.84854091899676	11.0651890893671	185.364115629955	3.268201400525e-42	7.39236031071131e-41
"hsa-let-7f-1-3p"	-0.927267410345562	3.65837924222198	3.24070677551522	0.0718296453711678	0.0902621205060971
"hsa-let-7f-2-3p"	0.547363773055704	3.53833185120923	0.239208336134549	0.62477848164552	0.649386824467444
"hsa-let-7f-5p"	0.165522911277911	15.0741032334148	0.227000468010829	0.633756911048851	0.657280639188219
"hsa-let-7g-3p"	3.70909062954089	4.60773567378349	29.6085169826895	5.28721104717778e-08	1.213248911792e-07
"hsa-let-7g-5p"	2.76572783391522	14.5464287478494	44.8526853806432	2.12429341270041e-11	6.59502856884115e-11
"hsa-let-7i-3p"	1.61512199226591	6.62110601527097	15.1368816929251	9.99906536514953e-05	0.000161001899947323
"hsa-let-7i-5p"	-1.32455933190391	13.7953688073892	14.1337756113181	0.000170259127615583	0.000267791674229808
"hsa-miR-100-3p"	-10.7680287980974	8.21241417084826	131.854701350477	1.60980823189895e-30	2.389559094225e-29
"hsa-miR-100-5p"	-11.6060433039704	17.3201551888918	101.898666127305	5.84358562052642e-24	4.47694059637104e-23
"hsa-miR-101-3p"	3.75185631896321	13.5357575010713	55.9667712720872	7.37062889493798e-14	2.75673127960279e-13
"hsa-miR-101-5p"	4.49154094257175	5.05023455052594	56.6271584749462	5.26792269885327e-14	1.98592323964707e-13
"hsa-miR-103a-3p"	0.396949600489328	12.0487451459332	1.40434818252319	0.235996897735471	0.269467611596993
"hsa-miR-106a-5p"	5.3126808766412	2.94020556075606	17.7515876841421	2.51707343539906e-05	4.35946899087759e-05
"hsa-miR-106b-3p"	1.63927955621803	8.07034244621311	13.5254238222796	0.000235353232916159	0.000367739426431498
"hsa-miR-106b-5p"	1.86348514226376	7.95163950023496	17.7407699442159	2.53142704079359e-05	4.35946899087759e-05
"hsa-miR-107"	-4.33509605295536	7.34039539389393	70.0214871838705	5.86619637815664e-17	2.70528473749942e-16
"hsa-miR-10a-3p"	-5.09687183126915	3.48400740808527	20.1620207700276	7.11516893802967e-06	1.32537460610357e-05
"hsa-miR-10a-5p"	-5.25463957398283	14.7863515165124	41.6797923989939	1.07514504886103e-10	3.17201179011794e-10
"hsa-miR-10b-5p"	-2.53001200436394	7.33681137876443	6.94612718142726	0.00840008903599025	0.01159896015144
"hsa-miR-1180-3p"	-4.36233078186117	3.46095563483571	33.4788622300368	7.2042708634055e-09	1.91174785481431e-08
"hsa-miR-1185-1-3p"	-7.39299178404413	3.50308729447891	47.7380834654557	4.87136220615347e-12	1.59579106753303e-11
"hsa-miR-1185-5p"	-8.53995159473659	4.54406869290115	83.430293362331	6.60027691247717e-20	3.56264946980302e-19
"hsa-miR-1248"	6.05388665685127	2.61890894851755	17.2305631795372	3.31067205393345e-05	5.57648661566804e-05
"hsa-miR-1249-3p"	-0.534161010699238	3.92506971248337	0.68433227627812	0.4080989002644	0.440561312785432
"hsa-miR-125a-3p"	-4.1470790952905	4.59567469198774	50.87004084669	9.86884690462664e-13	3.42168049612968e-12
"hsa-miR-125a-5p"	-1.08783926367656	12.8415952084628	10.1291292467168	0.00145944336770695	0.00211352316969756
"hsa-miR-125b-1-3p"	-12.4045012824832	10.5649160157734	290.398749547145	4.07073284019989e-65	3.22266349849158e-63
"hsa-miR-125b-2-3p"	-5.93697018852423	6.50155860957375	101.498046250094	7.15339604845553e-24	5.34102518655374e-23
"hsa-miR-125b-5p"	-8.66206935823617	13.7982997037327	142.793751965479	6.5211813658891e-33	1.10627183885619e-31
"hsa-miR-126-3p"	-0.0603547381917791	4.25435029698117	0.00809865995555814	0.928293131072256	0.932218260590531
"hsa-miR-126-5p"	1.0936043994163	5.62246422235709	2.45201177622133	0.117374350097906	0.141504609889608
"hsa-miR-1260a"	1.78343968006565	4.64069423329837	13.3985356752823	0.000251820811926844	0.000390898319167486
"hsa-miR-1260b"	0.231535977140608	3.34345272288621	0.13726031886625	0.711019960948851	0.727876037609276
"hsa-miR-127-3p"	-11.8359012154886	13.9625974398008	318.049260467226	3.85317332794909e-71	5.33836942762443e-69
"hsa-miR-127-5p"	-10.1254094606743	6.07772523797702	117.824507754915	1.89428204933816e-27	1.9560521161644e-26
"hsa-miR-1271-5p"	-0.180967333518181	7.32458700454128	0.197879090886024	0.656438256691904	0.676373474899467
"hsa-miR-1273h-3p"	7.74091815204354	3.91955155293067	53.1789868934862	3.04498742589897e-13	1.10409849412367e-12
"hsa-miR-128-1-5p"	-1.35260288740521	3.99592581615773	3.30626464568403	0.0690162028165068	0.0869567542117791
"hsa-miR-128-3p"	-0.0317471781417865	9.44984030073576	0.00763634968882343	0.930364530313309	0.932327324681059
"hsa-miR-1285-3p"	0.308824941694983	3.47518371410511	0.104754247535183	0.746197268181046	0.760608803403426
"hsa-miR-1287-5p"	0.344992855533493	3.13219887830563	0.213530369751963	0.644014296859227	0.665014763061158
"hsa-miR-1296-5p"	-4.61661723093434	4.30149039075409	40.3720064161323	2.09927499314549e-10	6.04336740450976e-10
"hsa-miR-1301-3p"	-0.907026457469976	5.19787036896954	4.86528652559438	0.0274022479559779	0.0360555894157603
"hsa-miR-1304-3p"	-4.0842903753392	6.48271901956861	29.4666233316221	5.68879961575088e-08	1.2991249122508e-07
"hsa-miR-1306-5p"	0.5410298267989	2.9309630163696	0.510626034425119	0.474867976094078	0.504613621129054
"hsa-miR-1307-3p"	-0.238701521850102	7.29032046944311	0.354558585388759	0.551543899823547	0.579609186761471
"hsa-miR-1307-5p"	-0.739774478709444	9.32016459045755	2.90185696589267	0.0884775721360277	0.10973067040369
"hsa-miR-130a-3p"	-7.66940008235191	10.3666676902645	239.525912443625	4.98974314366656e-54	1.97510666103468e-52
"hsa-miR-130b-3p"	-3.10946053301313	8.77954296123795	60.3104979449303	8.10141722492813e-15	3.26116371342446e-14
"hsa-miR-130b-5p"	-3.62558000685208	7.15629962791973	52.8318829520123	3.63354846047034e-13	1.29769587873941e-12
"hsa-miR-132-3p"	-0.605486594311564	6.08133513745659	2.31865465540092	0.127830542617308	0.152179217401557
"hsa-miR-132-5p"	-1.19004483539344	4.29248501538535	3.99630340106981	0.0456001707446627	0.0585407597397697
"hsa-miR-134-5p"	-9.2775321136866	6.72868915704803	138.01599772697	7.22920594379471e-32	1.14462427443416e-30
"hsa-miR-1343-3p"	-3.33153205730857	2.55530692058576	11.460229696094	0.000711015110608383	0.00106817998218429
"hsa-miR-136-3p"	-9.83239312270671	8.47983050551696	206.472855047373	8.08014691692372e-47	2.25768810914045e-45
"hsa-miR-136-5p"	-12.3115507836583	8.24684657724734	219.657454460048	1.07424110559814e-49	3.40176350106076e-48
"hsa-miR-137"	-8.25336875095203	4.27187033128132	52.6843177173089	3.91706341039316e-13	1.38851128353489e-12
"hsa-miR-138-1-3p"	-6.90054169632412	3.09470841907581	31.4936438524488	2.0009417547843e-08	4.92459758301834e-08
"hsa-miR-138-5p"	-9.6720436292946	8.11808705847339	198.453566725436	4.54260159069764e-45	1.13565039767441e-43
"hsa-miR-140-3p"	1.72927941393353	12.0051901019821	20.8874366750628	4.87078751206375e-06	9.25449627292113e-06
"hsa-miR-140-5p"	2.57215370075346	6.19497270326881	19.7538606752767	8.80835829164112e-06	1.61543250522376e-05
"hsa-miR-141-3p"	8.08939139698024	7.85413249846202	113.564932134199	1.6227917942259e-26	1.51142372991628e-25
"hsa-miR-142-3p"	12.7841210911382	11.8651662745624	268.114977454794	2.92244897862985e-60	1.5424036276102e-58
"hsa-miR-142-5p"	15.6304023330377	15.2530717437336	457.765634668382	1.47275429264994e-101	6.9955828900872e-99
"hsa-miR-143-3p"	-11.2197053706025	14.9133212526014	171.404585935055	3.65088468390329e-39	7.22570927022527e-38
"hsa-miR-143-5p"	-9.50622287935191	5.47168322403587	104.208517619366	1.82106044804645e-24	1.44167285470344e-23
"hsa-miR-145-3p"	-11.0663099743816	7.00778230305812	124.735334938138	5.81563208451846e-29	7.08314164140069e-28
"hsa-miR-145-5p"	-11.977034327183	7.91317866831151	123.977495654997	8.52044893454906e-29	9.87125181441659e-28
"hsa-miR-1468-5p"	1.73216049568094	4.58301386787245	13.0780804046365	0.000298771477894495	0.000459276543688949
"hsa-miR-146a-3p"	3.53007515902745	2.54188097020192	8.47845854344973	0.00359376486607856	0.00506539558275168
"hsa-miR-146a-5p"	3.35215993167104	10.7801515078655	19.4092589249323	1.05494367752948e-05	1.90531652785743e-05
"hsa-miR-146b-3p"	4.96062751072833	8.1926898891701	70.6736708841464	4.21480117038271e-17	2.00203055593179e-16
"hsa-miR-146b-5p"	3.57982283756561	13.1226303141413	16.069163399694	6.10704383089607e-05	9.96854233565509e-05
"hsa-miR-148a-3p"	0.408058161756474	11.6659665008968	0.663546979938474	0.415310511789848	0.447329916326934
"hsa-miR-148a-5p"	-0.682889368584727	5.01477259021333	1.27336774453175	0.259135842828284	0.291681339676386
"hsa-miR-148b-3p"	-0.938278703036608	10.2340910354065	7.97937706774338	0.00473132195475815	0.00660993508385329
"hsa-miR-148b-5p"	-1.27760726031985	6.54206087710693	9.61643747578746	0.00192843457270175	0.00276739100312185
"hsa-miR-149-5p"	-5.70254279370132	5.98263866794195	88.900275068218	4.15225658641376e-21	2.43496528215622e-20
"hsa-miR-150-3p"	10.8719410743879	6.83703983302675	144.17945296381	3.24605824054874e-33	5.93029870869481e-32
"hsa-miR-150-5p"	18.4068191057967	16.6714377319109	317.741875516426	4.49546899168373e-71	5.33836942762443e-69
"hsa-miR-151a-3p"	-4.55314072998893	11.4791148813475	61.5624614700729	4.28918456735126e-15	1.7413356149503e-14
"hsa-miR-151a-5p"	-4.65555611414378	11.8782198162685	83.5968293231963	6.06702959269052e-20	3.31245868566436e-19
"hsa-miR-151b"	-1.04243229428218	3.20479612168777	2.31965646135108	0.127748236803626	0.152179217401557
"hsa-miR-152-3p"	-1.95201345563282	7.81735851216889	17.2005105431369	3.36345949728519e-05	5.64538254844688e-05
"hsa-miR-152-5p"	-7.51866462472053	6.18881124148366	115.695784729159	5.54095904014997e-27	5.26391108814247e-26
"hsa-miR-153-3p"	4.24915657441502	3.03014962710838	19.4482444671194	1.03362800657073e-05	1.87394390504235e-05
"hsa-miR-154-5p"	-7.93872516736156	3.98521398784864	57.5718545706122	3.2585513751987e-14	1.23824952257551e-13
"hsa-miR-155-5p"	1.47821645544107	9.68686309133143	11.5448850081516	0.000679359020283341	0.00102443026868123
"hsa-miR-15a-5p"	2.79805039051644	10.2500543923746	31.1307529388613	2.41219310183011e-08	5.84587613963929e-08
"hsa-miR-15b-3p"	0.514855781873628	5.28373544723414	1.27353873147177	0.25910386458159	0.291681339676386
"hsa-miR-15b-5p"	0.495827897249082	8.33802448133832	1.70326551640082	0.191861471929	0.222278534551891
"hsa-miR-16-2-3p"	0.763660589284353	7.35252966008831	3.76286335089735	0.0524027687689859	0.0670924937069227
"hsa-miR-16-5p"	2.52879437003482	12.4435387958183	26.8876038762163	2.15637538335579e-07	4.63474347101357e-07
"hsa-miR-17-3p"	-0.554232709833097	7.87966465873113	1.11577287009678	0.290830488472992	0.323523377106959
"hsa-miR-17-5p"	1.33108269143031	7.63865868364984	9.83998263464258	0.00170759109602595	0.0024578962745828
"hsa-miR-181a-2-3p"	-0.877705678181953	8.85498513123692	5.05863904853737	0.0245034728748326	0.0325115911048756
"hsa-miR-181a-3p"	-2.79052110358455	9.45200915298333	44.9631233536796	2.00780109609516e-11	6.27437842529737e-11
"hsa-miR-181a-5p"	0.375687073104677	13.9098364169936	1.22034399081286	0.269293154249794	0.301684547803425
"hsa-miR-181b-3p"	-3.36963973455296	3.52454115199449	26.4338827397349	2.72714485988573e-07	5.78300807341841e-07
"hsa-miR-181b-5p"	-1.51338387309275	10.7842250672345	18.9726281378229	1.32607193497281e-05	2.37692139287578e-05
"hsa-miR-181c-3p"	0.914550203052516	6.51139451631595	3.70930632734299	0.0541098741474464	0.069091909193648
"hsa-miR-181c-5p"	3.74554717377086	10.5432937447612	59.0449192913652	1.54113363988367e-14	6.15158385667851e-14
"hsa-miR-181d-5p"	2.20179628112186	6.08818137541156	17.7777064592888	2.48275369885151e-05	4.31980954928376e-05
"hsa-miR-182-5p"	-0.730470686946284	4.55037421234423	2.27025212699158	0.131878446093993	0.156605654736616
"hsa-miR-185-3p"	-1.64571392619141	3.66328861619316	8.3048347108122	0.00395396807180861	0.005556611935234
"hsa-miR-185-5p"	0.437508155644992	6.35169563607401	1.17626491717752	0.27811769797511	0.310107761826708
"hsa-miR-186-5p"	2.08396906537156	13.3513526203414	35.0448982310986	3.22190006404178e-09	8.74515731668484e-09
"hsa-miR-188-3p"	-5.71280952326957	2.24456454520203	14.1999752813535	0.000164372672224611	0.0002593920907199
"hsa-miR-188-5p"	-2.85246973126219	3.47619657523015	16.6969499866935	4.38514427467215e-05	7.18256389816991e-05
"hsa-miR-18a-3p"	-0.397524699377494	3.8500290996406	0.244484142469244	0.620986025006041	0.646860442714627
"hsa-miR-18a-5p"	0.398077636722606	4.51046315178654	0.589549660905058	0.442593314900499	0.473118382158021
"hsa-miR-190a-5p"	-5.26496631329443	6.32249505153085	97.1886930013554	6.30255417653955e-23	4.04555842413011e-22
"hsa-miR-191-3p"	-0.628742081114383	3.23132246209258	0.815536150804813	0.366488531493912	0.400546624983399
"hsa-miR-191-5p"	-0.63678991168824	13.6038897391124	3.49278702990716	0.0616367350325841	0.0780731977079398
"hsa-miR-1910-5p"	-6.65711537870952	2.90163535349156	31.0471422923727	2.51836832817448e-08	6.04154018122665e-08
"hsa-miR-192-5p"	3.44601029554222	11.9349562413436	66.5910400089172	3.3410129612699e-16	1.46942699685482e-15
"hsa-miR-193a-3p"	-5.27731331786137	6.91141209356721	69.2802088453629	8.54224787228667e-17	3.86435022793921e-16
"hsa-miR-193a-5p"	-6.52889999460328	7.87868618668701	109.703069372703	1.13825461520199e-25	1.02013385324707e-24
"hsa-miR-193b-3p"	-4.3619451660476	7.90480852903449	45.6739230059708	1.39669816928946e-11	4.48264615143577e-11
"hsa-miR-193b-5p"	-6.72192129141117	2.95042319949631	35.4711541606577	2.58855757910871e-09	7.10731127211928e-09
"hsa-miR-194-5p"	4.47404901980531	6.392518367588	69.7040910617474	6.89030443752303e-17	3.14701404598408e-16
"hsa-miR-195-5p"	-1.86418180263694	5.2199429137407	17.1727491887707	3.41297372670809e-05	5.70046388365203e-05
"hsa-miR-196a-5p"	4.07947195564587	4.11025609433833	31.9935924930933	1.54681945145884e-08	3.88750920340186e-08
"hsa-miR-197-3p"	1.54015294907752	9.75676747544292	19.7865857519215	8.65882396476912e-06	1.59416332684703e-05
"hsa-miR-1976"	6.88887348778309	3.21598357227762	29.7984751222769	4.79368878455825e-08	1.10534086051707e-07
"hsa-miR-199a-3p"	-7.94634412189387	12.9711065391726	256.715550649113	8.92205451739969e-58	4.23797589576485e-56
"hsa-miR-199a-5p"	-8.74424660520359	10.8549637603432	283.260725426897	1.46231854722015e-63	9.9228758561367e-62
"hsa-miR-199b-3p"	-8.07478989093813	11.8537068177784	243.483028849805	6.84340211137188e-55	2.95510545718331e-53
"hsa-miR-199b-5p"	-5.47293334534602	10.0134679392177	58.7445275814488	1.79532188534247e-14	7.04775120279069e-14
"hsa-miR-19a-3p"	1.71635528993861	7.72904593113191	20.3702232725767	6.38150855126583e-06	1.20286371502034e-05
"hsa-miR-19a-5p"	-0.721754832975889	2.77079812947091	0.710432249531802	0.39930035287202	0.43204480094353
"hsa-miR-19b-3p"	2.73504909761104	9.84301043837879	52.3958353336831	4.53685048530267e-13	1.59629924482872e-12
"hsa-miR-200b-3p"	4.29446730874162	3.74836564656865	30.8636017789809	2.76815144033193e-08	6.60739665405862e-08
"hsa-miR-200c-3p"	4.64792504061463	4.00790654871102	38.1600382591576	6.5173589385693e-10	1.84270565227406e-09
"hsa-miR-204-5p"	-9.51553284876324	8.16820822223773	141.591706650937	1.19442212702237e-32	1.95638107012285e-31
"hsa-miR-20a-3p"	2.65306820315861	2.65025030421458	6.36321263709263	0.0116510397451791	0.0158574323179372
"hsa-miR-20a-5p"	2.17463337905449	8.44485115183835	32.359920248966	1.28101559073824e-08	3.28909408432791e-08
"hsa-miR-20b-5p"	6.47601358718554	2.91011384241745	26.159157964458	3.14402454538908e-07	6.63738515137695e-07
"hsa-miR-21-3p"	-3.15045685564707	11.7886960347832	54.9347756172591	1.24596794770607e-13	4.58786647411148e-13
"hsa-miR-21-5p"	-1.59408772467295	15.4307654172795	11.9072864657347	0.000559147928405545	0.000848547175695316
"hsa-miR-210-3p"	-3.41595348065263	7.29621289515749	46.4425827755561	9.43428014220093e-12	3.04849188268398e-11
"hsa-miR-210-5p"	-4.3494205040501	3.95175807206335	33.1583145697513	8.49523363643109e-09	2.24179776516932e-08
"hsa-miR-2110"	1.09014617169073	3.31067669629187	3.16569930344246	0.0752002238561772	0.0942483016667129
"hsa-miR-2110-3p"	2.13192618771463	4.58017659122583	18.0729196654536	2.12603814695142e-05	3.74025229556268e-05
"hsa-miR-212-3p"	-0.647095985633292	3.53460172908382	1.39308708073401	0.237884456687302	0.270971503420788
"hsa-miR-212-5p"	-1.23187367129934	3.78621488446498	5.01328184903061	0.0251535791072549	0.0331887502109613
"hsa-miR-214-3p"	-12.0317372407974	7.96813389360295	203.632235929546	3.36690937534161e-46	8.88489974048481e-45
"hsa-miR-214-5p"	-10.6159734501115	6.56242914186757	143.78909153118	3.95096356988802e-33	6.95076924332152e-32
"hsa-miR-215-5p"	0.866532476995115	4.41624133296321	1.7573906968433	0.184950309975461	0.215322052054765
"hsa-miR-218-1-3p"	-9.29304198002178	5.26710413111999	83.8636138907502	5.30112829400213e-20	2.92794876703606e-19
"hsa-miR-218-5p"	-8.45001250665272	5.92141629252049	96.2748892834828	9.99902205132528e-23	6.27717126580427e-22
"hsa-miR-22-3p"	-1.72098178348712	15.4773944316065	12.3925645406805	0.000431046835403337	0.000658351275937573
"hsa-miR-22-5p"	-1.6423264188553	6.97610930130234	13.2844409279834	0.000267617822577444	0.000414066663597022
"hsa-miR-221-3p"	-2.91545580848451	12.8943857588955	51.2380992977121	8.18152251041115e-13	2.8575170532686e-12
"hsa-miR-221-5p"	-3.8880062162753	9.7519970472537	73.6773909827217	9.19864811657761e-18	4.55141443268163e-17
"hsa-miR-222-3p"	-4.67813361954991	13.1239633137584	115.780250682988	5.3099146869015e-27	5.1473662781188e-26
"hsa-miR-222-5p"	-4.1309172815705	5.62355769533669	30.7133398918713	2.99101673624256e-08	7.10366474857609e-08
"hsa-miR-223-3p"	2.74117028117603	5.08458047572417	14.3139718974294	0.000154712301888719	0.000244961144657139
"hsa-miR-224-3p"	-6.49848751188166	2.77929925712654	17.0706904559825	3.60138436927796e-05	5.96047935681893e-05
"hsa-miR-224-5p"	-11.2354599126028	8.67956640203058	125.871754326768	3.28010271895021e-29	4.23021209023189e-28
"hsa-miR-2277-5p"	-0.134216977649957	3.83396932780756	0.0772128153119864	0.781110664207836	0.79449157494373
"hsa-miR-2355-5p"	-1.85969129418707	4.32286472189173	11.0633239298949	0.000880521488014765	0.00130702408377192
"hsa-miR-23a-3p"	0.217109016544236	11.0778447549606	0.412817221833409	0.520543047238131	0.549462105418027
"hsa-miR-23a-5p"	-1.53978083992926	5.50198747851585	12.6905065761932	0.000367516692004199	0.000563130415167724
"hsa-miR-23b-3p"	-2.89640934633437	9.8153485053443	64.3740762947259	1.02903219171033e-15	4.36419902734294e-15
"hsa-miR-23b-5p"	-6.22482083786846	2.57686899482654	24.9546454702786	5.86949326053484e-07	1.21747130949958e-06
"hsa-miR-24-2-5p"	-1.75179021743096	6.88595129642332	20.139746240694	7.19851120006634e-06	1.33566125782481e-05
"hsa-miR-24-3p"	-0.602218252748315	9.79008068658365	2.97200410664524	0.084716843463516	0.105341624725576
"hsa-miR-2467-5p"	-1.64840321986847	2.88064267359745	4.30357154924934	0.0380324224868425	0.0492245250170305
"hsa-miR-25-3p"	1.89272756801518	11.4842902147776	25.7330873925438	3.92047594618597e-07	8.20363909444201e-07
"hsa-miR-25-5p"	-0.518451228020713	4.87887524314057	0.885496040077362	0.346700763866632	0.381210330640393
"hsa-miR-2682-3p"	-6.31717813447074	2.64134921630018	27.1560491874746	1.87677041841412e-07	4.08929334287479e-07
"hsa-miR-2682-5p"	-8.09483995711199	4.13107107890952	66.086833683905	4.31488499416414e-16	1.88033979103483e-15
"hsa-miR-26a-2-3p"	-0.495347770953723	4.79432656155567	1.4789181916442	0.223943857982011	0.256321283232422
"hsa-miR-26a-5p"	1.75463419681963	15.2989729263794	24.384740008817	7.88911411063713e-07	1.594608171299e-06
"hsa-miR-26b-3p"	4.47143196075171	6.58327388522762	41.3702470986875	1.25960024647699e-10	3.69327232763314e-10
"hsa-miR-26b-5p"	3.69616999217491	12.6926604627037	70.5729749878471	4.43551789252826e-17	2.08601089005042e-16
"hsa-miR-27a-3p"	1.08075568991029	12.3173400223481	6.67119256945822	0.0097983602653979	0.0134127409973026
"hsa-miR-27a-5p"	-0.728434173744378	6.45741538099668	2.55915344510334	0.109657288535308	0.133566440281697
"hsa-miR-27b-3p"	-2.68412377359255	13.6250673230938	32.2575105968459	1.35034112354647e-08	3.41176613662008e-08
"hsa-miR-27b-5p"	-4.58164404159851	6.49049625686841	52.9925798281155	3.34810785111622e-13	1.20481153733349e-12
"hsa-miR-28-3p"	0.544380464989742	12.6393698046476	2.51511254164942	0.112759583017677	0.136634698809685
"hsa-miR-28-5p"	2.54175763585776	9.58628849256953	31.8308799889657	1.68197253132589e-08	4.18291598104607e-08
"hsa-miR-296-3p"	-4.0937222217819	3.92865991204298	24.5504616709276	7.23889960981615e-07	1.47574133676509e-06
"hsa-miR-296-5p"	-1.37941580123835	4.31261188967463	5.57095482212192	0.0182608004594823	0.0245718986352807
"hsa-miR-299-3p"	-8.46002879162786	4.46704871512145	64.5998635826599	9.17617134181204e-16	3.92673998861326e-15
"hsa-miR-299-5p"	-8.77116429881857	4.76388666412529	93.9902779909107	3.17077422630722e-22	1.93092020191786e-21
"hsa-miR-29a-3p"	0.447350113429792	14.3350045741386	1.68445182855965	0.194333957937321	0.224595206861868
"hsa-miR-29a-5p"	-0.101762896064228	5.88964808933752	0.0503354578303368	0.822480576971979	0.833002716549446
"hsa-miR-29b-1-5p"	-1.24917816594664	4.17112251953774	4.79511744453692	0.028540510737482	0.0372437983524834
"hsa-miR-29b-3p"	0.323410096553879	10.3641585134982	0.750917098876641	0.386186027099285	0.419767420760093
"hsa-miR-29c-3p"	4.5397309537587	11.6772502985795	125.809771658359	3.38416967218551e-29	4.23021209023189e-28
"hsa-miR-29c-5p"	3.67490129219787	5.70863122033643	49.8923817610429	1.62414036650276e-12	5.55011995747345e-12
"hsa-miR-301a-3p"	0.0837892394226081	6.21477568463684	0.0177880602909299	0.893899277533286	0.899580840737947
"hsa-miR-301a-5p"	-3.48834299943287	2.50633933425449	11.4553891553772	0.000712869588110359	0.00106817998218429
"hsa-miR-301b-3p"	-2.95392186877729	4.11634044237441	17.7395274363088	2.53308092943624e-05	4.35946899087759e-05
"hsa-miR-302a-5p"	-6.56744172612677	2.84280774835095	21.2334496410535	4.06606134255718e-06	7.78781910368815e-06
"hsa-miR-30a-3p"	-8.53219816005545	6.83689556369697	124.325004439502	7.15160486517769e-29	8.49253077739851e-28
"hsa-miR-30a-5p"	-11.2610650485482	12.4296140807185	344.995733788968	5.21088658681452e-77	1.23758556436845e-74
"hsa-miR-30b-5p"	3.52561210741482	10.7387464439482	72.840706138807	1.40547898454685e-17	6.88250018205932e-17
"hsa-miR-30c-1-3p"	-0.634615978366762	3.68664801015437	1.213769769472	0.270586811774468	0.30242055433617
"hsa-miR-30c-2-3p"	-8.92436555083339	4.90972674267024	99.489279357058	1.97228092181199e-23	1.33833348265814e-22
"hsa-miR-30c-5p"	0.393136997051611	11.3007907966234	1.35774081487245	0.243929402107793	0.277192502395219
"hsa-miR-30d-3p"	1.20135410085323	5.14088797841438	5.65007925174008	0.0174545832982487	0.0235537700757618
"hsa-miR-30d-5p"	1.63611272275953	12.2708126127388	22.0003000465749	2.72607845557137e-06	5.28525414855674e-06
"hsa-miR-30e-3p"	3.17600809780012	7.54761268016493	49.3276806385662	2.16584689120407e-12	7.29629271859526e-12
"hsa-miR-30e-5p"	2.02238316866918	12.623340890163	26.8948679327679	2.14828579400724e-07	4.63474347101357e-07
"hsa-miR-31-3p"	-2.81103394407246	6.60201299920561	34.8650138377496	3.5337402074233e-09	9.48320112161619e-09
"hsa-miR-31-5p"	-4.27780746575669	12.9742478350761	95.3651757964626	1.58314233667956e-22	9.76613779120509e-22
"hsa-miR-3117-3p"	-6.84386146360603	3.03424125447536	17.2988349527771	3.19382609015033e-05	5.41809783150503e-05
"hsa-miR-3129-3p"	-5.98010167128549	2.40290549648767	20.3030880905572	6.60938232259502e-06	1.24089193803661e-05
"hsa-miR-3152-5p"	-6.97800156034673	3.15263699500613	37.9657878740438	7.19961027837088e-10	2.02355910190897e-09
"hsa-miR-3158-3p"	-1.04558775165883	3.38091852502666	1.53284328813525	0.215686218979949	0.24746607250115
"hsa-miR-3168"	-3.02452457281007	4.37146471001788	15.6974914239031	7.43226769087987e-05	0.000120901614834518
"hsa-miR-3176"	-1.59829823780095	3.42426729345493	4.80466940998849	0.0283827118142767	0.0371399121536679
"hsa-miR-3194-5p"	3.5564456060552	3.15000188620015	17.9154605596138	2.30937451342717e-05	4.03291505102171e-05
"hsa-miR-32-3p"	3.25050653870384	2.92687570006914	10.6797889007216	0.00108312420748727	0.00159282971689304
"hsa-miR-32-5p"	6.51410781156737	6.94251754153126	62.6038515600533	2.52758686178432e-15	1.05316119241014e-14
"hsa-miR-3200-3p"	-2.92072851385202	3.085555543839	10.2048306940753	0.00140073251439979	0.0020347031937
"hsa-miR-320a"	-0.449518528506127	10.4713112937679	1.59600229336399	0.20647066537175	0.238042636047527
"hsa-miR-320b"	1.99036941204206	4.20098052142931	11.1558703177307	0.00083766183186709	0.00124730210074253
"hsa-miR-320d"	4.37696306012571	3.56979742927713	24.9032064977582	6.02820756040518e-07	1.24495590921411e-06
