"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	0.659683940160152	3.6117657417956	0.552540473168918	0.45728151219406	0.906939798094347
"hsa-let-7a-3p"	0.209508326662505	5.72839992313634	0.0651015555546737	0.798607197342733	0.957436157366171
"hsa-let-7a-5p"	-0.691213246115883	16.0132086198222	1.13911703345002	0.285838980112496	0.844209762285519
"hsa-let-7b-3p"	0.0745275258539693	7.17747016625138	0.0109000084901592	0.916849458121652	0.976195814134492
"hsa-let-7b-5p"	-0.104888660076272	12.9975405212309	0.0247103954641261	0.875090849282195	0.967870573708393
"hsa-let-7c-5p"	0.875682169186982	9.86214112237576	0.985353336072791	0.320880717813947	0.89614096347955
"hsa-let-7d-3p"	0.330122346902555	7.11879768621952	0.227558641611198	0.633339997374031	0.943001357244592
"hsa-let-7d-5p"	-0.0171281890372079	10.1728572919645	0.000591796616078	0.980591880111711	0.997905114297007
"hsa-let-7e-3p"	-0.0098014240082068	3.84863161188322	0.000153469324189803	0.990115840534289	0.997905114297007
"hsa-let-7e-5p"	-0.13091563571557	11.7315387186026	0.0372521379735176	0.846952601540863	0.957436157366171
"hsa-let-7f-1-3p"	0.570862921302129	4.07788210176658	0.505232876399181	0.477209821445743	0.906939798094347
"hsa-let-7f-2-3p"	0.418101316991461	3.28648602658264	0.0902251511570107	0.763891117485351	0.957436157366171
"hsa-let-7f-5p"	-0.124092263241487	14.684333783711	0.038999759974331	0.843449138391932	0.957436157366171
"hsa-let-7g-3p"	1.05909216608811	2.57033955683093	0.62110822715354	0.430635759773419	0.906939798094347
"hsa-let-7g-5p"	-0.310870875969186	12.1915423709048	0.225740422675685	0.634700387679834	0.943001357244592
"hsa-let-7i-3p"	0.437349062561333	5.60722729608793	0.376792185957007	0.539325023762214	0.919779110292147
"hsa-let-7i-5p"	0.165308348649173	14.1493108197393	0.069750219166508	0.791700808209786	0.957436157366171
"hsa-miR-100-3p"	-2.02686653570414	8.28114602338902	5.1984470471649	0.0226070765715893	0.343468086654229
"hsa-miR-100-5p"	0.107461835273077	18.1289332270192	0.019737670902316	0.888272204017132	0.97071877746917
"hsa-miR-101-3p"	0.705431738020172	10.8307013604783	0.522168712437065	0.469918034348171	0.906939798094347
"hsa-miR-103a-3p"	-0.0395124330467732	11.5726319252552	0.00366040668184553	0.951756384577916	0.990006641168518
"hsa-miR-106b-3p"	0.766140637512791	7.22374692146872	1.06537883576423	0.301991595227719	0.879975509272823
"hsa-miR-106b-5p"	0.691192435120995	6.88606343171294	0.577285560993045	0.4473782655663	0.906939798094347
"hsa-miR-107"	-0.172997868625457	7.94393282577409	0.0302118057956537	0.862010512871132	0.962906086055126
"hsa-miR-10a-3p"	0.521400005088803	4.44700734366248	0.120830546164323	0.728135435261538	0.957436157366171
"hsa-miR-10a-5p"	-0.463961201326747	15.29925015149	0.23549236218787	0.627480894704185	0.943001357244592
"hsa-miR-10b-5p"	5.81055255883243	12.6872189943799	9.52888708710498	0.00202262735553863	0.106543615795785
"hsa-miR-1180-3p"	0.168384413340094	4.19361022545688	0.0186519397182128	0.891369027268484	0.97071877746917
"hsa-miR-1185-1-3p"	0.659726915606638	4.56035545954341	0.241846092311222	0.622875937650513	0.943001357244592
"hsa-miR-1185-2-3p"	0.432196885501314	2.46727140934389	0.0882441126203215	0.766421384315247	0.957436157366171
"hsa-miR-1185-5p"	-1.28103877930889	4.82171404430854	0.901833111193707	0.342290661784802	0.89614096347955
"hsa-miR-1197"	1.32951945641853	3.52615979146657	0.781678959304884	0.376628145742408	0.89614096347955
"hsa-miR-122-5p"	-0.389350844081336	2.73116221064401	0.0989106007649108	0.753140892987609	0.957436157366171
"hsa-miR-1226-3p"	1.68040857447248	3.29745480800713	2.10958128411551	0.146379365016846	0.74891768148154
"hsa-miR-1233-3p"	0.975164920035467	2.30759158515226	0.38323938390683	0.535874651473305	0.919779110292147
"hsa-miR-1249-3p"	0.195957189072011	4.01652829867222	0.0365385990844613	0.848407508640922	0.957436157366171
"hsa-miR-1257"	1.77025681657414	2.93159266014069	1.39791652962066	0.237072723147108	0.79024241049036
"hsa-miR-125a-3p"	-0.40250785555947	5.08889662050395	0.231517161965579	0.630401150572125	0.943001357244592
"hsa-miR-125a-5p"	0.535965883369715	13.3333639027743	0.531448446521097	0.465998538326423	0.906939798094347
"hsa-miR-125b-1-3p"	-0.547581014891065	11.0714453446429	0.633976389782333	0.425900488499633	0.906939798094347
"hsa-miR-125b-2-3p"	0.268941659558922	7.37623615712962	0.0759174529143136	0.782908143977148	0.957436157366171
"hsa-miR-125b-5p"	0.981975082841726	15.1233556928285	1.75382186158663	0.185396991637432	0.769216191705653
"hsa-miR-126-3p"	5.34097195425983	8.28921825434742	12.0620099671226	0.000514597791930041	0.0566057571123045
"hsa-miR-126-5p"	5.76225701707128	9.46664101028441	15.2971955582948	9.18527756780238e-05	0.0404152212983305
"hsa-miR-1260a"	1.66838929694566	4.31435994285385	3.29331690202854	0.0695623653709896	0.566804458578434
"hsa-miR-1260b"	1.59553991957286	3.88036144025306	2.70588947083153	0.0999783066229088	0.662593246349286
"hsa-miR-1269b"	1.83380247730064	2.0347861900611	0.775504280521058	0.378519626903778	0.89614096347955
"hsa-miR-127-3p"	-0.639991401648731	14.4336389068856	0.344735670634009	0.557108374817414	0.924648185116678
"hsa-miR-127-5p"	-1.39943036897945	6.30696594239438	1.50636175376029	0.219695090918024	0.785901138243336
"hsa-miR-1271-3p"	1.70096442544448	2.92350680696874	0.689379363560574	0.406375562411804	0.902130926394696
"hsa-miR-1271-5p"	0.942806598082694	7.70979846165453	0.743559145035077	0.388523136996839	0.89614096347955
"hsa-miR-128-1-5p"	-0.983014270574987	3.89740922036181	0.917346354160304	0.338172699021816	0.89614096347955
"hsa-miR-128-3p"	0.30731434249436	9.38333633606382	0.19154382425311	0.661634800221115	0.950891195508147
"hsa-miR-1285-3p"	0.396808481157741	3.32890269301221	0.0378870139011482	0.845670192342173	0.957436157366171
"hsa-miR-1296-5p"	0.269618053194008	5.12193245260377	0.126441292745503	0.722150746200526	0.957436157366171
"hsa-miR-1301-3p"	0.58639229427715	5.64667438573755	0.403941105381853	0.525060892734246	0.919779110292147
"hsa-miR-1304-3p"	-1.3031713019406	6.6545418120366	1.57695971455093	0.209199166139888	0.785007791989519
"hsa-miR-1306-3p"	0.708931352483898	2.41792043182492	0.242359087802444	0.622507425290697	0.943001357244592
"hsa-miR-1306-5p"	2.53720885376067	3.92978283751863	3.54142004211589	0.0598541973935192	0.566804458578434
"hsa-miR-1307-3p"	0.453688545636195	7.40109066024918	0.395367725062886	0.529491305978204	0.919779110292147
"hsa-miR-1307-5p"	-0.0219439088544721	9.38532218226255	0.000782514589369399	0.977683316930745	0.997905114297007
"hsa-miR-130a-3p"	-1.08963985329959	10.6701464797734	2.56826169564089	0.109027478458608	0.662858231432959
"hsa-miR-130b-3p"	0.101536329153042	9.42674164412825	0.0189204389115289	0.890594820182311	0.97071877746917
"hsa-miR-130b-5p"	0.435747743459794	8.03147270560262	0.321269378237801	0.570845791942	0.933725458938587
"hsa-miR-132-3p"	0.549858691909342	6.40795282310333	0.275662077193072	0.59955864453935	0.943001357244592
"hsa-miR-132-5p"	-0.00590047352651054	4.52753830199416	4.59751777066586e-05	0.994589985339547	0.997905114297007
"hsa-miR-133a-3p"	0.99294891846216	2.66403342084421	0.546838420731619	0.459612398921139	0.906939798094347
"hsa-miR-134-5p"	-0.764903848413552	7.15539974919022	0.587333213318265	0.443452205330418	0.906939798094347
"hsa-miR-1343-3p"	2.7733101359546	4.80250874198335	4.52470013158815	0.0334089299567459	0.419997976599091
"hsa-miR-136-3p"	-0.568938282220714	8.97913846670064	0.214874407619842	0.642973426653875	0.943027692425683
"hsa-miR-136-5p"	-2.79073766313715	8.20047329807896	7.52879895769887	0.00607203744566844	0.178163440001051
"hsa-miR-137"	-1.45649771721731	4.51216740127153	1.25550905585052	0.262502880042701	0.808701289905427
"hsa-miR-138-1-3p"	-1.10374862020454	3.41047183890704	0.866184973227007	0.352013638984553	0.89614096347955
"hsa-miR-138-5p"	-0.456328437027009	8.66346276556374	0.105962598774077	0.744788328979918	0.957436157366171
"hsa-miR-140-3p"	0.67389333594993	11.0245065425988	0.554207267391988	0.456603684513558	0.906939798094347
"hsa-miR-140-5p"	1.00748206621164	4.80014042381569	1.24486756377662	0.264535013601694	0.808701289905427
"hsa-miR-143-3p"	-2.55649614482183	14.8878462745719	9.39203536719197	0.0021793012321865	0.106543615795785
"hsa-miR-143-5p"	-2.18616491855731	5.5337114541632	5.42108758993345	0.0198949634853843	0.334095359286382
"hsa-miR-145-3p"	-2.37403015580525	7.02335388384227	6.77389298794631	0.00925008462318704	0.214212486010647
"hsa-miR-145-5p"	-2.22850592087189	7.94850700760075	6.92834394166274	0.00848402113788385	0.207387183370494
"hsa-miR-1468-5p"	0.806665375207685	3.75474534092252	0.725890321940836	0.394218547287541	0.89614096347955
"hsa-miR-146a-5p"	-0.137608380537663	7.98011130235679	0.0143151768328096	0.904763540571982	0.973670499195485
"hsa-miR-146b-3p"	1.2813547141515	4.79938900396223	0.806803428866782	0.369067008722891	0.89614096347955
"hsa-miR-146b-5p"	0.948136722789314	10.7352551399309	0.461860682836061	0.49675566213804	0.906939798094347
"hsa-miR-147b"	1.53864520275372	2.3844467620089	0.935781765971348	0.333365029753199	0.89614096347955
"hsa-miR-148a-3p"	1.35660805137074	12.0355880913545	1.45692834118587	0.227419486813895	0.79024241049036
"hsa-miR-148a-5p"	0.744211121050782	5.47352846351894	0.473086151434851	0.491570810212861	0.906939798094347
"hsa-miR-148b-3p"	0.308425435425007	10.5459905675802	0.189344529689659	0.663462720502275	0.950891195508147
"hsa-miR-148b-5p"	-0.299343651049796	6.65819376078559	0.141115776181139	0.707174289830354	0.957436157366171
"hsa-miR-149-5p"	2.25757486352478	8.22801873010468	7.85781047777471	0.00506016330017705	0.171267065544454
"hsa-miR-151a-3p"	0.147856835933375	12.2499181748667	0.0523739301998489	0.818982773296262	0.957436157366171
"hsa-miR-151a-5p"	0.625909715911067	12.92400347674	0.939503803556363	0.332405483357162	0.89614096347955
"hsa-miR-151b"	0.740558288089052	3.73533546387766	0.917167217897677	0.338219869288209	0.89614096347955
"hsa-miR-152-3p"	0.356954596712404	8.43269343551322	0.252740300788793	0.615152122848804	0.943001357244592
"hsa-miR-152-5p"	-1.03904060180389	6.51666153490118	1.90343417991084	0.167694428248425	0.75035196729972
"hsa-miR-154-5p"	-1.18138988866189	4.29438323956052	1.01700750450233	0.313229890647358	0.89614096347955
"hsa-miR-155-5p"	0.980298801549898	9.0929705484863	1.78387311848999	0.181674448130514	0.761628943484535
"hsa-miR-15a-5p"	0.635667591622249	8.37036292003778	0.662486222537574	0.415683583024531	0.906939798094347
"hsa-miR-15b-3p"	1.01761879940796	5.34516165821731	1.94236494757196	0.16341198171887	0.75035196729972
"hsa-miR-15b-5p"	0.409297580338911	8.04234607265026	0.281164337541483	0.595939082315909	0.943001357244592
"hsa-miR-16-1-3p"	1.15261543786904	2.73097663601221	0.461907006184122	0.496734077398205	0.906939798094347
"hsa-miR-16-2-3p"	-1.01410579653161	6.2711830581087	1.53236189082688	0.215758312880974	0.785007791989519
"hsa-miR-16-5p"	0.618027908587515	10.7809410725294	0.764465953447464	0.381934517442286	0.89614096347955
"hsa-miR-17-3p"	-0.87820936442032	7.51278760595349	0.749247915682631	0.386714449618294	0.89614096347955
"hsa-miR-17-5p"	0.22618554999977	6.70343025101765	0.0809793837714041	0.775974541775998	0.957436157366171
