"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	1.26487022720575	4.06222680264914	3.31420405984174	0.0686835728045088	0.208325008903742
"hsa-let-7a-3p"	1.33630538591253	6.54927079443676	6.7549286639259	0.00934890841466523	0.0679650802208996
"hsa-let-7a-5p"	-1.33874727493915	15.9303748749938	7.85633624792126	0.00506429095216064	0.0552248870497517
"hsa-let-7b-3p"	0.328512262623555	7.42979294596109	0.422295798154375	0.515793702981366	0.720224134041053
"hsa-let-7b-5p"	-1.12949334924579	12.7218344861749	5.33125527557451	0.0209462937904717	0.114006785288292
"hsa-let-7c-5p"	0.13240436797519	9.5670822364071	0.0304141428131857	0.861553856656165	0.953119967025419
"hsa-let-7d-3p"	0.258215495258477	7.19210934909494	0.24684007909667	0.619308916318559	0.793101427702592
"hsa-let-7d-5p"	-0.488154733397717	10.0871981571871	0.789810201267223	0.374157522632021	0.593992462510623
"hsa-let-7e-3p"	0.602027711770147	4.26097456035527	1.22451218936294	0.268476947312925	0.487665480065376
"hsa-let-7e-5p"	-0.487472215388107	11.7056858127913	0.901486213011796	0.342383515196362	0.556069680708986
"hsa-let-7f-1-3p"	1.08595258999016	4.49320669261739	3.03588660169969	0.0814420465831939	0.234594071289955
"hsa-let-7f-2-3p"	1.78951530380322	4.26140298897463	2.79011351919692	0.0948475082201433	0.263273689483792
"hsa-let-7f-5p"	-0.247828651977611	14.7582373594422	0.273845615443179	0.600763689108059	0.775820785429505
"hsa-let-7g-3p"	1.30551503023632	2.80458816018772	1.59172718055156	0.207079541388943	0.422591530807419
"hsa-let-7g-5p"	-0.92377714573131	12.0749860053689	3.38902292083208	0.0656318311169488	0.204485569058249
"hsa-let-7i-3p"	0.371808380938621	5.68631690735618	0.472963751007062	0.491626854960106	0.708066350854492
"hsa-let-7i-5p"	0.0587113385063816	14.206523455758	0.0157366951991067	0.900170484704638	0.968995310250935
"hsa-miR-100-3p"	-0.750289286720806	8.72498793092281	1.09199707387025	0.2960291451364	0.521466458842871
"hsa-miR-100-5p"	-0.495414967648694	17.9669094035848	1.02461961342487	0.311425724509261	0.531601231076345
"hsa-miR-101-3p"	-0.611795038767814	10.2834420627828	1.23090987095394	0.267230162793889	0.487615197448609
"hsa-miR-103a-3p"	-0.0696710727809031	11.6839880613029	0.0206462202982465	0.885746905306469	0.961308252678585
"hsa-miR-106b-3p"	0.511350834070109	7.16360687219648	0.608745789129362	0.435260433852645	0.640994465287818
"hsa-miR-106b-5p"	0.898468716389525	7.11330045978816	2.06638770679133	0.150577804193051	0.343107633434911
"hsa-miR-107"	-2.48416619018128	7.39110591441077	19.6225845122172	9.43473550689162e-06	0.000540138607769545
"hsa-miR-10a-3p"	-0.36536730879213	4.17531871532898	0.162940207776813	0.686463839774923	0.83174719210824
"hsa-miR-10a-5p"	-2.02275190866406	15.0118600325726	6.56780650142537	0.0103839854151494	0.0743103956271629
"hsa-miR-10b-5p"	3.79541998330447	10.7911901466524	4.69275761529083	0.0302899984315165	0.132702907280176
"hsa-miR-1180-3p"	0.768355454806358	4.61467236811822	1.65755026844307	0.197934406529738	0.408351163020811
"hsa-miR-1185-1-3p"	2.16240088252164	5.70058378780073	11.4020634646966	0.000733625731573597	0.020471710049409
"hsa-miR-1185-2-3p"	1.61402646396898	3.13805363882219	4.12312940038357	0.0423007617542146	0.157510153523824
"hsa-miR-1185-5p"	-0.333175812234904	5.27790740581642	0.284293549616482	0.593900782157705	0.772745904057469
"hsa-miR-1197"	2.18670375165852	4.20047724110575	8.87730188069501	0.00288737950192622	0.0413256191213191
"hsa-miR-1226-3p"	0.736786194438344	2.88527598530271	0.852627205118616	0.355810175116265	0.571793193695613
"hsa-miR-1247-5p"	5.1919464838727	2.03343864855999	4.66462037749335	0.0307902294690389	0.132702907280176
"hsa-miR-1249-3p"	0.425064872189251	4.21380611929506	0.44908321559025	0.502770642457586	0.716301017238882
"hsa-miR-125a-3p"	-0.617750455109311	5.12697614182462	1.16086981246136	0.281285222018841	0.50385807303434
"hsa-miR-125a-5p"	-0.216642898337255	13.0682680507351	0.167025633506512	0.682768863797754	0.83174719210824
"hsa-miR-125b-1-3p"	-0.840378302894889	11.0628238914051	2.72411218054978	0.0988430701867086	0.269465036580432
"hsa-miR-125b-2-3p"	0.0602664734880185	7.39246166406637	0.00829931988582899	0.927412653429933	0.982845689311027
"hsa-miR-125b-5p"	-0.497406979488758	14.4420940396586	0.967230057832694	0.325371967341019	0.543179702291257
"hsa-miR-126-3p"	2.82245967306827	6.10145889480911	10.6499095296116	0.00110076290363486	0.0265341794665666
"hsa-miR-126-5p"	3.57242470627942	7.52675655832056	19.7101051936911	9.01235404254521e-06	0.000540138607769545
"hsa-miR-1260a"	0.82579754407545	3.89649831789225	1.80374731934736	0.179260121643835	0.385010657884917
"hsa-miR-127-3p"	-0.832619200631246	14.5076932488036	1.93067873468226	0.164684207039684	0.366142557398909
"hsa-miR-127-5p"	-0.525107197780439	6.73193392916867	0.686610629709598	0.407319629323292	0.621586837946978
"hsa-miR-1271-5p"	0.0584044450621296	7.30330453218304	0.0106064493759526	0.917972798429661	0.979398390519911
"hsa-miR-1277-5p"	5.19559772010372	2.04109650749629	4.68447764996493	0.0304363159333757	0.132702907280176
"hsa-miR-128-1-5p"	-0.45731246840653	4.13211950763458	0.340286902325089	0.559663663266852	0.753899875812406
"hsa-miR-128-3p"	0.291447509728413	9.48158149347919	0.289479283294156	0.590554411122166	0.772745904057469
"hsa-miR-1285-3p"	2.14928245179553	4.53520675499105	4.8286440971798	0.0279906356348646	0.132702907280176
"hsa-miR-1293-3p"	1.80817062494537	3.85261034349538	3.45034085356133	0.0632387272388336	0.201134285245735
"hsa-miR-1296-5p"	0.973553779899865	5.62291429807172	2.87868542790974	0.0897592715771357	0.250669185258098
"hsa-miR-1301-3p"	-0.155575831356266	5.36361750174595	0.0584014121030902	0.809040649777504	0.919455626794285
"hsa-miR-1304-3p"	-1.32201226738791	6.71054262065577	2.37400950957378	0.123369824998942	0.307146505788574
"hsa-miR-1306-3p"	0.507069165865061	2.43695545270836	0.165348623949069	0.684279157399978	0.83174719210824
"hsa-miR-1306-5p"	1.72526640429614	3.43894498649574	3.27158584591665	0.0704894524363754	0.212395850104342
"hsa-miR-1307-3p"	0.607541040831702	7.61206060600693	1.25044098420775	0.263468268407097	0.485807247621353
"hsa-miR-1307-5p"	0.0647174228974429	9.54220992608957	0.0147275161406668	0.903408291434823	0.968995310250935
"hsa-miR-130a-3p"	-0.820392574741629	10.8884487843075	2.60510124830134	0.106520354354135	0.287948120267685
"hsa-miR-130b-3p"	-0.650642944347519	9.19441452639072	1.44822468642487	0.228813030321844	0.444052406302562
"hsa-miR-130b-5p"	-0.391126317884725	7.71068744424489	0.479095898977253	0.488832122856389	0.70626218381144
"hsa-miR-132-3p"	0.373236108759181	6.44419183818802	0.463572159718966	0.495959234525071	0.712066863362014
"hsa-miR-132-5p"	-0.699734585455404	4.36682512941336	1.28365660972548	0.257220256081282	0.4788897450619
"hsa-miR-134-5p"	-0.36428284870497	7.45295078799993	0.431656766357697	0.511177116075109	0.716301017238882
"hsa-miR-1343-3p"	1.72856794258164	4.10835979716032	2.24014178138628	0.134468649856691	0.317303919419843
"hsa-miR-135b-5p"	3.60113753107481	3.04723328963403	4.2036178549656	0.040337833964939	0.155249814755816
"hsa-miR-136-3p"	0.592442225529176	9.69826955316773	0.866900231676262	0.351814887315389	0.567363445036789
"hsa-miR-136-5p"	-2.4302272773655	8.37904788512404	19.2012581766182	1.17635832311391e-05	0.000598635679984633
"hsa-miR-137"	0.882536540181259	5.67292023824937	1.54855858213618	0.21334835938369	0.426696718767381
"hsa-miR-138-1-3p"	-0.365200396221045	3.73988135197629	0.128350678397105	0.720148278653728	0.856695874346513
"hsa-miR-138-5p"	1.86195737151471	10.1974149615269	3.41393122002343	0.0646482635726822	0.202800717234852
"hsa-miR-139-5p"	3.32255577589618	2.34234087561491	4.65132509447567	0.0310295855728511	0.132702907280176
"hsa-miR-140-3p"	-1.18625647783996	10.2969671979464	4.60097061687069	0.0319538605607855	0.134264845292108
"hsa-miR-140-5p"	1.00629595151696	4.94577680742409	2.36082369485964	0.124416480062525	0.30801485334398
"hsa-miR-141-3p"	8.90502524111239	8.50933436294566	7.80663364841561	0.00520547848121567	0.0554443987069018
"hsa-miR-141-5p"	9.98520117608692	5.96827538918691	7.63545291679385	0.00572320125117053	0.0557707696390661
"hsa-miR-142-5p"	1.82895047412484	2.35654967404838	2.50689349034115	0.113349174848831	0.295876636492488
"hsa-miR-143-3p"	-2.4229227620713	15.0343966223836	9.70301717049279	0.00183965714284879	0.0312060359786943
"hsa-miR-143-5p"	-1.61245768569075	5.77167324560342	4.46185113552379	0.0346599174042721	0.141734305099613
"hsa-miR-145-3p"	-1.78984066948121	7.26171893281813	8.1932898206108	0.00420456096949766	0.0519950705399872
"hsa-miR-145-5p"	-0.912705676679918	8.42153064145186	1.37239927557923	0.241400082377279	0.460924706958317
"hsa-miR-1468-5p"	0.140848967434621	3.52215611645274	0.0263499401617597	0.871048632082782	0.95998058061518
