"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	0	3.32351697512606	0	1	1
"hsa-let-7a-3p"	0	5.63906223628846	0	1	1
"hsa-let-7a-5p"	0	16.3348810787483	0	1	1
"hsa-let-7b-3p"	0	7.15750871795585	0	1	1
"hsa-let-7b-5p"	0	13.0653487430114	0	1	1
"hsa-let-7c-5p"	0	9.37444582574296	0	1	1
"hsa-let-7d-3p"	0	6.96201759032634	0	1	1
"hsa-let-7d-5p"	0	10.1979156054761	0	1	1
"hsa-let-7e-3p"	0	3.87039165732931	0	1	1
"hsa-let-7e-5p"	0	11.8121468201683	0	1	1
"hsa-let-7f-1-3p"	0	3.81989159074698	0	1	1
"hsa-let-7f-2-3p"	0	3.09630805995101	0	1	1
"hsa-let-7f-5p"	0	14.7605692119519	0	1	1
"hsa-let-7g-5p"	0	12.3545832917895	0	1	1
"hsa-let-7i-3p"	0	5.40045097732251	0	1	1
"hsa-let-7i-5p"	0	14.0818901347326	0	1	1
"hsa-miR-100-3p"	0	8.98294976190541	0	1	1
"hsa-miR-100-5p"	0	18.0910148970127	0	1	1
"hsa-miR-101-3p"	0	10.4535605984124	0	1	1
"hsa-miR-103a-3p"	0	11.6083119539433	0	1	1
"hsa-miR-106b-3p"	0	6.81168829966548	0	1	1
"hsa-miR-106b-5p"	0	6.52426403901662	0	1	1
"hsa-miR-107"	0	8.04361436439512	0	1	1
"hsa-miR-10a-3p"	0	4.18896599314581	0	1	1
"hsa-miR-10a-5p"	0	15.521661242792	0	1	1
"hsa-miR-10b-5p"	0	7.87601450679861	0	1	1
"hsa-miR-1180-3p"	0	4.13594425836176	0	1	1
"hsa-miR-1185-1-3p"	0	4.24073882624486	0	1	1
"hsa-miR-1185-5p"	0	5.31015247659155	0	1	1
"hsa-miR-1249-3p"	0	3.95043481001525	0	1	1
"hsa-miR-125a-3p"	0	5.2841473497132	0	1	1
"hsa-miR-125a-5p"	0	13.0569599411384	0	1	1
"hsa-miR-125b-1-3p"	0	11.3356821510366	0	1	1
"hsa-miR-125b-2-3p"	0	7.25224946094335	0	1	1
"hsa-miR-125b-5p"	0	14.5660381621079	0	1	1
"hsa-miR-126-3p"	0	4.07940747601259	0	1	1
"hsa-miR-126-5p"	0	4.78405348503017	0	1	1
"hsa-miR-1260a"	0	3.40265542384124	0	1	1
"hsa-miR-127-3p"	0	14.734178908382	0	1	1
"hsa-miR-127-5p"	0	6.8508082358842	0	1	1
"hsa-miR-1271-5p"	0	7.18550674409067	0	1	1
"hsa-miR-128-1-5p"	0	4.28583996842757	0	1	1
"hsa-miR-128-3p"	0	9.23720075426685	0	1	1
"hsa-miR-1285-3p"	0	3.15355452700257	0	1	1
"hsa-miR-1296-5p"	0	5.00625272366704	0	1	1
"hsa-miR-1301-3p"	0	5.35465842893411	0	1	1
"hsa-miR-1304-3p"	0	7.1699903607022	0	1	1
"hsa-miR-1307-3p"	0	7.17832842543113	0	1	1
"hsa-miR-1307-5p"	0	9.41460461796901	0	1	1
"hsa-miR-130a-3p"	0	11.1312713744438	0	1	1
"hsa-miR-130b-3p"	0	9.39264506437027	0	1	1
"hsa-miR-130b-5p"	0	7.81504841070518	0	1	1
"hsa-miR-132-3p"	0	6.12723011248775	0	1	1
"hsa-miR-132-5p"	0	4.5402534801733	0	1	1
"hsa-miR-134-5p"	0	7.50002112165382	0	1	1
"hsa-miR-1343-3p"	0	3.09997105817541	0	1	1
"hsa-miR-136-3p"	0	9.25065660739381	0	1	1
"hsa-miR-136-5p"	0	9.0189641088806	0	1	1
"hsa-miR-137"	0	5.0364497256949	0	1	1
"hsa-miR-138-1-3p"	0	3.8050229543073	0	1	1
"hsa-miR-138-5p"	0	8.88825688925388	0	1	1
"hsa-miR-140-3p"	0	10.6679217275829	0	1	1
"hsa-miR-140-5p"	0	4.26582061848349	0	1	1
"hsa-miR-143-3p"	0	15.6844859439266	0	1	1
"hsa-miR-143-5p"	0	6.24359719511256	0	1	1
"hsa-miR-145-3p"	0	7.78069799433116	0	1	1
"hsa-miR-145-5p"	0	8.68605610811554	0	1	1
"hsa-miR-1468-5p"	0	3.38301821704578	0	1	1
"hsa-miR-146a-5p"	0	8.0721530229739	0	1	1
"hsa-miR-146b-3p"	0	4.10525049991403	0	1	1
"hsa-miR-146b-5p"	0	10.1997060582697	0	1	1
"hsa-miR-148a-3p"	0	11.2180754737433	0	1	1
"hsa-miR-148a-5p"	0	5.0921242534228	0	1	1
"hsa-miR-148b-3p"	0	10.399743414253	0	1	1
"hsa-miR-148b-5p"	0	6.81593694484176	0	1	1
"hsa-miR-149-5p"	0	6.72807574427396	0	1	1
"hsa-miR-151a-3p"	0	12.1902933803407	0	1	1
"hsa-miR-151a-5p"	0	12.5933453329408	0	1	1
"hsa-miR-151b"	0	3.39878838511267	0	1	1
"hsa-miR-152-3p"	0	8.25774300959778	0	1	1
"hsa-miR-152-5p"	0	6.95477420088244	0	1	1
"hsa-miR-154-5p"	0	4.74225519555653	0	1	1
"hsa-miR-155-5p"	0	8.54046885716833	0	1	1
"hsa-miR-15a-5p"	0	8.03639028088635	0	1	1
"hsa-miR-15b-3p"	0	4.79856275635347	0	1	1
"hsa-miR-15b-5p"	0	7.84262998652878	0	1	1
"hsa-miR-16-2-3p"	0	6.69928535168808	0	1	1
"hsa-miR-16-5p"	0	10.4563068443927	0	1	1
"hsa-miR-17-3p"	0	7.90236204764045	0	1	1
"hsa-miR-17-5p"	0	6.60723953192128	0	1	1
"hsa-miR-181a-2-3p"	0	9.00035591024423	0	1	1
"hsa-miR-181a-3p"	0	10.028537954787	0	1	1
"hsa-miR-181a-5p"	0	13.4812565154737	0	1	1
"hsa-miR-181b-3p"	0	4.13656492369188	0	1	1
"hsa-miR-181b-5p"	0	11.1224190082026	0	1	1
"hsa-miR-181c-3p"	0	5.77056399146226	0	1	1
"hsa-miR-181c-5p"	0	7.47811746639529	0	1	1
"hsa-miR-181d-5p"	0	4.44996921631124	0	1	1
"hsa-miR-182-5p"	0	4.64580946668204	0	1	1
"hsa-miR-185-3p"	0	4.02446801214522	0	1	1
"hsa-miR-185-5p"	0	5.8981930793785	0	1	1
"hsa-miR-186-5p"	0	11.733841619249	0	1	1
"hsa-miR-188-3p"	0	2.84436688084564	0	1	1
"hsa-miR-188-5p"	0	4.03210790341937	0	1	1
"hsa-miR-18a-3p"	0	3.82687537528818	0	1	1
"hsa-miR-18a-5p"	0	4.10572750086468	0	1	1
"hsa-miR-190a-5p"	0	7.05887050479589	0	1	1
"hsa-miR-191-3p"	0	3.29200084925206	0	1	1
"hsa-miR-191-5p"	0	13.6588387987148	0	1	1
"hsa-miR-1910-5p"	0	3.59504020609818	0	1	1
"hsa-miR-192-5p"	0	9.13731788067007	0	1	1
"hsa-miR-193a-3p"	0	7.64771575425153	0	1	1
"hsa-miR-193a-5p"	0	8.63646239344675	0	1	1
"hsa-miR-193b-3p"	0	8.60932146091601	0	1	1
"hsa-miR-193b-5p"	0	3.64935944866119	0	1	1
"hsa-miR-195-5p"	0	5.6408315731693	0	1	1
"hsa-miR-197-3p"	0	8.56483203511182	0	1	1
"hsa-miR-199a-3p"	0	13.7368578058314	0	1	1
"hsa-miR-199a-5p"	0	11.6232067511913	0	1	1
"hsa-miR-199b-3p"	0	12.6200226228549	0	1	1
"hsa-miR-199b-5p"	0	10.7531069503339	0	1	1
"hsa-miR-19a-3p"	0	6.41657341784312	0	1	1
"hsa-miR-19a-5p"	0	2.85967267812269	0	1	1
"hsa-miR-19b-3p"	0	7.68612130270709	0	1	1
"hsa-miR-204-5p"	0	8.93799458696341	0	1	1
"hsa-miR-20a-5p"	0	6.76735128720702	0	1	1
"hsa-miR-21-3p"	0	12.4058758171087	0	1	1
"hsa-miR-21-5p"	0	15.789610934186	0	1	1
"hsa-miR-210-3p"	0	7.93998714306715	0	1	1
"hsa-miR-210-5p"	0	4.64541451548174	0	1	1
"hsa-miR-212-3p"	0	3.59989064414748	0	1	1
"hsa-miR-212-5p"	0	4.03886141717692	0	1	1
"hsa-miR-214-3p"	0	8.7397506511733	0	1	1
"hsa-miR-214-5p"	0	7.33404811847174	0	1	1
"hsa-miR-215-5p"	0	3.75677592340118	0	1	1
"hsa-miR-218-1-3p"	0	6.03549922986808	0	1	1
"hsa-miR-218-5p"	0	6.68950115618589	0	1	1
"hsa-miR-22-3p"	0	15.8666967293949	0	1	1
"hsa-miR-22-5p"	0	7.34713855835662	0	1	1
"hsa-miR-221-3p"	0	13.4867050783111	0	1	1
"hsa-miR-221-5p"	0	10.4297791078475	0	1	1
"hsa-miR-222-3p"	0	13.8401116118466	0	1	1
"hsa-miR-222-5p"	0	6.31381496853471	0	1	1
"hsa-miR-223-3p"	0	3.15104422133001	0	1	1
"hsa-miR-224-3p"	0	3.46178423186955	0	1	1
"hsa-miR-224-5p"	0	9.45019816342934	0	1	1
"hsa-miR-2277-5p"	0	3.69723382741848	0	1	1
"hsa-miR-2355-5p"	0	4.73720125930186	0	1	1
"hsa-miR-23a-3p"	0	10.7370553198061	0	1	1
"hsa-miR-23a-5p"	0	5.84620585781733	0	1	1
"hsa-miR-23b-3p"	0	10.4053102366334	0	1	1
"hsa-miR-23b-5p"	0	3.23543474939616	0	1	1
"hsa-miR-24-2-5p"	0	7.28236758324074	0	1	1
"hsa-miR-24-3p"	0	9.83151881063531	0	1	1
"hsa-miR-2467-5p"	0	3.21605442839564	0	1	1
"hsa-miR-25-3p"	0	10.0197086015629	0	1	1
"hsa-miR-25-5p"	0	4.89319616438144	0	1	1
"hsa-miR-2682-3p"	0	3.31022013544713	0	1	1
"hsa-miR-2682-5p"	0	4.88788763595494	0	1	1
"hsa-miR-26a-2-3p"	0	4.79980294212961	0	1	1
"hsa-miR-26a-5p"	0	13.9414922543474	0	1	1
"hsa-miR-26b-5p"	0	9.66346821600579	0	1	1
"hsa-miR-27a-3p"	0	11.4498596171973	0	1	1
"hsa-miR-27a-5p"	0	6.54881549498135	0	1	1
"hsa-miR-27b-3p"	0	14.1877840505013	0	1	1
"hsa-miR-27b-5p"	0	7.20341460206756	0	1	1
"hsa-miR-28-3p"	0	12.1133211415651	0	1	1
"hsa-miR-28-5p"	0	7.59654328938481	0	1	1
"hsa-miR-296-3p"	0	4.60812666391316	0	1	1
"hsa-miR-296-5p"	0	4.61094876366387	0	1	1
"hsa-miR-299-3p"	0	5.2334643760419	0	1	1
"hsa-miR-299-5p"	0	5.5307193427187	0	1	1
"hsa-miR-29a-3p"	0	13.8657042942345	0	1	1
"hsa-miR-29a-5p"	0	5.71790516672085	0	1	1
