"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	-6.4387310992034	2.68327956549813	27.6535320449733	1.45106869169464e-07	4.06468949310953e-07
"hsa-let-7a-3p"	-0.470378865140254	5.7580497020396	0.91778078256357	0.338058341744865	0.402810810188533
"hsa-let-7a-5p"	-2.14532165893056	15.9728867122646	27.8289681650785	1.32526889137452e-07	3.73413999393172e-07
"hsa-let-7b-3p"	-2.8142932353807	6.6706916472242	36.8819032550543	1.25505483708488e-09	4.32497314362345e-09
"hsa-let-7b-5p"	-2.51638366853161	12.6397835120828	43.0699468818036	5.28173702827095e-11	1.97652502854827e-10
"hsa-let-7c-5p"	-4.21063081921563	8.80666183279226	34.799803302599	3.65410377448956e-09	1.23261669576092e-08
"hsa-let-7d-3p"	1.26413481223807	8.0418444721768	10.4632418872515	0.00121773385269234	0.00222631494442606
"hsa-let-7d-5p"	0.61625253478966	10.8791203689463	2.66858257367372	0.102347137197318	0.139670309736511
"hsa-let-7e-3p"	-0.14593096654544	4.09104656233176	0.0461279787149973	0.829943329473042	0.849450544482024
"hsa-let-7e-5p"	-0.796981524487421	11.8144093838286	4.19881940725192	0.0404521324116247	0.060363150857222
"hsa-let-7f-1-3p"	0.663835407276507	4.45341498002946	1.16780047288699	0.279853645417818	0.344160665388924
"hsa-let-7f-2-3p"	1.01433485942779	3.98573111981096	0.894059187453122	0.344379672013017	0.408311541817414
"hsa-let-7f-5p"	-0.118710004325187	15.0485859092867	0.108963726995626	0.74132701606617	0.778718510297578
"hsa-let-7g-3p"	1.81693938465035	3.30790445513505	3.72202579998772	0.0536991828650248	0.0770117023722961
"hsa-let-7g-5p"	0.363345382904734	12.8846022986071	1.01134377062124	0.314581128277243	0.379557582984381
"hsa-let-7i-3p"	0.232967209286745	5.82778968165719	0.158786642320297	0.690276091041564	0.736396987993116
"hsa-let-7i-5p"	-0.720088461375081	14.0837706212792	4.58385193303388	0.032274585479409	0.0490778617290061
"hsa-miR-100-3p"	-12.3521710747972	8.26271170314354	146.717414678127	9.04703306296152e-34	1.73341153486343e-32
"hsa-miR-100-5p"	-11.508172872646	17.41906160062	401.253404451165	2.93822679368945e-89	1.40741063417724e-86
"hsa-miR-101-3p"	0.405034610622831	10.9983638388736	1.1496409019299	0.283624334027231	0.34745794373157
"hsa-miR-101-5p"	2.00801158364333	3.16188711341451	4.86962205225272	0.0273334862176381	0.0419639099302842
"hsa-miR-103a-3p"	0.973714219161998	12.5133848170117	7.97241292855426	0.00474955858053341	0.00809622263372065
"hsa-miR-106b-3p"	-0.509182301721728	6.87334978405608	1.16605013417029	0.280214320462798	0.344160665388924
"hsa-miR-106b-5p"	0.472152537999609	7.07065896241271	0.964142418786363	0.326145400411835	0.392521725621279
"hsa-miR-107"	-3.22809880828029	7.51846122971936	46.3463901728018	9.90898922814767e-12	3.92264945477912e-11
"hsa-miR-10a-3p"	-7.53458365730222	3.55422437586124	25.6938689390231	4.00096129102663e-07	1.0706483007831e-06
"hsa-miR-10a-5p"	-6.0085353709787	14.965691211682	43.4248695644393	4.40553271649677e-11	1.66161430803303e-10
"hsa-miR-10b-5p"	-4.104178569679	7.19053342038437	19.6910612075364	9.10261561897188e-06	2.16923028929728e-05
"hsa-miR-1180-3p"	-3.13089793233209	3.59545711280067	21.5689791644667	3.41328105930275e-06	8.42763725467019e-06
"hsa-miR-1185-1-3p"	-7.5081282733853	3.55721458942295	44.7325087539594	2.2587575389376e-11	8.72536178347669e-11
"hsa-miR-1185-5p"	-8.68908401686134	4.64518934681797	70.5328835914401	4.52657991037536e-17	2.35677367072804e-16
"hsa-miR-1226-3p"	2.35236583989879	4.09550403446556	11.0293910951232	0.000896785994294393	0.00167144160026076
"hsa-miR-1228-3p"	1.38220111708836	4.18969299712775	5.28865507325975	0.0214647909242086	0.0331665640409546
"hsa-miR-1228-5p"	0.868419644753896	2.54410997061212	0.505714175501303	0.47700006575798	0.537607132936641
