"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	-5.94090763883278	2.51420173879215	21.4095464631348	3.70919744634903e-06	6.48432692263206e-06
"hsa-let-7a-3p"	-0.659249000989233	5.19832088445895	2.38763700562603	0.122298366531132	0.137191844422511
"hsa-let-7a-5p"	-1.39619761086803	15.6203537571688	16.5537705601164	4.72898628608131e-05	7.35449490595113e-05
"hsa-let-7b-3p"	-0.97690803955286	6.58436058386545	5.70483135919974	0.0169182807135375	0.0206731032188379
"hsa-let-7b-5p"	-1.80963762406683	12.249259292167	26.440476474286	2.7178514826422e-07	5.49304160415871e-07
"hsa-let-7c-5p"	-6.02792269716337	8.22889641510488	138.607251783987	5.36767373353508e-32	1.42839762131295e-30
"hsa-let-7d-3p"	1.85667775887377	7.97879496931841	24.6130166583983	7.00767817200631e-07	1.33732185035499e-06
"hsa-let-7d-5p"	0.843468215814398	10.5009432757915	6.93528778226597	0.00845114642976952	0.0104873034711389
"hsa-let-7e-3p"	-2.66392033592559	3.10699004996765	14.9768382881303	0.000108838912713656	0.000163428962977558
"hsa-let-7e-5p"	-3.8468395210336	10.7320467644559	78.8451063978778	6.71756362868889e-19	4.07305440271136e-18
"hsa-let-7f-1-3p"	0.358441551589154	3.82246562650265	0.451299518069706	0.501718479147223	0.527024455069122
"hsa-let-7f-2-3p"	0.446789182985671	3.14629697382632	0.246931626642787	0.619243948528851	0.639262610658017
"hsa-let-7f-5p"	-0.377591084200549	14.4064286733617	1.44367060083232	0.229546279842129	0.250461658415443
"hsa-let-7g-5p"	1.10544001649342	12.8319396331961	12.9196799752903	0.000325145445044731	0.000456729232188933
"hsa-let-7i-3p"	0.51297616374767	5.48664403704731	1.00239451388298	0.316731798467784	0.340167110910467
"hsa-let-7i-5p"	-2.05768004169961	13.2118740983958	39.0273540068612	4.17908777617184e-10	1.0762274434335e-09
"hsa-miR-100-3p"	-11.871489072865	7.81006637004578	123.212146083903	1.25308279228095e-28	2.06974709483646e-27
"hsa-miR-100-5p"	-7.86688343974956	16.9175390847286	139.31784190722	3.75308557793222e-32	1.05748705401737e-30
"hsa-miR-101-3p"	4.05248467798601	13.4082429345231	117.276641291407	2.4969385966103e-27	3.85817286379463e-26
"hsa-miR-101-5p"	5.22722248248841	5.3006594599953	83.1956123059148	7.43224986366207e-20	5.31350400700617e-19
"hsa-miR-103a-2-5p"	2.42290334051114	2.89116375038902	6.73933428151348	0.00943098120038424	0.0116729715632663
"hsa-miR-103a-3p"	2.34855452750712	13.0363192499174	47.041052235936	6.95152948560644e-12	2.13447604077275e-11
"hsa-miR-106b-3p"	2.41686228005607	8.27973044141106	29.4419942831618	5.76155486443328e-08	1.24877139369391e-07
"hsa-miR-106b-5p"	3.31828992297856	8.77397541365239	51.4596948158958	7.30821904903637e-13	2.48272122304143e-12
"hsa-miR-107"	-3.32395665642568	7.01868392353995	66.2243748283237	4.0240540153333e-16	1.96685905443332e-15
"hsa-miR-10a-3p"	-5.57769699618474	3.26260924614879	18.262585816314	1.92450150024339e-05	3.08306427630964e-05
"hsa-miR-10a-5p"	-4.75037878036953	14.4059885790999	53.7970563875122	2.22305537546165e-13	7.94659346900097e-13
"hsa-miR-10b-5p"	-4.01575087090649	6.8066406514108	17.9863941489936	2.22489532749318e-05	3.540614159034e-05
"hsa-miR-1180-3p"	-4.46897635884997	3.23732127567154	27.8429955380214	1.31569524379416e-07	2.76411413060264e-07
"hsa-miR-1185-1-3p"	-3.95533911134051	3.3471511611075	25.2670421227398	4.99165603911752e-07	9.79919361777579e-07
"hsa-miR-1185-5p"	-5.06451435659964	4.29243295539554	52.9628414837151	3.39918430225348e-13	1.19721270645545e-12
"hsa-miR-1226-3p"	2.10611850439585	3.40787177565901	12.8250962324958	0.000342000917436608	0.000479001284947764
"hsa-miR-1248"	5.84826025419321	2.35257032156354	17.3034225082231	3.1861248279237e-05	5.02024273873504e-05
"hsa-miR-1249-3p"	1.97534490795268	4.95660246479134	16.6085735913072	4.59428658285506e-05	7.16828427748396e-05
"hsa-miR-1255a"	1.83473509808601	2.98943467018527	6.9568615493905	0.00834983738459489	0.0103884989797947
"hsa-miR-125a-3p"	-0.353021303626575	4.96127850843103	0.707979202829115	0.40011548491451	0.423080170582892
"hsa-miR-125a-5p"	-0.863253381531179	12.510787289158	5.30261594254496	0.02129342196727	0.0257564371775816
"hsa-miR-125b-1-3p"	-11.5682071886817	10.1582948125961	274.179395619681	1.39332869022515e-61	1.66851110654461e-59
"hsa-miR-125b-2-3p"	-8.76396440831661	6.11525780046129	133.366596598261	7.51675754497791e-31	1.80026343202221e-29
"hsa-miR-125b-5p"	-7.42562033818713	13.3961331449225	264.463872184203	1.82612196896781e-59	1.4578540385593e-57
"hsa-miR-126-3p"	4.79745350990759	7.59348420373797	56.0259368369877	7.15212366495786e-14	2.69753325631088e-13
"hsa-miR-126-5p"	5.65167816846103	9.19186279736222	87.2227319889774	9.69629270466229e-21	7.61397410743153e-20
"hsa-miR-1260a"	4.61722652746859	6.6412716694112	71.8689409456219	2.29975401932624e-17	1.23773278118795e-16
"hsa-miR-1260b"	3.64979267596136	5.33358753363729	50.3463571018454	1.28869100162943e-12	4.22796568342805e-12
"hsa-miR-127-3p"	-5.37053657988187	13.5918181945256	63.4037533116677	1.68396848023968e-15	7.68210382890293e-15
"hsa-miR-127-5p"	-6.88080377340352	5.72959492537417	91.6768549312395	1.02051547471002e-21	9.22314929030377e-21
"hsa-miR-1271-5p"	-2.49549120115715	6.26984653897899	27.2900826175291	1.75107235191115e-07	3.6310115002833e-07
"hsa-miR-1273h-3p"	8.81534605884986	4.79791226514468	105.278011950896	1.06147516419723e-24	1.1298813414455e-23
"hsa-miR-128-1-5p"	-0.712881958802381	3.85404644619155	0.961713921514155	0.326755433950989	0.350147321840097
"hsa-miR-128-3p"	1.3691760345121	9.89749386657536	15.230805001347	9.51387900433496e-05	0.000145132103282689
"hsa-miR-1285-3p"	0.751633431844493	3.31962610123541	0.6621623397528	0.41579759243685	0.437729773136816
"hsa-miR-1294"	2.63118778385108	3.05263975060558	12.0419719143296	0.00052015916153135	0.000715966202222749
"hsa-miR-1296-5p"	-2.37533347268608	4.18303956801489	18.0047718632301	2.20351919600481e-05	3.51828564962101e-05
"hsa-miR-1301-3p"	1.599265444583	6.14936468780494	15.0996305267652	0.000101983247007611	0.000154588529483055
"hsa-miR-1304-3p"	-0.813689926094036	6.65214281388114	1.62104088689631	0.202946711827532	0.222962098544467
"hsa-miR-1306-5p"	1.92089643117483	3.33134769993142	8.7132578058954	0.00315904167316262	0.00407865488260079
"hsa-miR-1307-3p"	0.740119230680072	7.40884950332887	2.91335297874687	0.0878490617932015	0.0999517828953528
"hsa-miR-1307-5p"	-0.802569841347071	8.88955906731215	4.28636147896225	0.0384193012333013	0.0453272051496338
"hsa-miR-130a-3p"	-2.89143169518984	10.1362380494431	61.1850549198185	5.1954419434566e-15	2.20231565567762e-14
"hsa-miR-130b-3p"	-0.964152400896043	8.81171696761426	7.03993413743067	0.00797119627574671	0.00994323702104863
"hsa-miR-130b-5p"	-0.640480870807456	7.35584547426748	1.76440643597593	0.184075844326996	0.203162049383943
"hsa-miR-132-3p"	0.292456747575003	6.10379127506553	0.443934326999715	0.505229610459827	0.529551386018068
"hsa-miR-132-5p"	0.0868380787970434	4.4188537582566	0.0348079944381561	0.85199856871864	0.864634140712349
"hsa-miR-133a-3p"	1.2807129906878	2.66578901455641	2.57145735970935	0.108807450084258	0.122921624033867
"hsa-miR-134-5p"	-3.55678718826797	6.4652404992985	22.6120361173937	1.98238799453344e-06	3.58325980898687e-06
"hsa-miR-1343-3p"	0.175604789774229	3.02085349478937	0.0686565436283142	0.793302987577981	0.806777348301174
"hsa-miR-136-3p"	-5.82948568691718	8.10747738565211	80.4205673906204	3.02628817697941e-19	1.93278938236418e-18
"hsa-miR-136-5p"	-6.5066569539413	7.86689303069585	152.381319941562	5.22981419072629e-35	1.6700539982386e-33
"hsa-miR-137"	-7.86341225296013	4.00645527897188	41.8723452602817	9.74309374239865e-11	2.69765427896471e-10
"hsa-miR-138-1-3p"	-6.51044687251352	2.91737600299852	24.2232056180987	8.57923335419781e-07	1.63073522883363e-06
"hsa-miR-138-5p"	-9.51949602020042	7.7246298806857	180.431311716371	3.90164796051717e-41	1.55740781090644e-39
"hsa-miR-139-5p"	4.87340711408823	3.09472657579126	22.2863930881495	2.34864965869915e-06	4.1821679796167e-06
"hsa-miR-140-3p"	3.0917976664683	12.7367873369274	68.3506651577835	1.36859072993502e-16	7.04897806063306e-16
"hsa-miR-140-5p"	3.311329657489	6.41512452592419	33.9551561182409	5.63970318494122e-09	1.34398896795366e-08
"hsa-miR-141-3p"	6.09934704953226	5.51999601883797	52.4629007874806	4.38453286418462e-13	1.51092895103916e-12
"hsa-miR-142-3p"	13.0292954139477	11.7504304212639	228.682810289849	1.15505644504822e-51	5.53272037178098e-50
"hsa-miR-142-5p"	14.596667287866	13.8454339687917	465.361260351581	3.27493689881735e-103	1.56869477453351e-100
