"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	0.296696142718849	3.4552055187686	0.0390668600283215	0.843316264605616	0.925390840236333
"hsa-let-7a-3p"	0.201722698638762	5.75999674198577	0.125503155904361	0.723140860099561	0.905934799735839
"hsa-let-7a-5p"	-1.12080600395997	16.0229174620216	2.21545084535137	0.136635141199309	0.452829145725077
"hsa-let-7b-3p"	-0.257044709698692	7.09994875777588	0.214200308311331	0.643494977246629	0.880886369841328
"hsa-let-7b-5p"	-1.01419994726242	12.7798530001127	1.97882600175481	0.159514139690554	0.506187470303421
"hsa-let-7c-5p"	1.452573409452	10.174952687575	1.96952333650228	0.160498466193768	0.506187470303421
"hsa-let-7d-3p"	0.367056079135674	7.15895618788156	0.295197995808856	0.586908626199734	0.851935013029247
"hsa-let-7d-5p"	-0.138484503949058	10.1838836162975	0.0486275313200792	0.825468915461812	0.922723805085152
"hsa-let-7e-3p"	-0.682168888051845	3.69879947474916	0.239643089397357	0.624464013296073	0.880886369841328
"hsa-let-7e-5p"	-0.447454152222745	11.688966354168	0.300013670167573	0.583873850931169	0.851935013029247
"hsa-let-7f-1-3p"	0.593306385074185	4.09187457814562	0.539230000057839	0.462752014661434	0.794893046510797
"hsa-let-7f-2-3p"	2.34568205309577	4.34897331561919	1.19123947359274	0.275079682299389	0.632494541985091
"hsa-let-7f-5p"	0.526978492770153	15.0353771340405	0.732001304819732	0.392235255909379	0.727957500767883
"hsa-let-7g-3p"	2.18591908983255	3.09734609468988	3.05307646153131	0.0805843619833615	0.339659320135477
"hsa-let-7g-5p"	-0.339172510384433	12.2686615551464	0.291336653588701	0.589365241829545	0.851935013029247
"hsa-let-7i-3p"	0.589775804502806	5.69256140459273	1.00255328089676	0.31669347636201	0.658197040733947
"hsa-let-7i-5p"	0.570242559950604	14.3770922428851	0.844631573634615	0.358075489311042	0.698565251014881
"hsa-miR-100-3p"	-1.58852828437554	8.57355166328041	3.77252034886202	0.0521010715111206	0.265909825206045
"hsa-miR-100-5p"	-0.699398783399019	17.8902310462974	1.26030937373434	0.261592538489785	0.626484343420219
"hsa-miR-101-3p"	0.127471111117131	10.54480575298	0.0413624917675577	0.838839822804683	0.922723805085152
"hsa-miR-103a-3p"	0.0398790637263333	11.6646124708763	0.00398235985122142	0.949682143107483	0.973557054084512
"hsa-miR-106b-3p"	1.40585722638975	7.57540690924279	4.0905688814276	0.0431231256476275	0.240105304531852
"hsa-miR-106b-5p"	1.31176792611993	7.22476206998252	3.21643118448258	0.0729024115716902	0.327571207310209
"hsa-miR-107"	-1.36080773371019	7.68210024887747	2.36974321583937	0.123707398682917	0.425799909815935
"hsa-miR-10a-3p"	-3.24445050542887	3.66417211612293	3.85509889274706	0.0495950030277788	0.261614488820472
"hsa-miR-10a-5p"	-4.31267360359191	14.8761809968724	12.1391574276472	0.000493740779333908	0.0171290070368917
"hsa-miR-10b-5p"	6.04249739112727	12.6628773800588	12.2938517268691	0.000454452882366093	0.017079854162259
"hsa-miR-1180-3p"	0.513086009511543	4.37604764684778	0.445407249125453	0.504524086576687	0.812244595724627
"hsa-miR-1185-1-3p"	1.50084327631777	5.01123592257385	4.16944395168836	0.0411593056106699	0.232035585380152
"hsa-miR-1185-5p"	-0.285923424921817	5.2469308851898	0.210195033549645	0.646614581664288	0.880886369841328
"hsa-miR-1197"	1.57310266319774	3.59480727948922	3.55518429952479	0.0593597158671615	0.290787326993017
"hsa-miR-1249-3p"	2.44903169939094	5.34672779641245	3.84526705716728	0.0498865765821742	0.261614488820472
"hsa-miR-125a-3p"	-0.85814270534441	5.04902801876691	0.979235473129723	0.322387628438273	0.666957891860831
"hsa-miR-125a-5p"	-0.288037676188675	12.9884370243233	0.145202252169128	0.70316308099687	0.901296003327856
"hsa-miR-125b-1-3p"	-0.101040600087298	11.3368638864555	0.0182950771759991	0.892406866289225	0.949234662019907
"hsa-miR-125b-2-3p"	-1.02874087769463	6.96738612578994	3.42137880595548	0.0643572403916534	0.299227993985935
"hsa-miR-125b-5p"	0.0671436993285374	14.6341617237984	0.00980107032478372	0.921137988101821	0.970638394004489
"hsa-miR-126-3p"	0.987906050137969	4.55193913414276	0.370683292238609	0.542632050739299	0.821231727796724
"hsa-miR-126-5p"	2.10916357967143	5.98836384689082	4.97259395134596	0.0257519988809623	0.178679253774061
"hsa-miR-1260a"	2.02462143154007	4.45443211042478	6.02318412771275	0.014119150675545	0.144452836323812
"hsa-miR-1260b"	1.1876718024504	3.57866989145187	1.61529434006959	0.203749175047135	0.567227641643566
"hsa-miR-1262"	1.09062776872198	2.93775221670868	0.93760701169485	0.332894017784767	0.671897894836376
"hsa-miR-127-3p"	0.00129538700129844	14.7744357212945	3.62742480319866e-06	0.998480365978192	0.998480365978192
"hsa-miR-127-5p"	0.195493899676938	6.96855290895957	0.095815925011367	0.756909667378152	0.907092921717873
"hsa-miR-1271-5p"	-0.204071622104694	7.14794123092729	0.091096308014909	0.762788026270605	0.908874964476461
"hsa-miR-128-1-5p"	-0.0261913698290839	4.30572060526956	0.000560265454155662	0.981115893891836	0.987685866395576
"hsa-miR-128-3p"	0.352628876562432	9.42980663736642	0.315464925716801	0.574345890514466	0.843745917335583
"hsa-miR-1285-3p"	-1.379505303566	2.86837396892008	0.474520366532388	0.490914905975829	0.812244595724627
"hsa-miR-1296-5p"	-0.217913444979839	4.96324374868251	0.062773821049932	0.80216432895539	0.922723805085152
"hsa-miR-1301-3p"	-0.495469902674632	5.22057712609024	0.417107149872107	0.518384061104918	0.814603524593443
