"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-3p"	-0.312562724310872	5.31442928586815	0.195218369506813	0.658608443776004	0.716827974717529
"hsa-let-7a-5p"	1.5402978091234	15.5079025916861	10.6974566308027	0.00107282919881194	0.00256178608686002
"hsa-let-7b-3p"	-0.107679816010535	4.64113503600647	0.0459352686244698	0.830293509183667	0.862318268925205
"hsa-let-7b-5p"	0.214755796086962	10.9518132769241	0.271870752184782	0.602079607812166	0.664480015344519
"hsa-let-7c-5p"	-2.29016267925368	4.74035592147477	9.27931246153031	0.00231756403135991	0.0050103696435885
"hsa-let-7d-3p"	-0.758421265091255	8.08418096195795	3.93524748967348	0.0472841824829586	0.0724901474641467
"hsa-let-7d-5p"	-0.171697269838883	10.9719410971652	0.12434552093265	0.724368391098088	0.771354448899045
"hsa-let-7e-3p"	-6.9221404221448	3.06210550957469	24.8006165344629	6.35771308257197e-07	3.09251722781896e-06
"hsa-let-7e-5p"	-3.93285776052464	10.1750998263395	8.06630633813224	0.00450959507328337	0.00870970813173356
"hsa-let-7f-1-3p"	-1.38200644163726	4.12378849813584	5.0712249675539	0.0243261873566258	0.0397697834792969
"hsa-let-7f-2-3p"	-0.625962188057009	4.0391264270595	0.689685866057769	0.406271249858487	0.477823499833563
"hsa-let-7f-5p"	0.722272309645838	15.3656309723913	2.74013665822213	0.0978563979433956	0.135758523907387
"hsa-let-7g-3p"	1.52323621836347	4.70418821134134	5.10804727312198	0.0238151101762513	0.0392600561064561
"hsa-let-7g-5p"	1.92255504166933	14.3459640327099	20.4201104163104	6.21730093039839e-06	2.4015848691931e-05
"hsa-let-7i-3p"	2.62904470206025	7.85236545171075	16.724294535894	4.32239296014557e-05	0.000149387967219066
"hsa-let-7i-5p"	0.186580468512099	13.7232122040017	0.177309922515178	0.673695316163743	0.729219655408007
"hsa-miR-100-5p"	-1.25594224654365	6.31515825338226	2.64346069637007	0.103976826448098	0.142246075071356
"hsa-miR-101-3p"	2.82346903226294	13.2811359416443	13.8242702806987	0.000200726530344509	0.000598363808065357
"hsa-miR-101-5p"	1.35107037903151	4.45260640176514	2.5856338931027	0.107837229114504	0.146006420175651
"hsa-miR-103a-3p"	-0.500508592181454	12.5836195271023	1.26536020930416	0.260638909485627	0.320911657304178
"hsa-miR-106a-5p"	3.53195357293212	4.25292522042677	27.8298214532014	1.32468453526532e-07	7.67537804256672e-07
"hsa-miR-106b-3p"	3.38463968068715	9.20400532403994	32.4919670205457	1.19686225926286e-08	8.2730478973608e-08
"hsa-miR-106b-5p"	1.36773175953126	8.16181889508191	3.15576107251057	0.0756594033254523	0.108399290582648
"hsa-miR-107"	-1.82858464471689	4.43358453457975	12.5312850015829	0.000400194492543368	0.00106143913226889
"hsa-miR-10a-5p"	1.87463377461469	11.2437829760977	7.45605362168709	0.00632234611594956	0.0118502928584951
"hsa-miR-10b-5p"	3.43376266991039	6.63687698183579	12.9366999530647	0.000322202508164482	0.000877315208893596
