"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-3p"	-0.198328696727129	5.49530109628221	0.121265570043484	0.727665909757434	0.7786613643496
"hsa-let-7a-5p"	0.22658569641455	14.7851438761632	0.253801474150464	0.614410971371901	0.677558765651791
"hsa-let-7b-3p"	-0.015742743032313	4.82113604554733	0.000850653184166106	0.976732230189553	0.981677709836082
"hsa-let-7b-5p"	0.0146244298852557	11.0003107475919	0.00116424762929768	0.972780604366392	0.980187563282888
"hsa-let-7c-5p"	-1.59247456099991	5.07093380733968	4.6070234140876	0.0318412565952204	0.0517215720565199
"hsa-let-7d-3p"	-1.55181547198475	8.07078412760654	12.2450411162305	0.000466496255267711	0.00128610425931445
"hsa-let-7d-5p"	-0.93889918898221	10.890842873801	4.37404422071112	0.0364902894771354	0.0577157168224013
"hsa-let-7e-3p"	-5.15523785110163	3.32047230584377	20.1571364174703	7.13336090229585e-06	3.14660475356828e-05
"hsa-let-7e-5p"	-4.83846702217988	10.5449411389525	82.5001290325888	1.05663236526571e-19	5.9926149858641e-18
"hsa-let-7f-1-3p"	-1.30038169675143	4.32101998311955	4.60284992038334	0.031918854291807	0.0517215720565199
"hsa-let-7f-2-3p"	-0.267961634880819	4.28122060250443	0.0916379660052495	0.762105057890481	0.808972481236687
"hsa-let-7f-5p"	0.498076281560097	15.3763083963275	1.49064960373204	0.222115697514302	0.283536758563273
"hsa-let-7g-3p"	2.14859171358537	5.16630220507438	11.6145387214071	0.000654382656547887	0.0016869474977241
"hsa-let-7g-5p"	2.62082299848312	15.0193281461926	28.8274559349015	7.91215022071001e-08	4.90800568378418e-07
"hsa-let-7i-3p"	1.69088418970556	7.04183717521458	8.64363927489632	0.00328205171624681	0.00668727896267804
"hsa-let-7i-5p"	-0.342814360001142	13.620304319925	0.780943331669619	0.376852790637081	0.444948488679584
"hsa-miR-100-5p"	0.0972310501802901	7.05825264222552	0.0148231486900769	0.903096733138271	0.92883265040387
"hsa-miR-101-3p"	3.60002520261544	13.998214290014	41.5745188506307	1.13462513613044e-10	1.12611544760946e-09
"hsa-miR-101-5p"	2.80329897582262	5.55941554340294	18.5475763640755	1.65715801105095e-05	6.51377950878444e-05
"hsa-miR-103a-3p"	-0.347876101764593	12.8650543667606	0.77816849275132	0.37770186570534	0.444948488679584
"hsa-miR-106a-5p"	2.44275386651763	3.36140344526517	7.50070492672281	0.00616748479189237	0.0117715935691407
"hsa-miR-106b-3p"	2.44648273808628	8.35445047190193	28.4714233244996	9.50917042432969e-08	5.80790870532136e-07
"hsa-miR-106b-5p"	1.70064205853983	8.42881117200142	11.7079120644778	0.00062234910916664	0.00161485357084416
"hsa-miR-107"	-0.902425268617641	4.9861306859302	2.09992423525131	0.147306437743334	0.199592681857009
"hsa-miR-10a-5p"	0.971644154362625	10.5447846044315	1.83215343514398	0.17587340409601	0.231197819291775
"hsa-miR-10b-5p"	1.82142299386655	5.36558550513623	5.62995492735646	0.017656085441419	0.0311531818677481
"hsa-miR-1226-3p"	-2.96777074989079	4.12986282148462	16.0117074242143	6.29519974292001e-05	0.000206544983300764
