"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	7.32786442691802	3.4254439523767	18.7951857999273	1.45534016587637e-05	9.78312000394671e-05
"hsa-let-7a-3p"	0.826625426692053	5.92232971268133	0.75030178791739	0.386380699753372	0.524521013287963
"hsa-let-7a-5p"	1.54625364992283	15.4593608907907	4.93897085615117	0.0262576662958032	0.0567353146748604
"hsa-let-7b-3p"	2.96517191926932	6.76339131266171	12.3846738396537	0.000432872243863231	0.00170037474268766
"hsa-let-7b-5p"	2.42439469314922	12.5147145764354	13.082278875544	0.000298102565053556	0.00126562843408703
"hsa-let-7c-5p"	4.91459426060575	9.43104676934951	18.8545465082925	1.41074444231111e-05	9.75429014397965e-05
"hsa-let-7d-3p"	-0.840077601521002	8.13000465137776	1.46905973084309	0.225494105595543	0.342128987800134
"hsa-let-7d-5p"	-0.651351109024419	10.819593025832	1.02648415925823	0.310985870414768	0.438825543092559
"hsa-let-7e-3p"	0.13354675779295	4.03611723411454	0.0214743087505482	0.883494207228738	0.917653625449788
"hsa-let-7e-5p"	0.65409251106033	11.6799187933131	1.05299126766619	0.304819175539719	0.433919061650659
"hsa-let-7f-1-3p"	-0.00776569136918132	4.6612452935934	7.09135361827151e-05	0.993281079539799	0.993281079539799
"hsa-let-7f-2-3p"	-0.417027504775803	4.12737878560768	0.117377989907798	0.731895855389966	0.824204508468493
"hsa-let-7f-5p"	0.0230354321613667	14.9531868434979	0.00147156700290907	0.969399848484277	0.97747818055498
"hsa-let-7g-3p"	-0.924830573757925	3.42013572176352	0.748699045900909	0.386888433354964	0.524521013287963
"hsa-let-7g-5p"	-0.648581081713229	12.720946952469	1.07747400262912	0.299263326842092	0.429802522823657
"hsa-let-7i-3p"	0.32909118828016	6.05410981996788	0.135497450793092	0.712798832133556	0.811752081770921
"hsa-let-7i-5p"	0.983269391211858	14.2054521737749	2.5348584666782	0.111356871185693	0.187991630111305
"hsa-miR-100-3p"	10.5930579817244	6.49645805353757	35.3836426331998	2.70751199444524e-09	5.6975469796152e-08
"hsa-miR-100-5p"	11.7755792737612	17.6375762772429	81.1554083587848	2.08647192556174e-19	2.52463102992971e-17
"hsa-miR-101-3p"	0.0857409820451542	11.1825468509643	0.00921760547879558	0.923513931722555	0.949003700538677
"hsa-miR-101-5p"	-2.5006922802278	3.01828397426276	3.0756777227302	0.0794714644924972	0.143523092590928
"hsa-miR-103a-3p"	-0.971971064502214	12.4668834460738	2.53319387844019	0.111474375706497	0.187991630111305
"hsa-miR-106b-3p"	1.42470533666247	7.42382076987549	3.4899914155221	0.0617409050474984	0.117648023791296
"hsa-miR-106b-5p"	0.197299658364276	7.33383837939266	0.0467176646731531	0.828876520262811	0.883648096491631
"hsa-miR-107"	2.8619853022402	7.1556900045687	7.22454503152296	0.0071913396340542	0.0183189914888539
"hsa-miR-10a-3p"	8.34855979949666	4.3353937899307	10.6490922449789	0.00110124943298031	0.00360138328082751
"hsa-miR-10a-5p"	5.64806970599504	14.5605686084501	20.5927452863524	5.68109911808282e-06	4.58275328858681e-05
"hsa-miR-10b-5p"	9.67482896386152	12.6258668283412	23.0856803167844	1.54940332721487e-06	1.55923422706456e-05
"hsa-miR-1180-3p"	3.55798045659361	3.91616904695862	5.17951409745596	0.0228547143717913	0.0505099623559224
"hsa-miR-1185-1-3p"	8.51571241570458	4.49018080481314	11.1458918120132	0.000842179751166967	0.00287052816594938
"hsa-miR-1185-2-3p"	5.86445468887858	2.30310822696549	6.70737596547808	0.00960149094893502	0.0239542351509513
"hsa-miR-1185-5p"	7.74641664864853	3.78909355567058	9.42331478337919	0.00214243893631367	0.00644062388307961
"hsa-miR-1197"	7.59785110064108	3.65868678962123	8.6532998218715	0.00326469564644641	0.00924042510456177
"hsa-miR-122-5p"	1.03597725004782	2.6854770458357	0.320910264747853	0.571061122055022	0.692768757382165
"hsa-miR-1226-3p"	-0.503170762923896	4.47516182832693	0.190560421063689	0.662450592730179	0.772592980437124
"hsa-miR-1228-3p"	-2.23378031144384	3.96692090281521	3.52887050857962	0.0603088589769986	0.116194112736231
"hsa-miR-1228-5p"	-5.42243732001099	2.13184714819897	6.24565109172896	0.0124498607290212	0.0299787691186382
"hsa-miR-1233-3p"	5.80950935234079	2.26487425317977	7.36513463202334	0.00665006209279408	0.0172119254166435
"hsa-miR-1237-3p"	-0.929637488732595	2.32522480244538	0.590679883054419	0.4421563325289	0.579955731555522
"hsa-miR-1249-3p"	-3.44740971888941	6.6956240554498	12.309655630484	0.000450621103916426	0.0017448049143644
"hsa-miR-1257"	6.72355999099771	2.9019592379537	11.1186772819993	0.000854627130184476	0.00289258413293207
"hsa-miR-125a-3p"	1.64782055320941	4.51028871710915	3.77743044998478	0.0519483788596652	0.100975965333646
"hsa-miR-125a-5p"	0.648110273771333	13.5330250059916	0.898028938920106	0.343310775399751	0.478854222747779
"hsa-miR-125b-1-3p"	14.2824718175135	10.164651809208	93.7441594755777	3.59060062343706e-22	8.68925350871768e-20
"hsa-miR-125b-2-3p"	5.09551603002439	6.64088773536176	18.811519822976	1.44292962399793e-05	9.78312000394671e-05
"hsa-miR-125b-5p"	10.8803895556664	14.8886742602725	93.7759490201981	3.53339311582926e-22	8.68925350871768e-20
"hsa-miR-126-3p"	5.29952683851712	8.34652485433746	13.4162289967353	0.000249456672939697	0.00108772098831363
"hsa-miR-126-5p"	5.5401897783771	9.5972511294341	15.9893367820465	6.37002613148157e-05	0.000324536068172324
"hsa-miR-1260a"	0.302112310083166	4.92500884069876	0.105960808621963	0.744790409712385	0.828686340921366
"hsa-miR-1260b"	0.586963625898371	4.3695436845366	0.369234862906232	0.543421629048064	0.674400175536572
"hsa-miR-1269b"	5.61515212787378	2.14592128306628	4.9219236497117	0.0265179752577737	0.0570431112211665
"hsa-miR-127-3p"	11.1547038180364	13.6093632698683	37.6994107887059	8.25294855599904e-10	2.10233005321239e-08
"hsa-miR-127-5p"	9.15480412564731	5.09496273536763	17.1516148234651	3.45115890558628e-05	0.000187681001157726
"hsa-miR-1271-3p"	6.21868765342443	2.61186391321443	5.4681637592986	0.0193659625391433	0.0439665117860996
"hsa-miR-1271-5p"	2.46540064915625	7.7923405125355	4.13498099281095	0.0420055391949889	0.0850656107547055
"hsa-miR-1273h-3p"	-6.05199108771919	2.52734877615832	10.1473793270519	0.00144506527902766	0.00460139207269333
"hsa-miR-128-1-5p"	-0.294281380564428	3.95367142195422	0.102264563120567	0.749128810040919	0.829827958356234
"hsa-miR-128-3p"	0.781166420820408	9.6171837466344	1.26714458613891	0.260303037832735	0.385668633441367
"hsa-miR-1285-3p"	-0.699362516441575	4.43515933769744	0.151077466887775	0.697507811602736	0.796282690240059
"hsa-miR-1296-5p"	1.1360500080553	5.23414228773167	1.85293536481179	0.173442379661837	0.27613852551424
"hsa-miR-1301-3p"	-1.86145256722861	7.54282542099044	3.52368601173687	0.0604977611767155	0.116194112736231
