"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	7.98137729616625	4.01076765290863	36.3831694116822	1.62096947027291e-09	8.39491557236073e-09
"hsa-let-7a-3p"	2.05498505535435	6.84032732841539	9.676562917521	0.00186633439733063	0.00452333262801316
"hsa-let-7a-5p"	1.11531950933363	15.132017296658	4.254831960822	0.0391388200674375	0.0690369199809919
"hsa-let-7b-3p"	3.41094582035149	7.19313732384203	23.854825148269	1.03881161767193e-06	3.9014909610274e-06
"hsa-let-7b-5p"	1.66149711250253	11.9187913003874	8.25445134723413	0.00406521922908666	0.00913282128178373
"hsa-let-7c-5p"	4.57033776738334	9.16572382230451	16.6819607269677	4.41993000566149e-05	0.000135799477782618
"hsa-let-7d-3p"	-0.720464633839667	8.17776870882591	1.51795335463063	0.217929474610164	0.297011915535182
"hsa-let-7d-5p"	-0.801500827408976	10.7461078336547	1.82944759868755	0.1761928063043	0.253470352928992
"hsa-let-7e-3p"	0.993931031535904	4.54682290318529	1.63715408516609	0.200716386583184	0.278019218251437
"hsa-let-7e-5p"	0.61672752313527	11.6379098191958	1.18898948959772	0.275533482996331	0.362466507043302
"hsa-let-7f-1-3p"	0.657890812101178	5.05972485925637	0.764243854172497	0.38200367380159	0.471042124086171
"hsa-let-7f-2-3p"	0.980828266770463	4.88538148401836	1.43230515047728	0.231388604853708	0.313414649567932
"hsa-let-7f-5p"	0.164138919880994	15.0233686235702	0.0987938580294383	0.753281880688453	0.800463683150581
"hsa-let-7g-3p"	-0.2698534833364	3.68915705534921	0.102522076192834	0.748823782397452	0.799178526983831
"hsa-let-7g-5p"	-0.987730571583416	12.5864229751824	3.13508457056459	0.0766244125807561	0.123200035914157
"hsa-let-7i-3p"	0.378352289619142	6.14555855881419	0.243512068329906	0.621680942056402	0.701529870393921
"hsa-let-7i-5p"	1.06968029717256	14.2747337685495	3.93265064521694	0.0473572451468531	0.0820414246910272
"hsa-miR-100-3p"	11.8846175705123	7.79215103452523	66.9824504292875	2.73934912116132e-16	4.64744747452197e-15
"hsa-miR-100-5p"	11.2875027398782	17.1849564745329	146.952516732497	8.0373210360757e-34	3.95436194974924e-31
"hsa-miR-101-3p"	-0.746250852161808	10.8352522262526	1.42189696362624	0.233091424388681	0.313414649567932
"hsa-miR-101-5p"	-2.77857297821825	3.06283486591149	5.75289338191577	0.016461522556945	0.0320121308222014
"hsa-miR-103a-3p"	-0.756619055312047	12.5492445974265	1.97886071967673	0.159510479044807	0.232186851153979
"hsa-miR-106b-3p"	1.28358774350142	7.35819637977343	3.25537857532689	0.0711894965647799	0.115977590430039
"hsa-miR-106b-5p"	0.674008285233068	7.64901530976952	0.843700056299959	0.358340692583364	0.447471118657399
"hsa-miR-107"	1.05782558105748	5.72986396082809	2.68406969373739	0.101356403971114	0.157310254743812
"hsa-miR-10a-3p"	7.39626990163097	3.49351572610688	35.4739919233549	2.58478907955139e-09	1.31104765684462e-08
"hsa-miR-10a-5p"	4.17719336341699	13.215591194098	20.981433142642	4.63755974312787e-06	1.61821233589994e-05
"hsa-miR-10b-5p"	8.25069722485018	11.1751981993716	17.7387249358211	2.53414970607974e-05	8.19595438082277e-05
"hsa-miR-1180-3p"	4.18731826801891	4.46965886916177	29.4654834287111	5.69214653131364e-08	2.37333567237823e-07
"hsa-miR-1185-1-3p"	9.94600284499385	5.87785003545318	56.1587062776974	6.68509204861091e-14	6.20578356210673e-13
"hsa-miR-1185-2-3p"	6.96421357035905	3.12971701910072	32.3846623580293	1.26480834296909e-08	5.65714277037086e-08
"hsa-miR-1185-5p"	8.62088632120845	4.60341052772354	46.5033789782452	9.14606012305277e-12	6.617443500797e-11
