"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-3p"	0	5.85183064553287	0	1	1
"hsa-let-7a-5p"	0	14.8546940030439	0	1	1
"hsa-let-7b-3p"	0	5.07758460136821	0	1	1
"hsa-let-7b-5p"	0	11.2315368247768	0	1	1
"hsa-let-7c-5p"	0	5.90862794120686	0	1	1
"hsa-let-7d-3p"	0	8.85813501381052	0	1	1
"hsa-let-7d-5p"	0	11.4738329221597	0	1	1
"hsa-let-7e-3p"	0	4.33411333107222	0	1	1
"hsa-let-7e-5p"	0	11.6792874051637	0	1	1
"hsa-let-7f-1-3p"	0	5.04652369183949	0	1	1
"hsa-let-7f-2-3p"	0	4.67347711748706	0	1	1
"hsa-let-7f-5p"	0	15.3155134507426	0	1	1
"hsa-let-7g-3p"	0	4.10255642527675	0	1	1
"hsa-let-7g-5p"	0	13.3785055517027	0	1	1
"hsa-let-7i-3p"	0	6.28918961007448	0	1	1
"hsa-let-7i-5p"	0	14.0087493773139	0	1	1
"hsa-miR-100-5p"	0	7.26936796780916	0	1	1
"hsa-miR-101-3p"	0	11.5305299711941	0	1	1
"hsa-miR-101-5p"	0	3.99971765912105	0	1	1
"hsa-miR-103a-3p"	0	13.2497250525811	0	1	1
"hsa-miR-106b-3p"	0	6.94474277552024	0	1	1
"hsa-miR-106b-5p"	0	7.62117268897965	0	1	1
"hsa-miR-107"	0	5.50881281894273	0	1	1
"hsa-miR-10a-5p"	0	10.3055186779194	0	1	1
"hsa-miR-10b-5p"	0	4.43787462475982	0	1	1
"hsa-miR-1226-3p"	0	5.01703342152461	0	1	1
"hsa-miR-1228-3p"	0	4.97112512709	0	1	1
"hsa-miR-1228-5p"	0	3.05544515944139	0	1	1
"hsa-miR-1237-3p"	0	2.83957936133162	0	1	1
"hsa-miR-1249-3p"	0	7.91863366528071	0	1	1
"hsa-miR-125a-3p"	0	3.91385123758089	0	1	1
"hsa-miR-125a-5p"	0	13.537391861982	0	1	1
"hsa-miR-125b-2-3p"	0	3.17559656190415	0	1	1
"hsa-miR-125b-5p"	0	5.4427322073616	0	1	1
"hsa-miR-126-3p"	0	4.49804147875966	0	1	1
"hsa-miR-126-5p"	0	5.46741117874744	0	1	1
"hsa-miR-1260a"	0	5.10576464158803	0	1	1
"hsa-miR-1260b"	0	4.41756706194226	0	1	1
"hsa-miR-127-3p"	0	3.98288868401073	0	1	1
"hsa-miR-1271-5p"	0	6.47868658832337	0	1	1
"hsa-miR-1273h-3p"	0	3.56160079049404	0	1	1
"hsa-miR-128-1-5p"	0	4.40374036102726	0	1	1
"hsa-miR-128-3p"	0	9.54571683498864	0	1	1
"hsa-miR-1285-3p"	0	5.06235164851822	0	1	1
"hsa-miR-1296-5p"	0	4.95748727371063	0	1	1
"hsa-miR-1301-3p"	0	8.54835874029228	0	1	1
"hsa-miR-1303"	0	4.86807670572319	0	1	1
"hsa-miR-1304-3p"	0	5.41820027171921	0	1	1
"hsa-miR-1306-5p"	0	3.70336228165432	0	1	1
"hsa-miR-1307-3p"	0	9.07374417265855	0	1	1
"hsa-miR-1307-5p"	0	9.37019265234647	0	1	1
"hsa-miR-130a-3p"	0	6.02914063417643	0	1	1
"hsa-miR-130b-3p"	0	8.39731730758855	0	1	1
"hsa-miR-130b-5p"	0	6.56562820263295	0	1	1
"hsa-miR-132-3p"	0	8.05398622898897	0	1	1
"hsa-miR-132-5p"	0	5.3328073287266	0	1	1
"hsa-miR-133a-3p"	0	5.37713420188019	0	1	1
"hsa-miR-1343-3p"	0	3.62597927183235	0	1	1
"hsa-miR-139-5p"	0	4.76839993740675	0	1	1
"hsa-miR-140-3p"	0	11.8423231900287	0	1	1
"hsa-miR-140-5p"	0	6.48094589390699	0	1	1
"hsa-miR-141-3p"	0	5.43811940849215	0	1	1
"hsa-miR-142-3p"	0	10.10601584566	0	1	1
"hsa-miR-142-5p"	0	13.6775340364191	0	1	1
"hsa-miR-143-3p"	0	7.03027548117573	0	1	1
"hsa-miR-146a-3p"	0	5.66894375892312	0	1	1
"hsa-miR-146a-5p"	0	14.393815578779	0	1	1
"hsa-miR-146b-3p"	0	10.5191529169561	0	1	1
"hsa-miR-146b-5p"	0	16.5237074518535	0	1	1
"hsa-miR-147b"	0	7.25549244535313	0	1	1
"hsa-miR-148a-3p"	0	11.0825247810663	0	1	1
"hsa-miR-148a-5p"	0	5.22264358574203	0	1	1
"hsa-miR-148b-3p"	0	11.2645192131514	0	1	1
"hsa-miR-148b-5p"	0	7.80937729165265	0	1	1
"hsa-miR-150-5p"	0	7.62335504996243	0	1	1
"hsa-miR-151a-3p"	0	9.76724467998623	0	1	1
"hsa-miR-151a-5p"	0	10.6437053917788	0	1	1
"hsa-miR-152-3p"	0	6.45234775356205	0	1	1
"hsa-miR-152-5p"	0	3.52519720112698	0	1	1
"hsa-miR-155-5p"	0	11.3190866544413	0	1	1
"hsa-miR-15a-5p"	0	10.7934296680138	0	1	1
"hsa-miR-15b-3p"	0	4.95465982668787	0	1	1
"hsa-miR-15b-5p"	0	8.30958600925019	0	1	1
"hsa-miR-16-2-3p"	0	6.08185083829222	0	1	1
"hsa-miR-16-5p"	0	13.1723991845786	0	1	1
"hsa-miR-17-3p"	0	6.13990530684393	0	1	1
"hsa-miR-17-5p"	0	7.81773822646876	0	1	1
"hsa-miR-181a-2-3p"	0	5.62197083403862	0	1	1
"hsa-miR-181a-3p"	0	9.16039010281078	0	1	1
"hsa-miR-181a-5p"	0	14.4185764896177	0	1	1
"hsa-miR-181b-3p"	0	3.77050171915158	0	1	1
"hsa-miR-181b-5p"	0	10.721277621044	0	1	1
"hsa-miR-181c-3p"	0	7.71841779131332	0	1	1
"hsa-miR-181c-5p"	0	10.1972795550915	0	1	1
"hsa-miR-181d-5p"	0	6.72648072717336	0	1	1
"hsa-miR-182-5p"	0	4.58776533950337	0	1	1
"hsa-miR-185-3p"	0	5.4933417945618	0	1	1
"hsa-miR-185-5p"	0	8.76046157788672	0	1	1
"hsa-miR-186-5p"	0	12.8051007673493	0	1	1
"hsa-miR-188-5p"	0	4.45023297705921	0	1	1
"hsa-miR-18a-3p"	0	3.86831436757962	0	1	1
"hsa-miR-18a-5p"	0	5.98594960548512	0	1	1
"hsa-miR-1908-5p"	0	4.1145555066572	0	1	1
"hsa-miR-190a-5p"	0	4.44969795137618	0	1	1
"hsa-miR-191-3p"	0	5.27122865979458	0	1	1
"hsa-miR-191-5p"	0	15.6217700883038	0	1	1
"hsa-miR-192-5p"	0	8.12485316249761	0	1	1
"hsa-miR-193a-3p"	0	8.75934122030779	0	1	1
"hsa-miR-193a-5p"	0	8.92686250844112	0	1	1
"hsa-miR-194-5p"	0	3.23605053947925	0	1	1
"hsa-miR-196b-5p"	0	2.9851775121538	0	1	1
"hsa-miR-197-3p"	0	11.0122782662141	0	1	1
"hsa-miR-1976"	0	5.33200824620355	0	1	1
"hsa-miR-199a-3p"	0	6.69593502643093	0	1	1
"hsa-miR-199b-3p"	0	5.55660676311122	0	1	1
"hsa-miR-199b-5p"	0	6.4890507209143	0	1	1
"hsa-miR-19a-3p"	0	7.65292793109538	0	1	1
"hsa-miR-19b-3p"	0	9.44333135313295	0	1	1
"hsa-miR-200b-3p"	0	4.39237183826753	-1.4210854715202e-14	1	1
"hsa-miR-200c-3p"	0	4.93562939302301	0	1	1
"hsa-miR-20a-5p"	0	7.86350362952479	0	1	1
"hsa-miR-20b-5p"	0	3.15102660678779	0	1	1
"hsa-miR-21-3p"	0	12.7843059685824	0	1	1
"hsa-miR-21-5p"	0	17.8197494089181	0	1	1
"hsa-miR-210-3p"	0	9.51620832584367	0	1	1
"hsa-miR-210-5p"	0	6.31746347243959	0	1	1
"hsa-miR-2110"	0	3.91542548078744	0	1	1
"hsa-miR-2110-3p"	0	4.60224471813364	0	1	1
"hsa-miR-2116-3p"	0	4.58903937678496	0	1	1
"hsa-miR-212-3p"	0	5.17267029661275	0	1	1
"hsa-miR-212-5p"	0	5.78579110518789	0	1	1
"hsa-miR-215-5p"	0	3.65280859484388	0	1	1
"hsa-miR-218-5p"	0	3.04338535555932	0	1	1
"hsa-miR-22-3p"	0	16.8784971161629	0	1	1
"hsa-miR-22-5p"	0	7.31709380405647	0	1	1
"hsa-miR-221-3p"	0	11.316048339764	0	1	1
"hsa-miR-221-5p"	0	8.1798352809698	0	1	1
"hsa-miR-222-3p"	0	11.0197587539741	0	1	1
"hsa-miR-222-5p"	0	3.38080667158095	0	1	1
"hsa-miR-223-3p"	0	11.1334917501117	0	1	1
"hsa-miR-223-5p"	0	5.54301135084253	0	1	1
"hsa-miR-2277-5p"	0	4.72953408889405	0	1	1
"hsa-miR-2355-5p"	0	4.74222633746301	0	1	1
"hsa-miR-23a-3p"	0	11.9926053744715	0	1	1
"hsa-miR-23a-5p"	0	5.74085984775655	0	1	1
"hsa-miR-23b-3p"	0	6.51410747052284	0	1	1
"hsa-miR-24-2-5p"	0	8.36519660687201	0	1	1
"hsa-miR-24-3p"	0	10.9728950818224	0	1	1
"hsa-miR-2467-5p"	0	5.01670529187733	0	1	1
"hsa-miR-25-3p"	0	10.7431745821792	0	1	1
"hsa-miR-25-5p"	0	3.92464102087426	0	1	1
"hsa-miR-26a-2-3p"	0	3.84771607098744	0	1	1
"hsa-miR-26a-5p"	0	14.9334148947951	0	1	1
"hsa-miR-26b-3p"	0	6.86938896609596	0	1	1
"hsa-miR-26b-5p"	0	12.6664834536586	0	1	1
"hsa-miR-27a-3p"	0	13.1307051577736	0	1	1
"hsa-miR-27a-5p"	0	5.98650488246955	0	1	1
"hsa-miR-27b-3p"	0	10.5710688123705	0	1	1
"hsa-miR-28-3p"	0	12.6928275431769	0	1	1
"hsa-miR-28-5p"	0	10.0899018192921	0	1	1
"hsa-miR-29a-3p"	0	12.5394658393767	0	1	1
"hsa-miR-29a-5p"	0	4.72377662675776	0	1	1
"hsa-miR-29b-1-5p"	0	3.00221332301411	0	1	1
"hsa-miR-29b-2-5p"	0	3.47309505865488	0	1	1
"hsa-miR-29b-3p"	0	7.627462221167	0	1	1
"hsa-miR-29c-3p"	0	9.81129457925704	0	1	1
"hsa-miR-29c-5p"	0	5.72788107810205	0	1	1
"hsa-miR-301a-3p"	0	7.21091416834795	0	1	1
