"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-3p"	-1.52485515352693	5.41170006000607	8.6157516913348	0.00333268232229835	0.00659631065917696
"hsa-let-7a-5p"	-0.547864866454806	14.7292399312935	2.42101241976587	0.119717535703604	0.16336038316746
"hsa-let-7b-3p"	0.511717050185952	5.46082700705031	1.18273673594237	0.276799553975167	0.341190991002623
"hsa-let-7b-5p"	-0.618162765873966	11.0800126715406	2.89657001328371	0.0887682550020993	0.125755027919641
"hsa-let-7c-5p"	-3.08339627339218	5.20275617425534	15.0259204035926	0.000106044618683027	0.000300459752935244
"hsa-let-7d-3p"	-0.658484302772888	8.68703953798276	3.27048502576529	0.0705367662007602	0.102782145035393
"hsa-let-7d-5p"	-1.02725231378946	11.1716739641674	7.84714351747806	0.00509010692441696	0.00984248163583942
"hsa-let-7e-3p"	-3.73616329169765	3.61466837292109	17.4484181158279	2.95209843130865e-05	9.95418314028041e-05
"hsa-let-7e-5p"	-4.36442114238253	10.869066388845	97.7764398331173	4.68387530136098e-23	1.3650150878252e-21
"hsa-let-7f-1-3p"	-1.63621385698783	4.5867445277175	6.88149116118773	0.0087092872290074	0.0157928408419334
"hsa-let-7f-2-3p"	-1.91516236863841	4.15965559683778	6.46186321897553	0.011021401944036	0.0196363842496363
"hsa-let-7f-5p"	-1.47773093615619	14.8808467368228	14.7032388696807	0.000125830076203166	0.000349242660482256
"hsa-let-7g-3p"	-1.38080647186553	3.72217951050909	4.15470689434224	0.0415189591150657	0.0629729937507316
"hsa-let-7g-5p"	-0.498386463823814	13.2733236613767	1.91401939079796	0.166517460948546	0.21915846473228
"hsa-let-7i-3p"	-1.12345471540085	5.96320082343092	3.25540597582385	0.0711883067827909	0.102995848111272
"hsa-let-7i-5p"	-2.56763418420551	13.3549528369335	49.888117900637	1.62767362318411e-12	1.61973375185151e-11
"hsa-miR-100-5p"	2.19985020926914	8.865357838439	18.6552666992488	1.56614050680158e-05	5.60513444539515e-05
"hsa-miR-101-3p"	2.3438324326844	13.2591478216375	35.3506160374067	2.75381451588794e-09	1.58247369363701e-08
"hsa-miR-101-5p"	1.94879492933324	5.31058708137676	9.30897942202899	0.00228033470279531	0.00456066940559061
"hsa-miR-103a-2-5p"	-0.0656845673163911	3.26196196015776	0.0107935686612803	0.917254975632262	0.92177347304917
"hsa-miR-103a-3p"	0.0791623679064976	13.4123621401012	0.0600577819374308	0.806404637115687	0.835058608992894
"hsa-miR-106b-3p"	1.69397210977176	8.14014969635118	14.3067424376486	0.000155307602559807	0.000416878301607903
"hsa-miR-106b-5p"	1.54568031793566	8.70624141567125	11.0468500845576	0.00088838006307366	0.00200253627477377
"hsa-miR-107"	-1.27848105145766	5.13860047732449	5.74438879179204	0.0165414102308224	0.0282060003387887
"hsa-miR-10a-5p"	-0.154963616387389	10.357221148095	0.0645454641867218	0.799450754948339	0.829964142541787
"hsa-miR-10b-5p"	-1.15377477417559	4.11518011476784	3.68177851694697	0.0550101421896306	0.0813193406281495
"hsa-miR-1226-3p"	-1.45839685788135	4.60248966744308	6.90958216193674	0.00857350238091761	0.0156860491991676
"hsa-miR-1228-3p"	-8.066231339025	4.13343754675447	53.4088601559211	2.70872412550391e-13	3.34896800971393e-12
"hsa-miR-1228-5p"	-5.8944646437586	2.37765751495303	13.6575086615032	0.000219362355081809	0.000573716928675499
"hsa-miR-1237-3p"	-2.3514703077011	2.37132825859273	5.1476144847051	0.0232783318275737	0.0372453309241179
"hsa-miR-1248"	-0.226232658486103	3.0792643661314	0.0718233732497078	0.788700218799588	0.82299153266044
"hsa-miR-1249-3p"	-2.77270565769931	7.24123998261209	36.5273947219017	1.50535641745144e-09	8.77407740457411e-09
"hsa-miR-1255a"	0.848961455837889	3.05752530720042	1.10790059895735	0.292538767409572	0.356867060920197
"hsa-miR-125a-3p"	0.536754009614348	4.2866894091284	1.09680880128324	0.294967507180227	0.357111996823539
"hsa-miR-125a-5p"	-1.96907378371774	12.9875422039367	23.4607198420285	1.27490344275356e-06	5.47537478572053e-06
"hsa-miR-125b-2-3p"	-4.83745804815207	2.5095190509319	19.0619768166722	1.26541098701463e-05	4.65124038470242e-05
"hsa-miR-125b-5p"	1.15361188116743	6.22869158608839	7.07116756462042	0.0078334192601137	0.014593767388705
"hsa-miR-126-3p"	3.68673566538345	7.31210317521034	52.3790664640417	4.5757559959466e-13	5.33402413241775e-12
"hsa-miR-126-5p"	4.26814794793419	8.87641149511587	71.779724172747	2.4061198557373e-17	4.0904037547534e-16
"hsa-miR-1260a"	2.06099765073018	6.55122138414979	14.6296151159063	0.000130842178324066	0.00036070005916364
"hsa-miR-1260b"	1.44106425694104	5.37872649962503	5.96087072165925	0.0146268158054578	0.0253816566660259
"hsa-miR-127-3p"	4.97507444578132	7.95869401833516	41.1985749237945	1.37522770847691e-10	9.84373517646627e-10
"hsa-miR-1271-5p"	-2.39065128987409	5.85864830315197	23.636361791313	1.16367706160917e-06	5.05085362911213e-06
