"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	8.36674913761732	4.37218560669905	33.8477875659107	5.95968269914773e-09	5.03153539354275e-08
"hsa-let-7a-3p"	2.36816926757631	7.07263505710832	7.24111021009661	0.0071252907895663	0.0175575347207017
"hsa-let-7a-5p"	1.37083487121813	15.3394952398439	2.7200773026043	0.0990932162337363	0.15371387457944
"hsa-let-7b-3p"	3.0003851170594	6.81283252629739	11.6232181484764	0.000651336080438621	0.00216411665436058
"hsa-let-7b-5p"	2.18922068622344	12.3337846035623	5.5994709283911	0.0179659022003157	0.037459269769889
"hsa-let-7c-3p"	4.97481434763227	3.44174139500973	4.48524908546036	0.0341885640397453	0.0628825374302459
"hsa-let-7c-5p"	5.07642241531435	9.61416849213054	12.16115592619	0.00048795126996096	0.0016752993601993
"hsa-let-7d-3p"	-1.72447324971528	7.88711536449012	4.35774515270626	0.036841038254497	0.0672806195073261
"hsa-let-7d-5p"	-1.5288787550847	10.548000052177	3.03898483780523	0.0812867362581467	0.131230937846224
"hsa-let-7e-3p"	0.554530828356446	4.27063183169096	0.413139841072886	0.520380132845567	0.606878739486947
"hsa-let-7e-5p"	0.324909784875209	11.4972761383579	0.136518924893039	0.711766494083339	0.760497395130538
"hsa-let-7f-1-3p"	1.06761637588203	5.2801128865596	1.65799974084543	0.197873611365223	0.287056084093211
"hsa-let-7f-2-3p"	2.34310821732918	5.83526201284874	4.16860704155352	0.0411796422524377	0.0744123360000191
"hsa-let-7f-5p"	-0.243784876245769	14.8367242070178	0.103455268168716	0.747721928985202	0.789091789810203
"hsa-let-7g-3p"	0.512437393322344	4.01656004453356	0.327940548311371	0.566874291615064	0.650201024903692
"hsa-let-7g-5p"	-0.800327610882744	12.6738968184671	1.03171060386933	0.309757234409724	0.405915968755745
"hsa-let-7i-3p"	0.628742547420203	6.24661557632189	0.475716900862428	0.490368816738723	0.584583195880653
"hsa-let-7i-5p"	0.718179311846691	14.0502203571123	0.891307157108088	0.345123326430658	0.444346282779472
"hsa-miR-1-3p"	5.09501752593913	5.71664214514464	4.31357397097682	0.0378094483146615	0.068805179795232
"hsa-miR-100-3p"	12.1629197198712	8.06300649561804	45.0141092833385	1.95619898341067e-11	4.79734512598332e-10
"hsa-miR-100-5p"	10.9941635979337	16.8757517134625	51.553857357015	6.96596905567805e-13	3.26134005788563e-11
"hsa-miR-101-3p"	0.311906299725628	11.3181296055133	0.111206805970312	0.738774365367355	0.78447174879214
"hsa-miR-101-5p"	0.659645585807326	3.97162178301899	0.284586325594758	0.593710812216161	0.666146118281749
"hsa-miR-103a-3p"	-0.529334105075416	12.6455173978769	0.463499693221365	0.495992912819596	0.587937972983043
"hsa-miR-106a-5p"	6.72975243316182	7.124827836166	4.72719230810154	0.0296893127509092	0.0555999856971572
"hsa-miR-106b-3p"	-0.347844565650863	6.41372436916748	0.182518384151398	0.6692178545529	0.730184735370219
"hsa-miR-106b-5p"	-0.0574662410029943	7.22720358135761	0.00386066011528641	0.950455953575533	0.961659756564636
"hsa-miR-107"	3.60050978965792	7.82353560343733	5.94010670946971	0.0148001225990791	0.0320254753719569
"hsa-miR-10a-3p"	8.07114482796879	4.0947504950561	10.3880337383106	0.00126834618672269	0.00395877749189202
"hsa-miR-10a-5p"	4.35622139387294	13.3341951188773	7.16962745345839	0.00741481717987289	0.0180977765290736
"hsa-miR-10b-5p"	10.0020879934594	12.9583846286311	12.3342312098067	0.000444727221900842	0.00154753053566847
"hsa-miR-1180-3p"	4.17848647702372	4.48081511746267	20.0490056597837	7.54827696276452e-06	3.38031533549889e-05
"hsa-miR-1185-1-3p"	8.95453588661506	4.92212605006418	43.8841647234251	3.48396239549341e-11	8.15563924399593e-10
"hsa-miR-1185-5p"	8.52642562452547	4.51979638574314	40.1042803860562	2.40760855640514e-10	3.44421779596847e-09
"hsa-miR-1197"	7.74482441939582	3.8080881068024	31.4452797293214	2.05140709558323e-08	1.53112268728313e-07
"hsa-miR-122-3p"	7.54980852231011	3.62916307842341	6.35903926889669	0.0116784762591434	0.0263790143572757
"hsa-miR-122-5p"	6.11680074999291	6.80451652736914	3.43071524438629	0.0639943807143428	0.107003591129502
"hsa-miR-1226-3p"	-2.14493581875851	4.06327391133663	5.27513118590086	0.0216321578023444	0.0431804700318114
"hsa-miR-1228-3p"	-3.40144359258607	3.85428947189176	12.2093172231899	0.000475514340183738	0.00164355627647399
"hsa-miR-1228-5p"	-5.43792855910769	2.14559442451963	6.80543743208511	0.00908806865603533	0.0213714856523205
"hsa-miR-1237-3p"	-1.42292736830533	2.23176097743909	1.39543065216372	0.237490129077725	0.327025177740717
"hsa-miR-124-3p"	11.0708170835692	6.9791163968098	9.25759025095923	0.00234521399264654	0.00674714879553203
"hsa-miR-124-5p"	6.90340870229411	3.0844517114582	5.88350740575366	0.0152833472442601	0.0329327356936985
"hsa-miR-1249-3p"	-4.34498653514031	6.64864862484474	20.0698164844591	7.46658173895765e-06	3.37306104873964e-05
"hsa-miR-125a-3p"	1.5664571576391	4.47290306253599	4.60330833225012	0.0319103214092837	0.0591144443373421
"hsa-miR-125a-5p"	-0.354007990298307	13.0157342482061	0.176966664434758	0.673993105795639	0.733840273752123
"hsa-miR-125b-1-3p"	14.0052662037757	9.89931076171422	64.6314885961914	9.03006780737884e-16	1.16262123020003e-13
"hsa-miR-125b-2-3p"	6.9943095917946	8.51046623819377	15.4961489869437	8.26735143809911e-05	0.000327514306970849
"hsa-miR-125b-5p"	9.88080694656674	13.9061349927158	59.1428676865242	1.46629858753145e-14	1.07877681796957e-12
"hsa-miR-126-3p"	5.18403181927767	8.24869859714231	10.8036631202189	0.00101299451398261	0.00324032406646613
"hsa-miR-126-5p"	5.7266966576092	9.79554883982093	13.2399416062294	0.000274046446694177	0.000993900845404936
"hsa-miR-1260a"	-0.591042248020588	4.53918691154412	0.519099743844241	0.471225958451044	0.567012543463289
"hsa-miR-1260b"	-0.478268846877364	3.89639952763436	0.298818028696444	0.58462436110463	0.659120428159062
"hsa-miR-127-3p"	10.6940669025169	13.1565548187921	71.2879978856709	3.08707985236578e-17	7.94923061984187e-15
"hsa-miR-127-5p"	9.96012371893872	5.89021569015197	42.3374734303939	7.68067033291655e-11	1.41269472194715e-09
"hsa-miR-1271-5p"	0.696309605756475	6.50937322670003	0.281336646446853	0.595826466760849	0.667066587786603
"hsa-miR-1273h-3p"	-6.05308802335408	2.53375052083796	11.0590336690266	0.000882561293250032	0.0028586104781369
"hsa-miR-1277-5p"	5.97441675723967	2.40886159332689	13.3812179079171	0.000254156637758055	0.000928302613087933
"hsa-miR-128-1-5p"	1.18467599853895	4.72685333953217	1.3475371863688	0.245709131054803	0.334762440458263
"hsa-miR-128-2-5p"	5.91219467051642	2.34959048219191	5.42668075216111	0.0198313380153346	0.0402092089680997
"hsa-miR-128-3p"	2.54975913219402	10.9612843021408	3.74356086101633	0.0530113592205215	0.0916135905992234
"hsa-miR-1285-3p"	0.0815715134615528	4.77096710884164	0.0101831026333992	0.919620824946082	0.941082543205089
"hsa-miR-129-2-3p"	5.44477001717813	3.93277256689979	6.40761009132276	0.0113632259542764	0.0257800060196139
"hsa-miR-129-5p"	7.51849183661823	3.60627348875796	13.6802925476497	0.00021671684298697	0.000814665504659048
"hsa-miR-1296-5p"	1.67057088897256	5.62187214543115	4.64532998986085	0.0311381499198997	0.0578922281904272
"hsa-miR-1301-3p"	-3.67774555367433	7.3172373796699	14.9377207407238	0.000111118894305946	0.000430272410282423
"hsa-miR-1303"	-4.01613266693403	3.70889473504694	5.15929902674725	0.0231222276755214	0.0457997971265136
"hsa-miR-1304-3p"	0.506548041950105	5.33846931872259	0.498952490237227	0.479960750810904	0.573502985307693
"hsa-miR-1306-5p"	-0.0226837908706936	3.39364688343831	0.000651239467047482	0.979640679397331	0.979640679397331
"hsa-miR-1307-3p"	-1.18933858156837	8.23645738129527	1.74668645678583	0.186293833723832	0.271788454299642
"hsa-miR-1307-5p"	0.478369500934251	9.25444829021495	0.289778377179044	0.590362586381045	0.663835659358598
"hsa-miR-130a-3p"	6.09528284223051	10.7489915965489	27.1052146913875	1.92677494991634e-07	1.12760124909877e-06
"hsa-miR-130b-3p"	1.72427165219973	9.14492340904874	2.58739597024236	0.107717300466464	0.165102409941158
"hsa-miR-130b-5p"	1.83680057082453	7.38990579949496	3.21563676691125	0.0729378068795517	0.120319325823061
"hsa-miR-132-3p"	-0.702375165340074	7.39149352846982	0.668372706717719	0.413619531420117	0.510825080770648
"hsa-miR-132-5p"	1.26003400070096	5.73052989759982	1.18496261962979	0.276348015596297	0.36966033255089
"hsa-miR-133a-3p"	5.98814032518113	9.99925082350385	4.85555890003115	0.027557184251168	0.0523488387228731
"hsa-miR-133a-5p"	4.70799691813604	3.21891743631561	2.85997359034658	0.0908089894001068	0.142147810155182
"hsa-miR-134-5p"	10.5105535215534	6.42904686032353	38.6852787010659	4.97950534118659e-10	6.10582202550261e-09
"hsa-miR-1343-3p"	-0.506150857012728	3.14995223812599	0.268581254196594	0.604285070493309	0.673607816675442
"hsa-miR-135a-5p"	9.30283316375804	5.25100204645228	8.97575455962152	0.00273585576848053	0.00765742239547539
"hsa-miR-136-3p"	13.5161648824813	9.41118078506171	56.4243993881489	5.84011617007945e-14	3.75957478448864e-12
"hsa-miR-136-5p"	10.4877406976387	6.40585776070291	40.7041147105111	1.77113839613398e-10	2.68275374708529e-09
"hsa-miR-137"	6.55697435850492	6.60125362267401	22.9216998392207	1.68736184840628e-06	8.68991351929234e-06
"hsa-miR-138-2-3p"	5.75873547908557	2.24951616944829	5.3507069327073	0.0207138706458216	0.0416704819632739
"hsa-miR-138-5p"	9.16566974668947	9.73999959341474	20.7088131490125	5.34693379948374e-06	2.48078460066138e-05
"hsa-miR-139-5p"	0.966244315713478	4.93436880856454	0.437133333828972	0.508509328132259	0.59790480362583
"hsa-miR-140-3p"	1.39611698255717	12.3447240908083	1.36877401712786	0.242022636228136	0.331493770365664
"hsa-miR-140-5p"	2.04408004956725	7.45625123645748	3.12156891915015	0.0772623602879301	0.125918087178114
"hsa-miR-141-3p"	-5.88441943514277	4.19075485581458	27.5562289836072	1.52593149687022e-07	9.13784559172283e-07
"hsa-miR-142-3p"	-5.37469202672655	8.77344937824102	7.60391769027203	0.00582416135180529	0.0147755817545799
"hsa-miR-142-5p"	-6.46115542203432	12.3193432521351	7.67172311011649	0.00560928657325004	0.0143009038872464
"hsa-miR-143-3p"	9.3100044982583	14.9556006227729	73.8055896001372	8.62021560334886e-18	4.43941103572466e-15
"hsa-miR-143-5p"	9.82649606978567	5.75968561542296	43.6933992950709	3.8406495768105e-11	8.24139388357253e-10
"hsa-miR-144-3p"	9.50792338800846	5.44861755071417	9.00477197663086	0.00269275584036171	0.00757797408626383
"hsa-miR-144-5p"	4.12376169837469	3.97355047027606	3.66894205205239	0.0554353610464135	0.0948478768734318
"hsa-miR-145-3p"	9.3787304769409	7.61434854585075	26.192050005106	3.09092416495874e-07	1.76869549439305e-06
"hsa-miR-145-5p"	10.1518413988195	10.2460732292401	38.9404692579384	4.36928230791171e-10	5.62545097143632e-09
"hsa-miR-1468-5p"	2.14886629625987	3.34523268095935	3.73741349783484	0.0532067475772711	0.0916437291046643
"hsa-miR-146a-3p"	-0.0332502934743318	5.32745944923514	0.00100573099402013	0.974700718568151	0.976597023468089
"hsa-miR-146a-5p"	-1.83961877868964	13.406325723527	2.87876878963243	0.089754624618049	0.140925706336266
"hsa-miR-146b-3p"	-9.17320765703245	9.16615304007119	41.9118202346798	9.54836809419054e-11	1.63913652283604e-09
"hsa-miR-146b-5p"	-9.54136276627052	15.1772368786068	39.3074690477124	3.62053729259543e-10	4.90616801349245e-09
"hsa-miR-147b"	-3.63986905393849	6.04506105378125	12.0304300722369	0.000523389985948596	0.00178507180638097
"hsa-miR-148a-3p"	2.84881193085728	12.7559178991015	4.87745456581739	0.0272097165974032	0.0520929518500471
