"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-3p"	0.408397763880123	4.879709893738	0.272382129862811	0.601738277377559	0.750083477703276
"hsa-let-7a-5p"	1.01063684522978	15.5768439905781	4.45793623826557	0.0347394444195914	0.0755846093735352
"hsa-let-7b-3p"	-0.132639561929038	4.53917102639285	0.114085552906762	0.735539888261214	0.838281967891352
"hsa-let-7b-5p"	0.0360120163604599	10.944710862839	0.00746917524071478	0.93112905880039	0.969270595005056
"hsa-let-7c-5p"	-1.18346822460423	3.91656106294687	7.48393284619329	0.00622519520509424	0.0191012399882806
"hsa-let-7d-3p"	1.19338534051778	7.22502602302024	9.04111345965231	0.00263974813380003	0.00966661266937242
"hsa-let-7d-5p"	0.965830934047676	10.5203017970705	3.38899087588102	0.0656331067329387	0.125331304878324
"hsa-let-7e-5p"	1.63481581860367	6.95831966683246	1.2655966345241	0.260594376547558	0.398099494385418
"hsa-let-7f-1-3p"	0.183746146413077	3.29466648219936	0.124367878636592	0.724344622752194	0.830797826095967
"hsa-let-7f-2-3p"	-0.261609862168247	3.7577175055813	0.159944475120884	0.689207642312462	0.824751811967247
"hsa-let-7f-5p"	0.0383646038599155	15.5572020029408	0.00739484799214551	0.931471741717951	0.969270595005056
"hsa-let-7g-3p"	-0.0700300938429295	5.0698814639643	0.018933547305088	0.890557166384348	0.951517924797562
"hsa-let-7g-5p"	-0.48312509670373	15.0237117104663	1.55615567341238	0.212228992522832	0.341660126976219
"hsa-let-7i-3p"	1.97675614015057	7.82626713415988	21.3958646202554	3.73576079365449e-06	3.83182321406275e-05
"hsa-let-7i-5p"	0.885187719595851	13.4286741937421	3.60675175916981	0.0575454128738846	0.111669206603917
"hsa-miR-1-3p"	-4.20585506939015	2.17721117621332	11.7653633676611	0.000603431014083922	0.0025789492149539
"hsa-miR-100-5p"	-0.946534789615983	5.96314073616451	0.948483749933432	0.330105546223094	0.474031564376364
"hsa-miR-101-3p"	-0.778003269966512	14.1677051663206	1.37924889809665	0.240229128733245	0.37660374329797
"hsa-miR-101-5p"	-0.918095795247812	5.18299202623625	2.68966212491949	0.10100122887682	0.179502183993953
"hsa-miR-103a-3p"	-0.329467947368246	12.4463317009957	0.477687266049031	0.489471761788102	0.632087634827082
"hsa-miR-106a-5p"	-0.623009651781053	5.13042572752567	2.04652020886918	0.152554524540908	0.257122414601812
"hsa-miR-106b-3p"	1.13058883616865	9.48411929547193	4.71490776713702	0.0299021696694398	0.0679422715906892
"hsa-miR-106b-5p"	-0.0198941832828196	8.44723184065078	0.000873345519764257	0.976424012170708	0.990195035698755
"hsa-miR-107"	-1.2263301360108	3.97331673006516	6.85528616876186	0.00883794002622975	0.0251811148366387
"hsa-miR-10a-5p"	-1.13250372397285	12.2827809110002	4.05775255583586	0.0439689814326033	0.0896867291721851
"hsa-miR-10b-5p"	1.31333974435997	6.75188203021946	1.71639996769316	0.190157108459127	0.310301826985576
"hsa-miR-122-5p"	8.39600073486733	4.61677628966221	20.7148705859446	5.33004610075297e-06	4.94054370368843e-05
"hsa-miR-1248"	0.747509054132164	4.01509062480138	0.877274789877386	0.348949180403326	0.491265708881546
"hsa-miR-1249-3p"	-1.521642928129	3.00438028014163	5.51575075530693	0.0188459828140861	0.046984082154562
"hsa-miR-1255a"	0.350689644857015	2.64590813254872	0.0745189223961811	0.784867404081258	0.881799569782172
"hsa-miR-125a-5p"	-3.5864458539461	10.9180285683143	22.453857580028	2.1525275465509e-06	2.34168905821749e-05
"hsa-miR-125b-5p"	-3.17133759235634	5.97752147949335	40.9030175280651	1.59973943246987e-10	2.73479264884134e-09
"hsa-miR-126-3p"	0.473645269423871	3.96379440834701	0.435964266872628	0.509076791480117	0.650386363492392
"hsa-miR-126-5p"	3.46769918890735	7.20678139084373	8.68777963136861	0.00320350642723545	0.011386720865124
"hsa-miR-1260a"	-1.87985426762075	4.50222266677874	16.7459085307196	4.27343174398889e-05	0.00028946452756453
"hsa-miR-1260b"	-1.27666615839442	3.45731535622799	4.35928686933432	0.0368077105355361	0.0786306081712573
"hsa-miR-127-3p"	2.53376551191929	4.25405702359758	13.7565686510556	0.000208091873423181	0.00109860268469003
"hsa-miR-1271-5p"	-0.279360655153679	6.94241074232584	0.12745316264552	0.721087441259225	0.829842907011242
"hsa-miR-1273h-3p"	1.86410045549705	5.65296415429646	18.2618338894556	1.92526133738554e-05	0.000138877889695373
"hsa-miR-128-1-5p"	3.63371341467072	5.15676748651642	8.81371294806058	0.00298975023790947	0.010733203354095
